Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Lightning Roulette,1,38,Evolution Gaming,AT,2021-02-12,lightningroulette,evolutiongaming
Gonzo's Quest Megaways,2,46,Red Tiger,AT,2021-02-12,gonzosquestmegaways,redtiger
Book of Dead,3,45,Play'n Go,AT,2021-02-12,bookofdead,playngo
Starburst,4,55,NetEnt,AT,2021-02-12,starburst,netent
Piggy Riches Megaways,5,48,Red Tiger,AT,2021-02-12,piggyrichesmegaways,redtiger
Crazy Time,6,35,Evolution Gaming,AT,2021-02-12,crazytime,evolutiongaming
Wolf Gold,7,49,Pragmatic Play,AT,2021-02-12,wolfgold,pragmaticplay
Cat Wilde and the Eclipse of the Sun God,8,33,Play'n Go,AT,2021-02-12,catwildeandtheeclipseofthesungod,playngo
The Dog House Megaways,9,41,Pragmatic Play,AT,2021-02-12,thedoghousemegaways,pragmaticplay
Ramses Book,10,30,Gamomat,AT,2021-02-12,ramsesbook,gamomat
Fancy Fruits,11,27,Gamomat,AT,2021-02-12,fancyfruits,gamomat
Fruit Shop Megaways,12,38,NetEnt,AT,2021-02-12,fruitshopmegaways,netent
Legacy of Dead,13,42,Play'n Go,AT,2021-02-12,legacyofdead,playngo
Dinosaur Rage,14,17,Quickspin,AT,2021-02-12,dinosaurrage,quickspin
Fire Joker,15,37,Play'n Go,AT,2021-02-12,firejoker,playngo
Gonzo's Quest,16,52,NetEnt,AT,2021-02-12,gonzosquest,netent
Ruler of Egypt,17,12,Lady Luck Games,AT,2021-02-12,rulerofegypt,ladyluckgames
Reactoonz,18,39,Play'n Go,AT,2021-02-12,reactoonz,playngo
John Hunter And The Book Of Tut,19,43,Pragmatic Play,AT,2021-02-12,johnhunterandthebookoftut,pragmaticplay
Weight of the Gun,20,12,Lady Luck Games,AT,2021-02-12,weightofthegun,ladyluckgames
Juicy Joker Mega Moolah,21,15,JustForTheWin,AT,2021-02-12,juicyjokermegamoolah,justforthewin
Crystal Ball,22,29,Gamomat,AT,2021-02-12,crystalball,gamomat
Eye of the Storm,23,30,Reel Kingdom,AT,2021-02-12,eyeofthestorm,reelkingdom
Miss Wildfire,24,27,ELK Studios,AT,2021-02-12,misswildfire,elkstudios
Madame Destiny Megaways,25,32,Pragmatic Play,AT,2021-02-12,madamedestinymegaways,pragmaticplay
Royal Seven XXL,26,26,Gamomat,AT,2021-02-12,royalsevenxxl,gamomat
Bonanza,27,50,Big Time Gaming,AT,2021-02-12,bonanza,bigtimegaming
War of Gods,28,25,Red Tiger,AT,2021-02-12,warofgods,redtiger
Book of Ra deluxe,29,0,Greentube,AT,2021-02-12,bookofradeluxe,greentube
Lord of the Ocean,30,0,Greentube,AT,2021-02-12,lordoftheocean,greentube
Bounty Belles,31,15,iSoftBet,AT,2021-02-12,bountybelles,isoftbet
Buffalo Power Hold and Win,32,31,Playson,AT,2021-02-12,buffalopowerholdandwin,playson
Chicago Gold,33,22,PearFiction,AT,2021-02-12,chicagogold,pearfiction
Gold Vein,34,29,Booming Games,AT,2021-02-12,goldvein,boominggames
Money Train 2,35,22,Relax Gaming,AT,2021-02-12,moneytrain2,relaxgaming
"Betty, Boris And Boo",36,23,Red Tiger,AT,2021-02-12,bettyborisandboo,redtiger
Orango Tango,37,12,Lady Luck Games,AT,2021-02-12,orangotango,ladyluckgames
Sticky Diamonds,38,23,Gamomat,AT,2021-02-12,stickydiamonds,gamomat
Lord Merlin and the Lady of the Lake,39,25,Play'n Go,AT,2021-02-12,lordmerlinandtheladyofthelake,playngo
Books And Pearls,40,25,Gamomat,AT,2021-02-12,booksandpearls,gamomat
Take 5,41,23,Gamomat,AT,2021-02-12,take5,gamomat
Jewel Scarabs,42,38,Red Tiger,AT,2021-02-12,jewelscarabs,redtiger
Sakura Fortune,43,28,Quickspin,AT,2021-02-12,sakurafortune,quickspin
Twin Spin Megaways,44,42,NetEnt,AT,2021-02-12,twinspinmegaways,netent
Divine Fortune Megaways,45,45,NetEnt,AT,2021-02-12,divinefortunemegaways,netent
Wild Diamond 7x,46,25,Booming Games,AT,2021-02-12,wilddiamond7x,boominggames
East Coast vs West Coast,47,17,Nolimit City,AT,2021-02-12,eastcoastvswestcoast,nolimitcity
Fancy Fruits Respins Of Amun-Re,48,24,Gamomat,AT,2021-02-12,fancyfruitsrespinsofamunre,gamomat
Dead or Alive 2,49,46,NetEnt,AT,2021-02-12,deadoralive2,netent
Clover Lady,50,12,Wazdan,AT,2021-02-12,cloverlady,wazdan
Reactoonz 2,51,35,Play'n Go,AT,2021-02-12,reactoonz2,playngo
