Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Wolf Gold,1,49,Pragmatic Play,AU,2021-02-12,wolfgold,pragmaticplay
Wild Diamond 7x,2,80,Booming Games,AU,2021-02-12,wilddiamond7x,boominggames
Gold Digger,3,65,iSoftBet,AU,2021-02-12,golddigger,isoftbet
Gold Vein,4,68,Booming Games,AU,2021-02-12,goldvein,boominggames
East Coast vs West Coast,5,42,Nolimit City,AU,2021-02-12,eastcoastvswestcoast,nolimitcity
Dinosaur Rage,6,34,Quickspin,AU,2021-02-12,dinosaurrage,quickspin
Ruler of Egypt,7,26,Lady Luck Games,AU,2021-02-12,rulerofegypt,ladyluckgames
Weight of the Gun,8,26,Lady Luck Games,AU,2021-02-12,weightofthegun,ladyluckgames
Majestic Megaways,9,71,iSoftBet,AU,2021-02-12,majesticmegaways,isoftbet
Primal Hunt,10,75,Betsoft,AU,2021-02-12,primalhunt,betsoft
Elvis Frog in Vegas,11,36,BGAMING,AU,2021-02-12,elvisfroginvegas,bgaming
Orango Tango,12,26,Lady Luck Games,AU,2021-02-12,orangotango,ladyluckgames
Take Santa's Shop,13,68,Betsoft,AU,2021-02-12,takesantasshop,betsoft
Boom Shakalaka,14,70,Booming Games,AU,2021-02-12,boomshakalaka,boominggames
Eye of the Amulet,15,71,iSoftBet,AU,2021-02-12,eyeoftheamulet,isoftbet
Bounty Belles,16,27,iSoftBet,AU,2021-02-12,bountybelles,isoftbet
Hot Stuff,17,26,BetConstruct,AU,2021-02-12,hotstuff,betconstruct
World of Diamonds,18,26,BetConstruct,AU,2021-02-12,worldofdiamonds,betconstruct
Clover Lady,19,26,Wazdan,AU,2021-02-12,cloverlady,wazdan
Lucky Bank Robbers,20,31,Belatra Games,AU,2021-02-12,luckybankrobbers,belatragames
Caishen's Gold,21,46,Pragmatic Play,AU,2021-02-12,caishensgold,pragmaticplay
Super Boom,22,69,Booming Games,AU,2021-02-12,superboom,boominggames
Disco Double,23,64,iSoftBet,AU,2021-02-12,discodouble,isoftbet
Pearl of the Orient,24,68,iSoftBet,AU,2021-02-12,pearloftheorient,isoftbet
Multiplier Odyssey,25,32,Relax Gaming,AU,2021-02-12,multiplierodyssey,relaxgaming
Miles Bellhouse And The Gears Of Time,26,69,Betsoft,AU,2021-02-12,milesbellhouseandthegearsoftime,betsoft
Prince Of Persia,27,22,Mascot Gaming,AU,2021-02-12,princeofpersia,mascotgaming
Pearl Beauty Hold and Win,28,30,Playson,AU,2021-02-12,pearlbeautyholdandwin,playson
Mega Diamonds,29,26,BetConstruct,AU,2021-02-12,megadiamonds,betconstruct
Startup Valley,30,15,TrueLab Games,AU,2021-02-12,startupvalley,truelabgames
9 Lions,31,43,Wazdan,AU,2021-02-12,9lions,wazdan
Cash Pig,32,68,Booming Games,AU,2021-02-12,cashpig,boominggames
Stellar Spins,33,68,Booming Games,AU,2021-02-12,stellarspins,boominggames
Vegas High Roller,34,73,iSoftBet,AU,2021-02-12,vegashighroller,isoftbet
Western Gold Megaways,35,42,iSoftBet,AU,2021-02-12,westerngoldmegaways,isoftbet
Totem Towers,36,42,Habanero,AU,2021-02-12,totemtowers,habanero
Booming Seven Deluxe,37,69,Booming Games,AU,2021-02-12,boomingsevendeluxe,boominggames
Booming Bananas,38,73,Booming Games,AU,2021-02-12,boomingbananas,boominggames
Moon Oak Deluxe,39,14,Swintt,AU,2021-02-12,moonoakdeluxe,swintt
Sun of Egypt,40,37,Booongo,AU,2021-02-12,sunofegypt,booongo
Dragon Pearls: Hold & Win,41,38,Booongo,AU,2021-02-12,dragonpearlsholdwin,booongo
88 Dragons Treasure,42,28,Belatra Games,AU,2021-02-12,88dragonstreasure,belatragames
Super Dragons Fire,43,54,MrSlotty,AU,2021-02-12,superdragonsfire,mrslotty
Diamond Wins,44,25,Playson,AU,2021-02-12,diamondwins,playson
Big Apple Wins,45,67,Booming Games,AU,2021-02-12,bigapplewins,boominggames
Roo Riches,46,74,iSoftBet,AU,2021-02-12,rooriches,isoftbet
The Mummy Win Hunters Epicways,47,19,Fugaso,AU,2021-02-12,themummywinhuntersepicways,fugaso
Gladiator Arena,48,64,Booming Games,AU,2021-02-12,gladiatorarena,boominggames
Cai Shen 689,49,15,Felix Gaming,AU,2021-02-12,caishen689,felixgaming
Love Is All You Need,50,8,Hacksaw Gaming,AU,2021-02-12,loveisallyouneed,hacksawgaming
Howling Wolves,51,64,Booming Games,AU,2021-02-12,howlingwolves,boominggames
Hot Triple Sevens,52,23,Evoplay Entertainment,AU,2021-02-12,hottriplesevens,evoplayentertainment
Burning Classics,53,62,Booming Games,AU,2021-02-12,burningclassics,boominggames
Fruit Nova,54,24,Evoplay Entertainment,AU,2021-02-12,fruitnova,evoplayentertainment
Great Panda,55,37,Booongo,AU,2021-02-12,greatpanda,booongo
Butterfly Lovers,56,39,Wazdan,AU,2021-02-12,butterflylovers,wazdan
Fruit Nova,57,24,Evoplay Entertainment,AU,2021-02-12,fruitnova,evoplayentertainment
Great Panda,58,39,Booongo,AU,2021-02-12,greatpanda,booongo
Butterfly Lovers,59,39,Wazdan,AU,2021-02-12,butterflylovers,wazdan
Buffalo Power Hold and Win,60,22,Playson,AU,2021-02-12,buffalopowerholdandwin,playson
Quick Cash Fruits,61,14,NetGame,AU,2021-02-12,quickcashfruits,netgame
Cash Pig,62,70,Booming Games,AU,2021-02-12,cashpig,boominggames
88 Golden 88,63,30,Belatra Games,AU,2021-02-12,88golden88,belatragames
Gem Splitter,64,36,Wazdan,AU,2021-02-12,gemsplitter,wazdan
Fortune Pig,65,74,iSoftBet,AU,2021-02-12,fortunepig,isoftbet
Amazing Yu,66,4,Felix Gaming,AU,2021-02-12,amazingyu,felixgaming
Lucky Neko,67,21,PG Soft,AU,2021-02-12,luckyneko,pgsoft
Hell'Sing,68,21,Mascot Gaming,AU,2021-02-12,hellsing,mascotgaming
Barbarian Fury,69,45,Nolimit City,AU,2021-02-12,barbarianfury,nolimitcity
Money Train 2,70,38,Relax Gaming,AU,2021-02-12,moneytrain2,relaxgaming
Spin City,71,14,Swintt,AU,2021-02-12,spincity,swintt
Frost Queen Jackpots,72,23,Yggdrasil,AU,2021-02-12,frostqueenjackpots,yggdrasil
15 Dragon Pearls,73,36,Booongo,AU,2021-02-12,15dragonpearls,booongo
Wealth of Wisdom,74,33,Platipus,AU,2021-02-12,wealthofwisdom,platipus
Punk Rocker,75,41,Nolimit City,AU,2021-02-12,punkrocker,nolimitcity
Trey Poker (BGaming),76,27,BGAMING,AU,2021-02-12,treypoker,bgaming
Tombstone,77,42,Nolimit City,AU,2021-02-12,tombstone,nolimitcity
San Quentin,78,43,Nolimit City,AU,2021-02-12,sanquentin,nolimitcity
Miami Nights,79,65,Booming Games,AU,2021-02-12,miaminights,boominggames
European Roulette (BGaming),80,26,BGAMING,AU,2021-02-12,europeanroulette,bgaming
Hot Spin Deluxe,81,72,iSoftBet,AU,2021-02-12,hotspindeluxe,isoftbet
Thunder Of Olympus,82,29,Booongo,AU,2021-02-12,thunderofolympus,booongo
Loco the Monkey,83,37,Quickspin,AU,2021-02-12,locothemonkey,quickspin
Oasis Poker (BGaming),84,27,BGAMING,AU,2021-02-12,oasispoker,bgaming
French Roulette (BGaming),85,27,BGAMING,AU,2021-02-12,frenchroulette,bgaming
Book of Egypt,86,41,Platipus,AU,2021-02-12,bookofegypt,platipus
Fire Lightning,87,36,BGAMING,AU,2021-02-12,firelightning,bgaming
Temple Tumble,88,41,Relax Gaming,AU,2021-02-12,templetumble,relaxgaming
Buddha Fortune Hold and Win,89,36,Booongo,AU,2021-02-12,buddhafortuneholdandwin,booongo
Royal Wins,90,70,Booming Games,AU,2021-02-12,royalwins,boominggames
Sugar Skulls,91,66,Booming Games,AU,2021-02-12,sugarskulls,boominggames
