Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Mega Wheel,1,14,Pragmatic Play,BE,2021-02-12,megawheel,pragmaticplay
Infinity Dice,2,12,Air Dice,BE,2021-02-12,infinitydice,airdice
Starburst,3,7,NetEnt,BE,2021-02-12,starburst,netent
40 Super Hot,4,7,EGT,BE,2021-02-12,40superhot,egt
Gonzo's Quest Megaways,5,4,Red Tiger,BE,2021-02-12,gonzosquestmegaways,redtiger
Take It Or Not Dice,6,14,GAMING1,BE,2021-02-12,takeitornotdice,gaming1
Bounty Belles,7,14,iSoftBet,BE,2021-02-12,bountybelles,isoftbet
Madame Destiny Megaways,8,4,Pragmatic Play,BE,2021-02-12,madamedestinymegaways,pragmaticplay
Lightning Roulette,9,4,Evolution Gaming,BE,2021-02-12,lightningroulette,evolutiongaming
Mega Spinner Slot,10,13,GAMING1,BE,2021-02-12,megaspinnerslot,gaming1
Book of Dead,11,4,Play'n Go,BE,2021-02-12,bookofdead,playngo
9 Lions,12,4,Wazdan,BE,2021-02-12,9lions,wazdan
Book of Ra deluxe,13,6,Greentube,BE,2021-02-12,bookofradeluxe,greentube
88 Fortunes,14,5,SG,BE,2021-02-12,88fortunes,sg
Rainbow Jackpots,15,4,Red Tiger,BE,2021-02-12,rainbowjackpots,redtiger
Sweet Bonanza,16,5,Pragmatic Play,BE,2021-02-12,sweetbonanza,pragmaticplay
The Ruby,17,5,iSoftBet,BE,2021-02-12,theruby,isoftbet
Zeus Rush Fever,18,5,Ruby Play,BE,2021-02-12,zeusrushfever,rubyplay
Lucky Dice 2,19,5,Endorphina,BE,2021-02-12,luckydice2,endorphina
Joker King,20,5,Pragmatic Play,BE,2021-02-12,jokerking,pragmaticplay
Alice in the Wild,21,5,Ruby Play,BE,2021-02-12,aliceinthewild,rubyplay
Hot Fruits 40,22,5,Amatic Industries,BE,2021-02-12,hotfruits40,amaticindustries
Fortune Coin,23,5,IGT,BE,2021-02-12,fortunecoin,igt
