Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,48,Play'n Go,BR,2021-02-12,bookofdead,playngo
Starburst,2,46,NetEnt,BR,2021-02-12,starburst,netent
Wolf Gold,3,48,Pragmatic Play,BR,2021-02-12,wolfgold,pragmaticplay
Gonzo's Quest,4,46,NetEnt,BR,2021-02-12,gonzosquest,netent
Bonanza,5,49,Big Time Gaming,BR,2021-02-12,bonanza,bigtimegaming
Legacy of Dead,6,46,Play'n Go,BR,2021-02-12,legacyofdead,playngo
Dinosaur Rage,7,33,Quickspin,BR,2021-02-12,dinosaurrage,quickspin
Eye of the Storm,8,30,Reel Kingdom,BR,2021-02-12,eyeofthestorm,reelkingdom
Quantum Roulette,9,7,Playtech,BR,2021-02-12,quantumroulette,playtech
Prissy Princess,10,31,Play'n Go,BR,2021-02-12,prissyprincess,playngo
Frankenslot's Monster,11,27,Betsoft,BR,2021-02-12,frankenslotsmonster,betsoft
Buffalo Blitz,12,18,Playtech,BR,2021-02-12,buffaloblitz,playtech
Gonzo's Quest Megaways,13,45,Red Tiger,BR,2021-02-12,gonzosquestmegaways,redtiger
Rise Of Olympus,14,42,Play'n Go,BR,2021-02-12,riseofolympus,playngo
Dynamite Riches,15,33,Red Tiger,BR,2021-02-12,dynamiteriches,redtiger
Age of the Gods God of Storms,16,13,Playtech Vikings,BR,2021-02-12,ageofthegodsgodofstorms,playtechvikings
Blue Wizard,17,4,Rarestone Gaming,BR,2021-02-12,bluewizard,rarestonegaming
Chicago Gold,18,25,PearFiction,BR,2021-02-12,chicagogold,pearfiction
Razor Shark,19,37,Push Gaming,BR,2021-02-12,razorshark,pushgaming
Legend of Hydra Power Zones,20,7,Ash Gaming,BR,2021-02-12,legendofhydrapowerzones,ashgaming
Cat Wilde and the Eclipse of the Sun God,21,31,Play'n Go,BR,2021-02-12,catwildeandtheeclipseofthesungod,playngo
Age of the Gods,22,8,Playtech,BR,2021-02-12,ageofthegods,playtech
Eye of Horus (Reel Time Gaming),23,13,Reel Time Gaming,BR,2021-02-12,eyeofhorus,reeltimegaming
Premium Blackjack (Playtech),24,6,Playtech,BR,2021-02-12,premiumblackjack,playtech
20p Roulette (Inspired Gaming),25,6,Inspired Gaming,BR,2021-02-12,20proulette,inspiredgaming
Fishin' Frenzy,26,19,Reel Time Gaming,BR,2021-02-12,fishinfrenzy,reeltimegaming
Spin a Win Live,27,4,Playtech,BR,2021-02-12,spinawinlive,playtech
Lord Merlin and the Lady of the Lake,28,27,Play'n Go,BR,2021-02-12,lordmerlinandtheladyofthelake,playngo
Rainbow Riches,29,4,Barcrest,BR,2021-02-12,rainbowriches,barcrest
Epic Ape,30,10,Playtech,BR,2021-02-12,epicape,playtech
7s Deluxe,31,13,Reel Time Gaming,BR,2021-02-12,7sdeluxe,reeltimegaming
Age of the Gods Norse Gods and Giants,32,4,Playtech Origins,BR,2021-02-12,ageofthegodsnorsegodsandgiants,playtechorigins
Age of the Gods King of Olympus,33,5,Playtech,BR,2021-02-12,ageofthegodskingofolympus,playtech
Reactoonz 2,34,38,Play'n Go,BR,2021-02-12,reactoonz2,playngo
Fishin Frenzy Jackpot King,35,38,Blueprint,BR,2021-02-12,fishinfrenzyjackpotking,blueprint
Bounty Raid,36,36,Red Tiger,BR,2021-02-12,bountyraid,redtiger
Kingdoms Rise Chasm of Fear,37,36,Playtech Origins,BR,2021-02-12,kingdomsrisechasmoffear,playtechorigins
Book Of Rebirth Reloaded,38,29,Spinomenal,BR,2021-02-12,bookofrebirthreloaded,spinomenal
Reactoonz,39,44,Play'n Go,BR,2021-02-12,reactoonz,playngo
Frankie Dettori's Magic Seven Jackpot,40,44,Playtech,BR,2021-02-12,frankiedettorismagicsevenjackpot,playtech
Gladiator JP,41,5,Playtech,BR,2021-02-12,gladiatorjp,playtech
Savage Jungle,42,5,Playtech,BR,2021-02-12,savagejungle,playtech
