Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,230,Play'n Go,CA,2021-02-12,bookofdead,playngo
Starburst,2,249,NetEnt,CA,2021-02-12,starburst,netent
Wolf Gold,3,233,Pragmatic Play,CA,2021-02-12,wolfgold,pragmaticplay
Lightning Roulette,4,165,Evolution Gaming,CA,2021-02-12,lightningroulette,evolutiongaming
Gonzo's Quest Megaways,5,179,Red Tiger,CA,2021-02-12,gonzosquestmegaways,redtiger
Legacy of Dead,6,206,Play'n Go,CA,2021-02-12,legacyofdead,playngo
Gonzo's Quest,7,232,NetEnt,CA,2021-02-12,gonzosquest,netent
Fire Joker,8,202,Play'n Go,CA,2021-02-12,firejoker,playngo
Crazy Time,9,147,Evolution Gaming,CA,2021-02-12,crazytime,evolutiongaming
Piggy Riches Megaways,10,192,Red Tiger,CA,2021-02-12,piggyrichesmegaways,redtiger
The Hand of Midas,11,92,Pragmatic Play,CA,2021-02-12,thehandofmidas,pragmaticplay
Immortal Romance,12,175,Microgaming,CA,2021-02-12,immortalromance,microgaming
John Hunter And The Book Of Tut,13,213,Pragmatic Play,CA,2021-02-12,johnhunterandthebookoftut,pragmaticplay
Thunder Screech,14,115,Play'n Go,CA,2021-02-12,thunderscreech,playngo
Sweet Bonanza,15,216,Pragmatic Play,CA,2021-02-12,sweetbonanza,pragmaticplay
Reactoonz,16,196,Play'n Go,CA,2021-02-12,reactoonz,playngo
The Dog House Megaways,17,196,Pragmatic Play,CA,2021-02-12,thedoghousemegaways,pragmaticplay
Cat Wilde and the Eclipse of the Sun God,18,158,Play'n Go,CA,2021-02-12,catwildeandtheeclipseofthesungod,playngo
Reactoonz 2,19,180,Play'n Go,CA,2021-02-12,reactoonz2,playngo
Money Train 2,20,115,Relax Gaming,CA,2021-02-12,moneytrain2,relaxgaming
Mega Moolah,21,115,Microgaming,CA,2021-02-12,megamoolah,microgaming
Dinosaur Rage,22,108,Quickspin,CA,2021-02-12,dinosaurrage,quickspin
Rise Of Olympus,23,192,Play'n Go,CA,2021-02-12,riseofolympus,playngo
The Dog House,24,205,Pragmatic Play,CA,2021-02-12,thedoghouse,pragmaticplay
Twin Spin,25,212,NetEnt,CA,2021-02-12,twinspin,netent
Mustang Gold,26,214,Pragmatic Play,CA,2021-02-12,mustanggold,pragmaticplay
Divine Fortune,27,186,NetEnt,CA,2021-02-12,divinefortune,netent
Buffalo Power Hold and Win,28,107,Playson,CA,2021-02-12,buffalopowerholdandwin,playson
9 Masks Of Fire,29,207,Gameburger Studios,CA,2021-02-12,9masksoffire,gameburgerstudios
Moon Princess,30,175,Play'n Go,CA,2021-02-12,moonprincess,playngo
Big Bass Bonanza,31,158,Reel Kingdom,CA,2021-02-12,bigbassbonanza,reelkingdom
Deadwood,32,123,Nolimit City,CA,2021-02-12,deadwood,nolimitcity
Thunderstruck II,33,184,Microgaming,CA,2021-02-12,thunderstruckii,microgaming
Gold Vein,34,157,Booming Games,CA,2021-02-12,goldvein,boominggames
Ruler of Egypt,35,29,Lady Luck Games,CA,2021-02-12,rulerofegypt,ladyluckgames
Weight of the Gun,36,29,Lady Luck Games,CA,2021-02-12,weightofthegun,ladyluckgames
East Coast vs West Coast,37,96,Nolimit City,CA,2021-02-12,eastcoastvswestcoast,nolimitcity
Razor Shark,38,107,Push Gaming,CA,2021-02-12,razorshark,pushgaming
Monopoly Live,39,91,Evolution Gaming,CA,2021-02-12,monopolylive,evolutiongaming
Eye of the Storm,40,130,Reel Kingdom,CA,2021-02-12,eyeofthestorm,reelkingdom
Jewel Scarabs,41,173,Red Tiger,CA,2021-02-12,jewelscarabs,redtiger
Dead or Alive 2,42,199,NetEnt,CA,2021-02-12,deadoralive2,netent
