Name,Rank,Provider,Market,Date,Casinos,NameInternal,ProviderInternal
Golden Rabbit,1,PAF,CH,2021-02-12,1,goldenrabbit,paf
Book of Ra deluxe,2,Greentube,CH,2021-02-12,1,bookofradeluxe,greentube
Dragon Shard,3,Stormcraft Studios,CH,2021-02-12,1,dragonshard,stormcraftstudios
Lucky Ladyʼs Charm deluxe,4,Greentube,CH,2021-02-12,1,luckyladyscharmdeluxe,greentube
Fortunium,5,Stormcraft Studios,CH,2021-02-12,1,fortunium,stormcraftstudios
Dragon's Fire Megaways,6,Red Tiger,CH,2021-02-12,1,dragonsfiremegaways,redtiger
Cash of Kingdoms,7,Slingshot Studios,CH,2021-02-12,1,cashofkingdoms,slingshotstudios
From Dusk Till Dawn 10,8,Greentube,CH,2021-02-12,1,fromdusktilldawn10,greentube
Anaconda Wild,9,Playtech,CH,2021-02-12,1,anacondawild,playtech
King Tusk,10,Microgaming,CH,2021-02-12,1,kingtusk,microgaming
50 Red Hot Burning Clover Link,11,Apex Gaming,CH,2021-02-12,1,50redhotburningcloverlink,apexgaming
Super Cherry 2000,12,Greentube,CH,2021-02-12,1,supercherry2000,greentube
The Finer Reels of Life,13,Microgaming,CH,2021-02-12,1,thefinerreelsoflife,microgaming
Sizzling Hot deluxe,14,Greentube,CH,2021-02-12,1,sizzlinghotdeluxe,greentube
High Society,15,Microgaming,CH,2021-02-12,1,highsociety,microgaming
Romeo and Juliet – Sealed with a Kiss,16,Greentube,CH,2021-02-12,1,romeoandjulietsealedwithakiss,greentube
Book of Ra - Temple of Gold,17,Greentube,CH,2021-02-12,1,bookofratempleofgold,greentube
Book Of Ra Deluxe 10,18,Greentube,CH,2021-02-12,1,bookofradeluxe10,greentube
Charming Lady Cash Connection,19,Greentube,CH,2021-02-12,1,charmingladycashconnection,greentube
White King 2,20,Playtech,CH,2021-02-12,1,whiteking2,playtech
Wild Bazaar,21,NetEnt,CH,2021-02-12,1,wildbazaar,netent
Western Gold Megaways,22,iSoftBet,CH,2021-02-12,1,westerngoldmegaways,isoftbet
Gonzo's Quest Megaways,23,Red Tiger,CH,2021-02-12,1,gonzosquestmegaways,redtiger
Golden Grimoire,24,NetEnt,CH,2021-02-12,1,goldengrimoire,netent
Gold Digger,25,iSoftBet,CH,2021-02-12,1,golddigger,isoftbet
Gaelic Luck,26,Playtech,CH,2021-02-12,1,gaelicluck,playtech
Slot Of Madness,27,GAMING1,CH,2021-02-12,1,slotofmadness,gaming1
Break Away Deluxe,28,Stormcraft Studios,CH,2021-02-12,1,breakawaydeluxe,stormcraftstudios
Pyramid: Quest for Immortality,29,NetEnt,CH,2021-02-12,1,pyramidquestforimmortality,netent
Santa’s Riches,30,Greentube,CH,2021-02-12,1,santasriches,greentube
Sevens Staxx,31,Greentube,CH,2021-02-12,1,sevensstaxx,greentube
Secret Treasure,32,Greentube,CH,2021-02-12,1,secrettreasure,greentube
Lotus Flower,33,Greentube,CH,2021-02-12,1,lotusflower,greentube
Pay Day,34,Greentube,CH,2021-02-12,1,payday,greentube
Great Fortune,35,Greentube,CH,2021-02-12,1,greatfortune,greentube
Rising Treasures,36,Greentube,CH,2021-02-12,1,risingtreasures,greentube
Lucky Spin Jackpots,37,Greentube,CH,2021-02-12,1,luckyspinjackpots,greentube
Great American Wilds,38,Greentube,CH,2021-02-12,1,greatamericanwilds,greentube
Action Joker,39,Eurocoin Interactive,CH,2021-02-12,1,actionjoker,eurocoininteractive
Gold Star Fruits,40,Eurocoin Interactive,CH,2021-02-12,1,goldstarfruits,eurocoininteractive
Oasis Riches Diamond Link,41,Greentube,CH,2021-02-12,1,oasisrichesdiamondlink,greentube
Wish Upon a Star,42,Greentube,CH,2021-02-12,1,wishuponastar,greentube
Lone Star Jackpots,43,Greentube,CH,2021-02-12,1,lonestarjackpots,greentube
African Stampede,44,Greentube,CH,2021-02-12,1,africanstampede,greentube
50 Fortune Fruits,45,Eurocoin Interactive,CH,2021-02-12,1,50fortunefruits,eurocoininteractive
Tales of Darkness Midnight Heat,46,Greentube,CH,2021-02-12,1,talesofdarknessmidnightheat,greentube
Asgard's Thunder,47,Greentube,CH,2021-02-12,1,asgardsthunder,greentube
Myth of Medusa Gold,48,Greentube,CH,2021-02-12,1,mythofmedusagold,greentube
Beauty of Cleopatra,49,Greentube,CH,2021-02-12,1,beautyofcleopatra,greentube
Prized Panda,50,Novomatic,CH,2021-02-12,1,prizedpanda,novomatic
Prize of the Nile,51,Greentube,CH,2021-02-12,1,prizeofthenile,greentube
Haul of Hades - Super Spinner,52,Greentube,CH,2021-02-12,1,haulofhadessuperspinner,greentube
Ghostly Towers,53,Greentube,CH,2021-02-12,1,ghostlytowers,greentube
Bat Stax,54,Greentube,CH,2021-02-12,1,batstax,greentube
Heart of Egypt,55,Greentube,CH,2021-02-12,1,heartofegypt,greentube
Diamond Link Mighty Elephant,56,Greentube,CH,2021-02-12,1,diamondlinkmightyelephant,greentube
Sherwood Showdown,57,Greentube,CH,2021-02-12,1,sherwoodshowdown,greentube
Viva Cabaret Xtra Choice,58,High Flyer Games,CH,2021-02-12,1,vivacabaretxtrachoice,highflyergames
Ancient Goddess,59,Greentube,CH,2021-02-12,1,ancientgoddess,greentube
Island Heat,60,Greentube,CH,2021-02-12,1,islandheat,greentube
Really Wild,61,Eurocoin Interactive,CH,2021-02-12,1,reallywild,eurocoininteractive
Feather Frenzy,62,Greentube,CH,2021-02-12,1,featherfrenzy,greentube
Gangster Paradise,63,Greentube,CH,2021-02-12,1,gangsterparadise,greentube
Dragon Warrior (Green Tube),64,Greentube,CH,2021-02-12,1,dragonwarrior,greentube
Tidal Riches,65,Greentube,CH,2021-02-12,1,tidalriches,greentube
The Great Gambini's Night Magic,66,Greentube,CH,2021-02-12,1,thegreatgambinisnightmagic,greentube
Lucky Lady's Charm Deluxe 10,67,Greentube,CH,2021-02-12,1,luckyladyscharmdeluxe10,greentube
Arctic Race,68,Greentube,CH,2021-02-12,1,arcticrace,greentube
Asian Fortunes,69,Novomatic,CH,2021-02-12,1,asianfortunes,novomatic
Wild Country,70,Greentube,CH,2021-02-12,1,wildcountry,greentube
Almighty Reels - Garden of Persephone,71,Greentube,CH,2021-02-12,1,almightyreelsgardenofpersephone,greentube
Stein Haus,72,Greentube,CH,2021-02-12,1,steinhaus,greentube
Little Dragons,73,Novomatic,CH,2021-02-12,1,littledragons,novomatic
Almighty Reels Power of Zeus,74,Novomatic,CH,2021-02-12,1,almightyreelspowerofzeus,novomatic
Tales of Darkness Lunar Eclipse,75,Greentube,CH,2021-02-12,1,talesofdarknesslunareclipse,greentube
Tales of Darkness Break of Dawn,76,Greentube,CH,2021-02-12,1,talesofdarknessbreakofdawn,greentube
Tales of Darkness: Full Moon,77,Greentube,CH,2021-02-12,1,talesofdarknessfullmoon,greentube
Eye of the Dragon,78,Novomatic,CH,2021-02-12,1,eyeofthedragon,novomatic
Jaguar Moon,79,Novomatic,CH,2021-02-12,1,jaguarmoon,novomatic
Almighty Reels - Realm of Poseidon,80,Greentube,CH,2021-02-12,1,almightyreelsrealmofposeidon,greentube
Book of Ra Magic,81,Greentube,CH,2021-02-12,1,bookoframagic,greentube
Spirits of the Valkyrie,82,Greentube,CH,2021-02-12,1,spiritsofthevalkyrie,greentube
Vampire Fortunes,83,Greentube,CH,2021-02-12,1,vampirefortunes,greentube
Pyramid Fortunes,84,Greentube,CH,2021-02-12,1,pyramidfortunes,greentube
Book of Ra Mystic Fortunes,85,Greentube,CH,2021-02-12,1,bookoframysticfortunes,greentube
Goddess Rising,86,Greentube,CH,2021-02-12,1,goddessrising,greentube
Riches of Babylon,87,Greentube,CH,2021-02-12,1,richesofbabylon,greentube
Amazing Sevens,88,Greentube,CH,2021-02-12,1,amazingsevens,greentube
Queen Cleopatra,89,Greentube,CH,2021-02-12,1,queencleopatra,greentube
Winter Queen,90,Greentube,CH,2021-02-12,1,winterqueen,greentube
Sizzling Hot 6 extra gold,91,Greentube,CH,2021-02-12,1,sizzlinghot6extragold,greentube
Rumble Rumble,92,Ainsworth,CH,2021-02-12,1,rumblerumble,ainsworth
Eagle Bucks,93,Ainsworth,CH,2021-02-12,1,eaglebucks,ainsworth
Book of Ra,94,Greentube,CH,2021-02-12,1,bookofra,greentube
African Simba,95,Greentube,CH,2021-02-12,1,africansimba,greentube
Captain Venture,96,Greentube,CH,2021-02-12,1,captainventure,greentube
Columbus deluxe,97,Greentube,CH,2021-02-12,1,columbusdeluxe,greentube
