Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Starburst,1,51,NetEnt,CL,2021-02-12,starburst,netent
Book of Dead,2,37,Play'n Go,CL,2021-02-12,bookofdead,playngo
Wolf Gold,3,44,Pragmatic Play,CL,2021-02-12,wolfgold,pragmaticplay
Lightning Roulette,4,39,Evolution Gaming,CL,2021-02-12,lightningroulette,evolutiongaming
Gonzo's Quest Megaways,5,34,Red Tiger,CL,2021-02-12,gonzosquestmegaways,redtiger
Gonzo's Quest,6,46,NetEnt,CL,2021-02-12,gonzosquest,netent
Crazy Time,7,36,Evolution Gaming,CL,2021-02-12,crazytime,evolutiongaming
Fire Joker,8,34,Play'n Go,CL,2021-02-12,firejoker,playngo
Reactoonz,9,34,Play'n Go,CL,2021-02-12,reactoonz,playngo
Legacy of Dead,10,31,Play'n Go,CL,2021-02-12,legacyofdead,playngo
Cat Wilde and the Eclipse of the Sun God,11,34,Play'n Go,CL,2021-02-12,catwildeandtheeclipseofthesungod,playngo
Money Train 2,12,14,Relax Gaming,CL,2021-02-12,moneytrain2,relaxgaming
Ruler of Egypt,13,11,Lady Luck Games,CL,2021-02-12,rulerofegypt,ladyluckgames
Crystal Ball,14,24,Gamomat,CL,2021-02-12,crystalball,gamomat
Weight of the Gun,15,11,Lady Luck Games,CL,2021-02-12,weightofthegun,ladyluckgames
Ramses Book,16,23,Gamomat,CL,2021-02-12,ramsesbook,gamomat
Fancy Fruits,17,23,Gamomat,CL,2021-02-12,fancyfruits,gamomat
Gold Vein,18,31,Booming Games,CL,2021-02-12,goldvein,boominggames
Royal Seven XXL,19,25,Gamomat,CL,2021-02-12,royalsevenxxl,gamomat
Piggy Riches Megaways,20,42,Red Tiger,CL,2021-02-12,piggyrichesmegaways,redtiger
Thunder Screech,21,25,Play'n Go,CL,2021-02-12,thunderscreech,playngo
Books And Pearls,22,25,Gamomat,CL,2021-02-12,booksandpearls,gamomat
Jewel Scarabs,23,41,Red Tiger,CL,2021-02-12,jewelscarabs,redtiger
Take 5,24,25,Gamomat,CL,2021-02-12,take5,gamomat
Orango Tango,25,11,Lady Luck Games,CL,2021-02-12,orangotango,ladyluckgames
Sticky Diamonds,26,24,Gamomat,CL,2021-02-12,stickydiamonds,gamomat
Fancy Fruits Respins Of Amun-Re,27,24,Gamomat,CL,2021-02-12,fancyfruitsrespinsofamunre,gamomat
Power Blackjack,28,17,Evolution Gaming,CL,2021-02-12,powerblackjack,evolutiongaming
Wild Diamond 7x,29,24,Booming Games,CL,2021-02-12,wilddiamond7x,boominggames
Disco Diamonds,30,31,Play'n Go,CL,2021-02-12,discodiamonds,playngo
Twin Spin,31,51,NetEnt,CL,2021-02-12,twinspin,netent
Rise of Merlin,32,33,Play'n Go,CL,2021-02-12,riseofmerlin,playngo
John Hunter And The Book Of Tut,33,37,Pragmatic Play,CL,2021-02-12,johnhunterandthebookoftut,pragmaticplay
Reactoonz 2,34,32,Play'n Go,CL,2021-02-12,reactoonz2,playngo
Dragon Tiger First Person,35,29,Evolution Gaming,CL,2021-02-12,dragontigerfirstperson,evolutiongaming
Speed Baccarat B,36,28,Evolution Gaming,CL,2021-02-12,speedbaccaratb,evolutiongaming
Monopoly Live,37,20,Evolution Gaming,CL,2021-02-12,monopolylive,evolutiongaming
The Dog House Megaways,38,38,Pragmatic Play,CL,2021-02-12,thedoghousemegaways,pragmaticplay
Fruity Friends,39,16,NeoGames,CL,2021-02-12,fruityfriends,neogames
Buffalo Power Hold and Win,40,22,Playson,CL,2021-02-12,buffalopowerholdandwin,playson
Power of the Gods,41,19,Pariplay,CL,2021-02-12,powerofthegods,pariplay
Cat Wilde and the Doom of Dead,42,30,Play'n Go,CL,2021-02-12,catwildeandthedoomofdead,playngo
Hyper Strike,43,31,Gameburger Studios,CL,2021-02-12,hyperstrike,gameburgerstudios
Ready Set Cash,44,19,Skywind Group,CL,2021-02-12,readysetcash,skywindgroup
Respin Mania,45,19,Skywind Group,CL,2021-02-12,respinmania,skywindgroup
Sweet Bonanza,46,41,Pragmatic Play,CL,2021-02-12,sweetbonanza,pragmaticplay
Parrot Bay,47,10,Red Rake,CL,2021-02-12,parrotbay,redrake
Quantum Roulette,48,10,Playtech,CL,2021-02-12,quantumroulette,playtech
Football Studio First Person,49,26,Evolution Gaming,CL,2021-02-12,footballstudiofirstperson,evolutiongaming
Wolf Riches,50,17,Pariplay,CL,2021-02-12,wolfriches,pariplay
Curse of the Werewolf Megaways,51,40,Pragmatic Play,CL,2021-02-12,curseofthewerewolfmegaways,pragmaticplay
Dragons of the North,52,17,Pariplay,CL,2021-02-12,dragonsofthenorth,pariplay
Mighty Sphinx,53,11,NeoGames,CL,2021-02-12,mightysphinx,neogames
Golden Ticket 2,54,30,Play'n Go,CL,2021-02-12,goldenticket2,playngo
Prissy Princess,55,19,Play'n Go,CL,2021-02-12,prissyprincess,playngo
Book Of Rebirth Reloaded,56,15,Spinomenal,CL,2021-02-12,bookofrebirthreloaded,spinomenal
Frankenslot's Monster,57,24,Betsoft,CL,2021-02-12,frankenslotsmonster,betsoft
Thunder Of Olympus,58,11,Booongo,CL,2021-02-12,thunderofolympus,booongo
Joker's Jewels,59,41,Pragmatic Play,CL,2021-02-12,jokersjewels,pragmaticplay
Mega Diamonds,60,11,BetConstruct,CL,2021-02-12,megadiamonds,betconstruct
La Mina de Oro Plus,61,11,MGA,CL,2021-02-12,laminadeoroplus,mga
Mega Moolah,62,19,Microgaming,CL,2021-02-12,megamoolah,microgaming
Baccarat First Person,63,27,Evolution Gaming,CL,2021-02-12,baccaratfirstperson,evolutiongaming
Roman Power,64,23,SpinPlay Games,CL,2021-02-12,romanpower,spinplaygames
Divine Fortune,65,45,NetEnt,CL,2021-02-12,divinefortune,netent
John Hunter Tomb of the Scarab Queen,66,40,Pragmatic Play,CL,2021-02-12,johnhuntertombofthescarabqueen,pragmaticplay
Le Kaffee Bar,67,22,All41 Studios,CL,2021-02-12,lekaffeebar,all41studios
Book of Cleopatra Super Stake Edition,68,19,StakeLogic,CL,2021-02-12,bookofcleopatrasuperstakeedition,stakelogic
Spin N Hit,69,16,Pariplay,CL,2021-02-12,spinnhit,pariplay
Gold Cash Free Spins,70,11,Inspired Gaming,CL,2021-02-12,goldcashfreespins,inspiredgaming
Dark King Forbidden Riches,71,42,NetEnt,CL,2021-02-12,darkkingforbiddenriches,netent
Rise Of Olympus,72,31,Play'n Go,CL,2021-02-12,riseofolympus,playngo
Book Of Demi Gods 2,73,14,Spinomenal,CL,2021-02-12,bookofdemigods2,spinomenal
Hot Wild 7s,74,18,Pariplay,CL,2021-02-12,hotwild7s,pariplay
Lord Merlin and the Lady of the Lake,75,29,Play'n Go,CL,2021-02-12,lordmerlinandtheladyofthelake,playngo
Bull in a China Shop,76,31,Play'n Go,CL,2021-02-12,bullinachinashop,playngo
Fluffy Favourites,77,18,Eyecon,CL,2021-02-12,fluffyfavourites,eyecon
The Hand of Midas,78,10,Pragmatic Play,CL,2021-02-12,thehandofmidas,pragmaticplay
Dragon Pearls: Hold & Win,79,14,Booongo,CL,2021-02-12,dragonpearlsholdwin,booongo
Super Sunny Fruits: Hold and Win,80,23,Playson,CL,2021-02-12,supersunnyfruitsholdandwin,playson
Book Of Tribes,81,16,Spinomenal,CL,2021-02-12,bookoftribes,spinomenal
Gold Digger,82,36,iSoftBet,CL,2021-02-12,golddigger,isoftbet
Great Rhino,83,38,Pragmatic Play,CL,2021-02-12,greatrhino,pragmaticplay
Dead or Alive 2,84,36,NetEnt,CL,2021-02-12,deadoralive2,netent
Bonanza,85,39,Big Time Gaming,CL,2021-02-12,bonanza,bigtimegaming
Dinosaur Rage,86,20,Quickspin,CL,2021-02-12,dinosaurrage,quickspin
Aztec Gold Megaways,87,38,iSoftBet,CL,2021-02-12,aztecgoldmegaways,isoftbet
Big Buffalo (Skywind Group),88,14,Skywind Group,CL,2021-02-12,bigbuffalo,skywindgroup
Riches of Midgard: Land and Expand,89,40,NetEnt,CL,2021-02-12,richesofmidgardlandandexpand,netent
Books and Bulls,90,25,Gamomat,CL,2021-02-12,booksandbulls,gamomat
Twin Spin Megaways,91,39,NetEnt,CL,2021-02-12,twinspinmegaways,netent
9 Masks Of Fire,92,44,Gameburger Studios,CL,2021-02-12,9masksoffire,gameburgerstudios
Super 12 Stars,93,22,Red Rake,CL,2021-02-12,super12stars,redrake
Book Of Xmas,94,17,Spinomenal,CL,2021-02-12,bookofxmas,spinomenal
Super Marble,95,12,Booongo,CL,2021-02-12,supermarble,booongo
Master Joker,96,30,Pragmatic Play,CL,2021-02-12,masterjoker,pragmaticplay
Eye of the Storm,97,25,Reel Kingdom,CL,2021-02-12,eyeofthestorm,reelkingdom
Joker Expand: 5 lines,98,23,Playson,CL,2021-02-12,jokerexpand5lines,playson
Miner Donkey Trouble,99,31,Play'n Go,CL,2021-02-12,minerdonkeytrouble,playngo
Magic Mirror Deluxe 2,100,23,Merkur,CL,2021-02-12,magicmirrordeluxe2,merkur
