Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,25,Play'n Go,CN,2021-02-12,bookofdead,playngo
Wolf Gold,2,26,Pragmatic Play,CN,2021-02-12,wolfgold,pragmaticplay
Lightning Roulette,3,14,Evolution Gaming,CN,2021-02-12,lightningroulette,evolutiongaming
Sakura Fortune,4,23,Quickspin,CN,2021-02-12,sakurafortune,quickspin
Crazy Time,5,10,Evolution Gaming,CN,2021-02-12,crazytime,evolutiongaming
Eye of the Storm,6,20,Reel Kingdom,CN,2021-02-12,eyeofthestorm,reelkingdom
Gonzo's Quest Megaways,7,18,Red Tiger,CN,2021-02-12,gonzosquestmegaways,redtiger
East Coast vs West Coast,8,13,Nolimit City,CN,2021-02-12,eastcoastvswestcoast,nolimitcity
Cleo's Gold,9,15,Platipus,CN,2021-02-12,cleosgold,platipus
Monopoly Live,10,7,Evolution Gaming,CN,2021-02-12,monopolylive,evolutiongaming
Hot Nudge,11,17,Nolimit City,CN,2021-02-12,hotnudge,nolimitcity
"Betty, Boris And Boo",12,19,Red Tiger,CN,2021-02-12,bettyborisandboo,redtiger
Cat Wilde and the Eclipse of the Sun God,13,18,Play'n Go,CN,2021-02-12,catwildeandtheeclipseofthesungod,playngo
Age of the Gods,14,10,Playtech,CN,2021-02-12,ageofthegods,playtech
Aztec Magic Deluxe,15,13,BGAMING,CN,2021-02-12,aztecmagicdeluxe,bgaming
Pirates Plenty The Sunken Treasure,16,17,Red Tiger,CN,2021-02-12,piratesplentythesunkentreasure,redtiger
Starburst,17,22,NetEnt,CN,2021-02-12,starburst,netent
Aztec Coins,18,10,Platipus,CN,2021-02-12,azteccoins,platipus
Wild Trucks,19,17,Habanero,CN,2021-02-12,wildtrucks,habanero
Brilliant Gems,20,17,Ruby Play,CN,2021-02-12,brilliantgems,rubyplay
Book of Egypt,21,14,Platipus,CN,2021-02-12,bookofegypt,platipus
San Quentin,22,13,Nolimit City,CN,2021-02-12,sanquentin,nolimitcity
Poison Eve,23,14,Nolimit City,CN,2021-02-12,poisoneve,nolimitcity
Thunder Screech,24,12,Play'n Go,CN,2021-02-12,thunderscreech,playngo
Boots Of Luck,25,4,Betixon,CN,2021-02-12,bootsofluck,betixon
Jade Valley,26,13,Platipus,CN,2021-02-12,jadevalley,platipus
777 Gems Respin,27,13,Booongo,CN,2021-02-12,777gemsrespin,booongo
Buffalo Blitz,28,13,Playtech,CN,2021-02-12,buffaloblitz,playtech
Punk Rocker,29,16,Nolimit City,CN,2021-02-12,punkrocker,nolimitcity
Dynamite Riches,30,16,Red Tiger,CN,2021-02-12,dynamiteriches,redtiger
Wings Of Ra,31,14,Red Tiger,CN,2021-02-12,wingsofra,redtiger
Legacy of Dead,32,16,Play'n Go,CN,2021-02-12,legacyofdead,playngo
Cupids Strike 2,33,18,Spinomenal,CN,2021-02-12,cupidsstrike2,spinomenal
Ingots of Cai Shen,34,16,All41 Studios,CN,2021-02-12,ingotsofcaishen,all41studios
Titan Thunder: Wrath of Hades,35,16,Quickspin,CN,2021-02-12,titanthunderwrathofhades,quickspin
Regal Beasts,36,19,Red Tiger,CN,2021-02-12,regalbeasts,redtiger
John Hunter And The Book Of Tut,37,22,Pragmatic Play,CN,2021-02-12,johnhunterandthebookoftut,pragmaticplay
Chicago Gold,38,16,PearFiction,CN,2021-02-12,chicagogold,pearfiction
Luck of Ra,39,15,Plank Gaming,CN,2021-02-12,luckofra,plankgaming
An Escape from Alcatraz,40,10,Belatra Games,CN,2021-02-12,anescapefromalcatraz,belatragames
Fire Lightning,41,13,BGAMING,CN,2021-02-12,firelightning,bgaming
Power Blackjack,42,10,Evolution Gaming,CN,2021-02-12,powerblackjack,evolutiongaming
Bison Trail,43,15,Platipus,CN,2021-02-12,bisontrail,platipus
Extra Chilli,44,16,Big Time Gaming,CN,2021-02-12,extrachilli,bigtimegaming
Sword Of Khans,45,16,Thunderkick,CN,2021-02-12,swordofkhans,thunderkick
Money Train 2,46,6,Relax Gaming,CN,2021-02-12,moneytrain2,relaxgaming
Bonanza,47,13,Big Time Gaming,CN,2021-02-12,bonanza,bigtimegaming
Real Roulette with Bailey,48,13,Real Dealer Studios,CN,2021-02-12,realroulettewithbailey,realdealerstudios
10 Burning Heart,49,14,EGT,CN,2021-02-12,10burningheart,egt
5 Lions Gold,50,24,Pragmatic Play,CN,2021-02-12,5lionsgold,pragmaticplay
Buffalo King,51,25,Pragmatic Play,CN,2021-02-12,buffaloking,pragmaticplay
Deal or no Deal World,52,9,Endemol Shine Gaming,CN,2021-02-12,dealornodealworld,endemolshinegaming
Divine Fortune,53,14,NetEnt,CN,2021-02-12,divinefortune,netent
Dragon Chase,54,10,Quickspin,CN,2021-02-12,dragonchase,quickspin
Age of the Gods God of Storms,55,8,Playtech Vikings,CN,2021-02-12,ageofthegodsgodofstorms,playtechvikings
Miss Wildfire,56,11,ELK Studios,CN,2021-02-12,misswildfire,elkstudios
Big Bad Wolf,57,17,Quickspin,CN,2021-02-12,bigbadwolf,quickspin
Gonzo's Quest,58,21,NetEnt,CN,2021-02-12,gonzosquest,netent
Katmandu Gold,59,13,ELK Studios,CN,2021-02-12,katmandugold,elkstudios
Kluster Krystals Megaclusters,60,4,Relax Gaming,CN,2021-02-12,klusterkrystalsmegaclusters,relaxgaming
Nian Nian You Yu,61,6,Playtech,CN,2021-02-12,niannianyouyu,playtech
Book Of Rebirth Reloaded,62,18,Spinomenal,CN,2021-02-12,bookofrebirthreloaded,spinomenal
Book of Ra deluxe,63,18,Greentube,CN,2021-02-12,bookofradeluxe,greentube
Lucky Lady Moon,64,6,BGAMING,CN,2021-02-12,luckyladymoon,bgaming
Dragon Kingdom (Pragmatic),65,6,Pragmatic Play,CN,2021-02-12,dragonkingdom,pragmaticplay
Manhattan Goes Wild,66,16,Nolimit City,CN,2021-02-12,manhattangoeswild,nolimitcity
Dinosaur Rage,67,16,Quickspin,CN,2021-02-12,dinosaurrage,quickspin
Day And Night,68,6,TrueLab Games,CN,2021-02-12,dayandnight,truelabgames
Rome The Golden Age,69,6,NetEnt,CN,2021-02-12,romethegoldenage,netent
Queen of Bounty,70,7,PG Soft,CN,2021-02-12,queenofbounty,pgsoft
Expendables Megaways,71,7,StakeLogic,CN,2021-02-12,expendablesmegaways,stakelogic
Hit The Route,72,9,BGAMING,CN,2021-02-12,hittheroute,bgaming
Eastern Emeralds,73,21,Quickspin,CN,2021-02-12,easternemeralds,quickspin
True Illusions,74,21,Betsoft,CN,2021-02-12,trueillusions,betsoft
Carnaval Jackpot,75,11,Pulse 8 Studios,CN,2021-02-12,carnavaljackpot,pulse8studios
Solar Queen,76,18,Playson,CN,2021-02-12,solarqueen,playson
Eternal Lady,77,6,Rarestone Gaming,CN,2021-02-12,eternallady,rarestonegaming
Jack and the Beanstalk,78,20,NetEnt,CN,2021-02-12,jackandthebeanstalk,netent
Elvis Frog in Vegas,79,11,BGAMING,CN,2021-02-12,elvisfroginvegas,bgaming
Tombstone,80,17,Nolimit City,CN,2021-02-12,tombstone,nolimitcity
Book Of Cats,81,7,BGAMING,CN,2021-02-12,bookofcats,bgaming
Ivan and the Immortal King,82,19,Quickspin,CN,2021-02-12,ivanandtheimmortalking,quickspin
Hot Spin (iSoftBet),83,4,iSoftBet,CN,2021-02-12,hotspin,isoftbet
Divine Fortune Megaways,84,17,NetEnt,CN,2021-02-12,divinefortunemegaways,netent
Sahara's Dreams,85,16,Fugaso,CN,2021-02-12,saharasdreams,fugaso
Multiplier Odyssey,86,5,Relax Gaming,CN,2021-02-12,multiplierodyssey,relaxgaming
Moon Oak Deluxe,87,4,Swintt,CN,2021-02-12,moonoakdeluxe,swintt
Dawn of Egypt,88,17,Play'n Go,CN,2021-02-12,dawnofegypt,playngo
Esqueleto Explosivo 2,89,16,Thunderkick,CN,2021-02-12,esqueletoexplosivo2,thunderkick
Fruit Zen,90,18,Betsoft,CN,2021-02-12,fruitzen,betsoft
