Name,Rank,Provider,Market,Date,Casinos,NameInternal,ProviderInternal
Rock Live Bingo,1,MGA,CO,2021-02-12,1,rocklivebingo,mga
Global 12 Numbers,2,Espresso Games,CO,2021-02-12,1,global12numbers,espressogames
Bikers Bingo,3,MGA,CO,2021-02-12,1,bikersbingo,mga
Champion Bingo,4,MGA,CO,2021-02-12,1,championbingo,mga
Haul of Hades,5,Greentube,CO,2021-02-12,1,haulofhades,greentube
Columbus deluxe,6,Greentube,CO,2021-02-12,1,columbusdeluxe,greentube
Aztec Power,7,Greentube,CO,2021-02-12,1,aztecpower,greentube
Bingo 10,8,Greentube,CO,2021-02-12,1,bingo10,greentube
Royal Crown Blackjack,9,Greentube,CO,2021-02-12,1,royalcrownblackjack,greentube
Lucky 7 Blackjack,10,Amaya,CO,2021-02-12,1,lucky7blackjack,amaya
Flying Pigs,11,Play'n Go,CO,2021-02-12,1,flyingpigs,playngo
Bruno Bingo,12,Greentube,CO,2021-02-12,1,brunobingo,greentube
God's Temple Deluxe,13,Booongo,CO,2021-02-12,1,godstempledeluxe,booongo
Dragonz,14,Microgaming,CO,2021-02-12,1,dragonz,microgaming
Mega Money Multiplier,15,MahiGaming,CO,2021-02-12,1,megamoneymultiplier,mahigaming
Break Away,16,Microgaming,CO,2021-02-12,1,breakaway,microgaming
Eagle's Wings,17,Microgaming,CO,2021-02-12,1,eagleswings,microgaming
Immortal Romance,18,Microgaming,CO,2021-02-12,1,immortalromance,microgaming
Spring Break,19,Microgaming,CO,2021-02-12,1,springbreak,microgaming
Thunderstruck,20,Microgaming,CO,2021-02-12,1,thunderstruck,microgaming
Retro Reels: Diamond Glitz,21,Microgaming,CO,2021-02-12,1,retroreelsdiamondglitz,microgaming
The Twisted Circus,22,Microgaming,CO,2021-02-12,1,thetwistedcircus,microgaming
Thunderstruck II,23,Microgaming,CO,2021-02-12,1,thunderstruckii,microgaming
Jungle Jim El Dorado,24,Microgaming,CO,2021-02-12,1,junglejimeldorado,microgaming
Beautiful Bones,25,Microgaming,CO,2021-02-12,1,beautifulbones,microgaming
Pollen Party Online Slot,26,Microgaming,CO,2021-02-12,1,pollenpartyonlineslot,microgaming
Mermaid's Millions,27,Microgaming,CO,2021-02-12,1,mermaidsmillions,microgaming
Burning Desire,28,Microgaming,CO,2021-02-12,1,burningdesire,microgaming
Kings of Cash,29,Microgaming,CO,2021-02-12,1,kingsofcash,microgaming
Lucky Spin Jackpots,30,Greentube,CO,2021-02-12,1,luckyspinjackpots,greentube
Alaskan Fishing,31,Microgaming,CO,2021-02-12,1,alaskanfishing,microgaming
Diamond Link Mighty Elephant,32,Greentube,CO,2021-02-12,1,diamondlinkmightyelephant,greentube
Basketball Star,33,Microgaming,CO,2021-02-12,1,basketballstar,microgaming
The Great Gambini's Night Magic,34,Greentube,CO,2021-02-12,1,thegreatgambinisnightmagic,greentube
Infinite Blackjack,35,Evolution Gaming,CO,2021-02-12,1,infiniteblackjack,evolutiongaming
Drago - Jewels of Fortune,36,Pragmatic Play,CO,2021-02-12,1,dragojewelsoffortune,pragmaticplay
Four Divine Beasts,37,Habanero,CO,2021-02-12,1,fourdivinebeasts,habanero
Cool Buck 2017,38,Microgaming,CO,2021-02-12,1,coolbuck2017,microgaming
Curse of the Werewolf Megaways,39,Pragmatic Play,CO,2021-02-12,1,curseofthewerewolfmegaways,pragmaticplay
Blackjack 3 Hand,40,Habanero,CO,2021-02-12,1,blackjack3hand,habanero
Golden Beauty,41,Pragmatic Play,CO,2021-02-12,1,goldenbeauty,pragmaticplay
The Wild Machine,42,Pragmatic Play,CO,2021-02-12,1,thewildmachine,pragmaticplay
15 Golden Eggs,43,Booongo,CO,2021-02-12,1,15goldeneggs,booongo
EmotiCoins,44,Microgaming,CO,2021-02-12,1,emoticoins,microgaming
Wild West Gold,45,Pragmatic Play,CO,2021-02-12,1,wildwestgold,pragmaticplay
