Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Respin Joker,1,6,SYNOT,CZ,2021-02-12,respinjoker,synot
Multi Vegas 81,2,6,KAJOT,CZ,2021-02-12,multivegas81,kajot
Bonus Joker 2,3,5,Apollo Games,CZ,2021-02-12,bonusjoker2,apollogames
Simply the Best 81 (Kajot Games),4,5,KAJOT,CZ,2021-02-12,simplythebest81,kajot
Blood,5,5,Apollo Games,CZ,2021-02-12,blood,apollogames
Turbo Slots,6,5,Apollo Games,CZ,2021-02-12,turboslots,apollogames
Midnight Fruits,7,5,Apollo Games,CZ,2021-02-12,midnightfruits,apollogames
Firebird Double 27,8,6,SYNOT,CZ,2021-02-12,firebirddouble27,synot
Dazzle Me,9,6,NetEnt,CZ,2021-02-12,dazzleme,netent
Starburst,10,6,NetEnt,CZ,2021-02-12,starburst,netent
9 Stars,11,5,KAJOT,CZ,2021-02-12,9stars,kajot
Joker 40,12,6,SYNOT,CZ,2021-02-12,joker40,synot
Mystery Apollo II,13,5,Apollo Games,CZ,2021-02-12,mysteryapolloii,apollogames
Gangster World,14,5,Apollo Games,CZ,2021-02-12,gangsterworld,apollogames
88 Pearls,15,5,SYNOT,CZ,2021-02-12,88pearls,synot
Space Fruits,16,5,CT Gaming,CZ,2021-02-12,spacefruits,ctgaming
Hunters Spirit,17,4,SYNOT,CZ,2021-02-12,huntersspirit,synot
Dice 81,18,5,Apollo Games,CZ,2021-02-12,dice81,apollogames
Aztec Gold Megaways,19,5,iSoftBet,CZ,2021-02-12,aztecgoldmegaways,isoftbet
Narcos,20,4,NetEnt,CZ,2021-02-12,narcos,netent
Esqueleto Explosivo,21,4,Thunderkick,CZ,2021-02-12,esqueletoexplosivo,thunderkick
Jingle Spin,22,4,NetEnt,CZ,2021-02-12,jinglespin,netent
Fruit Shop (NetEnt),23,4,NetEnt,CZ,2021-02-12,fruitshop,netent
Crystal Miners,24,4,Apollo Games,CZ,2021-02-12,crystalminers,apollogames
Blood Revival,25,4,Apollo Games,CZ,2021-02-12,bloodrevival,apollogames
Butterfly Staxx 2,26,4,NetEnt,CZ,2021-02-12,butterflystaxx2,netent
Super Diamond Wild,27,4,iSoftBet,CZ,2021-02-12,superdiamondwild,isoftbet
Absolute Super Reels,28,4,iSoftBet,CZ,2021-02-12,absolutesuperreels,isoftbet
5 Reel Drive,29,0,Microgaming,CZ,2021-02-12,5reeldrive,microgaming
5x Magic,30,0,Play'n Go,CZ,2021-02-12,5xmagic,playngo
Finn and the Swirly Spin,31,4,NetEnt,CZ,2021-02-12,finnandtheswirlyspin,netent
7 Sins,32,4,Play'n Go,CZ,2021-02-12,7sins,playngo
8 Flowers,33,4,SYNOT,CZ,2021-02-12,8flowers,synot
Dead or Alive,34,4,NetEnt,CZ,2021-02-12,deadoralive,netent
9K Yeti,35,4,4ThePlayer,CZ,2021-02-12,9kyeti,4theplayer
Warlords: Crystals of Power,36,4,NetEnt,CZ,2021-02-12,warlordscrystalsofpower,netent
Gonzo's Quest,37,4,NetEnt,CZ,2021-02-12,gonzosquest,netent
Tiger Rush,38,4,Thunderkick,CZ,2021-02-12,tigerrush,thunderkick
Blood Suckers,39,4,NetEnt,CZ,2021-02-12,bloodsuckers,netent
Diamond Wild,40,4,iSoftBet,CZ,2021-02-12,diamondwild,isoftbet
Koi Princess,41,4,NetEnt,CZ,2021-02-12,koiprincess,netent
Secrets of Atlantis,42,4,NetEnt,CZ,2021-02-12,secretsofatlantis,netent
Scruffy Duck,43,4,NetEnt,CZ,2021-02-12,scruffyduck,netent
Motörhead,44,4,NetEnt,CZ,2021-02-12,motrhead,netent
Fairytale Legends: Red Riding Hood,45,4,NetEnt,CZ,2021-02-12,fairytalelegendsredridinghood,netent
Pyramid: Quest for Immortality,46,4,NetEnt,CZ,2021-02-12,pyramidquestforimmortality,netent
Reel Rush,47,4,NetEnt,CZ,2021-02-12,reelrush,netent
Jimi Hendrix,48,4,NetEnt,CZ,2021-02-12,jimihendrix,netent
Victorious,49,4,NetEnt,CZ,2021-02-12,victorious,netent
Jack Hammer,50,4,NetEnt,CZ,2021-02-12,jackhammer,netent
Jack Hammer 2,51,4,NetEnt,CZ,2021-02-12,jackhammer2,netent
Drive Multiplier Mayhem,52,4,NetEnt,CZ,2021-02-12,drivemultipliermayhem,netent
Lights,53,4,NetEnt,CZ,2021-02-12,lights,netent
Jack and the Beanstalk,54,4,NetEnt,CZ,2021-02-12,jackandthebeanstalk,netent
Reel Bandits,55,4,NeoGames,CZ,2021-02-12,reelbandits,neogames
Mighty Sphinx,56,4,NeoGames,CZ,2021-02-12,mightysphinx,neogames
Fruity Friends,57,0,NeoGames,CZ,2021-02-12,fruityfriends,neogames
Mythic Maiden,58,4,NetEnt,CZ,2021-02-12,mythicmaiden,netent
Slot Birds,59,5,Apollo Games,CZ,2021-02-12,slotbirds,apollogames
Steam Tower,60,4,NetEnt,CZ,2021-02-12,steamtower,netent
Neon Staxx,61,4,NetEnt,CZ,2021-02-12,neonstaxx,netent
Berryburst,62,4,NetEnt,CZ,2021-02-12,berryburst,netent
Secret of the Stones,63,4,NetEnt,CZ,2021-02-12,secretofthestones,netent
Elements: The Awakening,64,4,NetEnt,CZ,2021-02-12,elementstheawakening,netent
Asgardian Stones,65,4,NetEnt,CZ,2021-02-12,asgardianstones,netent
Birds On A Wire,66,4,Thunderkick,CZ,2021-02-12,birdsonawire,thunderkick
Legend Of Loki,67,4,iSoftBet,CZ,2021-02-12,legendofloki,isoftbet
Hot Shots,68,4,iSoftBet,CZ,2021-02-12,hotshots,isoftbet
Fruits and Fire,69,4,SYNOT,CZ,2021-02-12,fruitsandfire,synot
Vikings (NetEnt),70,4,NetEnt,CZ,2021-02-12,vikings,netent
The Rift,71,4,Thunderkick,CZ,2021-02-12,therift,thunderkick
Pink Elephants,72,4,Thunderkick,CZ,2021-02-12,pinkelephants,thunderkick
Alchemists Gold,73,4,SYNOT,CZ,2021-02-12,alchemistsgold,synot
Jokers Five,74,6,SYNOT,CZ,2021-02-12,jokersfive,synot
Arcader,75,6,Thunderkick,CZ,2021-02-12,arcader,thunderkick
Magicious,76,6,Thunderkick,CZ,2021-02-12,magicious,thunderkick
1429 Uncharted Seas,77,6,Thunderkick,CZ,2021-02-12,1429unchartedseas,thunderkick
Golden Grimoire,78,4,NetEnt,CZ,2021-02-12,goldengrimoire,netent
Dice Rush,79,4,SYNOT,CZ,2021-02-12,dicerush,synot
Flip the Chip,80,4,SYNOT,CZ,2021-02-12,flipthechip,synot
Fruit Awards,81,6,SYNOT,CZ,2021-02-12,fruitawards,synot
The Falcon Huntress,82,6,Thunderkick,CZ,2021-02-12,thefalconhuntress,thunderkick
Twin Spin,83,4,NetEnt,CZ,2021-02-12,twinspin,netent
Spectra,84,4,Thunderkick,CZ,2021-02-12,spectra,thunderkick
Fruit Warp,85,0,Thunderkick,CZ,2021-02-12,fruitwarp,thunderkick
Fruit Spin,86,4,NetEnt,CZ,2021-02-12,fruitspin,netent
Blood Suckers 2,87,4,NetEnt,CZ,2021-02-12,bloodsuckers2,netent
Wolf Cub,88,4,NetEnt,CZ,2021-02-12,wolfcub,netent
Jungle Spirit: Call of the Wild,89,4,NetEnt,CZ,2021-02-12,junglespiritcallofthewild,netent
Wild Water,90,4,NetEnt,CZ,2021-02-12,wildwater,netent
Lucky3,91,4,iSoftBet,CZ,2021-02-12,lucky3,isoftbet
Fortune Diamond,92,4,iSoftBet,CZ,2021-02-12,fortunediamond,isoftbet
The Golden City (iSoftBet),93,4,iSoftBet,CZ,2021-02-12,thegoldencity,isoftbet
Midas Golden Touch,94,4,Thunderkick,CZ,2021-02-12,midasgoldentouch,thunderkick
Flowers,95,4,NetEnt,CZ,2021-02-12,flowers,netent
Pandora,96,4,Apollo Games,CZ,2021-02-12,pandora,apollogames
Smiling Joker 2,97,5,Apollo Games,CZ,2021-02-12,smilingjoker2,apollogames
Jaguar Temple,98,5,Thunderkick,CZ,2021-02-12,jaguartemple,thunderkick
Divine Lotus,99,5,Thunderkick,CZ,2021-02-12,divinelotus,thunderkick
Riders of the Storm,100,5,Thunderkick,CZ,2021-02-12,ridersofthestorm,thunderkick
