Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,343,Play'n Go,DE,2021-02-12,bookofdead,playngo
Starburst,2,373,NetEnt,DE,2021-02-12,starburst,netent
Wolf Gold,3,337,Pragmatic Play,DE,2021-02-12,wolfgold,pragmaticplay
Legacy of Dead,4,304,Play'n Go,DE,2021-02-12,legacyofdead,playngo
Fire Joker,5,298,Play'n Go,DE,2021-02-12,firejoker,playngo
Gonzo's Quest,6,341,NetEnt,DE,2021-02-12,gonzosquest,netent
Gonzo's Quest Megaways,7,261,Red Tiger,DE,2021-02-12,gonzosquestmegaways,redtiger
Bonanza,8,305,Big Time Gaming,DE,2021-02-12,bonanza,bigtimegaming
Ramses Book,9,205,Gamomat,DE,2021-02-12,ramsesbook,gamomat
Lightning Roulette,10,154,Evolution Gaming,DE,2021-02-12,lightningroulette,evolutiongaming
Sweet Bonanza,11,322,Pragmatic Play,DE,2021-02-12,sweetbonanza,pragmaticplay
Razor Shark,12,182,Push Gaming,DE,2021-02-12,razorshark,pushgaming
The Hand of Midas,13,134,Pragmatic Play,DE,2021-02-12,thehandofmidas,pragmaticplay
Piggy Riches Megaways,14,290,Red Tiger,DE,2021-02-12,piggyrichesmegaways,redtiger
Eye of the Storm,15,209,Reel Kingdom,DE,2021-02-12,eyeofthestorm,reelkingdom
Cat Wilde and the Eclipse of the Sun God,16,223,Play'n Go,DE,2021-02-12,catwildeandtheeclipseofthesungod,playngo
Reactoonz 2,17,269,Play'n Go,DE,2021-02-12,reactoonz2,playngo
Crazy Time,18,129,Evolution Gaming,DE,2021-02-12,crazytime,evolutiongaming
Thunder Screech,19,167,Play'n Go,DE,2021-02-12,thunderscreech,playngo
Reactoonz,20,287,Play'n Go,DE,2021-02-12,reactoonz,playngo
John Hunter And The Book Of Tut,21,267,Pragmatic Play,DE,2021-02-12,johnhunterandthebookoftut,pragmaticplay
Rise Of Olympus,22,285,Play'n Go,DE,2021-02-12,riseofolympus,playngo
Mustang Gold,23,316,Pragmatic Play,DE,2021-02-12,mustanggold,pragmaticplay
The Dog House Megaways,24,293,Pragmatic Play,DE,2021-02-12,thedoghousemegaways,pragmaticplay
Rise of Merlin,25,283,Play'n Go,DE,2021-02-12,riseofmerlin,playngo
Divine Fortune Megaways,26,290,NetEnt,DE,2021-02-12,divinefortunemegaways,netent
Hyper Strike,27,241,Gameburger Studios,DE,2021-02-12,hyperstrike,gameburgerstudios
Jammin' Jars,28,184,Push Gaming,DE,2021-02-12,jamminjars,pushgaming
Chicago Gold,29,173,PearFiction,DE,2021-02-12,chicagogold,pearfiction
Madame Destiny Megaways,30,226,Pragmatic Play,DE,2021-02-12,madamedestinymegaways,pragmaticplay
Great Rhino Megaways,31,263,Pragmatic Play,DE,2021-02-12,greatrhinomegaways,pragmaticplay
Twin Spin,32,317,NetEnt,DE,2021-02-12,twinspin,netent
Lord Merlin and the Lady of the Lake,33,220,Play'n Go,DE,2021-02-12,lordmerlinandtheladyofthelake,playngo
John Hunter Tomb of the Scarab Queen,34,287,Pragmatic Play,DE,2021-02-12,johnhuntertombofthescarabqueen,pragmaticplay
Dinosaur Rage,35,155,Quickspin,DE,2021-02-12,dinosaurrage,quickspin
Big Bass Bonanza,36,242,Reel Kingdom,DE,2021-02-12,bigbassbonanza,reelkingdom
Fruit Shop Megaways,37,222,NetEnt,DE,2021-02-12,fruitshopmegaways,netent
The Dog House,38,309,Pragmatic Play,DE,2021-02-12,thedoghouse,pragmaticplay
Money Train 2,39,182,Relax Gaming,DE,2021-02-12,moneytrain2,relaxgaming
Books And Pearls,40,169,Gamomat,DE,2021-02-12,booksandpearls,gamomat
Buffalo Power Hold and Win,41,156,Playson,DE,2021-02-12,buffalopowerholdandwin,playson
Crystal Ball,42,193,Gamomat,DE,2021-02-12,crystalball,gamomat
Twin Spin Megaways,43,267,NetEnt,DE,2021-02-12,twinspinmegaways,netent
Books and Bulls,44,197,Gamomat,DE,2021-02-12,booksandbulls,gamomat
"Betty, Boris And Boo",45,180,Red Tiger,DE,2021-02-12,bettyborisandboo,redtiger
East Coast vs West Coast,46,144,Nolimit City,DE,2021-02-12,eastcoastvswestcoast,nolimitcity
Royal Seven XXL,47,191,Gamomat,DE,2021-02-12,royalsevenxxl,gamomat
Dead or Alive 2,48,240,NetEnt,DE,2021-02-12,deadoralive2,netent
Curse of the Werewolf Megaways,49,295,Pragmatic Play,DE,2021-02-12,curseofthewerewolfmegaways,pragmaticplay
Bull in a China Shop,50,233,Play'n Go,DE,2021-02-12,bullinachinashop,playngo
Sakura Fortune,51,253,Quickspin,DE,2021-02-12,sakurafortune,quickspin
Fancy Fruits,52,186,Gamomat,DE,2021-02-12,fancyfruits,gamomat
Cat Wilde and the Doom of Dead,53,265,Play'n Go,DE,2021-02-12,catwildeandthedoomofdead,playngo
9 Lions,54,192,Wazdan,DE,2021-02-12,9lions,wazdan
Carnaval Jackpot,55,91,Pulse 8 Studios,DE,2021-02-12,carnavaljackpot,pulse8studios
Immortal Romance,56,223,Microgaming,DE,2021-02-12,immortalromance,microgaming
Monopoly Live,57,81,Evolution Gaming,DE,2021-02-12,monopolylive,evolutiongaming
Book Of Aztec,58,154,Amatic Industries,DE,2021-02-12,bookofaztec,amaticindustries
Fruity Friends,59,92,NeoGames,DE,2021-02-12,fruityfriends,neogames
La Dolce Vita,60,189,Gamomat,DE,2021-02-12,ladolcevita,gamomat
Bounty Belles,61,116,iSoftBet,DE,2021-02-12,bountybelles,isoftbet
Riches of Midgard: Land and Expand,62,237,NetEnt,DE,2021-02-12,richesofmidgardlandandexpand,netent
Power of the Gods,63,100,Pariplay,DE,2021-02-12,powerofthegods,pariplay
Miner Donkey Trouble,64,238,Play'n Go,DE,2021-02-12,minerdonkeytrouble,playngo
Midas Golden Touch,65,202,Thunderkick,DE,2021-02-12,midasgoldentouch,thunderkick
Gold Vein,66,177,Booming Games,DE,2021-02-12,goldvein,boominggames
