Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Starburst,1,48,NetEnt,DK,2021-02-12,starburst,netent
Book of Dead,2,47,Play'n Go,DK,2021-02-12,bookofdead,playngo
Gonzo's Quest,3,46,NetEnt,DK,2021-02-12,gonzosquest,netent
Fruit Shop Megaways,4,29,NetEnt,DK,2021-02-12,fruitshopmegaways,netent
Divine Fortune,5,30,NetEnt,DK,2021-02-12,divinefortune,netent
Lord Merlin and the Lady of the Lake,6,40,Play'n Go,DK,2021-02-12,lordmerlinandtheladyofthelake,playngo
Divine Fortune Megaways,7,38,NetEnt,DK,2021-02-12,divinefortunemegaways,netent
Cat Wilde and the Eclipse of the Sun God,8,29,Play'n Go,DK,2021-02-12,catwildeandtheeclipseofthesungod,playngo
Bonanza,9,46,Big Time Gaming,DK,2021-02-12,bonanza,bigtimegaming
Fire Joker,10,44,Play'n Go,DK,2021-02-12,firejoker,playngo
Twin Spin Megaways,11,38,NetEnt,DK,2021-02-12,twinspinmegaways,netent
Lightning Roulette,12,24,Evolution Gaming,DK,2021-02-12,lightningroulette,evolutiongaming
Legacy of Dead,13,41,Play'n Go,DK,2021-02-12,legacyofdead,playngo
Perfect Gems,14,35,Play'n Go,DK,2021-02-12,perfectgems,playngo
Mustang Gold,15,37,Pragmatic Play,DK,2021-02-12,mustanggold,pragmaticplay
Steam Tower,16,31,NetEnt,DK,2021-02-12,steamtower,netent
Aloha! Cluster Pays,17,38,NetEnt,DK,2021-02-12,alohaclusterpays,netent
Wolf Gold,18,37,Pragmatic Play,DK,2021-02-12,wolfgold,pragmaticplay
Thunder Screech,19,32,Play'n Go,DK,2021-02-12,thunderscreech,playngo
Bull in a China Shop,20,37,Play'n Go,DK,2021-02-12,bullinachinashop,playngo
Katmandu Gold,21,21,ELK Studios,DK,2021-02-12,katmandugold,elkstudios
Fruity Friends,22,13,NeoGames,DK,2021-02-12,fruityfriends,neogames
Miner Donkey Trouble,23,38,Play'n Go,DK,2021-02-12,minerdonkeytrouble,playngo
Jack and the Beanstalk,24,22,NetEnt,DK,2021-02-12,jackandthebeanstalk,netent
Gonzo's Quest Megaways,25,23,Red Tiger,DK,2021-02-12,gonzosquestmegaways,redtiger
Eastern Emeralds,26,27,Quickspin,DK,2021-02-12,easternemeralds,quickspin
Farm Empire,27,27,Magnet Gaming,DK,2021-02-12,farmempire,magnetgaming
Rise of Athena,28,38,Play'n Go,DK,2021-02-12,riseofathena,playngo
Madame Destiny Megaways,29,21,Pragmatic Play,DK,2021-02-12,madamedestinymegaways,pragmaticplay
