Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Extra Chilli,1,5,Big Time Gaming,EE,2021-02-12,extrachilli,bigtimegaming
Bonanza,2,8,Big Time Gaming,EE,2021-02-12,bonanza,bigtimegaming
Divine Fortune Megaways,3,6,NetEnt,EE,2021-02-12,divinefortunemegaways,netent
Starburst,4,8,NetEnt,EE,2021-02-12,starburst,netent
Rome,5,8,Red Rake,EE,2021-02-12,rome,redrake
Thunder Screech,6,6,Play'n Go,EE,2021-02-12,thunderscreech,playngo
Twin Win,7,6,High 5 Games,EE,2021-02-12,twinwin,high5games
Forgotten Island Megaways,8,5,All41 Studios,EE,2021-02-12,forgottenislandmegaways,all41studios
Book of Dead,9,8,Play'n Go,EE,2021-02-12,bookofdead,playngo
Mega Moolah,10,6,Microgaming,EE,2021-02-12,megamoolah,microgaming
Raging Rhino Megaways,11,4,Red7,EE,2021-02-12,ragingrhinomegaways,red7
Scrolls of RA,12,4,iSoftBet,EE,2021-02-12,scrollsofra,isoftbet
Shaolin Spin,13,4,iSoftBet,EE,2021-02-12,shaolinspin,isoftbet
Spartacus Super Colossal Reels,14,5,WMS,EE,2021-02-12,spartacussupercolossalreels,wms
Sisters of OZ WowPot,15,5,Triple Edge Studios,EE,2021-02-12,sistersofozwowpot,tripleedgestudios
100 Super Hot,16,5,EGT,EE,2021-02-12,100superhot,egt
Book of Atem WowPot,17,7,All41 Studios,EE,2021-02-12,bookofatemwowpot,all41studios
Fortunium Gold Mega Moolah,18,5,Stormcraft Studios,EE,2021-02-12,fortuniumgoldmegamoolah,stormcraftstudios
Monopoly Megaways,19,5,Big Time Gaming,EE,2021-02-12,monopolymegaways,bigtimegaming
Lucky Ladyʼs Charm deluxe,20,4,Greentube,EE,2021-02-12,luckyladyscharmdeluxe,greentube
Montezuma Megaways,21,4,WMS,EE,2021-02-12,montezumamegaways,wms
Triple Double DaVinci Diamonds,22,4,High 5 Games,EE,2021-02-12,tripledoubledavincidiamonds,high5games
Jokers Riches 2,23,4,High 5 Games,EE,2021-02-12,jokersriches2,high5games
Peles Paradise Extreme,24,4,High 5 Games,EE,2021-02-12,pelesparadiseextreme,high5games
Genie's Palace,25,4,High 5 Games,EE,2021-02-12,geniespalace,high5games
9 Masks Of Fire,26,6,Gameburger Studios,EE,2021-02-12,9masksoffire,gameburgerstudios
Fox Fire,27,6,High 5 Games,EE,2021-02-12,foxfire,high5games
Eye of the Storm,28,4,Reel Kingdom,EE,2021-02-12,eyeofthestorm,reelkingdom
Dinosaur Rage,29,5,Quickspin,EE,2021-02-12,dinosaurrage,quickspin
Mighty Joker Arcade,30,5,StakeLogic,EE,2021-02-12,mightyjokerarcade,stakelogic
Assassin Moon,31,4,Triple Edge Studios,EE,2021-02-12,assassinmoon,tripleedgestudios
Juicy Joker Mega Moolah,32,5,JustForTheWin,EE,2021-02-12,juicyjokermegamoolah,justforthewin
Super 20,33,5,EGT,EE,2021-02-12,super20,egt
Gonzo's Quest,34,6,NetEnt,EE,2021-02-12,gonzosquest,netent
Katmandu Gold,35,4,ELK Studios,EE,2021-02-12,katmandugold,elkstudios
Divine Fortune,36,6,NetEnt,EE,2021-02-12,divinefortune,netent
Fruit Shop Megaways,37,6,NetEnt,EE,2021-02-12,fruitshopmegaways,netent
Book of Ra deluxe,38,4,Greentube,EE,2021-02-12,bookofradeluxe,greentube
Augustus,39,4,Neon Valley Studios,EE,2021-02-12,augustus,neonvalleystudios
Hotline 2,40,4,NetEnt,EE,2021-02-12,hotline2,netent
Cat Wilde and the Eclipse of the Sun God,41,5,Play'n Go,EE,2021-02-12,catwildeandtheeclipseofthesungod,playngo
The Hand of Midas,42,5,Pragmatic Play,EE,2021-02-12,thehandofmidas,pragmaticplay
Aloha! Christmas,43,4,NetEnt,EE,2021-02-12,alohachristmas,netent
Rise Of Olympus,44,6,Play'n Go,EE,2021-02-12,riseofolympus,playngo
Gemix,45,6,Play'n Go,EE,2021-02-12,gemix,playngo
Legacy of Dead,46,5,Play'n Go,EE,2021-02-12,legacyofdead,playngo
Battle Maidens,47,5,1X2gaming,EE,2021-02-12,battlemaidens,1x2gaming
Rage of the Seas,48,4,NetEnt,EE,2021-02-12,rageoftheseas,netent
9 Pots of Gold,49,6,Gameburger Studios,EE,2021-02-12,9potsofgold,gameburgerstudios
Luchadora,50,5,Thunderkick,EE,2021-02-12,luchadora,thunderkick
Bounty Belles,51,5,iSoftBet,EE,2021-02-12,bountybelles,isoftbet
Wolf Gold,52,5,Pragmatic Play,EE,2021-02-12,wolfgold,pragmaticplay
Crazy Time,53,5,Evolution Gaming,EE,2021-02-12,crazytime,evolutiongaming
Clover Lady,54,5,Wazdan,EE,2021-02-12,cloverlady,wazdan
Monopoly Live,55,5,Evolution Gaming,EE,2021-02-12,monopolylive,evolutiongaming
Jaguar Princess,56,5,High 5 Games,EE,2021-02-12,jaguarprincess,high5games
Eagles' Flight,57,0,High 5 Games,EE,2021-02-12,eaglesflight,high5games
Foxy Dynamite,58,0,High 5 Games,EE,2021-02-12,foxydynamite,high5games
Majestic Cats,59,0,High 5 Games,EE,2021-02-12,majesticcats,high5games
Ecuador Gold,60,4,ELK Studios,EE,2021-02-12,ecuadorgold,elkstudios
Megaways Jack,61,4,IronDog,EE,2021-02-12,megawaysjack,irondog
Cygnus,62,4,ELK Studios,EE,2021-02-12,cygnus,elkstudios
Dead or Alive 2,63,6,NetEnt,EE,2021-02-12,deadoralive2,netent
Nitropolis,64,4,ELK Studios,EE,2021-02-12,nitropolis,elkstudios
Blood Lust,65,4,ELK Studios,EE,2021-02-12,bloodlust,elkstudios
Hotline,66,4,NetEnt,EE,2021-02-12,hotline,netent
John Hunter and the Mayan Gods,67,4,Pragmatic Play,EE,2021-02-12,johnhunterandthemayangods,pragmaticplay
Lord Merlin and the Lady of the Lake,68,5,Play'n Go,EE,2021-02-12,lordmerlinandtheladyofthelake,playngo
Giza Infinity Reels,69,4,Reel Play,EE,2021-02-12,gizainfinityreels,reelplay
Cosmic Voyager,70,4,Thunderkick,EE,2021-02-12,cosmicvoyager,thunderkick
Crusader,71,4,ELK Studios,EE,2021-02-12,crusader,elkstudios
Victorious,72,4,NetEnt,EE,2021-02-12,victorious,netent
Big Bass Bonanza,73,4,Reel Kingdom,EE,2021-02-12,bigbassbonanza,reelkingdom
Vikings of Fortune,74,4,Blueprint,EE,2021-02-12,vikingsoffortune,blueprint
Christmas Jackpot Bells,75,4,Playtech,EE,2021-02-12,christmasjackpotbells,playtech
Midas Golden Touch,76,4,Thunderkick,EE,2021-02-12,midasgoldentouch,thunderkick
Reactoonz,77,6,Play'n Go,EE,2021-02-12,reactoonz,playngo
Bar Slot,78,6,Golden Rock Studios,EE,2021-02-12,barslot,goldenrockstudios
Maximus Reels,79,6,Cayetano Gaming,EE,2021-02-12,maximusreels,cayetanogaming
Halloween Fortune,80,6,Playtech,EE,2021-02-12,halloweenfortune,playtech
Tweethearts,81,6,JustForTheWin,EE,2021-02-12,tweethearts,justforthewin
Pink Elephants,82,6,Thunderkick,EE,2021-02-12,pinkelephants,thunderkick
Fire Joker,83,5,Play'n Go,EE,2021-02-12,firejoker,playngo
40 Burning Hot 6 Reels,84,5,EGT,EE,2021-02-12,40burninghot6reels,egt
Holmes and the Stolen Stones,85,0,Yggdrasil,EE,2021-02-12,holmesandthestolenstones,yggdrasil
Age of the Gods King of Olympus,86,0,Playtech,EE,2021-02-12,ageofthegodskingofolympus,playtech
Carnival Queen,87,5,Thunderkick,EE,2021-02-12,carnivalqueen,thunderkick
Love Is All You Need,88,5,Hacksaw Gaming,EE,2021-02-12,loveisallyouneed,hacksawgaming
40 Super Hot,89,5,EGT,EE,2021-02-12,40superhot,egt
Bubbles Bonanza,90,5,OneTouch,EE,2021-02-12,bubblesbonanza,onetouch
Black River Gold,91,4,ELK Studios,EE,2021-02-12,blackrivergold,elkstudios
Wings of Hermes,92,4,Jade Rabbit Studios,EE,2021-02-12,wingsofhermes,jaderabbitstudios
Eye of Horus (Reel Time Gaming),93,4,Reel Time Gaming,EE,2021-02-12,eyeofhorus,reeltimegaming
Leprechauns Luck,94,4,Playtech,EE,2021-02-12,leprechaunsluck,playtech
Esqueleto Explosivo 2,95,4,Thunderkick,EE,2021-02-12,esqueletoexplosivo2,thunderkick
Master of Books,96,4,Swintt,EE,2021-02-12,masterofbooks,swintt
Grand Galore,97,4,ELK Studios,EE,2021-02-12,grandgalore,elkstudios
Dragons Treasure,98,4,edict,EE,2021-02-12,dragonstreasure,edict
Galactic Streak,99,4,Playtech,EE,2021-02-12,galacticstreak,playtech
Chicago Gold,100,4,PearFiction,EE,2021-02-12,chicagogold,pearfiction
