Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Roulette En Vivo Live Casino,1,12,Evolution Gaming,ES,2021-02-12,rouletteenvivolivecasino,evolutiongaming
Starburst,2,17,NetEnt,ES,2021-02-12,starburst,netent
Immortal Romance,3,17,Microgaming,ES,2021-02-12,immortalromance,microgaming
Book of Dead,4,6,Play'n Go,ES,2021-02-12,bookofdead,playngo
La Mina de Oro Plus,5,20,MGA,ES,2021-02-12,laminadeoroplus,mga
Ingots of Cai Shen,6,7,All41 Studios,ES,2021-02-12,ingotsofcaishen,all41studios
Gonzo's Quest,7,17,NetEnt,ES,2021-02-12,gonzosquest,netent
Forgotten Island Megaways,8,8,All41 Studios,ES,2021-02-12,forgottenislandmegaways,all41studios
Animals of Africa,9,8,Gold Coin Studios,ES,2021-02-12,animalsofafrica,goldcoinstudios
Chicago Gold,10,6,PearFiction,ES,2021-02-12,chicagogold,pearfiction
Age of the Gods Book of Oracle,11,6,Ash Gaming,ES,2021-02-12,ageofthegodsbookoforacle,ashgaming
Wolf Gold,12,10,Pragmatic Play,ES,2021-02-12,wolfgold,pragmaticplay
Chiquito,13,20,MGA,ES,2021-02-12,chiquito,mga
Book of Ra,14,5,Greentube,ES,2021-02-12,bookofra,greentube
Finn and the Swirly Spin,15,16,NetEnt,ES,2021-02-12,finnandtheswirlyspin,netent
Legacy of the Tiger,16,8,Playtech Origins,ES,2021-02-12,legacyofthetiger,playtechorigins
Quantum Roulette,17,5,Playtech,ES,2021-02-12,quantumroulette,playtech
Arevalo,18,19,MGA,ES,2021-02-12,arevalo,mga
MGA Mix,19,16,MGA,ES,2021-02-12,mgamix,mga
Torrente,20,12,Playtech,ES,2021-02-12,torrente,playtech
Legacy of Dead,21,6,Play'n Go,ES,2021-02-12,legacyofdead,playngo
Carnaval Jackpot,22,6,Pulse 8 Studios,ES,2021-02-12,carnavaljackpot,pulse8studios
Bondi Break,23,6,Lightning Box,ES,2021-02-12,bondibreak,lightningbox
Jessica Weaver Queen of the Seas,24,14,MGA,ES,2021-02-12,jessicaweaverqueenoftheseas,mga
Blood Suckers,25,12,NetEnt,ES,2021-02-12,bloodsuckers,netent
Tweethearts,26,11,JustForTheWin,ES,2021-02-12,tweethearts,justforthewin
GT World Challenge by Andy Soucek,27,14,MGA,ES,2021-02-12,gtworldchallengebyandysoucek,mga
Sandro Rey,28,17,MGA,ES,2021-02-12,sandrorey,mga
Rome The Golden Age,29,0,NetEnt,ES,2021-02-12,romethegoldenage,netent
Blue Wizard,30,8,Rarestone Gaming,ES,2021-02-12,bluewizard,rarestonegaming
Jumanji,31,13,NetEnt,ES,2021-02-12,jumanji,netent
Citas,32,15,MGA,ES,2021-02-12,citas,mga
Reactoonz 2,33,4,Play'n Go,ES,2021-02-12,reactoonz2,playngo
Butterfly Staxx,34,16,NetEnt,ES,2021-02-12,butterflystaxx,netent
Book Of Kings,35,9,Rarestone Gaming,ES,2021-02-12,bookofkings,rarestonegaming
Ruby Casino Queen,36,12,JustForTheWin,ES,2021-02-12,rubycasinoqueen,justforthewin
Reactoonz,37,6,Play'n Go,ES,2021-02-12,reactoonz,playngo
Trollpot 5000,38,14,NetEnt,ES,2021-02-12,trollpot5000,netent
Dream 3 Team 80s - 90s,39,16,MGA,ES,2021-02-12,dream3team80s90s,mga
Age of the Gods,40,10,Playtech,ES,2021-02-12,ageofthegods,playtech
Beauty & The Beast (Yggdrasil),41,10,Yggdrasil,ES,2021-02-12,beautythebeast,yggdrasil
Age of the Gods God of Storms,42,8,Playtech Vikings,ES,2021-02-12,ageofthegodsgodofstorms,playtechvikings
Full Moon Romance,43,6,Thunderkick,ES,2021-02-12,fullmoonromance,thunderkick
Hyper Strike,44,9,Gameburger Studios,ES,2021-02-12,hyperstrike,gameburgerstudios
Wild Lava,45,6,Playtech Origins,ES,2021-02-12,wildlava,playtechorigins
Cash & Carry,46,6,PAF,ES,2021-02-12,cashcarry,paf
Wild Wild West,47,16,NetEnt,ES,2021-02-12,wildwildwest,netent
ThunderBAR,48,16,PAF,ES,2021-02-12,thunderbar,paf
Bounty Belles,49,16,iSoftBet,ES,2021-02-12,bountybelles,isoftbet
Calaca Party,50,8,MGA,ES,2021-02-12,calacaparty,mga
Maria Lapiedra in Troya,51,10,MGA,ES,2021-02-12,marialapiedraintroya,mga
3 Tiny Gods,52,14,Foxium,ES,2021-02-12,3tinygods,foxium
Pachinko (Neko Games),53,6,Neko Games,ES,2021-02-12,pachinko,nekogames
Epic Ape,54,9,Playtech,ES,2021-02-12,epicape,playtech
Green Star,55,9,PAF,ES,2021-02-12,greenstar,paf
Golden Joker,56,9,Amatic Industries,ES,2021-02-12,goldenjoker,amaticindustries
Premium Blackjack (Playtech),57,4,Playtech,ES,2021-02-12,premiumblackjack,playtech
Divine Fortune Megaways,58,12,NetEnt,ES,2021-02-12,divinefortunemegaways,netent
Cash & Carry: Shopping Spree,59,12,PAF,ES,2021-02-12,cashcarryshoppingspree,paf
Viking Runecraft,60,5,Play'n Go,ES,2021-02-12,vikingrunecraft,playngo
Tome of Madness,61,5,Play'n Go,ES,2021-02-12,tomeofmadness,playngo
Gemix,62,5,Play'n Go,ES,2021-02-12,gemix,playngo
Buffalo Blitz,63,11,Playtech,ES,2021-02-12,buffaloblitz,playtech
Bar Slot,64,4,Golden Rock Studios,ES,2021-02-12,barslot,goldenrockstudios
Lucky Ladyʼs Charm deluxe 6,65,4,Greentube,ES,2021-02-12,luckyladyscharmdeluxe6,greentube
Energoonz,66,4,Play'n Go,ES,2021-02-12,energoonz,playngo
Anaconda Wild II,67,4,Playtech,ES,2021-02-12,anacondawildii,playtech
Age Of The Gods Ruler Of The Dead,68,5,Playtech Vikings,ES,2021-02-12,ageofthegodsrulerofthedead,playtechvikings
Gold Volcano,69,6,Play'n Go,ES,2021-02-12,goldvolcano,playngo
Fluffy Favourites,70,6,Eyecon,ES,2021-02-12,fluffyfavourites,eyecon
Hotline 2,71,15,NetEnt,ES,2021-02-12,hotline2,netent
Beat The Bobbies,72,15,Eyecon,ES,2021-02-12,beatthebobbies,eyecon
Age Of The Gods Glorious Griffin,73,7,Playtech Origins,ES,2021-02-12,ageofthegodsgloriousgriffin,playtechorigins
Luck of Ra,74,4,Plank Gaming,ES,2021-02-12,luckofra,plankgaming
White Wizard Deluxe,75,4,Eyecon,ES,2021-02-12,whitewizarddeluxe,eyecon
Extra Chilli,76,16,Big Time Gaming,ES,2021-02-12,extrachilli,bigtimegaming
Shaman's Dream,77,16,Eyecon,ES,2021-02-12,shamansdream,eyecon
9 Masks Of Fire,78,18,Gameburger Studios,ES,2021-02-12,9masksoffire,gameburgerstudios
Crystal Lotus,79,18,Eyecon,ES,2021-02-12,crystallotus,eyecon
Twin Spin Megaways,80,12,NetEnt,ES,2021-02-12,twinspinmegaways,netent
Ismael Beiro,81,13,MGA,ES,2021-02-12,ismaelbeiro,mga
Hades River of Souls,82,7,Fantasma Games,ES,2021-02-12,hadesriverofsouls,fantasmagames
Torrente Again,83,7,Playtech,ES,2021-02-12,torrenteagain,playtech
Love From London,84,7,888 Gaming,ES,2021-02-12,lovefromlondon,888gaming
Thunderstruck II,85,18,Microgaming,ES,2021-02-12,thunderstruckii,microgaming
Doctor Love,86,5,NextGen,ES,2021-02-12,doctorlove,nextgen
Book of Oz,87,18,Triple Edge Studios,ES,2021-02-12,bookofoz,tripleedgestudios
Popeye Cazatesoros,88,17,MGA,ES,2021-02-12,popeyecazatesoros,mga
Jackpot Giant,89,7,Playtech,ES,2021-02-12,jackpotgiant,playtech
El Cartel,90,16,MGA,ES,2021-02-12,elcartel,mga
Andy y Lucas,91,5,MGA,ES,2021-02-12,andyylucas,mga
Buffalo Blitz II,92,6,Playtech Origins,ES,2021-02-12,buffaloblitzii,playtechorigins
Rainforest Magic Bingo,93,6,Play'n Go,ES,2021-02-12,rainforestmagicbingo,playngo
Kingdoms Rise: Captain's Treasure,94,8,Playtech Origins,ES,2021-02-12,kingdomsrisecaptainstreasure,playtechorigins
Sweet Alchemy Bingo,95,8,Play'n Go,ES,2021-02-12,sweetalchemybingo,playngo
Kingdoms Rise: Scorching Clouds,96,7,SUNFOX Games,ES,2021-02-12,kingdomsrisescorchingclouds,sunfoxgames
Arabian Bingo,97,4,MGA,ES,2021-02-12,arabianbingo,mga
Cabaret,98,12,MGA,ES,2021-02-12,cabaret,mga
Hollywood Bingo,99,6,MGA,ES,2021-02-12,hollywoodbingo,mga
Greedy Dragon,100,6,888 Gaming,ES,2021-02-12,greedydragon,888gaming
