Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,344,Play'n Go,FI,2021-02-12,bookofdead,playngo
Starburst,2,382,NetEnt,FI,2021-02-12,starburst,netent
Gonzo's Quest,3,364,NetEnt,FI,2021-02-12,gonzosquest,netent
Gonzo's Quest Megaways,4,266,Red Tiger,FI,2021-02-12,gonzosquestmegaways,redtiger
Legacy of Dead,5,306,Play'n Go,FI,2021-02-12,legacyofdead,playngo
Reactoonz,6,304,Play'n Go,FI,2021-02-12,reactoonz,playngo
Fire Joker,7,308,Play'n Go,FI,2021-02-12,firejoker,playngo
Bonanza,8,367,Big Time Gaming,FI,2021-02-12,bonanza,bigtimegaming
Lightning Roulette,9,255,Evolution Gaming,FI,2021-02-12,lightningroulette,evolutiongaming
Wolf Gold,10,324,Pragmatic Play,FI,2021-02-12,wolfgold,pragmaticplay
Reactoonz 2,11,295,Play'n Go,FI,2021-02-12,reactoonz2,playngo
Crazy Time,12,215,Evolution Gaming,FI,2021-02-12,crazytime,evolutiongaming
Piggy Riches Megaways,13,307,Red Tiger,FI,2021-02-12,piggyrichesmegaways,redtiger
Cat Wilde and the Eclipse of the Sun God,14,237,Play'n Go,FI,2021-02-12,catwildeandtheeclipseofthesungod,playngo
Divine Fortune,15,302,NetEnt,FI,2021-02-12,divinefortune,netent
Rise Of Olympus,16,302,Play'n Go,FI,2021-02-12,riseofolympus,playngo
Twin Spin,17,339,NetEnt,FI,2021-02-12,twinspin,netent
Thunder Screech,18,180,Play'n Go,FI,2021-02-12,thunderscreech,playngo
Immortal Romance,19,261,Microgaming,FI,2021-02-12,immortalromance,microgaming
The Hand of Midas,20,127,Pragmatic Play,FI,2021-02-12,thehandofmidas,pragmaticplay
Moon Princess,21,263,Play'n Go,FI,2021-02-12,moonprincess,playngo
Dinosaur Rage,22,170,Quickspin,FI,2021-02-12,dinosaurrage,quickspin
Sweet Bonanza,23,296,Pragmatic Play,FI,2021-02-12,sweetbonanza,pragmaticplay
Money Train 2,24,190,Relax Gaming,FI,2021-02-12,moneytrain2,relaxgaming
"Betty, Boris And Boo",25,180,Red Tiger,FI,2021-02-12,bettyborisandboo,redtiger
Lord Merlin and the Lady of the Lake,26,232,Play'n Go,FI,2021-02-12,lordmerlinandtheladyofthelake,playngo
John Hunter And The Book Of Tut,27,303,Pragmatic Play,FI,2021-02-12,johnhunterandthebookoftut,pragmaticplay
Mega Moolah,28,154,Microgaming,FI,2021-02-12,megamoolah,microgaming
Tome of Madness,29,281,Play'n Go,FI,2021-02-12,tomeofmadness,playngo
Monopoly Live,30,130,Evolution Gaming,FI,2021-02-12,monopolylive,evolutiongaming
