Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Age of the Gods Book of Oracle,1,4,Ash Gaming,GR,2021-02-12,ageofthegodsbookoforacle,ashgaming
Blue Wizard,2,4,Rarestone Gaming,GR,2021-02-12,bluewizard,rarestonegaming
Epic Ape,3,4,Playtech,GR,2021-02-12,epicape,playtech
Legacy of Dead,4,9,Play'n Go,GR,2021-02-12,legacyofdead,playngo
Starburst,5,8,NetEnt,GR,2021-02-12,starburst,netent
Mighty Hot Wilds,6,4,Inspired Gaming,GR,2021-02-12,mightyhotwilds,inspiredgaming
Super Hot Fruits,7,7,Inspired Gaming,GR,2021-02-12,superhotfruits,inspiredgaming
Kingdoms Rise Battle Beast,8,7,Playtech Origins,GR,2021-02-12,kingdomsrisebattlebeast,playtechorigins
Lovefool,9,7,Playtech Vikings,GR,2021-02-12,lovefool,playtechvikings
The Perfect Heist,10,7,Playtech,GR,2021-02-12,theperfectheist,playtech
Blazing Bells,11,7,Ash Gaming,GR,2021-02-12,blazingbells,ashgaming
Anaconda Wild II,12,7,Playtech,GR,2021-02-12,anacondawildii,playtech
Book of Ra deluxe,13,4,Greentube,GR,2021-02-12,bookofradeluxe,greentube
Age Of The Gods Ruler Of The Dead,14,4,Playtech Vikings,GR,2021-02-12,ageofthegodsrulerofthedead,playtechvikings
Pharaoh's Treasure Deluxe,15,4,Playtech,GR,2021-02-12,pharaohstreasuredeluxe,playtech
Cashback Blackjack (Playtech),16,4,Playtech,GR,2021-02-12,cashbackblackjack,playtech
Gold Pile Toltec Treasure,17,4,Rarestone Gaming,GR,2021-02-12,goldpiletoltectreasure,rarestonegaming
Diamond Bet Roulette,18,4,Playtech,GR,2021-02-12,diamondbetroulette,playtech
Premium Blackjack (Playtech),19,4,Playtech,GR,2021-02-12,premiumblackjack,playtech
Buffalo Blitz,20,4,Playtech,GR,2021-02-12,buffaloblitz,playtech
Extra Chilli,21,8,Big Time Gaming,GR,2021-02-12,extrachilli,bigtimegaming
Gladiator Road to Rome,22,8,Playtech,GR,2021-02-12,gladiatorroadtorome,playtech
Book of Dead,23,7,Play'n Go,GR,2021-02-12,bookofdead,playngo
Batman & The Riddler Riches,24,7,Playtech,GR,2021-02-12,batmantheriddlerriches,playtech
Gonzo's Quest Megaways,25,5,Red Tiger,GR,2021-02-12,gonzosquestmegaways,redtiger
Fruit Shop (NetEnt),26,5,NetEnt,GR,2021-02-12,fruitshop,netent
