Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Bonanza,1,26,Big Time Gaming,HU,2021-02-12,bonanza,bigtimegaming
Starburst,2,23,NetEnt,HU,2021-02-12,starburst,netent
Chicago Gold,3,11,PearFiction,HU,2021-02-12,chicagogold,pearfiction
Valley Of The Gods,4,10,Yggdrasil,HU,2021-02-12,valleyofthegods,yggdrasil
Gonzo's Quest,5,20,NetEnt,HU,2021-02-12,gonzosquest,netent
9 Masks Of Fire,6,10,Gameburger Studios,HU,2021-02-12,9masksoffire,gameburgerstudios
Super Lion,7,10,Skywind Group,HU,2021-02-12,superlion,skywindgroup
Forgotten Island Megaways,8,15,All41 Studios,HU,2021-02-12,forgottenislandmegaways,all41studios
Big Bonus,9,15,Inspired Gaming,HU,2021-02-12,bigbonus,inspiredgaming
Vikings Go Berzerk,10,6,Yggdrasil,HU,2021-02-12,vikingsgoberzerk,yggdrasil
Fruit Warp,11,9,Thunderkick,HU,2021-02-12,fruitwarp,thunderkick
Holmes and the Stolen Stones,12,9,Yggdrasil,HU,2021-02-12,holmesandthestolenstones,yggdrasil
Blazing Star,13,5,edict,HU,2021-02-12,blazingstar,edict
Wolf Gold,14,18,Pragmatic Play,HU,2021-02-12,wolfgold,pragmaticplay
Super Hot Fruits,15,18,Inspired Gaming,HU,2021-02-12,superhotfruits,inspiredgaming
Dr Fortuno,16,7,Yggdrasil,HU,2021-02-12,drfortuno,yggdrasil
Eye Of Horus Power 4 Slots,17,7,Blueprint,HU,2021-02-12,eyeofhoruspower4slots,blueprint
Knockout Diamonds,18,6,ELK Studios,HU,2021-02-12,knockoutdiamonds,elkstudios
Blirix Workshop,19,4,IronDog,HU,2021-02-12,blirixworkshop,irondog
Divine Fortune Megaways,20,15,NetEnt,HU,2021-02-12,divinefortunemegaways,netent
Immortal Romance,21,17,Microgaming,HU,2021-02-12,immortalromance,microgaming
Narcos,22,14,NetEnt,HU,2021-02-12,narcos,netent
Midas Golden Touch,23,10,Thunderkick,HU,2021-02-12,midasgoldentouch,thunderkick
Lightning Roulette,24,13,Evolution Gaming,HU,2021-02-12,lightningroulette,evolutiongaming
Dream Date,25,11,Microgaming,HU,2021-02-12,dreamdate,microgaming
Cupid: Wild at Heart,26,11,Blueprint,HU,2021-02-12,cupidwildatheart,blueprint
Secret Romance,27,9,Microgaming,HU,2021-02-12,secretromance,microgaming
Oink: Country Love,28,8,Triple Edge Studios,HU,2021-02-12,oinkcountrylove,tripleedgestudios
Quantum Roulette,29,4,Playtech,HU,2021-02-12,quantumroulette,playtech
Quantum Blackjack Live,30,4,Playtech,HU,2021-02-12,quantumblackjacklive,playtech
Hi Lo Blackjack,31,4,Realistic,HU,2021-02-12,hiloblackjack,realistic
Irish Luck Jackpot,32,4,Eyecon,HU,2021-02-12,irishluckjackpot,eyecon
Clover Rollover 2,33,4,Eyecon,HU,2021-02-12,cloverrollover2,eyecon
Gonzo's Quest Megaways,34,18,Red Tiger,HU,2021-02-12,gonzosquestmegaways,redtiger
The Hand of Midas,35,11,Pragmatic Play,HU,2021-02-12,thehandofmidas,pragmaticplay
Who Wants To Be A Millionaire Megaways,36,5,Big Time Gaming,HU,2021-02-12,whowantstobeamillionairemegaways,bigtimegaming
Buffalo Rising Megaways Jackpot King,37,5,Blueprint,HU,2021-02-12,buffalorisingmegawaysjackpotking,blueprint
Galactic Girls,38,5,Eyecon,HU,2021-02-12,galacticgirls,eyecon
Crazy Time,39,16,Evolution Gaming,HU,2021-02-12,crazytime,evolutiongaming
Buffalo Blitz Live,40,16,Playtech,HU,2021-02-12,buffaloblitzlive,playtech
Deal or No Deal Lightning Spins,41,16,Blueprint,HU,2021-02-12,dealornodeallightningspins,blueprint
Ted Megaways,42,16,Blueprint,HU,2021-02-12,tedmegaways,blueprint
