Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,72,Play'n Go,IE,2021-02-12,bookofdead,playngo
Starburst,2,99,NetEnt,IE,2021-02-12,starburst,netent
Gonzo's Quest Megaways,3,73,Red Tiger,IE,2021-02-12,gonzosquestmegaways,redtiger
Gonzo's Quest,4,93,NetEnt,IE,2021-02-12,gonzosquest,netent
Lightning Roulette,5,67,Evolution Gaming,IE,2021-02-12,lightningroulette,evolutiongaming
Wolf Gold,6,94,Pragmatic Play,IE,2021-02-12,wolfgold,pragmaticplay
Legacy of Dead,7,66,Play'n Go,IE,2021-02-12,legacyofdead,playngo
Crazy Time,8,62,Evolution Gaming,IE,2021-02-12,crazytime,evolutiongaming
Bonanza,9,92,Big Time Gaming,IE,2021-02-12,bonanza,bigtimegaming
Piggy Riches Megaways,10,69,Red Tiger,IE,2021-02-12,piggyrichesmegaways,redtiger
Ramses Book,11,47,Gamomat,IE,2021-02-12,ramsesbook,gamomat
Rainbow Riches,12,29,Barcrest,IE,2021-02-12,rainbowriches,barcrest
The Dog House Megaways,13,81,Pragmatic Play,IE,2021-02-12,thedoghousemegaways,pragmaticplay
Ruler of Egypt,14,25,Lady Luck Games,IE,2021-02-12,rulerofegypt,ladyluckgames
Weight of the Gun,15,25,Lady Luck Games,IE,2021-02-12,weightofthegun,ladyluckgames
Crystal Ball,16,47,Gamomat,IE,2021-02-12,crystalball,gamomat
Fancy Fruits,17,49,Gamomat,IE,2021-02-12,fancyfruits,gamomat
John Hunter And The Book Of Tut,18,85,Pragmatic Play,IE,2021-02-12,johnhunterandthebookoftut,pragmaticplay
Age of the Gods God of Storms,19,8,Playtech Vikings,IE,2021-02-12,ageofthegodsgodofstorms,playtechvikings
Eye of Horus (Reel Time Gaming),20,13,Reel Time Gaming,IE,2021-02-12,eyeofhorus,reeltimegaming
Gold Vein,21,62,Booming Games,IE,2021-02-12,goldvein,boominggames
Royal Seven XXL,22,45,Gamomat,IE,2021-02-12,royalsevenxxl,gamomat
Buffalo Blitz,23,17,Playtech,IE,2021-02-12,buffaloblitz,playtech
Take 5,24,48,Gamomat,IE,2021-02-12,take5,gamomat
Jewel Scarabs,25,72,Red Tiger,IE,2021-02-12,jewelscarabs,redtiger
Quantum Roulette,26,7,Playtech,IE,2021-02-12,quantumroulette,playtech
Fishin' Frenzy,27,34,Reel Time Gaming,IE,2021-02-12,fishinfrenzy,reeltimegaming
Books And Pearls,28,47,Gamomat,IE,2021-02-12,booksandpearls,gamomat
Orango Tango,29,25,Lady Luck Games,IE,2021-02-12,orangotango,ladyluckgames
Sticky Diamonds,30,47,Gamomat,IE,2021-02-12,stickydiamonds,gamomat
Wild Diamond 7x,31,52,Booming Games,IE,2021-02-12,wilddiamond7x,boominggames
Fancy Fruits Respins Of Amun-Re,32,45,Gamomat,IE,2021-02-12,fancyfruitsrespinsofamunre,gamomat
7s Deluxe,33,24,Reel Time Gaming,IE,2021-02-12,7sdeluxe,reeltimegaming
Monopoly Live,34,46,Evolution Gaming,IE,2021-02-12,monopolylive,evolutiongaming
The Hand of Midas,35,32,Pragmatic Play,IE,2021-02-12,thehandofmidas,pragmaticplay
Dinosaur Rage,36,38,Quickspin,IE,2021-02-12,dinosaurrage,quickspin
Big Bass Bonanza,37,73,Reel Kingdom,IE,2021-02-12,bigbassbonanza,reelkingdom
Power Blackjack,38,35,Evolution Gaming,IE,2021-02-12,powerblackjack,evolutiongaming
Reactoonz,39,62,Play'n Go,IE,2021-02-12,reactoonz,playngo
Buffalo Power Hold and Win,40,52,Playson,IE,2021-02-12,buffalopowerholdandwin,playson
Thunder Screech,41,33,Play'n Go,IE,2021-02-12,thunderscreech,playngo
Regal Streak,42,41,Red Tiger,IE,2021-02-12,regalstreak,redtiger
Jammin' Jars,43,34,Push Gaming,IE,2021-02-12,jamminjars,pushgaming
Fire Joker,44,61,Play'n Go,IE,2021-02-12,firejoker,playngo
Dynamite Riches,45,67,Red Tiger,IE,2021-02-12,dynamiteriches,redtiger
Mega Moolah,46,43,Microgaming,IE,2021-02-12,megamoolah,microgaming
The Dog House,47,76,Pragmatic Play,IE,2021-02-12,thedoghouse,pragmaticplay
Reactoonz 2,48,62,Play'n Go,IE,2021-02-12,reactoonz2,playngo
Age of the Gods Norse Gods and Giants,49,11,Playtech Origins,IE,2021-02-12,ageofthegodsnorsegodsandgiants,playtechorigins
Sweet Bonanza,50,86,Pragmatic Play,IE,2021-02-12,sweetbonanza,pragmaticplay
Dragon Tiger First Person,51,35,Evolution Gaming,IE,2021-02-12,dragontigerfirstperson,evolutiongaming
East Coast vs West Coast,52,33,Nolimit City,IE,2021-02-12,eastcoastvswestcoast,nolimitcity
Immortal Romance,53,66,Microgaming,IE,2021-02-12,immortalromance,microgaming
Gold Cash Free Spins,54,31,Inspired Gaming,IE,2021-02-12,goldcashfreespins,inspiredgaming
The Goonies Jackpot King,55,10,Blueprint,IE,2021-02-12,thegooniesjackpotking,blueprint
Cash Volt,56,68,Red Tiger,IE,2021-02-12,cashvolt,redtiger
9 Pots of Gold,57,51,Gameburger Studios,IE,2021-02-12,9potsofgold,gameburgerstudios
Slingo Rainbow Riches,58,16,Slingo Originals,IE,2021-02-12,slingorainbowriches,slingooriginals
Divine Fortune,59,78,NetEnt,IE,2021-02-12,divinefortune,netent
20p Roulette (Inspired Gaming),60,6,Inspired Gaming,IE,2021-02-12,20proulette,inspiredgaming
