Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,67,Play'n Go,IN,2021-02-12,bookofdead,playngo
Divine Fortune,2,52,NetEnt,IN,2021-02-12,divinefortune,netent
Gonzo's Quest Megaways,3,51,Red Tiger,IN,2021-02-12,gonzosquestmegaways,redtiger
Starburst,4,67,NetEnt,IN,2021-02-12,starburst,netent
Wolf Gold,5,67,Pragmatic Play,IN,2021-02-12,wolfgold,pragmaticplay
Gonzo's Quest,6,65,NetEnt,IN,2021-02-12,gonzosquest,netent
Lightning Roulette,7,43,Evolution Gaming,IN,2021-02-12,lightningroulette,evolutiongaming
The Hand of Midas,8,31,Pragmatic Play,IN,2021-02-12,thehandofmidas,pragmaticplay
Sweet Bonanza,9,67,Pragmatic Play,IN,2021-02-12,sweetbonanza,pragmaticplay
Mega Moolah,10,40,Microgaming,IN,2021-02-12,megamoolah,microgaming
Piggy Riches Megaways,11,46,Red Tiger,IN,2021-02-12,piggyrichesmegaways,redtiger
Bar Slot,12,19,Golden Rock Studios,IN,2021-02-12,barslot,goldenrockstudios
East Coast vs West Coast,13,28,Nolimit City,IN,2021-02-12,eastcoastvswestcoast,nolimitcity
Holmes and the Stolen Stones,14,33,Yggdrasil,IN,2021-02-12,holmesandthestolenstones,yggdrasil
Bounty Belles,15,26,iSoftBet,IN,2021-02-12,bountybelles,isoftbet
Twin Spin,16,65,NetEnt,IN,2021-02-12,twinspin,netent
Thunder Screech,17,29,Play'n Go,IN,2021-02-12,thunderscreech,playngo
Crazy Time,18,39,Evolution Gaming,IN,2021-02-12,crazytime,evolutiongaming
Dinosaur Rage,19,36,Quickspin,IN,2021-02-12,dinosaurrage,quickspin
Great Rhino Megaways,20,54,Pragmatic Play,IN,2021-02-12,greatrhinomegaways,pragmaticplay
Madame Destiny Megaways,21,37,Pragmatic Play,IN,2021-02-12,madamedestinymegaways,pragmaticplay
"Betty, Boris And Boo",22,31,Red Tiger,IN,2021-02-12,bettyborisandboo,redtiger
Legacy of Dead,23,60,Play'n Go,IN,2021-02-12,legacyofdead,playngo
Clover Lady,24,25,Wazdan,IN,2021-02-12,cloverlady,wazdan
Mustang Gold,25,61,Pragmatic Play,IN,2021-02-12,mustanggold,pragmaticplay
Immortal Romance,26,59,Microgaming,IN,2021-02-12,immortalromance,microgaming
Money Train 2,27,31,Relax Gaming,IN,2021-02-12,moneytrain2,relaxgaming
Fire Joker,28,52,Play'n Go,IN,2021-02-12,firejoker,playngo
Hall of Gods,29,10,NetEnt,IN,2021-02-12,hallofgods,netent
Cat Wilde and the Eclipse of the Sun God,30,45,Play'n Go,IN,2021-02-12,catwildeandtheeclipseofthesungod,playngo
Regal Beasts,31,28,Red Tiger,IN,2021-02-12,regalbeasts,redtiger
Carnaval Jackpot,32,26,Pulse 8 Studios,IN,2021-02-12,carnavaljackpot,pulse8studios
Bonanza,33,60,Big Time Gaming,IN,2021-02-12,bonanza,bigtimegaming
Eye of the Storm,34,31,Reel Kingdom,IN,2021-02-12,eyeofthestorm,reelkingdom
Divine Fortune Megaways,35,53,NetEnt,IN,2021-02-12,divinefortunemegaways,netent
Valley Of The Gods 2,36,36,Yggdrasil,IN,2021-02-12,valleyofthegods2,yggdrasil
Hades Gigablox,37,33,Yggdrasil,IN,2021-02-12,hadesgigablox,yggdrasil
Rise Of Olympus,38,54,Play'n Go,IN,2021-02-12,riseofolympus,playngo
Euphoria,39,32,iSoftBet,IN,2021-02-12,euphoria,isoftbet
Reactoonz,40,59,Play'n Go,IN,2021-02-12,reactoonz,playngo
Western Gold Megaways,41,39,iSoftBet,IN,2021-02-12,westerngoldmegaways,isoftbet
Sakura Fortune,42,43,Quickspin,IN,2021-02-12,sakurafortune,quickspin
Juicy Joker Mega Moolah,43,22,JustForTheWin,IN,2021-02-12,juicyjokermegamoolah,justforthewin
Michelangelo,44,6,High 5 Games,IN,2021-02-12,michelangelo,high5games
Wheel Of Wishes,45,24,Alchemy Gaming,IN,2021-02-12,wheelofwishes,alchemygaming
Atlantean Treasures Mega Moolah,46,25,Neon Valley Studios,IN,2021-02-12,atlanteantreasuresmegamoolah,neonvalleystudios
Deadwood,47,33,Nolimit City,IN,2021-02-12,deadwood,nolimitcity
Monopoly Live,48,20,Evolution Gaming,IN,2021-02-12,monopolylive,evolutiongaming
Queen of Wonderland Megaways,49,26,iSoftBet,IN,2021-02-12,queenofwonderlandmegaways,isoftbet
The Dog House Megaways,50,54,Pragmatic Play,IN,2021-02-12,thedoghousemegaways,pragmaticplay
Frost Queen Jackpots,51,22,Yggdrasil,IN,2021-02-12,frostqueenjackpots,yggdrasil
Fruit Blast,52,33,Skillzzgaming,IN,2021-02-12,fruitblast,skillzzgaming
Fruit Shop Megaways,53,39,NetEnt,IN,2021-02-12,fruitshopmegaways,netent
Big Bass Bonanza,54,38,Reel Kingdom,IN,2021-02-12,bigbassbonanza,reelkingdom
Vikings Go Berzerk,55,33,Yggdrasil,IN,2021-02-12,vikingsgoberzerk,yggdrasil
Razor Shark,56,37,Push Gaming,IN,2021-02-12,razorshark,pushgaming
10001 Nights,57,31,Red Tiger,IN,2021-02-12,10001nights,redtiger
Lucky Oktoberfest,58,27,Red Tiger,IN,2021-02-12,luckyoktoberfest,redtiger
Jackpot Raiders,59,21,Yggdrasil,IN,2021-02-12,jackpotraiders,yggdrasil
Chicago Gold,60,29,PearFiction,IN,2021-02-12,chicagogold,pearfiction
Sahara Nights,61,24,Yggdrasil,IN,2021-02-12,saharanights,yggdrasil
Aztec Spins,62,29,Red Tiger,IN,2021-02-12,aztecspins,redtiger
Twin Spin Megaways,63,45,NetEnt,IN,2021-02-12,twinspinmegaways,netent
Temple Tumble,64,35,Relax Gaming,IN,2021-02-12,templetumble,relaxgaming
Multiplier Odyssey,65,22,Relax Gaming,IN,2021-02-12,multiplierodyssey,relaxgaming
Slingo Showdown,66,16,Slingo Originals,IN,2021-02-12,slingoshowdown,slingooriginals
Valley Of The Gods,67,33,Yggdrasil,IN,2021-02-12,valleyofthegods,yggdrasil
Reel King Mega,68,34,Red Tiger,IN,2021-02-12,reelkingmega,redtiger
Jammin' Jars,69,35,Push Gaming,IN,2021-02-12,jamminjars,pushgaming
The Dog House,70,57,Pragmatic Play,IN,2021-02-12,thedoghouse,pragmaticplay
Jumbo Stampede,71,37,iSoftBet,IN,2021-02-12,jumbostampede,isoftbet
Reactoonz 2,72,48,Play'n Go,IN,2021-02-12,reactoonz2,playngo
The King Panda,73,12,Booming Games,IN,2021-02-12,thekingpanda,boominggames
Moon Princess,74,46,Play'n Go,IN,2021-02-12,moonprincess,playngo
MultiFly,75,27,Yggdrasil,IN,2021-02-12,multifly,yggdrasil
Labyrinth Of Knossos,76,27,Dream Tech,IN,2021-02-12,labyrinthofknossos,dreamtech
Hippie Days,77,19,Skillzzgaming,IN,2021-02-12,hippiedays,skillzzgaming
Poker Teen Patti,78,19,Evoplay Entertainment,IN,2021-02-12,pokerteenpatti,evoplayentertainment
Mercy of the Gods,79,38,NetEnt,IN,2021-02-12,mercyofthegods,netent
San Quentin,80,33,Nolimit City,IN,2021-02-12,sanquentin,nolimitcity
Book of Oz,81,52,Triple Edge Studios,IN,2021-02-12,bookofoz,tripleedgestudios
Wolf Haven,82,9,Ruby Play,IN,2021-02-12,wolfhaven,rubyplay
The Good The Bad And The Ugly,83,14,Gluck Games,IN,2021-02-12,thegoodthebadandtheugly,gluckgames
Grand Spinn Superpot,84,29,NetEnt,IN,2021-02-12,grandspinnsuperpot,netent
Immersive Roulette,85,30,Evolution Gaming,IN,2021-02-12,immersiveroulette,evolutiongaming
Dragon's Fire Megaways,86,27,Red Tiger,IN,2021-02-12,dragonsfiremegaways,redtiger
Dragon's Luck Megaways,87,34,Red Tiger,IN,2021-02-12,dragonsluckmegaways,redtiger
Extra Chilli,88,53,Big Time Gaming,IN,2021-02-12,extrachilli,bigtimegaming
Absolootly Mad: Mega Moolah,89,25,Triple Edge Studios,IN,2021-02-12,absolootlymadmegamoolah,tripleedgestudios
Starz Megaways,90,42,Pragmatic Play,IN,2021-02-12,starzmegaways,pragmaticplay
Hotline 2,91,62,NetEnt,IN,2021-02-12,hotline2,netent
Giza Infinity Reels,92,22,Reel Play,IN,2021-02-12,gizainfinityreels,reelplay
Aloha! Cluster Pays,93,55,NetEnt,IN,2021-02-12,alohaclusterpays,netent
Lord Merlin and the Lady of the Lake,94,39,Play'n Go,IN,2021-02-12,lordmerlinandtheladyofthelake,playngo
Iron Bank,95,22,Relax Gaming,IN,2021-02-12,ironbank,relaxgaming
John Hunter Tomb of the Scarab Queen,96,56,Pragmatic Play,IN,2021-02-12,johnhuntertombofthescarabqueen,pragmaticplay
Book of Atem WowPot,97,20,All41 Studios,IN,2021-02-12,bookofatemwowpot,all41studios
Book Of Demi Gods 2,98,25,Spinomenal,IN,2021-02-12,bookofdemigods2,spinomenal
Thunderstruck II,99,39,Microgaming,IN,2021-02-12,thunderstruckii,microgaming
9 Pots of Gold,100,49,Gameburger Studios,IN,2021-02-12,9potsofgold,gameburgerstudios
