Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Gonzo's Quest,1,25,NetEnt,IT,2021-02-12,gonzosquest,netent
Starburst,2,25,NetEnt,IT,2021-02-12,starburst,netent
Book of Dead,3,20,Play'n Go,IT,2021-02-12,bookofdead,playngo
Book of Ra deluxe,4,12,Greentube,IT,2021-02-12,bookofradeluxe,greentube
Blood Suckers,5,23,NetEnt,IT,2021-02-12,bloodsuckers,netent
Dwarf Mine,6,10,Yggdrasil,IT,2021-02-12,dwarfmine,yggdrasil
Immortal Romance,7,11,Microgaming,IT,2021-02-12,immortalromance,microgaming
Wolf Gold,8,12,Pragmatic Play,IT,2021-02-12,wolfgold,pragmaticplay
Twin Spin Megaways,9,9,NetEnt,IT,2021-02-12,twinspinmegaways,netent
Moon Princess,10,17,Play'n Go,IT,2021-02-12,moonprincess,playngo
The Big Easy,11,17,IGT,IT,2021-02-12,thebigeasy,igt
Bonanza,12,17,Big Time Gaming,IT,2021-02-12,bonanza,bigtimegaming
Sweet Bonanza,13,14,Pragmatic Play,IT,2021-02-12,sweetbonanza,pragmaticplay
Lightning Roulette,14,11,Evolution Gaming,IT,2021-02-12,lightningroulette,evolutiongaming
Joker's Jewels,15,15,Pragmatic Play,IT,2021-02-12,jokersjewels,pragmaticplay
Forgotten Island Megaways,16,15,All41 Studios,IT,2021-02-12,forgottenislandmegaways,all41studios
Tiki Reward,17,15,All41 Studios,IT,2021-02-12,tikireward,all41studios
Carnival Bonus HD,18,15,Play Labs,IT,2021-02-12,carnivalbonushd,playlabs
Vampire Bride,19,15,SYNOT,IT,2021-02-12,vampirebride,synot
Treasures of the Pyramids,20,15,IGT,IT,2021-02-12,treasuresofthepyramids,igt
Playboy Fortunes,21,8,Gameburger Studios,IT,2021-02-12,playboyfortunes,gameburgerstudios
Twin Spin,22,17,NetEnt,IT,2021-02-12,twinspin,netent
Deal or no Deal World,23,17,Endemol Shine Gaming,IT,2021-02-12,dealornodealworld,endemolshinegaming
Egyptian Dreams,24,11,Habanero,IT,2021-02-12,egyptiandreams,habanero
Side Bet City,25,11,Evolution Gaming,IT,2021-02-12,sidebetcity,evolutiongaming
2 Hand Casino Hold’em,26,11,Evolution Gaming,IT,2021-02-12,2handcasinoholdem,evolutiongaming
Temple of Fire,27,11,IGT,IT,2021-02-12,templeoffire,igt
Book of Gold: Double Chance,28,7,Playson,IT,2021-02-12,bookofgolddoublechance,playson
Dragon,29,0,JDB168,IT,2021-02-12,dragon,jdb168
Pink Elephants 2,30,4,Thunderkick,IT,2021-02-12,pinkelephants2,thunderkick
Divine Fortune Megaways,31,7,NetEnt,IT,2021-02-12,divinefortunemegaways,netent
Secret of Sphinx,32,9,Octavian Gaming,IT,2021-02-12,secretofsphinx,octaviangaming
Book of Pharaon HD,33,8,Play Labs,IT,2021-02-12,bookofpharaonhd,playlabs
Fruit Shop (NetEnt),34,12,NetEnt,IT,2021-02-12,fruitshop,netent
Reactoonz,35,10,Play'n Go,IT,2021-02-12,reactoonz,playngo
Money Farm 2,36,9,GameArt,IT,2021-02-12,moneyfarm2,gameart
Klondike Fever,37,8,Capecod Gaming,IT,2021-02-12,klondikefever,capecodgaming
Pirates 2: Mutiny,38,7,Yggdrasil,IT,2021-02-12,pirates2mutiny,yggdrasil
Chilli Heat,39,10,Pragmatic Play,IT,2021-02-12,chilliheat,pragmaticplay
Crystal Sun,40,4,Play'n Go,IT,2021-02-12,crystalsun,playngo
Gonzo's Quest Megaways,41,8,Red Tiger,IT,2021-02-12,gonzosquestmegaways,redtiger
Jumanji,42,14,NetEnt,IT,2021-02-12,jumanji,netent
Piggy Riches Megaways,43,8,Red Tiger,IT,2021-02-12,piggyrichesmegaways,redtiger
Sheriff of Nottingham,44,13,iSoftBet,IT,2021-02-12,sheriffofnottingham,isoftbet
Tooncops,45,7,Gamshy,IT,2021-02-12,tooncops,gamshy
Cheeky Fruits,46,7,Gluck Games,IT,2021-02-12,cheekyfruits,gluckgames
Pirate Kingdom Megaways,47,6,IronDog,IT,2021-02-12,piratekingdommegaways,irondog
Book of Ra deluxe 6,48,10,Greentube,IT,2021-02-12,bookofradeluxe6,greentube
Cashback Blackjack (Playtech),49,4,Playtech,IT,2021-02-12,cashbackblackjack,playtech
100 Jewels,50,4,Nazionale Elettronica,IT,2021-02-12,100jewels,nazionaleelettronica
Ocean's Treasure,51,10,NetEnt,IT,2021-02-12,oceanstreasure,netent
Legend of Cleopatra,52,7,Playson,IT,2021-02-12,legendofcleopatra,playson
Lucky Ladyʼs Charm deluxe,53,10,Greentube,IT,2021-02-12,luckyladyscharmdeluxe,greentube
Chili Quest,54,8,GameArt,IT,2021-02-12,chiliquest,gameart
Gold Diggers,55,7,Betsoft,IT,2021-02-12,golddiggers,betsoft
Pierino al Mare,56,7,Tuko Productions,IT,2021-02-12,pierinoalmare,tukoproductions
Free Chip Blackjack,57,4,Playtech,IT,2021-02-12,freechipblackjack,playtech
Pierino va in Montagna,58,4,Tuko Productions,IT,2021-02-12,pierinovainmontagna,tukoproductions
Blood,59,4,Apollo Games,IT,2021-02-12,blood,apollogames
Barbaria,60,5,Tuko Productions,IT,2021-02-12,barbaria,tukoproductions
Halloween Fortune,61,9,Playtech,IT,2021-02-12,halloweenfortune,playtech
Dragon Reels,62,9,EGT,IT,2021-02-12,dragonreels,egt
SlotFather II,63,8,Betsoft,IT,2021-02-12,slotfatherii,betsoft
Fruits Dimension HD,64,5,Play Labs,IT,2021-02-12,fruitsdimensionhd,playlabs
Tiger Heart,65,7,GameArt,IT,2021-02-12,tigerheart,gameart
Battle for Atlantis,66,8,GameArt,IT,2021-02-12,battleforatlantis,gameart
Book of Oziris,67,7,GameArt,IT,2021-02-12,bookofoziris,gameart
Soldier of Rome,68,6,Barcrest,IT,2021-02-12,soldierofrome,barcrest
Queen Of The Seas,69,8,GameArt,IT,2021-02-12,queenoftheseas,gameart
God of Wild Sea,70,5,Playson,IT,2021-02-12,godofwildsea,playson
Dragon Jackpot Roulette,71,4,Playtech,IT,2021-02-12,dragonjackpotroulette,playtech
Legacy of Dead,72,8,Play'n Go,IT,2021-02-12,legacyofdead,playngo
Mayan Temple Revenge,73,8,Capecod Gaming,IT,2021-02-12,mayantemplerevenge,capecodgaming
Tome of Madness,74,7,Play'n Go,IT,2021-02-12,tomeofmadness,playngo
Reactoonz 2,75,5,Play'n Go,IT,2021-02-12,reactoonz2,playngo
Premium Blackjack (Playtech),76,5,Playtech,IT,2021-02-12,premiumblackjack,playtech
The Dog House Megaways,77,5,Pragmatic Play,IT,2021-02-12,thedoghousemegaways,pragmaticplay
John Hunter And The Book Of Tut,78,4,Pragmatic Play,IT,2021-02-12,johnhunterandthebookoftut,pragmaticplay
Fire Joker,79,10,Play'n Go,IT,2021-02-12,firejoker,playngo
Blue Wizard,80,6,Rarestone Gaming,IT,2021-02-12,bluewizard,rarestonegaming
Geronimo,81,6,Octavian Gaming,IT,2021-02-12,geronimo,octaviangaming
Majestic Megaways,82,8,iSoftBet,IT,2021-02-12,majesticmegaways,isoftbet
Fruit Shop Megaways,83,8,NetEnt,IT,2021-02-12,fruitshopmegaways,netent
Great Rhino Megaways,84,6,Pragmatic Play,IT,2021-02-12,greatrhinomegaways,pragmaticplay
Buffalo Power Hold and Win,85,0,Playson,IT,2021-02-12,buffalopowerholdandwin,playson
All Bets Blackjack,86,4,Playtech,IT,2021-02-12,allbetsblackjack,playtech
Book of Egypt,87,4,Platipus,IT,2021-02-12,bookofegypt,platipus
Riches of Midgard: Land and Expand,88,4,NetEnt,IT,2021-02-12,richesofmidgardlandandexpand,netent
9 Masks Of Fire,89,11,Gameburger Studios,IT,2021-02-12,9masksoffire,gameburgerstudios
Age of the Gods King of Olympus,90,6,Playtech,IT,2021-02-12,ageofthegodskingofolympus,playtech
Age of the Gods,91,6,Playtech,IT,2021-02-12,ageofthegods,playtech
Age of the Gods: Mighty Midas,92,5,Playtech Origins,IT,2021-02-12,ageofthegodsmightymidas,playtechorigins
Wheel of Fortune on tour,93,5,IGT,IT,2021-02-12,wheeloffortuneontour,igt
Megaways Jack,94,4,IronDog,IT,2021-02-12,megawaysjack,irondog
Crazy Time,95,4,Evolution Gaming,IT,2021-02-12,crazytime,evolutiongaming
Diamond Bet Roulette,96,4,Playtech,IT,2021-02-12,diamondbetroulette,playtech
