Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Moon Princess,1,62,Play'n Go,JP,2021-02-12,moonprincess,playngo
Wolf Gold,2,72,Pragmatic Play,JP,2021-02-12,wolfgold,pragmaticplay
Hawaiian Dream,3,33,JTG,JP,2021-02-12,hawaiiandream,jtg
Book of Dead,4,72,Play'n Go,JP,2021-02-12,bookofdead,playngo
Gonzo's Quest Megaways,5,61,Red Tiger,JP,2021-02-12,gonzosquestmegaways,redtiger
Starburst,6,75,NetEnt,JP,2021-02-12,starburst,netent
Crazy Time,7,40,Evolution Gaming,JP,2021-02-12,crazytime,evolutiongaming
Reactoonz,8,61,Play'n Go,JP,2021-02-12,reactoonz,playngo
The Dog House Megaways,9,63,Pragmatic Play,JP,2021-02-12,thedoghousemegaways,pragmaticplay
Lightning Roulette,10,50,Evolution Gaming,JP,2021-02-12,lightningroulette,evolutiongaming
Oiran Dream,11,37,JTG,JP,2021-02-12,oirandream,jtg
Money Train 2,12,44,Relax Gaming,JP,2021-02-12,moneytrain2,relaxgaming
Sweet Bonanza,13,65,Pragmatic Play,JP,2021-02-12,sweetbonanza,pragmaticplay
Piggy Riches Megaways,14,54,Red Tiger,JP,2021-02-12,piggyrichesmegaways,redtiger
Multiplier Odyssey,15,41,Relax Gaming,JP,2021-02-12,multiplierodyssey,relaxgaming
Dinosaur Rage,16,47,Quickspin,JP,2021-02-12,dinosaurrage,quickspin
Fruit Party (Pragmatic Play),17,19,Pragmatic Play,JP,2021-02-12,fruitparty,pragmaticplay
Carnaval Jackpot,18,32,Pulse 8 Studios,JP,2021-02-12,carnavaljackpot,pulse8studios
"Betty, Boris And Boo",19,52,Red Tiger,JP,2021-02-12,bettyborisandboo,redtiger
Jammin' Jars,20,46,Push Gaming,JP,2021-02-12,jamminjars,pushgaming
Wild Swarm,21,39,Push Gaming,JP,2021-02-12,wildswarm,pushgaming
Blackjack (Relax),22,15,Relax Gaming,JP,2021-02-12,blackjack,relaxgaming
The Hand of Midas,23,38,Pragmatic Play,JP,2021-02-12,thehandofmidas,pragmaticplay
Engeki Rising x50,24,25,JTG,JP,2021-02-12,engekirisingx50,jtg
Rise Of Olympus,25,61,Play'n Go,JP,2021-02-12,riseofolympus,playngo
Thunder Screech,26,35,Play'n Go,JP,2021-02-12,thunderscreech,playngo
The Shadow Order,27,35,Push Gaming,JP,2021-02-12,theshadoworder,pushgaming
Legacy of Dead,28,65,Play'n Go,JP,2021-02-12,legacyofdead,playngo
Madame Destiny Megaways,29,49,Pragmatic Play,JP,2021-02-12,madamedestinymegaways,pragmaticplay
Speed Baccarat A,30,21,Evolution Gaming,JP,2021-02-12,speedbaccarata,evolutiongaming
100 Bit Dice,31,12,4ThePlayer,JP,2021-02-12,100bitdice,4theplayer
Razor Shark,32,42,Push Gaming,JP,2021-02-12,razorshark,pushgaming
Cat Wilde and the Eclipse of the Sun God,33,57,Play'n Go,JP,2021-02-12,catwildeandtheeclipseofthesungod,playngo
Tome of Madness,34,57,Play'n Go,JP,2021-02-12,tomeofmadness,playngo
San Quentin,35,42,Nolimit City,JP,2021-02-12,sanquentin,nolimitcity
Bounty Belles,36,47,iSoftBet,JP,2021-02-12,bountybelles,isoftbet
Honey Rush,37,59,Play'n Go,JP,2021-02-12,honeyrush,playngo
Lightning Baccarat,38,20,Evolution Gaming,JP,2021-02-12,lightningbaccarat,evolutiongaming
Eye of the Storm,39,46,Reel Kingdom,JP,2021-02-12,eyeofthestorm,reelkingdom
Juicy Joker Mega Moolah,40,24,JustForTheWin,JP,2021-02-12,juicyjokermegamoolah,justforthewin
John Hunter And The Book Of Tut,41,63,Pragmatic Play,JP,2021-02-12,johnhunterandthebookoftut,pragmaticplay
Fire Joker,42,55,Play'n Go,JP,2021-02-12,firejoker,playngo
Iron Bank,43,34,Relax Gaming,JP,2021-02-12,ironbank,relaxgaming
Fruit Shop Megaways,44,55,NetEnt,JP,2021-02-12,fruitshopmegaways,netent
