Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Carnaval Jackpot,1,12,Pulse 8 Studios,KR,2021-02-12,carnavaljackpot,pulse8studios
Thunder Screech,2,12,Play'n Go,KR,2021-02-12,thunderscreech,playngo
Fruit Shop Megaways,3,11,NetEnt,KR,2021-02-12,fruitshopmegaways,netent
Real Roulette with Bailey,4,11,Real Dealer Studios,KR,2021-02-12,realroulettewithbailey,realdealerstudios
Disco Diamonds,5,17,Play'n Go,KR,2021-02-12,discodiamonds,playngo
Tome of Madness,6,15,Play'n Go,KR,2021-02-12,tomeofmadness,playngo
Legacy Of Egypt,7,18,Play'n Go,KR,2021-02-12,legacyofegypt,playngo
Labyrinth Of Knossos,8,4,Dream Tech,KR,2021-02-12,labyrinthofknossos,dreamtech
Single Deck Blackjack MH,9,11,Play'n Go,KR,2021-02-12,singledeckblackjackmh,playngo
European Blackjack MH (Play'n Go),10,11,Play'n Go,KR,2021-02-12,europeanblackjackmh,playngo
Double Exposure Blackjack MH (Play'n Go),11,11,Play'n Go,KR,2021-02-12,doubleexposureblackjackmh,playngo
Multifire Roulette,12,13,Switch Studios,KR,2021-02-12,multifireroulette,switchstudios
Real Roulette with Caroline,13,13,Real Dealer Studios,KR,2021-02-12,realroulettewithcaroline,realdealerstudios
Viking Runecraft Bingo,14,14,Play'n Go,KR,2021-02-12,vikingrunecraftbingo,playngo
Park Bingo,15,14,Play'n Go,KR,2021-02-12,parkbingo,playngo
Hot Bingo,16,14,Play'n Go,KR,2021-02-12,hotbingo,playngo
Super Bola Bingo,17,14,Play'n Go,KR,2021-02-12,superbolabingo,playngo
Book of Dead,18,20,Play'n Go,KR,2021-02-12,bookofdead,playngo
Wild Trucks,19,15,Habanero,KR,2021-02-12,wildtrucks,habanero
Brilliant Gems,20,8,Ruby Play,KR,2021-02-12,brilliantgems,rubyplay
Wolf Gold,21,23,Pragmatic Play,KR,2021-02-12,wolfgold,pragmaticplay
Bonus Joker 2,22,11,Apollo Games,KR,2021-02-12,bonusjoker2,apollogames
Lightning Roulette,23,13,Evolution Gaming,KR,2021-02-12,lightningroulette,evolutiongaming
Boots Of Luck,24,10,Betixon,KR,2021-02-12,bootsofluck,betixon
777 Gems Respin,25,16,Booongo,KR,2021-02-12,777gemsrespin,booongo
Book Of Aztec,26,10,Amatic Industries,KR,2021-02-12,bookofaztec,amaticindustries
All Ways Fruits,27,10,Amatic Industries,KR,2021-02-12,allwaysfruits,amaticindustries
Aztec Coins,28,16,Platipus,KR,2021-02-12,azteccoins,platipus
Cleo's Gold,29,19,Platipus,KR,2021-02-12,cleosgold,platipus
Aztec Spell,30,18,Spinomenal,KR,2021-02-12,aztecspell,spinomenal
Queen of Bounty,31,11,PG Soft,KR,2021-02-12,queenofbounty,pgsoft
Ramses Treasure,32,16,GameArt,KR,2021-02-12,ramsestreasure,gameart
Vegans vs Vampires,33,10,gamevy,KR,2021-02-12,vegansvsvampires,gamevy
Caishen's Gift,34,13,Platipus,KR,2021-02-12,caishensgift,platipus
The Moneymania,35,12,Belatra Games,KR,2021-02-12,themoneymania,belatragames
Crazy Mix,36,15,TrueLab Games,KR,2021-02-12,crazymix,truelabgames
Eye of the Storm,37,18,Reel Kingdom,KR,2021-02-12,eyeofthestorm,reelkingdom
Buffalo Blitz,38,11,Playtech,KR,2021-02-12,buffaloblitz,playtech
Aztec Sun Hold and Win,39,16,Booongo,KR,2021-02-12,aztecsunholdandwin,booongo
Four Lucky Clover,40,14,BGAMING,KR,2021-02-12,fourluckyclover,bgaming
Fruit Cube,41,9,Spinmatic,KR,2021-02-12,fruitcube,spinmatic
Royal Crown Remastered,42,10,BF games,KR,2021-02-12,royalcrownremastered,bfgames
Book of Egypt,43,18,Platipus,KR,2021-02-12,bookofegypt,platipus
Sakura Fortune,44,19,Quickspin,KR,2021-02-12,sakurafortune,quickspin
Joker Gems,45,16,ELK Studios,KR,2021-02-12,jokergems,elkstudios
Jade Valley,46,17,Platipus,KR,2021-02-12,jadevalley,platipus
Bonanza,47,19,Big Time Gaming,KR,2021-02-12,bonanza,bigtimegaming
Ingots of Cai Shen,48,17,All41 Studios,KR,2021-02-12,ingotsofcaishen,all41studios
Ramses Rising,49,10,BF games,KR,2021-02-12,ramsesrising,bfgames
Moon Oak Deluxe,50,5,Swintt,KR,2021-02-12,moonoakdeluxe,swintt
"Betty, Boris And Boo",51,15,Red Tiger,KR,2021-02-12,bettyborisandboo,redtiger
Regal Beasts,52,15,Red Tiger,KR,2021-02-12,regalbeasts,redtiger
Crazy Time,53,7,Evolution Gaming,KR,2021-02-12,crazytime,evolutiongaming
Chicago Gold,54,17,PearFiction,KR,2021-02-12,chicagogold,pearfiction
Miss Wildfire,55,13,ELK Studios,KR,2021-02-12,misswildfire,elkstudios
An Escape from Alcatraz,56,14,Belatra Games,KR,2021-02-12,anescapefromalcatraz,belatragames
Age of the Gods,57,8,Playtech,KR,2021-02-12,ageofthegods,playtech
Bison Trail,58,19,Platipus,KR,2021-02-12,bisontrail,platipus
Aztec Magic Deluxe,59,17,BGAMING,KR,2021-02-12,aztecmagicdeluxe,bgaming
Madame Destiny Megaways,60,15,Pragmatic Play,KR,2021-02-12,madamedestinymegaways,pragmaticplay
