Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Divine Fortune,1,17,NetEnt,KZ,2021-02-12,divinefortune,netent
Super 15 Stars,2,7,Red Rake,KZ,2021-02-12,super15stars,redrake
Dead or Alive 2,3,20,NetEnt,KZ,2021-02-12,deadoralive2,netent
Sizzling 777 Deluxe,4,12,Wazdan,KZ,2021-02-12,sizzling777deluxe,wazdan
Wild Animals,5,10,Red Rake,KZ,2021-02-12,wildanimals,redrake
Loco Habanero,6,6,Ruby Play,KZ,2021-02-12,locohabanero,rubyplay
Unicorn Reels,7,9,Wazdan,KZ,2021-02-12,unicornreels,wazdan
Elephant Stampede,8,6,Ruby Play,KZ,2021-02-12,elephantstampede,rubyplay
Space Wars,9,16,NetEnt,KZ,2021-02-12,spacewars,netent
Chilli Pop,10,14,Betsoft,KZ,2021-02-12,chillipop,betsoft
Divine Fortune Megaways,11,15,NetEnt,KZ,2021-02-12,divinefortunemegaways,netent
Twin Spin Megaways,12,10,NetEnt,KZ,2021-02-12,twinspinmegaways,netent
Fruit Shop Megaways,13,12,NetEnt,KZ,2021-02-12,fruitshopmegaways,netent
Howling Wolves,14,12,Booming Games,KZ,2021-02-12,howlingwolves,boominggames
Vegas Wins,15,11,Booming Games,KZ,2021-02-12,vegaswins,boominggames
Book of Dead,16,16,Play'n Go,KZ,2021-02-12,bookofdead,playngo
Dark King Forbidden Riches,17,14,NetEnt,KZ,2021-02-12,darkkingforbiddenriches,netent
Take The Bank,18,13,Betsoft,KZ,2021-02-12,takethebank,betsoft
Wild Wild West,19,18,NetEnt,KZ,2021-02-12,wildwildwest,netent
Million 777,20,10,Red Rake,KZ,2021-02-12,million777,redrake
Back To Venus,21,13,Betsoft,KZ,2021-02-12,backtovenus,betsoft
Gold Vein,22,12,Booming Games,KZ,2021-02-12,goldvein,boominggames
Nordic Wild,23,5,Genii,KZ,2021-02-12,nordicwild,genii
7 Chakras,24,5,Genii,KZ,2021-02-12,7chakras,genii
Mother Of Horus,25,11,Red Rake,KZ,2021-02-12,motherofhorus,redrake
Pyramid: Quest for Immortality,26,17,NetEnt,KZ,2021-02-12,pyramidquestforimmortality,netent
Koi Princess,27,16,NetEnt,KZ,2021-02-12,koiprincess,netent
