Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,4,Play'n Go,LT,2021-02-12,bookofdead,playngo
Starburst,2,4,NetEnt,LT,2021-02-12,starburst,netent
Book of Ra deluxe,3,4,Greentube,LT,2021-02-12,bookofradeluxe,greentube
9 Lions,4,4,Wazdan,LT,2021-02-12,9lions,wazdan
Big Bad Wolf,5,4,Quickspin,LT,2021-02-12,bigbadwolf,quickspin
Gonzo's Quest,6,4,NetEnt,LT,2021-02-12,gonzosquest,netent
Fire'n'Hot,7,4,Tom Horn Gaming,LT,2021-02-12,firenhot,tomhorngaming
The Ninja,8,4,Endorphina,LT,2021-02-12,theninja,endorphina
Shining Crown,9,4,EGT,LT,2021-02-12,shiningcrown,egt
Butterfly Lovers,10,4,Wazdan,LT,2021-02-12,butterflylovers,wazdan
Hotline,11,4,NetEnt,LT,2021-02-12,hotline,netent
3 Hand Casino Hold'Em (Play'n Go),12,4,Play'n Go,LT,2021-02-12,3handcasinoholdem,playngo
Xmas Joker,13,4,Play'n Go,LT,2021-02-12,xmasjoker,playngo
Crystal Sun,14,4,Play'n Go,LT,2021-02-12,crystalsun,playngo
Rich World,15,4,EGT,LT,2021-02-12,richworld,egt
Legacy of Dead,16,4,Play'n Go,LT,2021-02-12,legacyofdead,playngo
Mystery Joker,17,4,Play'n Go,LT,2021-02-12,mysteryjoker,playngo
Perfect Gems,18,4,Play'n Go,LT,2021-02-12,perfectgems,playngo
The Dog House,19,4,Pragmatic Play,LT,2021-02-12,thedoghouse,pragmaticplay
Frozen Queen,20,4,Tom Horn Gaming,LT,2021-02-12,frozenqueen,tomhorngaming
Northern Sky,21,4,Quickspin,LT,2021-02-12,northernsky,quickspin
Crystal Queen,22,4,Quickspin,LT,2021-02-12,crystalqueen,quickspin
100 Super Hot,23,4,EGT,LT,2021-02-12,100superhot,egt
Blazing Ice,24,4,SYNOT,LT,2021-02-12,blazingice,synot
Secrets of Christmas,25,4,NetEnt,LT,2021-02-12,secretsofchristmas,netent
Supreme Hot,26,4,EGT,LT,2021-02-12,supremehot,egt
Wild North,27,4,Play'n Go,LT,2021-02-12,wildnorth,playngo
Butterfly Staxx 2,28,4,NetEnt,LT,2021-02-12,butterflystaxx2,netent
Route 777,29,0,ELK Studios,LT,2021-02-12,route777,elkstudios
The Dog House Megaways,30,0,Pragmatic Play,LT,2021-02-12,thedoghousemegaways,pragmaticplay
Curse of the Werewolf Megaways,31,0,Pragmatic Play,LT,2021-02-12,curseofthewerewolfmegaways,pragmaticplay
Amazons' Battle,32,5,EGT,LT,2021-02-12,amazonsbattle,egt
Flaming Hot,33,4,EGT,LT,2021-02-12,flaminghot,egt
Fruit Awards,34,4,SYNOT,LT,2021-02-12,fruitawards,synot
243 Crystal Fruits,35,4,Tom Horn Gaming,LT,2021-02-12,243crystalfruits,tomhorngaming
