Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Ra deluxe,1,6,Greentube,LV,2021-02-12,bookofradeluxe,greentube
Book of Dead,2,5,Play'n Go,LV,2021-02-12,bookofdead,playngo
Miss Wildfire,3,5,ELK Studios,LV,2021-02-12,misswildfire,elkstudios
40 Super Hot,4,4,EGT,LV,2021-02-12,40superhot,egt
100 Super Hot,5,5,EGT,LV,2021-02-12,100superhot,egt
Fruit Shop Megaways,6,4,NetEnt,LV,2021-02-12,fruitshopmegaways,netent
Multiplier Odyssey,7,4,Relax Gaming,LV,2021-02-12,multiplierodyssey,relaxgaming
Book of Ra,8,4,Greentube,LV,2021-02-12,bookofra,greentube
Divine Fortune,9,4,NetEnt,LV,2021-02-12,divinefortune,netent
Joker Action 6,10,4,Greentube,LV,2021-02-12,jokeraction6,greentube
Sizzling Hot deluxe,11,4,Greentube,LV,2021-02-12,sizzlinghotdeluxe,greentube
Mysterious Egypt,12,4,Pragmatic Play,LV,2021-02-12,mysteriousegypt,pragmaticplay
Lucky Ladyʼs Charm deluxe,13,4,Greentube,LV,2021-02-12,luckyladyscharmdeluxe,greentube
Imperial Riches,14,4,NetEnt,LV,2021-02-12,imperialriches,netent
Dead or Alive 2,15,4,NetEnt,LV,2021-02-12,deadoralive2,netent
Book of Ra deluxe 6,16,4,Greentube,LV,2021-02-12,bookofradeluxe6,greentube
Burning Hot,17,4,EGT,LV,2021-02-12,burninghot,egt
Ancient Dynasty,18,4,EGT,LV,2021-02-12,ancientdynasty,egt
Divine Fortune Megaways,19,4,NetEnt,LV,2021-02-12,divinefortunemegaways,netent
Lord Merlin and the Lady of the Lake,20,4,Play'n Go,LV,2021-02-12,lordmerlinandtheladyofthelake,playngo
Book of Gems Megaways,21,4,Skywind Group,LV,2021-02-12,bookofgemsmegaways,skywindgroup
5 Juggle Fruits,22,4,EGT,LV,2021-02-12,5jugglefruits,egt
San Quentin,23,4,Nolimit City,LV,2021-02-12,sanquentin,nolimitcity
Epic Crystal,24,4,Epic Industries,LV,2021-02-12,epiccrystal,epicindustries
Cat Wilde and the Eclipse of the Sun God,25,4,Play'n Go,LV,2021-02-12,catwildeandtheeclipseofthesungod,playngo
Treasures of Aztec,26,4,PG Soft,LV,2021-02-12,treasuresofaztec,pgsoft
