Name,Rank,Provider,Market,Date,Casinos,NameInternal,ProviderInternal
Lucky Neko,1,PG Soft,MT,2021-02-12,1,luckyneko,pgsoft
Chance Machine 5,2,Endorphina,MT,2021-02-12,1,chancemachine5,endorphina
Big Bass Bonanza,3,Reel Kingdom,MT,2021-02-12,1,bigbassbonanza,reelkingdom
RaRaRa,4,Golden Rock Studios,MT,2021-02-12,1,rarara,goldenrockstudios
Iron Bank,5,Relax Gaming,MT,2021-02-12,1,ironbank,relaxgaming
Chocolates,6,Big Time Gaming,MT,2021-02-12,1,chocolates,bigtimegaming
Monkey’s Gold,7,Nolimit City,MT,2021-02-12,1,monkeysgold,nolimitcity
Clash Of The Beasts,8,Red Tiger,MT,2021-02-12,1,clashofthebeasts,redtiger
Gems of Egypt Connecta Ways,9,Boomerang Studios,MT,2021-02-12,1,gemsofegyptconnectaways,boomerangstudios
Rock the Cash Bar,10,Northern Lights Gaming,MT,2021-02-12,1,rockthecashbar,northernlightsgaming
Money Train 2,11,Relax Gaming,MT,2021-02-12,1,moneytrain2,relaxgaming
Greta Goes Wild,12,iSoftBet,MT,2021-02-12,1,gretagoeswild,isoftbet
Bombuster,13,Red Tiger,MT,2021-02-12,1,bombuster,redtiger
Feline Fury,14,Play'n Go,MT,2021-02-12,1,felinefury,playngo
5 Families,15,Red Tiger,MT,2021-02-12,1,5families,redtiger
Aztec Gems Deluxe,16,Pragmatic Play,MT,2021-02-12,1,aztecgemsdeluxe,pragmaticplay
The Dog House Megaways,17,Pragmatic Play,MT,2021-02-12,1,thedoghousemegaways,pragmaticplay
Retro Galaxy,18,Half Pixel Studio,MT,2021-02-12,1,retrogalaxy,halfpixelstudio
Gems Gone Wild Power Reels,19,Red Tiger,MT,2021-02-12,1,gemsgonewildpowerreels,redtiger
Gonzo's Quest Megaways,20,Red Tiger,MT,2021-02-12,1,gonzosquestmegaways,redtiger
Ali Baba's Luck,21,Red Tiger,MT,2021-02-12,1,alibabasluck,redtiger
The Rise of AI,22,Endorphina,MT,2021-02-12,1,theriseofai,endorphina
Bounty Raid,23,Red Tiger,MT,2021-02-12,1,bountyraid,redtiger
