Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Wolf Gold,1,5,Pragmatic Play,MX,2021-02-12,wolfgold,pragmaticplay
Buffalo Blitz,2,5,Playtech,MX,2021-02-12,buffaloblitz,playtech
Neros Fortune,3,5,Quickspin,MX,2021-02-12,nerosfortune,quickspin
Age of the Gods God of Storms,4,4,Playtech Vikings,MX,2021-02-12,ageofthegodsgodofstorms,playtechvikings
Age of the Gods,5,4,Playtech,MX,2021-02-12,ageofthegods,playtech
Golden Glyph,6,4,Quickspin,MX,2021-02-12,goldenglyph,quickspin
Legacy of the Wild,7,4,Playtech Vikings,MX,2021-02-12,legacyofthewild,playtechvikings
Age of the Gods: Mighty Midas,8,4,Playtech Origins,MX,2021-02-12,ageofthegodsmightymidas,playtechorigins
Nian,9,4,KA Gaming,MX,2021-02-12,nian,kagaming
Epic Ape,10,4,Playtech,MX,2021-02-12,epicape,playtech
Spin Bingo,11,4,ZITRO,MX,2021-02-12,spinbingo,zitro
White King,12,4,Playtech,MX,2021-02-12,whiteking,playtech
Sun of Ra,13,4,Ruby Play,MX,2021-02-12,sunofra,rubyplay
Powermania Bonus Bingo,14,4,ZITRO,MX,2021-02-12,powermaniabonusbingo,zitro
Egyptian Sun,15,4,Ruby Play,MX,2021-02-12,egyptiansun,rubyplay
Gonzo's Quest Megaways,16,4,Red Tiger,MX,2021-02-12,gonzosquestmegaways,redtiger
Dragon Champions,17,4,Playtech,MX,2021-02-12,dragonchampions,playtech
Plenty O' Fortune,18,4,Playtech,MX,2021-02-12,plentyofortune,playtech
Arcane Beauties,19,4,Ruby Play,MX,2021-02-12,arcanebeauties,rubyplay
Star Gods,20,4,Golden Rock Studios,MX,2021-02-12,stargods,goldenrockstudios
Dragon 8s 25x,21,4,Ruby Play,MX,2021-02-12,dragon8s25x,rubyplay
Gladiator JP,22,4,Playtech,MX,2021-02-12,gladiatorjp,playtech
Buffalo Rising Megaways,23,4,Blueprint,MX,2021-02-12,buffalorisingmegaways,blueprint
