Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Elemental Princess,1,6,Dream Tech,MY,2021-02-12,elementalprincess,dreamtech
Aztec Gems,2,11,Pragmatic Play,MY,2021-02-12,aztecgems,pragmaticplay
Fire 88,3,12,Pragmatic Play,MY,2021-02-12,fire88,pragmaticplay
Caishen's Cash,4,11,Pragmatic Play,MY,2021-02-12,caishenscash,pragmaticplay
Blooming Riches,5,5,Virtual Tech,MY,2021-02-12,bloomingriches,virtualtech
Panda Payday,6,6,Aspect Gaming,MY,2021-02-12,pandapayday,aspectgaming
Big Money Frenzy,7,4,Blueprint,MY,2021-02-12,bigmoneyfrenzy,blueprint
Blirix Workshop,8,6,IronDog,MY,2021-02-12,blirixworkshop,irondog
Dragon Kingdom Eyes of Fire,9,6,Pragmatic Play,MY,2021-02-12,dragonkingdomeyesoffire,pragmaticplay
Divine Dragon: Hold and Win,10,8,Playson,MY,2021-02-12,divinedragonholdandwin,playson
The Hand of Midas,11,11,Pragmatic Play,MY,2021-02-12,thehandofmidas,pragmaticplay
Eye of the Storm,12,10,Reel Kingdom,MY,2021-02-12,eyeofthestorm,reelkingdom
Book of Dead,13,10,Play'n Go,MY,2021-02-12,bookofdead,playngo
Goddess Of Lotus,14,9,Spinomenal,MY,2021-02-12,goddessoflotus,spinomenal
Fruit Shop Megaways,15,10,NetEnt,MY,2021-02-12,fruitshopmegaways,netent
Lightning Roulette,16,5,Evolution Gaming,MY,2021-02-12,lightningroulette,evolutiongaming
Prissy Princess,17,10,Play'n Go,MY,2021-02-12,prissyprincess,playngo
Wild Trucks,18,7,Habanero,MY,2021-02-12,wildtrucks,habanero
Carnaval Jackpot,19,7,Pulse 8 Studios,MY,2021-02-12,carnavaljackpot,pulse8studios
Brilliant Gems,20,7,Ruby Play,MY,2021-02-12,brilliantgems,rubyplay
Fruit Million,21,6,BGAMING,MY,2021-02-12,fruitmillion,bgaming
Buffalo Power Hold and Win,22,8,Playson,MY,2021-02-12,buffalopowerholdandwin,playson
Chicago Gold,23,8,PearFiction,MY,2021-02-12,chicagogold,pearfiction
Elvis Frog in Vegas,24,9,BGAMING,MY,2021-02-12,elvisfroginvegas,bgaming
Boots Of Luck,25,4,Betixon,MY,2021-02-12,bootsofluck,betixon
Arena of Gold,26,4,All41 Studios,MY,2021-02-12,arenaofgold,all41studios
Assassin Moon,27,8,Triple Edge Studios,MY,2021-02-12,assassinmoon,tripleedgestudios
Augustus,28,7,Neon Valley Studios,MY,2021-02-12,augustus,neonvalleystudios
Book of Atem,29,8,All41 Studios,MY,2021-02-12,bookofatem,all41studios
Electric Avenue,30,9,All41 Studios,MY,2021-02-12,electricavenue,all41studios
Forgotten Island Megaways,31,9,All41 Studios,MY,2021-02-12,forgottenislandmegaways,all41studios
Madame Destiny Megaways,32,10,Pragmatic Play,MY,2021-02-12,madamedestinymegaways,pragmaticplay
Dinosaur Rage,33,8,Quickspin,MY,2021-02-12,dinosaurrage,quickspin
Legend of Cleopatra Megaways,34,4,Playson,MY,2021-02-12,legendofcleopatramegaways,playson
Golden Stallion,35,8,Northern Lights Gaming,MY,2021-02-12,goldenstallion,northernlightsgaming
Big Bad Wolf Christmas Special,36,8,Quickspin,MY,2021-02-12,bigbadwolfchristmasspecial,quickspin
Ingots of Cai Shen,37,9,All41 Studios,MY,2021-02-12,ingotsofcaishen,all41studios
Tarzan and the Jewels of Opar,38,10,Gameburger Studios,MY,2021-02-12,tarzanandthejewelsofopar,gameburgerstudios
Tiki Reward,39,5,All41 Studios,MY,2021-02-12,tikireward,all41studios
Cowboys Gold,40,13,Pragmatic Play,MY,2021-02-12,cowboysgold,pragmaticplay
Dead or Alive 2,41,10,NetEnt,MY,2021-02-12,deadoralive2,netent
Wanted Outlaws,42,9,All41 Studios,MY,2021-02-12,wantedoutlaws,all41studios
Majestic King,43,9,Spinomenal,MY,2021-02-12,majesticking,spinomenal
777 Gems Respin,44,7,Booongo,MY,2021-02-12,777gemsrespin,booongo
Gems Bonanza,45,13,Pragmatic Play,MY,2021-02-12,gemsbonanza,pragmaticplay
Book Of Rebirth Reloaded,46,8,Spinomenal,MY,2021-02-12,bookofrebirthreloaded,spinomenal
Crystal Sun,47,9,Play'n Go,MY,2021-02-12,crystalsun,playngo
Infinite Blackjack,48,4,Evolution Gaming,MY,2021-02-12,infiniteblackjack,evolutiongaming
Egyptian Rebirth II,49,9,Spinomenal,MY,2021-02-12,egyptianrebirthii,spinomenal
Dragon Tiger First Person,50,10,Evolution Gaming,MY,2021-02-12,dragontigerfirstperson,evolutiongaming
88 Dragons Treasure,51,7,Belatra Games,MY,2021-02-12,88dragonstreasure,belatragames
Piggy Bank 1x2,52,9,1X2gaming,MY,2021-02-12,piggybank1x2,1x2gaming
Speed Baccarat A,53,4,Evolution Gaming,MY,2021-02-12,speedbaccarata,evolutiongaming
Real Roulette with Bailey,54,4,Real Dealer Studios,MY,2021-02-12,realroulettewithbailey,realdealerstudios
Wild West Wilds,55,4,Playtech Vikings,MY,2021-02-12,wildwestwilds,playtechvikings
Wild Lava,56,4,Playtech Origins,MY,2021-02-12,wildlava,playtechorigins
Stallion Strike,57,4,Ash Gaming,MY,2021-02-12,stallionstrike,ashgaming
Retro Rush,58,4,Playtech Vikings,MY,2021-02-12,retrorush,playtechvikings
Lucky Emeralds,59,4,Playtech Origins,MY,2021-02-12,luckyemeralds,playtechorigins
Lotus Heart,60,4,Playtech,MY,2021-02-12,lotusheart,playtech
Kanpai Banzai,61,4,Playtech,MY,2021-02-12,kanpaibanzai,playtech
Gonzo's Quest Megaways,62,11,Red Tiger,MY,2021-02-12,gonzosquestmegaways,redtiger
Aztec Spell,63,9,Spinomenal,MY,2021-02-12,aztecspell,spinomenal
Cupids Strike 2,64,10,Spinomenal,MY,2021-02-12,cupidsstrike2,spinomenal
Magical Amazon,65,10,Spinomenal,MY,2021-02-12,magicalamazon,spinomenal
Lord Fortune,66,10,Booongo,MY,2021-02-12,lordfortune,booongo
Feline Fury,67,8,Play'n Go,MY,2021-02-12,felinefury,playngo
Maximus Reels,68,8,Cayetano Gaming,MY,2021-02-12,maximusreels,cayetanogaming
The Night Racing,69,6,Belatra Games,MY,2021-02-12,thenightracing,belatragames
5 Lions Dance,70,12,Pragmatic Play,MY,2021-02-12,5lionsdance,pragmaticplay
Dragon Egg,71,9,Tom Horn Gaming,MY,2021-02-12,dragonegg,tomhorngaming
Ramses Treasure,72,6,GameArt,MY,2021-02-12,ramsestreasure,gameart
Alchemy Fortunes,73,6,All41 Studios,MY,2021-02-12,alchemyfortunes,all41studios
Vegans vs Vampires,74,4,gamevy,MY,2021-02-12,vegansvsvampires,gamevy
Nights Of Magic,75,9,Spinomenal,MY,2021-02-12,nightsofmagic,spinomenal
Bison Trail,76,7,Platipus,MY,2021-02-12,bisontrail,platipus
Dream Date,77,9,Microgaming,MY,2021-02-12,dreamdate,microgaming
Penny Fruits,78,9,Spinomenal,MY,2021-02-12,pennyfruits,spinomenal
9 Lions,79,6,Wazdan,MY,2021-02-12,9lions,wazdan
Hot Blizzard,80,9,Tom Horn Gaming,MY,2021-02-12,hotblizzard,tomhorngaming
5 Super Sevens & Fruits: 6 Reels,81,7,Playson,MY,2021-02-12,5supersevensfruits6reels,playson
15 Dragon Pearls,82,7,Booongo,MY,2021-02-12,15dragonpearls,booongo
Majestic King Expanded Edition,83,7,Spinomenal,MY,2021-02-12,majestickingexpandededition,spinomenal
Caishen's Gift,84,6,Platipus,MY,2021-02-12,caishensgift,platipus
Diamond Hill,85,9,Tom Horn Gaming,MY,2021-02-12,diamondhill,tomhorngaming
Lotus Love,86,10,Booming Games,MY,2021-02-12,lotuslove,boominggames
East Coast vs West Coast,87,10,Nolimit City,MY,2021-02-12,eastcoastvswestcoast,nolimitcity
Demi Gods IV Christmas Edition,88,8,Spinomenal,MY,2021-02-12,demigodsivchristmasedition,spinomenal
Sunny Fruits: Hold and Win,89,9,Playson,MY,2021-02-12,sunnyfruitsholdandwin,playson
The Moneymania,90,5,Belatra Games,MY,2021-02-12,themoneymania,belatragames
Fairytale Fortune,91,12,Pragmatic Play,MY,2021-02-12,fairytalefortune,pragmaticplay
Shaolin Tiger,92,8,Tom Horn Gaming,MY,2021-02-12,shaolintiger,tomhorngaming
Immortal Romance,93,9,Microgaming,MY,2021-02-12,immortalromance,microgaming
Crazy Mix,94,6,TrueLab Games,MY,2021-02-12,crazymix,truelabgames
Fruits On Ice,95,7,Spinomenal,MY,2021-02-12,fruitsonice,spinomenal
Divine Fortune Megaways,96,8,NetEnt,MY,2021-02-12,divinefortunemegaways,netent
Cleo's Gold,97,7,Platipus,MY,2021-02-12,cleosgold,platipus
Secret Admirer,98,9,Microgaming,MY,2021-02-12,secretadmirer,microgaming
Rome The Golden Age,99,9,NetEnt,MY,2021-02-12,romethegoldenage,netent
Thunder Screech,100,7,Play'n Go,MY,2021-02-12,thunderscreech,playngo
