Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,39,Play'n Go,NL,2021-02-12,bookofdead,playngo
Starburst,2,44,NetEnt,NL,2021-02-12,starburst,netent
Legacy of Dead,3,36,Play'n Go,NL,2021-02-12,legacyofdead,playngo
The Hand of Midas,4,19,Pragmatic Play,NL,2021-02-12,thehandofmidas,pragmaticplay
Gonzo's Quest,5,40,NetEnt,NL,2021-02-12,gonzosquest,netent
Bonanza,6,37,Big Time Gaming,NL,2021-02-12,bonanza,bigtimegaming
Fire Joker,7,32,Play'n Go,NL,2021-02-12,firejoker,playngo
Reactoonz,8,35,Play'n Go,NL,2021-02-12,reactoonz,playngo
Wolf Gold,9,36,Pragmatic Play,NL,2021-02-12,wolfgold,pragmaticplay
Lightning Roulette,10,20,Evolution Gaming,NL,2021-02-12,lightningroulette,evolutiongaming
Cat Wilde and the Eclipse of the Sun God,11,32,Play'n Go,NL,2021-02-12,catwildeandtheeclipseofthesungod,playngo
Thunder Screech,12,21,Play'n Go,NL,2021-02-12,thunderscreech,playngo
Piggy Riches Megaways,13,34,Red Tiger,NL,2021-02-12,piggyrichesmegaways,redtiger
Eye of the Storm,14,25,Reel Kingdom,NL,2021-02-12,eyeofthestorm,reelkingdom
Reactoonz 2,15,32,Play'n Go,NL,2021-02-12,reactoonz2,playngo
Divine Fortune,16,37,NetEnt,NL,2021-02-12,divinefortune,netent
Crazy Time,17,19,Evolution Gaming,NL,2021-02-12,crazytime,evolutiongaming
East Coast vs West Coast,18,21,Nolimit City,NL,2021-02-12,eastcoastvswestcoast,nolimitcity
Bounty Belles,19,17,iSoftBet,NL,2021-02-12,bountybelles,isoftbet
Sweet Bonanza,20,31,Pragmatic Play,NL,2021-02-12,sweetbonanza,pragmaticplay
Riches of Midgard: Land and Expand,21,28,NetEnt,NL,2021-02-12,richesofmidgardlandandexpand,netent
John Hunter And The Book Of Tut,22,34,Pragmatic Play,NL,2021-02-12,johnhunterandthebookoftut,pragmaticplay
Dead or Alive 2,23,36,NetEnt,NL,2021-02-12,deadoralive2,netent
The Dog House Megaways,24,33,Pragmatic Play,NL,2021-02-12,thedoghousemegaways,pragmaticplay
