Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,299,Play'n Go,NO,2021-02-12,bookofdead,playngo
Starburst,2,332,NetEnt,NO,2021-02-12,starburst,netent
Gonzo's Quest,3,312,NetEnt,NO,2021-02-12,gonzosquest,netent
Gonzo's Quest Megaways,4,227,Red Tiger,NO,2021-02-12,gonzosquestmegaways,redtiger
Fire Joker,5,267,Play'n Go,NO,2021-02-12,firejoker,playngo
Bonanza,6,311,Big Time Gaming,NO,2021-02-12,bonanza,bigtimegaming
Legacy of Dead,7,267,Play'n Go,NO,2021-02-12,legacyofdead,playngo
Lightning Roulette,8,209,Evolution Gaming,NO,2021-02-12,lightningroulette,evolutiongaming
Wolf Gold,9,280,Pragmatic Play,NO,2021-02-12,wolfgold,pragmaticplay
Reactoonz,10,258,Play'n Go,NO,2021-02-12,reactoonz,playngo
Divine Fortune,11,265,NetEnt,NO,2021-02-12,divinefortune,netent
Crazy Time,12,179,Evolution Gaming,NO,2021-02-12,crazytime,evolutiongaming
Mystery Joker,13,235,Play'n Go,NO,2021-02-12,mysteryjoker,playngo
Thunder Screech,14,174,Play'n Go,NO,2021-02-12,thunderscreech,playngo
Twin Spin,15,298,NetEnt,NO,2021-02-12,twinspin,netent
Cat Wilde and the Eclipse of the Sun God,16,215,Play'n Go,NO,2021-02-12,catwildeandtheeclipseofthesungod,playngo
Dinosaur Rage,17,157,Quickspin,NO,2021-02-12,dinosaurrage,quickspin
Reactoonz 2,18,246,Play'n Go,NO,2021-02-12,reactoonz2,playngo
The Hand of Midas,19,122,Pragmatic Play,NO,2021-02-12,thehandofmidas,pragmaticplay
Sweet Bonanza,20,269,Pragmatic Play,NO,2021-02-12,sweetbonanza,pragmaticplay
Piggy Riches Megaways,21,267,Red Tiger,NO,2021-02-12,piggyrichesmegaways,redtiger
Lord Merlin and the Lady of the Lake,22,205,Play'n Go,NO,2021-02-12,lordmerlinandtheladyofthelake,playngo
Mega Moolah,23,138,Microgaming,NO,2021-02-12,megamoolah,microgaming
"Betty, Boris And Boo",24,163,Red Tiger,NO,2021-02-12,bettyborisandboo,redtiger
Juicy Joker Mega Moolah,25,72,JustForTheWin,NO,2021-02-12,juicyjokermegamoolah,justforthewin
Carnaval Jackpot,26,87,Pulse 8 Studios,NO,2021-02-12,carnavaljackpot,pulse8studios
Jackpot 6000,27,168,NetEnt,NO,2021-02-12,jackpot6000,netent
Monopoly Live,28,106,Evolution Gaming,NO,2021-02-12,monopolylive,evolutiongaming
Eye of the Storm,29,158,Reel Kingdom,NO,2021-02-12,eyeofthestorm,reelkingdom
Sakura Fortune,30,234,Quickspin,NO,2021-02-12,sakurafortune,quickspin
Immortal Romance,31,228,Microgaming,NO,2021-02-12,immortalromance,microgaming
Money Train 2,32,163,Relax Gaming,NO,2021-02-12,moneytrain2,relaxgaming
Mustang Gold,33,267,Pragmatic Play,NO,2021-02-12,mustanggold,pragmaticplay
Madame Destiny Megaways,34,168,Pragmatic Play,NO,2021-02-12,madamedestinymegaways,pragmaticplay
Jack and the Beanstalk,35,256,NetEnt,NO,2021-02-12,jackandthebeanstalk,netent
Big Bass Bonanza,36,189,Reel Kingdom,NO,2021-02-12,bigbassbonanza,reelkingdom
Rise Of Olympus,37,250,Play'n Go,NO,2021-02-12,riseofolympus,playngo
Mystery Reels,38,254,Red Tiger,NO,2021-02-12,mysteryreels,redtiger
Fluffy Favourites,39,115,Eyecon,NO,2021-02-12,fluffyfavourites,eyecon
Chicago Gold,40,158,PearFiction,NO,2021-02-12,chicagogold,pearfiction
John Hunter Tomb of the Scarab Queen,41,242,Pragmatic Play,NO,2021-02-12,johnhuntertombofthescarabqueen,pragmaticplay
Fruity Friends,42,89,NeoGames,NO,2021-02-12,fruityfriends,neogames
10001 Nights,43,168,Red Tiger,NO,2021-02-12,10001nights,redtiger
Fruit Shop Megaways,44,181,NetEnt,NO,2021-02-12,fruitshopmegaways,netent
Dragon's Luck,45,256,Red Tiger,NO,2021-02-12,dragonsluck,redtiger
Aloha! Cluster Pays,46,293,NetEnt,NO,2021-02-12,alohaclusterpays,netent
Absolootly Mad: Mega Moolah,47,96,Triple Edge Studios,NO,2021-02-12,absolootlymadmegamoolah,tripleedgestudios
Hyper Strike,48,220,Gameburger Studios,NO,2021-02-12,hyperstrike,gameburgerstudios
The Dog House,49,258,Pragmatic Play,NO,2021-02-12,thedoghouse,pragmaticplay
Mega Fortune,50,133,NetEnt,NO,2021-02-12,megafortune,netent
The Dog House Megaways,51,248,Pragmatic Play,NO,2021-02-12,thedoghousemegaways,pragmaticplay
John Hunter And The Book Of Tut,52,258,Pragmatic Play,NO,2021-02-12,johnhunterandthebookoftut,pragmaticplay
Razor Shark,53,161,Push Gaming,NO,2021-02-12,razorshark,pushgaming
Extra Chilli,54,275,Big Time Gaming,NO,2021-02-12,extrachilli,bigtimegaming
Vikings Go Berzerk,55,146,Yggdrasil,NO,2021-02-12,vikingsgoberzerk,yggdrasil
Sisters of OZ WowPot,56,89,Triple Edge Studios,NO,2021-02-12,sistersofozwowpot,tripleedgestudios
Divine Fortune Megaways,57,259,NetEnt,NO,2021-02-12,divinefortunemegaways,netent
Jammin' Jars,58,161,Push Gaming,NO,2021-02-12,jamminjars,pushgaming
Wheel Of Wishes,59,80,Alchemy Gaming,NO,2021-02-12,wheelofwishes,alchemygaming
Power of the Gods,60,94,Pariplay,NO,2021-02-12,powerofthegods,pariplay
Mystery Joker 6000,61,215,Play'n Go,NO,2021-02-12,mysteryjoker6000,playngo
Miss Wildfire,62,154,ELK Studios,NO,2021-02-12,misswildfire,elkstudios
Mighty Sphinx,63,68,NeoGames,NO,2021-02-12,mightysphinx,neogames
Twin Spin Megaways,64,243,NetEnt,NO,2021-02-12,twinspinmegaways,netent
Bar Slot,65,125,Golden Rock Studios,NO,2021-02-12,barslot,goldenrockstudios
Bull in a China Shop,66,211,Play'n Go,NO,2021-02-12,bullinachinashop,playngo
Rabbit Hole Riches,67,203,Play'n Go,NO,2021-02-12,rabbitholeriches,playngo
Valley Of The Gods,68,145,Yggdrasil,NO,2021-02-12,valleyofthegods,yggdrasil
Rise of Merlin,69,250,Play'n Go,NO,2021-02-12,riseofmerlin,playngo
Moon Princess,70,220,Play'n Go,NO,2021-02-12,moonprincess,playngo
Miner Donkey Trouble,71,209,Play'n Go,NO,2021-02-12,minerdonkeytrouble,playngo
Ramses Book,72,159,Gamomat,NO,2021-02-12,ramsesbook,gamomat
Valley Of The Gods 2,73,136,Yggdrasil,NO,2021-02-12,valleyofthegods2,yggdrasil
Dark King Forbidden Riches,74,241,NetEnt,NO,2021-02-12,darkkingforbiddenriches,netent
Hall of Gods,75,114,NetEnt,NO,2021-02-12,hallofgods,netent
Bounty Belles,76,103,iSoftBet,NO,2021-02-12,bountybelles,isoftbet
Respin Joker,77,79,SYNOT,NO,2021-02-12,respinjoker,synot
Atlantean Treasures Mega Moolah,78,91,Neon Valley Studios,NO,2021-02-12,atlanteantreasuresmegamoolah,neonvalleystudios
Dead or Alive 2,79,246,NetEnt,NO,2021-02-12,deadoralive2,netent
East Coast vs West Coast,80,113,Nolimit City,NO,2021-02-12,eastcoastvswestcoast,nolimitcity
Great Rhino Megaways,81,213,Pragmatic Play,NO,2021-02-12,greatrhinomegaways,pragmaticplay
Respin Mania,82,105,Skywind Group,NO,2021-02-12,respinmania,skywindgroup
Gold Cash Free Spins,83,116,Inspired Gaming,NO,2021-02-12,goldcashfreespins,inspiredgaming
Hot Wild 7s,84,97,Pariplay,NO,2021-02-12,hotwild7s,pariplay
Ready Set Cash,85,99,Skywind Group,NO,2021-02-12,readysetcash,skywindgroup
Riches of Midgard: Land and Expand,86,213,NetEnt,NO,2021-02-12,richesofmidgardlandandexpand,netent
Buffalo Power Hold and Win,87,126,Playson,NO,2021-02-12,buffalopowerholdandwin,playson
Ice Joker,88,226,Play'n Go,NO,2021-02-12,icejoker,playngo
Book of Cleopatra Super Stake Edition,89,122,StakeLogic,NO,2021-02-12,bookofcleopatrasuperstakeedition,stakelogic
Forgotten Island Megaways,90,182,All41 Studios,NO,2021-02-12,forgottenislandmegaways,all41studios
Tome of Madness,91,244,Play'n Go,NO,2021-02-12,tomeofmadness,playngo
9 Lions,92,180,Wazdan,NO,2021-02-12,9lions,wazdan
War of Gods,93,166,Red Tiger,NO,2021-02-12,warofgods,redtiger
Trollpot 5000,94,228,NetEnt,NO,2021-02-12,trollpot5000,netent
Coils of Cash,95,229,Play'n Go,NO,2021-02-12,coilsofcash,playngo
Chilli Heat,96,265,Pragmatic Play,NO,2021-02-12,chilliheat,pragmaticplay
Magic Mirror Deluxe 2,97,146,Merkur,NO,2021-02-12,magicmirrordeluxe2,merkur
Aloha! Christmas,98,236,NetEnt,NO,2021-02-12,alohachristmas,netent
Thunderstruck II,99,237,Microgaming,NO,2021-02-12,thunderstruckii,microgaming
Madame Ink,100,220,Play'n Go,NO,2021-02-12,madameink,playngo
