Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,136,Play'n Go,NZ,2021-02-12,bookofdead,playngo
Starburst,2,153,NetEnt,NZ,2021-02-12,starburst,netent
Wolf Gold,3,142,Pragmatic Play,NZ,2021-02-12,wolfgold,pragmaticplay
Gonzo's Quest Megaways,4,114,Red Tiger,NZ,2021-02-12,gonzosquestmegaways,redtiger
Lightning Roulette,5,102,Evolution Gaming,NZ,2021-02-12,lightningroulette,evolutiongaming
Piggy Riches Megaways,6,122,Red Tiger,NZ,2021-02-12,piggyrichesmegaways,redtiger
John Hunter And The Book Of Tut,7,128,Pragmatic Play,NZ,2021-02-12,johnhunterandthebookoftut,pragmaticplay
Gonzo's Quest,8,144,NetEnt,NZ,2021-02-12,gonzosquest,netent
Crazy Time,9,95,Evolution Gaming,NZ,2021-02-12,crazytime,evolutiongaming
Thunder Screech,10,74,Play'n Go,NZ,2021-02-12,thunderscreech,playngo
Bonanza,11,139,Big Time Gaming,NZ,2021-02-12,bonanza,bigtimegaming
Legacy of Dead,12,107,Play'n Go,NZ,2021-02-12,legacyofdead,playngo
The Hand of Midas,13,55,Pragmatic Play,NZ,2021-02-12,thehandofmidas,pragmaticplay
Ramses Book,14,66,Gamomat,NZ,2021-02-12,ramsesbook,gamomat
Ruler of Egypt,15,27,Lady Luck Games,NZ,2021-02-12,rulerofegypt,ladyluckgames
The Dog House Megaways,16,112,Pragmatic Play,NZ,2021-02-12,thedoghousemegaways,pragmaticplay
Crystal Ball,17,72,Gamomat,NZ,2021-02-12,crystalball,gamomat
Weight of the Gun,18,27,Lady Luck Games,NZ,2021-02-12,weightofthegun,ladyluckgames
Fancy Fruits,19,66,Gamomat,NZ,2021-02-12,fancyfruits,gamomat
Fire Joker,20,109,Play'n Go,NZ,2021-02-12,firejoker,playngo
Mega Moolah,21,53,Microgaming,NZ,2021-02-12,megamoolah,microgaming
Buffalo Power Hold and Win,22,68,Playson,NZ,2021-02-12,buffalopowerholdandwin,playson
Gold Vein,23,95,Booming Games,NZ,2021-02-12,goldvein,boominggames
Reactoonz,24,112,Play'n Go,NZ,2021-02-12,reactoonz,playngo
Cat Wilde and the Eclipse of the Sun God,25,94,Play'n Go,NZ,2021-02-12,catwildeandtheeclipseofthesungod,playngo
Jewel Scarabs,26,105,Red Tiger,NZ,2021-02-12,jewelscarabs,redtiger
Wild Diamond 7x,27,74,Booming Games,NZ,2021-02-12,wilddiamond7x,boominggames
Take 5,28,64,Gamomat,NZ,2021-02-12,take5,gamomat
Books And Pearls,29,59,Gamomat,NZ,2021-02-12,booksandpearls,gamomat
Orango Tango,30,27,Lady Luck Games,NZ,2021-02-12,orangotango,ladyluckgames
Sweet Bonanza,31,127,Pragmatic Play,NZ,2021-02-12,sweetbonanza,pragmaticplay
Royal Seven XXL,32,64,Gamomat,NZ,2021-02-12,royalsevenxxl,gamomat
Sticky Diamonds,33,62,Gamomat,NZ,2021-02-12,stickydiamonds,gamomat
Reactoonz 2,34,101,Play'n Go,NZ,2021-02-12,reactoonz2,playngo
Money Train 2,35,65,Relax Gaming,NZ,2021-02-12,moneytrain2,relaxgaming
Fancy Fruits Respins Of Amun-Re,36,57,Gamomat,NZ,2021-02-12,fancyfruitsrespinsofamunre,gamomat
Carnaval Jackpot,37,41,Pulse 8 Studios,NZ,2021-02-12,carnavaljackpot,pulse8studios
Dinosaur Rage,38,65,Quickspin,NZ,2021-02-12,dinosaurrage,quickspin
9 Masks Of Fire,39,119,Gameburger Studios,NZ,2021-02-12,9masksoffire,gameburgerstudios
Thunderstruck II,40,108,Microgaming,NZ,2021-02-12,thunderstruckii,microgaming
Razor Shark,41,58,Push Gaming,NZ,2021-02-12,razorshark,pushgaming
Twin Spin Megaways,42,110,NetEnt,NZ,2021-02-12,twinspinmegaways,netent
Divine Fortune,43,116,NetEnt,NZ,2021-02-12,divinefortune,netent
Monopoly Live,44,49,Evolution Gaming,NZ,2021-02-12,monopolylive,evolutiongaming
Mustang Gold,45,126,Pragmatic Play,NZ,2021-02-12,mustanggold,pragmaticplay
Eye of the Storm,46,85,Reel Kingdom,NZ,2021-02-12,eyeofthestorm,reelkingdom
"Betty, Boris And Boo",47,70,Red Tiger,NZ,2021-02-12,bettyborisandboo,redtiger
Immortal Romance,48,91,Microgaming,NZ,2021-02-12,immortalromance,microgaming
Break da Bank Again,49,86,Microgaming,NZ,2021-02-12,breakdabankagain,microgaming
Dead or Alive 2,50,118,NetEnt,NZ,2021-02-12,deadoralive2,netent
John Hunter Tomb of the Scarab Queen,51,117,Pragmatic Play,NZ,2021-02-12,johnhuntertombofthescarabqueen,pragmaticplay
Power Blackjack,52,45,Evolution Gaming,NZ,2021-02-12,powerblackjack,evolutiongaming
Chilli Heat,53,129,Pragmatic Play,NZ,2021-02-12,chilliheat,pragmaticplay
Great Rhino Megaways,54,104,Pragmatic Play,NZ,2021-02-12,greatrhinomegaways,pragmaticplay
Twin Spin,55,128,NetEnt,NZ,2021-02-12,twinspin,netent
San Quentin,56,65,Nolimit City,NZ,2021-02-12,sanquentin,nolimitcity
Deadwood,57,73,Nolimit City,NZ,2021-02-12,deadwood,nolimitcity
Master Joker,58,88,Pragmatic Play,NZ,2021-02-12,masterjoker,pragmaticplay
Cupids Strike 2,59,38,Spinomenal,NZ,2021-02-12,cupidsstrike2,spinomenal
The Dog House,60,118,Pragmatic Play,NZ,2021-02-12,thedoghouse,pragmaticplay
Clover Lady,61,49,Wazdan,NZ,2021-02-12,cloverlady,wazdan
