Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Wolf Gold,1,23,Pragmatic Play,PE,2021-02-12,wolfgold,pragmaticplay
Book of Dead,2,18,Play'n Go,PE,2021-02-12,bookofdead,playngo
Gonzo's Quest Megaways,3,25,Red Tiger,PE,2021-02-12,gonzosquestmegaways,redtiger
Starburst,4,28,NetEnt,PE,2021-02-12,starburst,netent
Crazy Time,5,20,Evolution Gaming,PE,2021-02-12,crazytime,evolutiongaming
Ramses Book,6,14,Gamomat,PE,2021-02-12,ramsesbook,gamomat
Lightning Roulette,7,23,Evolution Gaming,PE,2021-02-12,lightningroulette,evolutiongaming
Ruler of Egypt,8,11,Lady Luck Games,PE,2021-02-12,rulerofegypt,ladyluckgames
Crystal Ball,9,14,Gamomat,PE,2021-02-12,crystalball,gamomat
Weight of the Gun,10,11,Lady Luck Games,PE,2021-02-12,weightofthegun,ladyluckgames
Fancy Fruits,11,13,Gamomat,PE,2021-02-12,fancyfruits,gamomat
Quantum Roulette,12,13,Playtech,PE,2021-02-12,quantumroulette,playtech
Sweet Bonanza,13,23,Pragmatic Play,PE,2021-02-12,sweetbonanza,pragmaticplay
Royal Seven XXL,14,12,Gamomat,PE,2021-02-12,royalsevenxxl,gamomat
La Mina de Oro Plus,15,12,MGA,PE,2021-02-12,laminadeoroplus,mga
Roman Power,16,14,SpinPlay Games,PE,2021-02-12,romanpower,spinplaygames
Parrot Bay,17,6,Red Rake,PE,2021-02-12,parrotbay,redrake
John Hunter Tomb of the Scarab Queen,18,23,Pragmatic Play,PE,2021-02-12,johnhuntertombofthescarabqueen,pragmaticplay
Le Kaffee Bar,19,14,All41 Studios,PE,2021-02-12,lekaffeebar,all41studios
Joker's Jewels,20,22,Pragmatic Play,PE,2021-02-12,jokersjewels,pragmaticplay
Books And Pearls,21,13,Gamomat,PE,2021-02-12,booksandpearls,gamomat
Jewel Scarabs,22,25,Red Tiger,PE,2021-02-12,jewelscarabs,redtiger
Take 5,23,13,Gamomat,PE,2021-02-12,take5,gamomat
Orango Tango,24,11,Lady Luck Games,PE,2021-02-12,orangotango,ladyluckgames
Sticky Diamonds,25,12,Gamomat,PE,2021-02-12,stickydiamonds,gamomat
Fancy Fruits Respins Of Amun-Re,26,12,Gamomat,PE,2021-02-12,fancyfruitsrespinsofamunre,gamomat
Gonzo's Quest,27,27,NetEnt,PE,2021-02-12,gonzosquest,netent
Gold Vein,28,13,Booming Games,PE,2021-02-12,goldvein,boominggames
Wild Diamond 7x,29,16,Booming Games,PE,2021-02-12,wilddiamond7x,boominggames
John Hunter And The Book Of Tut,30,20,Pragmatic Play,PE,2021-02-12,johnhunterandthebookoftut,pragmaticplay
Piggy Riches Megaways,31,23,Red Tiger,PE,2021-02-12,piggyrichesmegaways,redtiger
Speed Baccarat B,32,17,Evolution Gaming,PE,2021-02-12,speedbaccaratb,evolutiongaming
Power Blackjack,33,15,Evolution Gaming,PE,2021-02-12,powerblackjack,evolutiongaming
Monopoly Live,34,16,Evolution Gaming,PE,2021-02-12,monopolylive,evolutiongaming
Dragon Tiger First Person,35,17,Evolution Gaming,PE,2021-02-12,dragontigerfirstperson,evolutiongaming
Football Studio First Person,36,15,Evolution Gaming,PE,2021-02-12,footballstudiofirstperson,evolutiongaming
Book Of Demi Gods 2,37,9,Spinomenal,PE,2021-02-12,bookofdemigods2,spinomenal
Mega Diamonds,38,11,BetConstruct,PE,2021-02-12,megadiamonds,betconstruct
Buffalo Power Hold and Win,39,14,Playson,PE,2021-02-12,buffalopowerholdandwin,playson
