Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
The Hand of Midas,1,18,Pragmatic Play,PL,2021-02-12,thehandofmidas,pragmaticplay
Book of Dead,2,37,Play'n Go,PL,2021-02-12,bookofdead,playngo
John Hunter And The Book Of Tut,3,40,Pragmatic Play,PL,2021-02-12,johnhunterandthebookoftut,pragmaticplay
Gonzo's Quest Megaways,4,40,Red Tiger,PL,2021-02-12,gonzosquestmegaways,redtiger
Wolf Gold,5,45,Pragmatic Play,PL,2021-02-12,wolfgold,pragmaticplay
Ramses Book,6,17,Gamomat,PL,2021-02-12,ramsesbook,gamomat
Carnaval Jackpot,7,15,Pulse 8 Studios,PL,2021-02-12,carnavaljackpot,pulse8studios
Dinosaur Rage,8,15,Quickspin,PL,2021-02-12,dinosaurrage,quickspin
Pirates Plenty The Sunken Treasure,9,39,Red Tiger,PL,2021-02-12,piratesplentythesunkentreasure,redtiger
Dragon Tiger First Person,10,21,Evolution Gaming,PL,2021-02-12,dragontigerfirstperson,evolutiongaming
Football Studio First Person,11,19,Evolution Gaming,PL,2021-02-12,footballstudiofirstperson,evolutiongaming
Piggy Riches Megaways,12,39,Red Tiger,PL,2021-02-12,piggyrichesmegaways,redtiger
Baccarat First Person,13,19,Evolution Gaming,PL,2021-02-12,baccaratfirstperson,evolutiongaming
Lightning Roulette,14,25,Evolution Gaming,PL,2021-02-12,lightningroulette,evolutiongaming
"Betty, Boris And Boo",15,22,Red Tiger,PL,2021-02-12,bettyborisandboo,redtiger
Ruler of Egypt,16,13,Lady Luck Games,PL,2021-02-12,rulerofegypt,ladyluckgames
Weight of the Gun,17,13,Lady Luck Games,PL,2021-02-12,weightofthegun,ladyluckgames
Crystal Ball,18,17,Gamomat,PL,2021-02-12,crystalball,gamomat
Dynamite Riches,19,38,Red Tiger,PL,2021-02-12,dynamiteriches,redtiger
Fancy Fruits,20,17,Gamomat,PL,2021-02-12,fancyfruits,gamomat
Miss Wildfire,21,28,ELK Studios,PL,2021-02-12,misswildfire,elkstudios
Crazy Time,22,25,Evolution Gaming,PL,2021-02-12,crazytime,evolutiongaming
Gold Vein,23,39,Booming Games,PL,2021-02-12,goldvein,boominggames
Mystery Reels,24,41,Red Tiger,PL,2021-02-12,mysteryreels,redtiger
Katmandu Gold,25,17,ELK Studios,PL,2021-02-12,katmandugold,elkstudios
Augustus,26,22,Neon Valley Studios,PL,2021-02-12,augustus,neonvalleystudios
Starburst,27,45,NetEnt,PL,2021-02-12,starburst,netent
Take 5,28,19,Gamomat,PL,2021-02-12,take5,gamomat
Books And Pearls,29,16,Gamomat,PL,2021-02-12,booksandpearls,gamomat
Jewel Scarabs,30,38,Red Tiger,PL,2021-02-12,jewelscarabs,redtiger
Orango Tango,31,13,Lady Luck Games,PL,2021-02-12,orangotango,ladyluckgames
Sticky Diamonds,32,17,Gamomat,PL,2021-02-12,stickydiamonds,gamomat
Royal Seven XXL,33,17,Gamomat,PL,2021-02-12,royalsevenxxl,gamomat
Crystal Sun,34,28,Play'n Go,PL,2021-02-12,crystalsun,playngo
