Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Gonzo's Quest,1,7,NetEnt,PT,2021-02-12,gonzosquest,netent
Fruit Shop Megaways,2,6,NetEnt,PT,2021-02-12,fruitshopmegaways,netent
Starburst,3,7,NetEnt,PT,2021-02-12,starburst,netent
Madame Destiny Megaways,4,7,Pragmatic Play,PT,2021-02-12,madamedestinymegaways,pragmaticplay
Peaky Blinders,5,5,Pragmatic Play,PT,2021-02-12,peakyblinders,pragmaticplay
Twin Spin Megaways,6,6,NetEnt,PT,2021-02-12,twinspinmegaways,netent
Eye of the Storm,7,6,Reel Kingdom,PT,2021-02-12,eyeofthestorm,reelkingdom
Fakir Slot,8,6,GAMING1,PT,2021-02-12,fakirslot,gaming1
Feng Li Dragon,9,6,GAMING1,PT,2021-02-12,fenglidragon,gaming1
Bounty Belles,10,6,iSoftBet,PT,2021-02-12,bountybelles,isoftbet
Blackjack Multihand 7 Seats,11,6,GAMING1,PT,2021-02-12,blackjackmultihand7seats,gaming1
Burning Hot,12,5,EGT,PT,2021-02-12,burninghot,egt
John Hunter and the Mayan Gods,13,5,Pragmatic Play,PT,2021-02-12,johnhunterandthemayangods,pragmaticplay
Vertical Roulette,14,5,GAMING1,PT,2021-02-12,verticalroulette,gaming1
Astro The Great Race,15,5,GAMING1,PT,2021-02-12,astrothegreatrace,gaming1
Dragon Fury,16,5,GAMING1,PT,2021-02-12,dragonfury,gaming1
Million 777,17,5,Red Rake,PT,2021-02-12,million777,redrake
Book of Gold: Double Chance,18,5,Playson,PT,2021-02-12,bookofgolddoublechance,playson
Koi Princess,19,6,NetEnt,PT,2021-02-12,koiprincess,netent
The Dog House Megaways,20,4,Pragmatic Play,PT,2021-02-12,thedoghousemegaways,pragmaticplay
Diamond Strike,21,4,Pragmatic Play,PT,2021-02-12,diamondstrike,pragmaticplay
Guns N' Roses,22,5,NetEnt,PT,2021-02-12,gunsnroses,netent
Wild Wild West,23,5,NetEnt,PT,2021-02-12,wildwildwest,netent
Fairytale Fortune,24,5,Pragmatic Play,PT,2021-02-12,fairytalefortune,pragmaticplay
Gold Digger,25,4,iSoftBet,PT,2021-02-12,golddigger,isoftbet
10 Burning Heart,26,4,EGT,PT,2021-02-12,10burningheart,egt
Wolf Gold,27,4,Pragmatic Play,PT,2021-02-12,wolfgold,pragmaticplay
The Love Guru,28,4,iSoftBet,PT,2021-02-12,theloveguru,isoftbet
Wild Pixies,29,0,Pragmatic Play,PT,2021-02-12,wildpixies,pragmaticplay
Golden Beauty,30,0,Pragmatic Play,PT,2021-02-12,goldenbeauty,pragmaticplay
Bonanza,31,4,Big Time Gaming,PT,2021-02-12,bonanza,bigtimegaming
Night Queen,32,4,iSoftBet,PT,2021-02-12,nightqueen,isoftbet
Book of Dead,33,5,Play'n Go,PT,2021-02-12,bookofdead,playngo
