Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,7,Play'n Go,RO,2021-02-12,bookofdead,playngo
Book of Ra deluxe,2,9,Greentube,RO,2021-02-12,bookofradeluxe,greentube
Burning Hot,3,8,EGT,RO,2021-02-12,burninghot,egt
Shining Crown,4,8,EGT,RO,2021-02-12,shiningcrown,egt
5 Dazzling Hot,5,8,EGT,RO,2021-02-12,5dazzlinghot,egt
Legacy of Dead,6,6,Play'n Go,RO,2021-02-12,legacyofdead,playngo
20 Super Hot,7,8,EGT,RO,2021-02-12,20superhot,egt
20 Burning Hot,8,7,EGT,RO,2021-02-12,20burninghot,egt
Flaming Hot,9,8,EGT,RO,2021-02-12,flaminghot,egt
Sizzling Hot deluxe,10,8,Greentube,RO,2021-02-12,sizzlinghotdeluxe,greentube
40 Super Hot,11,8,EGT,RO,2021-02-12,40superhot,egt
40 Burning Hot,12,8,EGT,RO,2021-02-12,40burninghot,egt
Lucky Ladyʼs Charm deluxe,13,7,Greentube,RO,2021-02-12,luckyladyscharmdeluxe,greentube
Money Train 2,14,7,Relax Gaming,RO,2021-02-12,moneytrain2,relaxgaming
Zodiac Wheel,15,8,EGT,RO,2021-02-12,zodiacwheel,egt
Curse of the Werewolf Megaways,16,6,Pragmatic Play,RO,2021-02-12,curseofthewerewolfmegaways,pragmaticplay
Buffalo Blitz,17,4,Playtech,RO,2021-02-12,buffaloblitz,playtech
Sweet Bonanza,18,5,Pragmatic Play,RO,2021-02-12,sweetbonanza,pragmaticplay
Dragon Champions,19,5,Playtech,RO,2021-02-12,dragonchampions,playtech
Roulette Lobby (Evolution Gaming),20,5,Evolution Gaming,RO,2021-02-12,roulettelobby,evolutiongaming
Golden Ticket 2,21,5,Play'n Go,RO,2021-02-12,goldenticket2,playngo
Rich Wilde and the Shield of Athena,22,5,Play'n Go,RO,2021-02-12,richwildeandtheshieldofathena,playngo
100 Super Hot,23,8,EGT,RO,2021-02-12,100superhot,egt
Cat Wilde and the Doom of Dead,24,5,Play'n Go,RO,2021-02-12,catwildeandthedoomofdead,playngo
Ultra Hold and Spin,25,5,Reel Kingdom,RO,2021-02-12,ultraholdandspin,reelkingdom
Ultra Burn,26,5,Reel Kingdom,RO,2021-02-12,ultraburn,reelkingdom
9 Lions,27,5,Wazdan,RO,2021-02-12,9lions,wazdan
Butterfly Lovers,28,5,Wazdan,RO,2021-02-12,butterflylovers,wazdan
Dice & Roll,29,8,EGT,RO,2021-02-12,diceroll,egt
Blackjack (Relax),30,8,Relax Gaming,RO,2021-02-12,blackjack,relaxgaming
Roulette (Relax Gaming),31,8,Relax Gaming,RO,2021-02-12,roulette,relaxgaming
European Blackjack MH (Play'n Go),32,8,Play'n Go,RO,2021-02-12,europeanblackjackmh,playngo
Age of the Gods: Ruler of the Sky,33,5,Playtech Origins,RO,2021-02-12,ageofthegodsrulerofthesky,playtechorigins
Age of the Gods God of Storms,34,6,Playtech Vikings,RO,2021-02-12,ageofthegodsgodofstorms,playtechvikings
Jackpot Bells,35,5,Playtech,RO,2021-02-12,jackpotbells,playtech
Rise of Ra,36,8,EGT,RO,2021-02-12,riseofra,egt
Blackjack Lobby Live Casino (Evolution Gaming),37,8,Evolution Gaming,RO,2021-02-12,blackjacklobbylivecasino,evolutiongaming
Age of the Gods Medusa & Monsters,38,5,Playtech Origins,RO,2021-02-12,ageofthegodsmedusamonsters,playtechorigins
Wild Five,39,5,Skywind Group,RO,2021-02-12,wildfive,skywindgroup
Roulette (NetEnt),40,5,NetEnt,RO,2021-02-12,roulette,netent
Single Deck Blackjack MH,41,4,Play'n Go,RO,2021-02-12,singledeckblackjackmh,playngo
Royal Rings,42,4,Skywind Group,RO,2021-02-12,royalrings,skywindgroup
Twin Spin,43,4,NetEnt,RO,2021-02-12,twinspin,netent
Guns N' Roses,44,5,NetEnt,RO,2021-02-12,gunsnroses,netent
Fruit Shop (NetEnt),45,5,NetEnt,RO,2021-02-12,fruitshop,netent
Inca Jackpot,46,5,Skywind Group,RO,2021-02-12,incajackpot,skywindgroup
Butterfly Staxx,47,5,NetEnt,RO,2021-02-12,butterflystaxx,netent
Justice League (Playtech),48,5,Playtech Vikings,RO,2021-02-12,justiceleague,playtechvikings
Reel Rush,49,4,NetEnt,RO,2021-02-12,reelrush,netent
Wolf Gold,50,6,Pragmatic Play,RO,2021-02-12,wolfgold,pragmaticplay
Eastern Emeralds,51,6,Quickspin,RO,2021-02-12,easternemeralds,quickspin
Great Blue,52,6,Playtech,RO,2021-02-12,greatblue,playtech
Epic Ape,53,5,Playtech,RO,2021-02-12,epicape,playtech
Kingdoms Rise: Captain's Treasure,54,5,Playtech Origins,RO,2021-02-12,kingdomsrisecaptainstreasure,playtechorigins
Age of the Gods,55,5,Playtech,RO,2021-02-12,ageofthegods,playtech
Extra Stars,56,7,EGT,RO,2021-02-12,extrastars,egt
Kingdoms Rise: Reign of Ice,57,0,Playtech Origins,RO,2021-02-12,kingdomsrisereignofice,playtechorigins
The Dog House Megaways,58,5,Pragmatic Play,RO,2021-02-12,thedoghousemegaways,pragmaticplay
Kingdoms Rise: Forbidden Forest,59,5,Playtech Origins,RO,2021-02-12,kingdomsriseforbiddenforest,playtechorigins
Kingdoms Rise: Guardians of the Abyss,60,5,Playtech Origins,RO,2021-02-12,kingdomsriseguardiansoftheabyss,playtechorigins
Premium Blackjack (Playtech),61,6,Playtech,RO,2021-02-12,premiumblackjack,playtech
Pharaoh's Treasure Deluxe,62,4,Playtech,RO,2021-02-12,pharaohstreasuredeluxe,playtech
Age of The Gods™ Prince of Olympus,63,4,Playtech,RO,2021-02-12,ageofthegodsprinceofolympus,playtech
Big Shots,64,4,Playtech,RO,2021-02-12,bigshots,playtech
Stars Awakening,65,4,Playtech,RO,2021-02-12,starsawakening,playtech
Hologram Wilds,66,4,Playtech,RO,2021-02-12,hologramwilds,playtech
American Dad,67,4,Playtech,RO,2021-02-12,americandad,playtech
Cashback Blackjack (Playtech),68,5,Playtech,RO,2021-02-12,cashbackblackjack,playtech
Da Vinci's Vault,69,5,Playtech,RO,2021-02-12,davincisvault,playtech
The Mask of Zorro (Playtech),70,5,Playtech,RO,2021-02-12,themaskofzorro,playtech
Maji Wilds,71,5,Playtech,RO,2021-02-12,majiwilds,playtech
Lord of the Ocean,72,7,Greentube,RO,2021-02-12,lordoftheocean,greentube
Great Blue Jackpot (Playtech),73,5,Playtech,RO,2021-02-12,greatbluejackpot,playtech
Sacred Stones,74,5,Playtech,RO,2021-02-12,sacredstones,playtech
Jackpot Giant,75,5,Playtech,RO,2021-02-12,jackpotgiant,playtech
30 Spicy Fruits,76,7,EGT,RO,2021-02-12,30spicyfruits,egt
Bonanza,77,4,Big Time Gaming,RO,2021-02-12,bonanza,bigtimegaming
Solar Queen,78,4,Playson,RO,2021-02-12,solarqueen,playson
Legacy of the Wild,79,4,Playtech Vikings,RO,2021-02-12,legacyofthewild,playtechvikings
3 Fruits Win: 10 lines,80,4,Playson,RO,2021-02-12,3fruitswin10lines,playson
The Dog House,81,5,Pragmatic Play,RO,2021-02-12,thedoghouse,pragmaticplay
Versailles Gold,82,7,EGT,RO,2021-02-12,versaillesgold,egt
Rise of Merlin,83,5,Play'n Go,RO,2021-02-12,riseofmerlin,playngo
Sizzling Hot 6 extra gold,84,6,Greentube,RO,2021-02-12,sizzlinghot6extragold,greentube
Age of the Gods: Rulers of Olympus,85,0,Playtech Origins,RO,2021-02-12,ageofthegodsrulersofolympus,playtechorigins
40 Almighty Ramses II,86,6,EGT,RO,2021-02-12,40almightyramsesii,egt
Batman Begins,87,6,Playtech,RO,2021-02-12,batmanbegins,playtech
Majestic Megaways,88,5,iSoftBet,RO,2021-02-12,majesticmegaways,isoftbet
Heads Up Hold' em,89,5,Playtech,RO,2021-02-12,headsupholdem,playtech
Great Rhino Megaways,90,5,Pragmatic Play,RO,2021-02-12,greatrhinomegaways,pragmaticplay
Duck of Luck,91,5,CT Gaming,RO,2021-02-12,duckofluck,ctgaming
The Story of Alexander,92,7,EGT,RO,2021-02-12,thestoryofalexander,egt
40 Burning Hot 6 Reels,93,6,EGT,RO,2021-02-12,40burninghot6reels,egt
Diamond Bet Roulette,94,4,Playtech,RO,2021-02-12,diamondbetroulette,playtech
Imperial Wars,95,6,EGT,RO,2021-02-12,imperialwars,egt
10 Burning Heart,96,7,EGT,RO,2021-02-12,10burningheart,egt
Amazons' Battle,97,8,EGT,RO,2021-02-12,amazonsbattle,egt
Gladiator JP,98,8,Playtech,RO,2021-02-12,gladiatorjp,playtech
Age of the Gods - Fate Sister,99,8,Playtech,RO,2021-02-12,ageofthegodsfatesister,playtech
Wild Clover,100,5,CT Gaming,RO,2021-02-12,wildclover,ctgaming
