Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,93,Play'n Go,RU,2021-02-12,bookofdead,playngo
Wolf Gold,2,106,Pragmatic Play,RU,2021-02-12,wolfgold,pragmaticplay
The Hand of Midas,3,55,Pragmatic Play,RU,2021-02-12,thehandofmidas,pragmaticplay
Thunder Screech,4,46,Play'n Go,RU,2021-02-12,thunderscreech,playngo
Starburst,5,99,NetEnt,RU,2021-02-12,starburst,netent
Legacy of Dead,6,89,Play'n Go,RU,2021-02-12,legacyofdead,playngo
Gonzo's Quest,7,100,NetEnt,RU,2021-02-12,gonzosquest,netent
Dead or Alive 2,8,103,NetEnt,RU,2021-02-12,deadoralive2,netent
Eye of the Storm,9,70,Reel Kingdom,RU,2021-02-12,eyeofthestorm,reelkingdom
Dinosaur Rage,10,68,Quickspin,RU,2021-02-12,dinosaurrage,quickspin
Gonzo's Quest Megaways,11,73,Red Tiger,RU,2021-02-12,gonzosquestmegaways,redtiger
Sweet Bonanza,12,99,Pragmatic Play,RU,2021-02-12,sweetbonanza,pragmaticplay
Extra Chilli,13,85,Big Time Gaming,RU,2021-02-12,extrachilli,bigtimegaming
The Dog House Megaways,14,86,Pragmatic Play,RU,2021-02-12,thedoghousemegaways,pragmaticplay
Sakura Fortune,15,77,Quickspin,RU,2021-02-12,sakurafortune,quickspin
Cat Wilde and the Eclipse of the Sun God,16,68,Play'n Go,RU,2021-02-12,catwildeandtheeclipseofthesungod,playngo
Reactoonz,17,84,Play'n Go,RU,2021-02-12,reactoonz,playngo
Money Train 2,18,50,Relax Gaming,RU,2021-02-12,moneytrain2,relaxgaming
Lucky Lady Moon,19,41,BGAMING,RU,2021-02-12,luckyladymoon,bgaming
John Hunter And The Book Of Tut,20,96,Pragmatic Play,RU,2021-02-12,johnhunterandthebookoftut,pragmaticplay
Bounty Belles,21,55,iSoftBet,RU,2021-02-12,bountybelles,isoftbet
Bonanza,22,89,Big Time Gaming,RU,2021-02-12,bonanza,bigtimegaming
Reactoonz 2,23,75,Play'n Go,RU,2021-02-12,reactoonz2,playngo
Carnaval Jackpot,24,38,Pulse 8 Studios,RU,2021-02-12,carnavaljackpot,pulse8studios
Eye of Gold,25,58,Booongo,RU,2021-02-12,eyeofgold,booongo
Elvis Frog in Vegas,26,59,BGAMING,RU,2021-02-12,elvisfroginvegas,bgaming
Space Wars,27,76,NetEnt,RU,2021-02-12,spacewars,netent
Madame Destiny Megaways,28,76,Pragmatic Play,RU,2021-02-12,madamedestinymegaways,pragmaticplay
Cupid,29,54,Endorphina,RU,2021-02-12,cupid,endorphina
Divine Dragon: Hold and Win,30,39,Playson,RU,2021-02-12,divinedragonholdandwin,playson
Chicago Gold,31,62,PearFiction,RU,2021-02-12,chicagogold,pearfiction
Tome of Madness,32,73,Play'n Go,RU,2021-02-12,tomeofmadness,playngo
Razor Shark,33,56,Push Gaming,RU,2021-02-12,razorshark,pushgaming
Great Rhino Megaways,34,99,Pragmatic Play,RU,2021-02-12,greatrhinomegaways,pragmaticplay
Lightning Roulette,35,42,Evolution Gaming,RU,2021-02-12,lightningroulette,evolutiongaming
Book Of Aztec,36,72,Amatic Industries,RU,2021-02-12,bookofaztec,amaticindustries
The Dog House,37,91,Pragmatic Play,RU,2021-02-12,thedoghouse,pragmaticplay
Unicorn Forest,38,26,Leap Gaming,RU,2021-02-12,unicornforest,leapgaming
Immortal Romance,39,86,Microgaming,RU,2021-02-12,immortalromance,microgaming
Clover Lady,40,48,Wazdan,RU,2021-02-12,cloverlady,wazdan
San Quentin,41,52,Nolimit City,RU,2021-02-12,sanquentin,nolimitcity
Golden Horns,42,82,Betsoft,RU,2021-02-12,goldenhorns,betsoft
Juicy Joker Mega Moolah,43,32,JustForTheWin,RU,2021-02-12,juicyjokermegamoolah,justforthewin
China Charms,44,22,Caleta Gaming,RU,2021-02-12,chinacharms,caletagaming
Rise Of Olympus,45,83,Play'n Go,RU,2021-02-12,riseofolympus,playngo
Rise of Merlin,46,77,Play'n Go,RU,2021-02-12,riseofmerlin,playngo
Bar Slot,47,46,Golden Rock Studios,RU,2021-02-12,barslot,goldenrockstudios
Primal Hunt,48,88,Betsoft,RU,2021-02-12,primalhunt,betsoft
Fruit Million,49,44,BGAMING,RU,2021-02-12,fruitmillion,bgaming
Wild West Gold,50,82,Pragmatic Play,RU,2021-02-12,wildwestgold,pragmaticplay
East Coast vs West Coast,51,48,Nolimit City,RU,2021-02-12,eastcoastvswestcoast,nolimitcity
Divine Fortune Megaways,52,75,NetEnt,RU,2021-02-12,divinefortunemegaways,netent
Cygnus,53,73,ELK Studios,RU,2021-02-12,cygnus,elkstudios
Book of Oz,54,87,Triple Edge Studios,RU,2021-02-12,bookofoz,tripleedgestudios
Mustang Gold,55,96,Pragmatic Play,RU,2021-02-12,mustanggold,pragmaticplay
Crazy Time,56,34,Evolution Gaming,RU,2021-02-12,crazytime,evolutiongaming
Fruit Cocktail,57,41,Others,RU,2021-02-12,fruitcocktail,others
Big Bad Wolf,58,78,Quickspin,RU,2021-02-12,bigbadwolf,quickspin
Solar Queen,59,69,Playson,RU,2021-02-12,solarqueen,playson
Thunder Of Olympus,60,59,Booongo,RU,2021-02-12,thunderofolympus,booongo
Midas Golden Touch,61,74,Thunderkick,RU,2021-02-12,midasgoldentouch,thunderkick
Hyper Strike,62,73,Gameburger Studios,RU,2021-02-12,hyperstrike,gameburgerstudios
Fruit Zen,63,88,Betsoft,RU,2021-02-12,fruitzen,betsoft
Cupids Strike 2,64,60,Spinomenal,RU,2021-02-12,cupidsstrike2,spinomenal
Zeus Rush Fever,65,25,Ruby Play,RU,2021-02-12,zeusrushfever,rubyplay
Scarab Temple,66,58,Booongo,RU,2021-02-12,scarabtemple,booongo
Buffalo Power Hold and Win,67,68,Playson,RU,2021-02-12,buffalopowerholdandwin,playson
Book of Fortune,68,77,Amatic Industries,RU,2021-02-12,bookoffortune,amaticindustries
Hit The Route,69,46,BGAMING,RU,2021-02-12,hittheroute,bgaming
John Hunter Tomb of the Scarab Queen,70,87,Pragmatic Play,RU,2021-02-12,johnhuntertombofthescarabqueen,pragmaticplay
Aztec Magic Deluxe,71,67,BGAMING,RU,2021-02-12,aztecmagicdeluxe,bgaming
Valley Of The Gods 2,72,55,Yggdrasil,RU,2021-02-12,valleyofthegods2,yggdrasil
Book Of Rebirth,73,74,Spinomenal,RU,2021-02-12,bookofrebirth,spinomenal
Pachin Girl,74,42,Evoplay Entertainment,RU,2021-02-12,pachingirl,evoplayentertainment
Monopoly Live,75,24,Evolution Gaming,RU,2021-02-12,monopolylive,evolutiongaming
Shu Dynasty,76,13,SimplePlay,RU,2021-02-12,shudynasty,simpleplay
Arcane Beauties,77,28,Ruby Play,RU,2021-02-12,arcanebeauties,rubyplay
"Betty, Boris And Boo",78,61,Red Tiger,RU,2021-02-12,bettyborisandboo,redtiger
Jammin' Jars,79,55,Push Gaming,RU,2021-02-12,jamminjars,pushgaming
Princess of the Ocean,80,18,Caleta Gaming,RU,2021-02-12,princessoftheocean,caletagaming
Fruit Shop Megaways,81,66,NetEnt,RU,2021-02-12,fruitshopmegaways,netent
Lucky Scarabs,82,67,Booming Games,RU,2021-02-12,luckyscarabs,boominggames
Mermaid's Love,83,25,Leap Gaming,RU,2021-02-12,mermaidslove,leapgaming
Dim Sum Prize,84,88,Betsoft,RU,2021-02-12,dimsumprize,betsoft
Moon Sisters,85,55,Booongo,RU,2021-02-12,moonsisters,booongo
Valley of Dreams,86,48,Evoplay Entertainment,RU,2021-02-12,valleyofdreams,evoplayentertainment
Street Fighter 2: The World Warrior,87,62,NetEnt,RU,2021-02-12,streetfighter2theworldwarrior,netent
15 Dragon Pearls,88,60,Booongo,RU,2021-02-12,15dragonpearls,booongo
Crystal Unicorn,89,21,Caleta Gaming,RU,2021-02-12,crystalunicorn,caletagaming
Mysterious,90,86,Pragmatic Play,RU,2021-02-12,mysterious,pragmaticplay
White Rabbit,91,76,Big Time Gaming,RU,2021-02-12,whiterabbit,bigtimegaming
Take The Bank,92,87,Betsoft,RU,2021-02-12,takethebank,betsoft
Princess of Sky,93,58,BGAMING,RU,2021-02-12,princessofsky,bgaming
Cruise of Fortune,94,21,Caleta Gaming,RU,2021-02-12,cruiseoffortune,caletagaming
Book of Darkness,95,78,Betsoft,RU,2021-02-12,bookofdarkness,betsoft
Deadwood,96,56,Nolimit City,RU,2021-02-12,deadwood,nolimitcity
Sisters Gift,97,19,Rarestone Gaming,RU,2021-02-12,sistersgift,rarestonegaming
Mermaids Galore,98,41,Kalamba Games,RU,2021-02-12,mermaidsgalore,kalambagames
Mermaid's Treasure,99,19,Nucleus Gaming,RU,2021-02-12,mermaidstreasure,nucleusgaming
Divine Fortune,100,63,NetEnt,RU,2021-02-12,divinefortune,netent
