Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Starburst,1,119,NetEnt,SE,2021-02-12,starburst,netent
Book of Dead,2,110,Play'n Go,SE,2021-02-12,bookofdead,playngo
Bonanza,3,96,Big Time Gaming,SE,2021-02-12,bonanza,bigtimegaming
Lightning Roulette,4,64,Evolution Gaming,SE,2021-02-12,lightningroulette,evolutiongaming
Reactoonz,5,84,Play'n Go,SE,2021-02-12,reactoonz,playngo
Gonzo's Quest Megaways,6,79,Red Tiger,SE,2021-02-12,gonzosquestmegaways,redtiger
Gonzo's Quest,7,111,NetEnt,SE,2021-02-12,gonzosquest,netent
Piggy Riches Megaways,8,58,Red Tiger,SE,2021-02-12,piggyrichesmegaways,redtiger
Fire Joker,9,99,Play'n Go,SE,2021-02-12,firejoker,playngo
Legacy of Dead,10,90,Play'n Go,SE,2021-02-12,legacyofdead,playngo
Juicy Joker Mega Moolah,11,40,JustForTheWin,SE,2021-02-12,juicyjokermegamoolah,justforthewin
Dinosaur Rage,12,50,Quickspin,SE,2021-02-12,dinosaurrage,quickspin
Fruit Shop Megaways,13,84,NetEnt,SE,2021-02-12,fruitshopmegaways,netent
Money Train 2,14,48,Relax Gaming,SE,2021-02-12,moneytrain2,relaxgaming
Thunder Screech,15,45,Play'n Go,SE,2021-02-12,thunderscreech,playngo
Wolf Gold,16,68,Pragmatic Play,SE,2021-02-12,wolfgold,pragmaticplay
Twin Spin,17,107,NetEnt,SE,2021-02-12,twinspin,netent
The Hand of Midas,18,39,Pragmatic Play,SE,2021-02-12,thehandofmidas,pragmaticplay
Sakura Fortune,19,70,Quickspin,SE,2021-02-12,sakurafortune,quickspin
Deadwood,20,60,Nolimit City,SE,2021-02-12,deadwood,nolimitcity
Temple Tumble,21,68,Relax Gaming,SE,2021-02-12,templetumble,relaxgaming
Atlantean Treasures Mega Moolah,22,46,Neon Valley Studios,SE,2021-02-12,atlanteantreasuresmegamoolah,neonvalleystudios
Twin Spin Megaways,23,85,NetEnt,SE,2021-02-12,twinspinmegaways,netent
Divine Fortune,24,90,NetEnt,SE,2021-02-12,divinefortune,netent
Mega Moolah,25,65,Microgaming,SE,2021-02-12,megamoolah,microgaming
Divine Fortune Megaways,26,84,NetEnt,SE,2021-02-12,divinefortunemegaways,netent
Chicago Gold,27,62,PearFiction,SE,2021-02-12,chicagogold,pearfiction
East Coast vs West Coast,28,53,Nolimit City,SE,2021-02-12,eastcoastvswestcoast,nolimitcity
Immortal Romance,29,87,Microgaming,SE,2021-02-12,immortalromance,microgaming
Katmandu Gold,30,72,ELK Studios,SE,2021-02-12,katmandugold,elkstudios
Cat Wilde and the Eclipse of the Sun God,31,70,Play'n Go,SE,2021-02-12,catwildeandtheeclipseofthesungod,playngo
John Hunter Tomb of the Scarab Queen,32,61,Pragmatic Play,SE,2021-02-12,johnhuntertombofthescarabqueen,pragmaticplay
Mega Fortune,33,83,NetEnt,SE,2021-02-12,megafortune,netent
Absolootly Mad: Mega Moolah,34,44,Triple Edge Studios,SE,2021-02-12,absolootlymadmegamoolah,tripleedgestudios
Extra Chilli,35,72,Big Time Gaming,SE,2021-02-12,extrachilli,bigtimegaming
Jammin' Jars,36,65,Push Gaming,SE,2021-02-12,jamminjars,pushgaming
Rise Of Olympus,37,86,Play'n Go,SE,2021-02-12,riseofolympus,playngo
Buffalo Rising Megaways,38,48,Blueprint,SE,2021-02-12,buffalorisingmegaways,blueprint
Razor Shark,39,46,Push Gaming,SE,2021-02-12,razorshark,pushgaming
Book of Atem WowPot,40,33,All41 Studios,SE,2021-02-12,bookofatemwowpot,all41studios
"Betty, Boris And Boo",41,47,Red Tiger,SE,2021-02-12,bettyborisandboo,redtiger
Tome of Madness,42,90,Play'n Go,SE,2021-02-12,tomeofmadness,playngo
Hall of Gods,43,77,NetEnt,SE,2021-02-12,hallofgods,netent
Eastern Emeralds,44,69,Quickspin,SE,2021-02-12,easternemeralds,quickspin
The Dog House,45,63,Pragmatic Play,SE,2021-02-12,thedoghouse,pragmaticplay
Big Bass Bonanza,46,57,Reel Kingdom,SE,2021-02-12,bigbassbonanza,reelkingdom
Spartacus Super Colossal Reels,47,37,WMS,SE,2021-02-12,spartacussupercolossalreels,wms
Iron Bank,48,64,Relax Gaming,SE,2021-02-12,ironbank,relaxgaming
Reactoonz 2,49,85,Play'n Go,SE,2021-02-12,reactoonz2,playngo
Bounty Belles,50,23,iSoftBet,SE,2021-02-12,bountybelles,isoftbet
Atlantis Megaways,51,61,Reel Play,SE,2021-02-12,atlantismegaways,reelplay
War of Gods,52,55,Red Tiger,SE,2021-02-12,warofgods,redtiger
Wheel Of Wishes,53,39,Alchemy Gaming,SE,2021-02-12,wheelofwishes,alchemygaming
Instant Roulette,54,36,Evolution Gaming,SE,2021-02-12,instantroulette,evolutiongaming
Dead or Alive 2,55,85,NetEnt,SE,2021-02-12,deadoralive2,netent
Bar Slot,56,32,Golden Rock Studios,SE,2021-02-12,barslot,goldenrockstudios
Vikings Go Berzerk,57,65,Yggdrasil,SE,2021-02-12,vikingsgoberzerk,yggdrasil
Eye of the Storm,58,43,Reel Kingdom,SE,2021-02-12,eyeofthestorm,reelkingdom
Sisters of OZ WowPot,59,28,Triple Edge Studios,SE,2021-02-12,sistersofozwowpot,tripleedgestudios
Rise of Merlin,60,73,Play'n Go,SE,2021-02-12,riseofmerlin,playngo
Sweet Bonanza,61,64,Pragmatic Play,SE,2021-02-12,sweetbonanza,pragmaticplay
Mustang Gold,62,66,Pragmatic Play,SE,2021-02-12,mustanggold,pragmaticplay
The Dog House Megaways,63,61,Pragmatic Play,SE,2021-02-12,thedoghousemegaways,pragmaticplay
Arabian Nights (Netent),64,48,NetEnt,SE,2021-02-12,arabiannights,netent
Fruit Shop (NetEnt),65,58,NetEnt,SE,2021-02-12,fruitshop,netent
Free Bet Blackjack,66,28,Evolution Gaming,SE,2021-02-12,freebetblackjack,evolutiongaming
Carnaval Jackpot,67,22,Pulse 8 Studios,SE,2021-02-12,carnavaljackpot,pulse8studios
Dynamite Riches,68,76,Red Tiger,SE,2021-02-12,dynamiteriches,redtiger
San Quentin,69,61,Nolimit City,SE,2021-02-12,sanquentin,nolimitcity
Book of Ra deluxe,70,30,Greentube,SE,2021-02-12,bookofradeluxe,greentube
Power Blackjack,71,38,Evolution Gaming,SE,2021-02-12,powerblackjack,evolutiongaming
Fortunium Gold Mega Moolah,72,34,Stormcraft Studios,SE,2021-02-12,fortuniumgoldmegamoolah,stormcraftstudios
Lord Merlin and the Lady of the Lake,73,56,Play'n Go,SE,2021-02-12,lordmerlinandtheladyofthelake,playngo
Immersive Roulette,74,39,Evolution Gaming,SE,2021-02-12,immersiveroulette,evolutiongaming
Star Joker,75,68,Play'n Go,SE,2021-02-12,starjoker,playngo
Mighty Joker Arcade,76,11,StakeLogic,SE,2021-02-12,mightyjokerarcade,stakelogic
Forgotten Island Megaways,77,68,All41 Studios,SE,2021-02-12,forgottenislandmegaways,all41studios
Moon Princess,78,64,Play'n Go,SE,2021-02-12,moonprincess,playngo
10001 Nights,79,60,Red Tiger,SE,2021-02-12,10001nights,redtiger
Madame Destiny Megaways,80,50,Pragmatic Play,SE,2021-02-12,madamedestinymegaways,pragmaticplay
Giza Infinity Reels,81,43,Reel Play,SE,2021-02-12,gizainfinityreels,reelplay
Gorilla Kingdom,82,84,NetEnt,SE,2021-02-12,gorillakingdom,netent
Guns N' Roses,83,92,NetEnt,SE,2021-02-12,gunsnroses,netent
Assassin Moon,84,63,Triple Edge Studios,SE,2021-02-12,assassinmoon,tripleedgestudios
Wild Swarm,85,61,Push Gaming,SE,2021-02-12,wildswarm,pushgaming
Great Rhino Megaways,86,65,Pragmatic Play,SE,2021-02-12,greatrhinomegaways,pragmaticplay
John Hunter And The Book Of Tut,87,64,Pragmatic Play,SE,2021-02-12,johnhunterandthebookoftut,pragmaticplay
Valley Of The Gods 2,88,61,Yggdrasil,SE,2021-02-12,valleyofthegods2,yggdrasil
Legacy Of Egypt,89,91,Play'n Go,SE,2021-02-12,legacyofegypt,playngo
Crazy Time,90,19,Evolution Gaming,SE,2021-02-12,crazytime,evolutiongaming
Yucatans Mystery,91,62,Red Tiger,SE,2021-02-12,yucatansmystery,redtiger
