Name,Rank,Provider,Market,Date,Casinos,NameInternal,ProviderInternal
Vicky Ventura,1,Red Tiger,SK,2021-02-12,1,vickyventura,redtiger
Five Star,2,Red Tiger,SK,2021-02-12,1,fivestar,redtiger
RA's Legend,3,Red Tiger,SK,2021-02-12,1,raslegend,redtiger
Treasure Mine,4,Red Tiger,SK,2021-02-12,1,treasuremine,redtiger
Arcade Bomb,5,Red Tiger,SK,2021-02-12,1,arcadebomb,redtiger
Grand Wheel,6,Red Tiger,SK,2021-02-12,1,grandwheel,redtiger
Gems Gone Wild,7,Red Tiger,SK,2021-02-12,1,gemsgonewild,redtiger
Red Diamond,8,Red Tiger,SK,2021-02-12,1,reddiamond,redtiger
Crazy Genie,9,Red Tiger,SK,2021-02-12,1,crazygenie,redtiger
Persian Fortune,10,Red Tiger,SK,2021-02-12,1,persianfortune,redtiger
Devil's Number,11,Red Tiger,SK,2021-02-12,1,devilsnumber,redtiger
Cinderella's Ball,12,Red Tiger,SK,2021-02-12,1,cinderellasball,redtiger
Mega Pyramid,13,Red Tiger,SK,2021-02-12,1,megapyramid,redtiger
Piggy Pirates,14,Red Tiger,SK,2021-02-12,1,piggypirates,redtiger
Tiki Fruits,15,Red Tiger,SK,2021-02-12,1,tikifruits,redtiger
Wild Wild Chest,16,Red Tiger,SK,2021-02-12,1,wildwildchest,redtiger
Dragon's Luck,17,Red Tiger,SK,2021-02-12,1,dragonsluck,redtiger
Dragon's Fire,18,Red Tiger,SK,2021-02-12,1,dragonsfire,redtiger
Totem Lightning,19,Red Tiger,SK,2021-02-12,1,totemlightning,redtiger
Jack in a Pot,20,Red Tiger,SK,2021-02-12,1,jackinapot,redtiger
Snow wild and the 7 features,21,Red Tiger,SK,2021-02-12,1,snowwildandthe7features,redtiger
Golden Temple,22,Red Tiger,SK,2021-02-12,1,goldentemple,redtiger
The Greatest Train Robbery,23,Red Tiger,SK,2021-02-12,1,thegreatesttrainrobbery,redtiger
Flaming Fox,24,Red Tiger,SK,2021-02-12,1,flamingfox,redtiger
Blue Diamond,25,Red Tiger,SK,2021-02-12,1,bluediamond,redtiger
Laser Fruit,26,Red Tiger,SK,2021-02-12,1,laserfruit,redtiger
Ninja Ways,27,Red Tiger,SK,2021-02-12,1,ninjaways,redtiger
Fruit Blox,28,Red Tiger,SK,2021-02-12,1,fruitblox,redtiger
Mayan Gods,29,Red Tiger,SK,2021-02-12,1,mayangods,redtiger
Reel Heist,30,Red Tiger,SK,2021-02-12,1,reelheist,redtiger
Lucky Wizard,31,Red Tiger,SK,2021-02-12,1,luckywizard,redtiger
Esqueleto Mariachi,32,Red Tiger,SK,2021-02-12,1,esqueletomariachi,redtiger
Spin Town,33,Red Tiger,SK,2021-02-12,1,spintown,redtiger
Firebird Double 27,34,SYNOT,SK,2021-02-12,1,firebirddouble27,synot
Respin Joker,35,SYNOT,SK,2021-02-12,1,respinjoker,synot
Hell Mania,36,SYNOT,SK,2021-02-12,1,hellmania,synot
Blazing Ice,37,SYNOT,SK,2021-02-12,1,blazingice,synot
Fruit Awards,38,SYNOT,SK,2021-02-12,1,fruitawards,synot
Buffalo Blitz,39,Playtech,SK,2021-02-12,1,buffaloblitz,playtech
Book of Secrets,40,SYNOT,SK,2021-02-12,1,bookofsecrets,synot
Berry Berry Bonanza,41,Playtech,SK,2021-02-12,1,berryberrybonanza,playtech
Anaconda Wild,42,Playtech,SK,2021-02-12,1,anacondawild,playtech
White King,43,Playtech,SK,2021-02-12,1,whiteking,playtech
Ice Bar 27,44,KAJOT,SK,2021-02-12,1,icebar27,kajot
Reel Hot Respin,45,SYNOT,SK,2021-02-12,1,reelhotrespin,synot
Armed 'N' Wild,46,SYNOT,SK,2021-02-12,1,armednwild,synot
Gaelic Luck,47,Playtech,SK,2021-02-12,1,gaelicluck,playtech
Halloween Fortune,48,Playtech,SK,2021-02-12,1,halloweenfortune,playtech
Reel Sheriff,49,SYNOT,SK,2021-02-12,1,reelsheriff,synot
Epic Ape,50,Playtech,SK,2021-02-12,1,epicape,playtech
Legacy of the Wild,51,Playtech Vikings,SK,2021-02-12,1,legacyofthewild,playtechvikings
White King 2,52,Playtech,SK,2021-02-12,1,whiteking2,playtech
Jungle Giants,53,Playtech,SK,2021-02-12,1,junglegiants,playtech
Gem Heat,54,Playtech,SK,2021-02-12,1,gemheat,playtech
8 Flowers,55,SYNOT,SK,2021-02-12,1,8flowers,synot
Dragon Champions,56,Playtech,SK,2021-02-12,1,dragonchampions,playtech
Vampire Bride,57,SYNOT,SK,2021-02-12,1,vampirebride,synot
Heart of the Frontier,58,Playtech,SK,2021-02-12,1,heartofthefrontier,playtech
Great Blue,59,Playtech,SK,2021-02-12,1,greatblue,playtech
Cat Queen,60,Playtech,SK,2021-02-12,1,catqueen,playtech
Royal Respin Deluxe,61,Playtech,SK,2021-02-12,1,royalrespindeluxe,playtech
Diamond Bet Roulette,62,Playtech,SK,2021-02-12,1,diamondbetroulette,playtech
Spread Bet Roulette,63,Playtech,SK,2021-02-12,1,spreadbetroulette,playtech
Cashback Blackjack (Playtech),64,Playtech,SK,2021-02-12,1,cashbackblackjack,playtech
Hot Africa,65,SYNOT,SK,2021-02-12,1,hotafrica,synot
Fruits and Fire,66,SYNOT,SK,2021-02-12,1,fruitsandfire,synot
Lucky Elements,67,SYNOT,SK,2021-02-12,1,luckyelements,synot
Joker 27,68,KAJOT,SK,2021-02-12,1,joker27,kajot
9 Stars,69,KAJOT,SK,2021-02-12,1,9stars,kajot
Fruity Gold,70,SYNOT,SK,2021-02-12,1,fruitygold,synot
Alchemists Gold,71,SYNOT,SK,2021-02-12,1,alchemistsgold,synot
Age of Egypt,72,Playtech,SK,2021-02-12,1,ageofegypt,playtech
40 Super Hot,73,EGT,SK,2021-02-12,1,40superhot,egt
Multi Vegas 81,74,KAJOT,SK,2021-02-12,1,multivegas81,kajot
Ways of the Phoenix,75,Playtech,SK,2021-02-12,1,waysofthephoenix,playtech
Wolves! Wolves! Wolves!,76,Playtech,SK,2021-02-12,1,wolveswolveswolves,playtech
Joker 40,77,SYNOT,SK,2021-02-12,1,joker40,synot
Sacred Stones,78,Playtech,SK,2021-02-12,1,sacredstones,playtech
Da Vinci's Vault,79,Playtech,SK,2021-02-12,1,davincisvault,playtech
Claws vs Paws,80,Playson,SK,2021-02-12,1,clawsvspaws,playson
Bonus Joker 2,81,Apollo Games,SK,2021-02-12,1,bonusjoker2,apollogames
Bonus Bears,82,Playtech,SK,2021-02-12,1,bonusbears,playtech
Upgradium,83,Playtech,SK,2021-02-12,1,upgradium,playtech
Pharaoh's Secrets,84,Playtech,SK,2021-02-12,1,pharaohssecrets,playtech
