Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Aztec Gems,1,16,Pragmatic Play,TH,2021-02-12,aztecgems,pragmaticplay
Totem Towers,2,14,Habanero,TH,2021-02-12,totemtowers,habanero
Regal Streak,3,16,Red Tiger,TH,2021-02-12,regalstreak,redtiger
Typhoon Cash,4,10,Aspect Gaming,TH,2021-02-12,typhooncash,aspectgaming
Rise Of Olympus,5,17,Play'n Go,TH,2021-02-12,riseofolympus,playngo
Bounty Belles,6,12,iSoftBet,TH,2021-02-12,bountybelles,isoftbet
Moon Princess,7,18,Play'n Go,TH,2021-02-12,moonprincess,playngo
243 Crystal Fruits,8,13,Tom Horn Gaming,TH,2021-02-12,243crystalfruits,tomhorngaming
"Betty, Boris And Boo",9,14,Red Tiger,TH,2021-02-12,bettyborisandboo,redtiger
Gemix,10,18,Play'n Go,TH,2021-02-12,gemix,playngo
Lucky Bomber,11,8,GamePlay,TH,2021-02-12,luckybomber,gameplay
Big Money Frenzy,12,5,Blueprint,TH,2021-02-12,bigmoneyfrenzy,blueprint
Phantom Thief,13,8,GamePlay,TH,2021-02-12,phantomthief,gameplay
Take 5,14,12,Gamomat,TH,2021-02-12,take5,gamomat
Caishen Wins,15,12,PG Soft,TH,2021-02-12,caishenwins,pgsoft
Wu Jin Cai Yuan,16,9,Aspect Gaming,TH,2021-02-12,wujincaiyuan,aspectgaming
Guardians Of Ice And Fire,17,9,PG Soft,TH,2021-02-12,guardiansoficeandfire,pgsoft
Panda Payday,18,9,Aspect Gaming,TH,2021-02-12,pandapayday,aspectgaming
Blossom Garden,19,8,GamePlay,TH,2021-02-12,blossomgarden,gameplay
5 Ghosts,20,10,Aspect Gaming,TH,2021-02-12,5ghosts,aspectgaming
Golden Dragon Club,21,9,Aspect Gaming,TH,2021-02-12,goldendragonclub,aspectgaming
Dragon Kingdom Eyes of Fire,22,4,Pragmatic Play,TH,2021-02-12,dragonkingdomeyesoffire,pragmaticplay
Mahjong Ways,23,12,PG Soft,TH,2021-02-12,mahjongways,pgsoft
Fortune of the Golden Rat,24,9,Aspect Gaming,TH,2021-02-12,fortuneofthegoldenrat,aspectgaming
Zheng He Treasure Ship,25,9,Aspect Gaming,TH,2021-02-12,zhenghetreasureship,aspectgaming
Fancy Fruits,26,6,Gamomat,TH,2021-02-12,fancyfruits,gamomat
Multiplier Odyssey,27,9,Relax Gaming,TH,2021-02-12,multiplierodyssey,relaxgaming
Regal Beasts,28,14,Red Tiger,TH,2021-02-12,regalbeasts,redtiger
Book of Dead,29,19,Play'n Go,TH,2021-02-12,bookofdead,playngo
Lightning Roulette,30,11,Evolution Gaming,TH,2021-02-12,lightningroulette,evolutiongaming
East Coast vs West Coast,31,10,Nolimit City,TH,2021-02-12,eastcoastvswestcoast,nolimitcity
The Dog House,32,21,Pragmatic Play,TH,2021-02-12,thedoghouse,pragmaticplay
Gonzo's Quest Megaways,33,16,Red Tiger,TH,2021-02-12,gonzosquestmegaways,redtiger
Blooming Riches,34,8,Virtual Tech,TH,2021-02-12,bloomingriches,virtualtech
5 Lucky Elements,35,9,Aspect Gaming,TH,2021-02-12,5luckyelements,aspectgaming
Jammin' Jars,36,14,Push Gaming,TH,2021-02-12,jamminjars,pushgaming
Agent Royale,37,14,Red Tiger,TH,2021-02-12,agentroyale,redtiger
Big Bass Bonanza,38,20,Reel Kingdom,TH,2021-02-12,bigbassbonanza,reelkingdom
Razor Shark,39,13,Push Gaming,TH,2021-02-12,razorshark,pushgaming
Elemental Princess,40,14,Dream Tech,TH,2021-02-12,elementalprincess,dreamtech
Fire 88,41,16,Pragmatic Play,TH,2021-02-12,fire88,pragmaticplay
Caishen's Cash,42,16,Pragmatic Play,TH,2021-02-12,caishenscash,pragmaticplay
Cat Wilde and the Eclipse of the Sun God,43,17,Play'n Go,TH,2021-02-12,catwildeandtheeclipseofthesungod,playngo
The Hand of Midas,44,15,Pragmatic Play,TH,2021-02-12,thehandofmidas,pragmaticplay
Madame Destiny Megaways,45,16,Pragmatic Play,TH,2021-02-12,madamedestinymegaways,pragmaticplay
Starburst,46,18,NetEnt,TH,2021-02-12,starburst,netent
Dinosaur Rage,47,12,Quickspin,TH,2021-02-12,dinosaurrage,quickspin
Eye of the Storm,48,15,Reel Kingdom,TH,2021-02-12,eyeofthestorm,reelkingdom
Sweet Bonanza,49,21,Pragmatic Play,TH,2021-02-12,sweetbonanza,pragmaticplay
Dead or Alive 2,50,20,NetEnt,TH,2021-02-12,deadoralive2,netent
San Quentin,51,13,Nolimit City,TH,2021-02-12,sanquentin,nolimitcity
Prissy Princess,52,14,Play'n Go,TH,2021-02-12,prissyprincess,playngo
The Sword and The Grail,53,18,Play'n Go,TH,2021-02-12,theswordandthegrail,playngo
Frankenslot's Monster,54,11,Betsoft,TH,2021-02-12,frankenslotsmonster,betsoft
Divine Dragon: Hold and Win,55,10,Playson,TH,2021-02-12,divinedragonholdandwin,playson
Rome The Golden Age,56,10,NetEnt,TH,2021-02-12,romethegoldenage,netent
Wolf Gold,57,21,Pragmatic Play,TH,2021-02-12,wolfgold,pragmaticplay
Gold Digger,58,14,iSoftBet,TH,2021-02-12,golddigger,isoftbet
Infinite Blackjack,59,5,Evolution Gaming,TH,2021-02-12,infiniteblackjack,evolutiongaming
Slingo Extreme,60,6,Slingo Originals,TH,2021-02-12,slingoextreme,slingooriginals
Bonanza,61,17,Big Time Gaming,TH,2021-02-12,bonanza,bigtimegaming
Book of Ra deluxe,62,5,Greentube,TH,2021-02-12,bookofradeluxe,greentube
Congo Cash,63,14,Wild Streak Gaming,TH,2021-02-12,congocash,wildstreakgaming
Gems Bonanza,64,21,Pragmatic Play,TH,2021-02-12,gemsbonanza,pragmaticplay
Bull in a China Shop,65,16,Play'n Go,TH,2021-02-12,bullinachinashop,playngo
Wild Trucks,66,9,Habanero,TH,2021-02-12,wildtrucks,habanero
Brilliant Gems,67,4,Ruby Play,TH,2021-02-12,brilliantgems,rubyplay
Fruit Million,68,6,BGAMING,TH,2021-02-12,fruitmillion,bgaming
Fruit Shop Megaways,69,17,NetEnt,TH,2021-02-12,fruitshopmegaways,netent
Goddess Of Lotus,70,10,Spinomenal,TH,2021-02-12,goddessoflotus,spinomenal
Elvis Frog in Vegas,71,9,BGAMING,TH,2021-02-12,elvisfroginvegas,bgaming
Beat the Beast Griffin's Gold,72,13,Thunderkick,TH,2021-02-12,beatthebeastgriffinsgold,thunderkick
Buffalo Power Hold and Win,73,12,Playson,TH,2021-02-12,buffalopowerholdandwin,playson
Supreme Hot,74,9,EGT,TH,2021-02-12,supremehot,egt
Immortal Romance,75,19,Microgaming,TH,2021-02-12,immortalromance,microgaming
Cupids Strike 2,76,11,Spinomenal,TH,2021-02-12,cupidsstrike2,spinomenal
Great Rhino Megaways,77,20,Pragmatic Play,TH,2021-02-12,greatrhinomegaways,pragmaticplay
Valley Of The Gods 2,78,14,Yggdrasil,TH,2021-02-12,valleyofthegods2,yggdrasil
Rise of Ra,79,10,EGT,TH,2021-02-12,riseofra,egt
Juicy Joker Mega Moolah,80,6,JustForTheWin,TH,2021-02-12,juicyjokermegamoolah,justforthewin
Legend of Cleopatra Megaways,81,7,Playson,TH,2021-02-12,legendofcleopatramegaways,playson
Power Blackjack,82,8,Evolution Gaming,TH,2021-02-12,powerblackjack,evolutiongaming
Big Bad Wolf Christmas Special,83,12,Quickspin,TH,2021-02-12,bigbadwolfchristmasspecial,quickspin
