Name,Rank,Provider,Market,Date,Casinos,NameInternal,ProviderInternal
Wild Ox,1,Spinomenal,TN,2021-02-12,1,wildox,spinomenal
Cupid,2,Endorphina,TN,2021-02-12,1,cupid,endorphina
Luck of Ra,3,Plank Gaming,TN,2021-02-12,1,luckofra,plankgaming
Diego El Pibe De Oro,4,GameArt,TN,2021-02-12,1,diegoelpibedeoro,gameart
Bounty Belles,5,iSoftBet,TN,2021-02-12,1,bountybelles,isoftbet
Book Of Tribes Reloaded,6,Spinomenal,TN,2021-02-12,1,bookoftribesreloaded,spinomenal
Eye of the Storm,7,Reel Kingdom,TN,2021-02-12,1,eyeofthestorm,reelkingdom
"Betty, Boris And Boo",8,Red Tiger,TN,2021-02-12,1,bettyborisandboo,redtiger
War of Gods,9,Red Tiger,TN,2021-02-12,1,warofgods,redtiger
Totem Towers,10,Habanero,TN,2021-02-12,1,totemtowers,habanero
Wild Bullets,11,Evoplay Entertainment,TN,2021-02-12,1,wildbullets,evoplayentertainment
Madame Destiny Megaways,12,Pragmatic Play,TN,2021-02-12,1,madamedestinymegaways,pragmaticplay
Emerald King Rainbow Road,13,Reel Kingdom,TN,2021-02-12,1,emeraldkingrainbowroad,reelkingdom
Lord Merlin and the Lady of the Lake,14,Play'n Go,TN,2021-02-12,1,lordmerlinandtheladyofthelake,playngo
Book of Cai Shen,15,iSoftBet,TN,2021-02-12,1,bookofcaishen,isoftbet
Chance Machine 5,16,Endorphina,TN,2021-02-12,1,chancemachine5,endorphina
Joker Madness Christmas Edition,17,Spinomenal,TN,2021-02-12,1,jokermadnesschristmasedition,spinomenal
Ded Moroz,18,Spinomenal,TN,2021-02-12,1,dedmoroz,spinomenal
Diamond Chance,19,Endorphina,TN,2021-02-12,1,diamondchance,endorphina
Snegurochka,20,Spinomenal,TN,2021-02-12,1,snegurochka,spinomenal
Mysterious Egypt,21,Pragmatic Play,TN,2021-02-12,1,mysteriousegypt,pragmaticplay
Treasure Mania,22,Evoplay Entertainment,TN,2021-02-12,1,treasuremania,evoplayentertainment
Demi Gods IV Christmas Edition,23,Spinomenal,TN,2021-02-12,1,demigodsivchristmasedition,spinomenal
Book Of Xmas,24,Spinomenal,TN,2021-02-12,1,bookofxmas,spinomenal
Cosmic Voyager,25,Thunderkick,TN,2021-02-12,1,cosmicvoyager,thunderkick
Animals of Africa,26,Gold Coin Studios,TN,2021-02-12,1,animalsofafrica,goldcoinstudios
Dinosaur Rage,27,Quickspin,TN,2021-02-12,1,dinosaurrage,quickspin
Fire Wizard,28,Axial Studio,TN,2021-02-12,1,firewizard,axialstudio
The Bounty,29,Snowborn Games,TN,2021-02-12,1,thebounty,snowborngames
Golden Stallion,30,Northern Lights Gaming,TN,2021-02-12,1,goldenstallion,northernlightsgaming
