Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,34,Play'n Go,TR,2021-02-12,bookofdead,playngo
Gonzo's Quest Megaways,2,34,Red Tiger,TR,2021-02-12,gonzosquestmegaways,redtiger
Starburst,3,34,NetEnt,TR,2021-02-12,starburst,netent
The Hand of Midas,4,24,Pragmatic Play,TR,2021-02-12,thehandofmidas,pragmaticplay
Lightning Roulette,5,16,Evolution Gaming,TR,2021-02-12,lightningroulette,evolutiongaming
Gonzo's Quest,6,33,NetEnt,TR,2021-02-12,gonzosquest,netent
Wolf Gold,7,32,Pragmatic Play,TR,2021-02-12,wolfgold,pragmaticplay
Street Fighter 2: The World Warrior,8,28,NetEnt,TR,2021-02-12,streetfighter2theworldwarrior,netent
Cat Wilde and the Eclipse of the Sun God,9,24,Play'n Go,TR,2021-02-12,catwildeandtheeclipseofthesungod,playngo
Bounty Belles,10,19,iSoftBet,TR,2021-02-12,bountybelles,isoftbet
Eye of the Storm,11,24,Reel Kingdom,TR,2021-02-12,eyeofthestorm,reelkingdom
Sweet Bonanza,12,34,Pragmatic Play,TR,2021-02-12,sweetbonanza,pragmaticplay
Razor Shark,13,20,Push Gaming,TR,2021-02-12,razorshark,pushgaming
Thunder Of Olympus,14,24,Booongo,TR,2021-02-12,thunderofolympus,booongo
Fruit Shop Megaways,15,28,NetEnt,TR,2021-02-12,fruitshopmegaways,netent
Twin Spin,16,31,NetEnt,TR,2021-02-12,twinspin,netent
Dead or Alive 2,17,32,NetEnt,TR,2021-02-12,deadoralive2,netent
Pirates Plenty The Sunken Treasure,18,26,Red Tiger,TR,2021-02-12,piratesplentythesunkentreasure,redtiger
Sakura Fortune,19,26,Quickspin,TR,2021-02-12,sakurafortune,quickspin
Dragon Tiger First Person,20,22,Evolution Gaming,TR,2021-02-12,dragontigerfirstperson,evolutiongaming
Book Of Demi Gods 2,21,25,Spinomenal,TR,2021-02-12,bookofdemigods2,spinomenal
Valley Of The Gods 2,22,17,Yggdrasil,TR,2021-02-12,valleyofthegods2,yggdrasil
Dawn of Egypt,23,26,Play'n Go,TR,2021-02-12,dawnofegypt,playngo
Chicago Gold,24,21,PearFiction,TR,2021-02-12,chicagogold,pearfiction
Queen of gold,25,30,Pragmatic Play,TR,2021-02-12,queenofgold,pragmaticplay
Miss Wildfire,26,21,ELK Studios,TR,2021-02-12,misswildfire,elkstudios
San Quentin,27,24,Nolimit City,TR,2021-02-12,sanquentin,nolimitcity
Thunder Screech,28,16,Play'n Go,TR,2021-02-12,thunderscreech,playngo
Dinosaur Rage,29,21,Quickspin,TR,2021-02-12,dinosaurrage,quickspin
East Coast vs West Coast,30,18,Nolimit City,TR,2021-02-12,eastcoastvswestcoast,nolimitcity
Divine Fortune Megaways,31,29,NetEnt,TR,2021-02-12,divinefortunemegaways,netent
Cupids Strike 2,32,25,Spinomenal,TR,2021-02-12,cupidsstrike2,spinomenal
Madame Destiny Megaways,33,28,Pragmatic Play,TR,2021-02-12,madamedestinymegaways,pragmaticplay
Divine Fortune,34,23,NetEnt,TR,2021-02-12,divinefortune,netent
Gold Digger,35,25,iSoftBet,TR,2021-02-12,golddigger,isoftbet
Buddha Fortune Hold and Win,36,26,Booongo,TR,2021-02-12,buddhafortuneholdandwin,booongo
Wild Trucks,37,24,Habanero,TR,2021-02-12,wildtrucks,habanero
Brilliant Gems,38,7,Ruby Play,TR,2021-02-12,brilliantgems,rubyplay
Sylvan Spirits,39,29,Red Tiger,TR,2021-02-12,sylvanspirits,redtiger
Joker Pro,40,28,NetEnt,TR,2021-02-12,jokerpro,netent
Crazy Time,41,11,Evolution Gaming,TR,2021-02-12,crazytime,evolutiongaming
Ice Joker,42,28,Play'n Go,TR,2021-02-12,icejoker,playngo
Goddess Of Lotus,43,26,Spinomenal,TR,2021-02-12,goddessoflotus,spinomenal
Immortal Romance,44,28,Microgaming,TR,2021-02-12,immortalromance,microgaming
Bonus Joker 2,45,12,Apollo Games,TR,2021-02-12,bonusjoker2,apollogames
Stunning Hot,46,17,BF games,TR,2021-02-12,stunninghot,bfgames
The Mummy Win Hunters Epicways,47,15,Fugaso,TR,2021-02-12,themummywinhuntersepicways,fugaso
Boots Of Luck,48,10,Betixon,TR,2021-02-12,bootsofluck,betixon
Carnaval Jackpot,49,16,Pulse 8 Studios,TR,2021-02-12,carnavaljackpot,pulse8studios
"Betty, Boris And Boo",50,25,Red Tiger,TR,2021-02-12,bettyborisandboo,redtiger
Book of Cai Shen,51,17,iSoftBet,TR,2021-02-12,bookofcaishen,isoftbet
Dynamite Riches,52,24,Red Tiger,TR,2021-02-12,dynamiteriches,redtiger
Jammin' Jars,53,18,Push Gaming,TR,2021-02-12,jamminjars,pushgaming
Wings Of Ra,54,22,Red Tiger,TR,2021-02-12,wingsofra,redtiger
Nitropolis,55,25,ELK Studios,TR,2021-02-12,nitropolis,elkstudios
Regal Streak,56,28,Red Tiger,TR,2021-02-12,regalstreak,redtiger
Fire Joker,57,28,Play'n Go,TR,2021-02-12,firejoker,playngo
Titan Thunder: Wrath of Hades,58,24,Quickspin,TR,2021-02-12,titanthunderwrathofhades,quickspin
Legacy of Dead,59,32,Play'n Go,TR,2021-02-12,legacyofdead,playngo
Regal Beasts,60,27,Red Tiger,TR,2021-02-12,regalbeasts,redtiger
Buffalo King,61,32,Pragmatic Play,TR,2021-02-12,buffaloking,pragmaticplay
Fruit Zen,62,26,Betsoft,TR,2021-02-12,fruitzen,betsoft
Solar Queen,63,26,Playson,TR,2021-02-12,solarqueen,playson
Dragon Pearls: Hold & Win,64,24,Booongo,TR,2021-02-12,dragonpearlsholdwin,booongo
Mysterious Egypt,65,25,Pragmatic Play,TR,2021-02-12,mysteriousegypt,pragmaticplay
Real Roulette with Bailey,66,4,Real Dealer Studios,TR,2021-02-12,realroulettewithbailey,realdealerstudios
Twisted Sister,67,28,Play'n Go,TR,2021-02-12,twistedsister,playngo
Multiplier Odyssey,68,11,Relax Gaming,TR,2021-02-12,multiplierodyssey,relaxgaming
Riches of Midgard: Land and Expand,69,24,NetEnt,TR,2021-02-12,richesofmidgardlandandexpand,netent
Lightning Dice,70,9,Evolution Gaming,TR,2021-02-12,lightningdice,evolutiongaming
Legend of Cleopatra Megaways,71,14,Playson,TR,2021-02-12,legendofcleopatramegaways,playson
Aztec Spell,72,22,Spinomenal,TR,2021-02-12,aztecspell,spinomenal
Bonanza,73,26,Big Time Gaming,TR,2021-02-12,bonanza,bigtimegaming
Majestic King,74,27,Spinomenal,TR,2021-02-12,majesticking,spinomenal
Vegas Night Life,75,20,NetEnt,TR,2021-02-12,vegasnightlife,netent
777 Gems Respin,76,24,Booongo,TR,2021-02-12,777gemsrespin,booongo
The Dog House Megaways,77,29,Pragmatic Play,TR,2021-02-12,thedoghousemegaways,pragmaticplay
Gems Bonanza,78,30,Pragmatic Play,TR,2021-02-12,gemsbonanza,pragmaticplay
Buffalo Power Hold and Win,79,23,Playson,TR,2021-02-12,buffalopowerholdandwin,playson
Fu Fortunes Megaways,80,24,iSoftBet,TR,2021-02-12,fufortunesmegaways,isoftbet
Sahara's Dreams,81,24,Fugaso,TR,2021-02-12,saharasdreams,fugaso
Book Of Rebirth Reloaded,82,27,Spinomenal,TR,2021-02-12,bookofrebirthreloaded,spinomenal
Deadwood,83,21,Nolimit City,TR,2021-02-12,deadwood,nolimitcity
Egyptian Rebirth II,84,23,Spinomenal,TR,2021-02-12,egyptianrebirthii,spinomenal
Burning Hot,85,17,EGT,TR,2021-02-12,burninghot,egt
Mustang Gold,86,34,Pragmatic Play,TR,2021-02-12,mustanggold,pragmaticplay
Queen of Wonderland Megaways,87,25,iSoftBet,TR,2021-02-12,queenofwonderlandmegaways,isoftbet
10001 Nights,88,24,Red Tiger,TR,2021-02-12,10001nights,redtiger
Baccarat First Person,89,21,Evolution Gaming,TR,2021-02-12,baccaratfirstperson,evolutiongaming
Hoard Of Poseidon,90,26,Red Tiger,TR,2021-02-12,hoardofposeidon,redtiger
Real Roulette with Sarati,91,26,Real Dealer Studios,TR,2021-02-12,realroulettewithsarati,realdealerstudios
Forgotten Island Megaways,92,19,All41 Studios,TR,2021-02-12,forgottenislandmegaways,all41studios
Prissy Princess,93,27,Play'n Go,TR,2021-02-12,prissyprincess,playngo
4 Horsemen,94,28,Spinomenal,TR,2021-02-12,4horsemen,spinomenal
Katmandu Gold,95,25,ELK Studios,TR,2021-02-12,katmandugold,elkstudios
Elvis Frog in Vegas,96,14,BGAMING,TR,2021-02-12,elvisfroginvegas,bgaming
Fruit Million,97,11,BGAMING,TR,2021-02-12,fruitmillion,bgaming
Frankenslot's Monster,98,28,Betsoft,TR,2021-02-12,frankenslotsmonster,betsoft
Queen of Bounty,99,10,PG Soft,TR,2021-02-12,queenofbounty,pgsoft
Vegans vs Vampires,100,11,gamevy,TR,2021-02-12,vegansvsvampires,gamevy
