Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,75,Play'n Go,UA,2021-02-12,bookofdead,playngo
Thunder Screech,2,45,Play'n Go,UA,2021-02-12,thunderscreech,playngo
Cupid,3,43,Endorphina,UA,2021-02-12,cupid,endorphina
Divine Fortune Megaways,4,62,NetEnt,UA,2021-02-12,divinefortunemegaways,netent
Starburst,5,82,NetEnt,UA,2021-02-12,starburst,netent
Divine Fortune,6,47,NetEnt,UA,2021-02-12,divinefortune,netent
Space Wars,7,62,NetEnt,UA,2021-02-12,spacewars,netent
Gonzo's Quest,8,83,NetEnt,UA,2021-02-12,gonzosquest,netent
Dead or Alive 2,9,83,NetEnt,UA,2021-02-12,deadoralive2,netent
Butterfly Lovers,10,48,Wazdan,UA,2021-02-12,butterflylovers,wazdan
Legacy of Dead,11,62,Play'n Go,UA,2021-02-12,legacyofdead,playngo
Fruit Shop Megaways,12,51,NetEnt,UA,2021-02-12,fruitshopmegaways,netent
Gonzo's Quest Megaways,13,56,Red Tiger,UA,2021-02-12,gonzosquestmegaways,redtiger
Clover Lady,14,38,Wazdan,UA,2021-02-12,cloverlady,wazdan
Bounty Belles,15,35,iSoftBet,UA,2021-02-12,bountybelles,isoftbet
Solar Queen,16,50,Playson,UA,2021-02-12,solarqueen,playson
9 Lions,17,51,Wazdan,UA,2021-02-12,9lions,wazdan
Twin Spin Megaways,18,51,NetEnt,UA,2021-02-12,twinspinmegaways,netent
Howling Wolves,19,57,Booming Games,UA,2021-02-12,howlingwolves,boominggames
Cupids Strike 2,20,37,Spinomenal,UA,2021-02-12,cupidsstrike2,spinomenal
Immortal Romance,21,64,Microgaming,UA,2021-02-12,immortalromance,microgaming
Super 15 Stars,22,20,Red Rake,UA,2021-02-12,super15stars,redrake
Zeus Rush Fever,23,19,Ruby Play,UA,2021-02-12,zeusrushfever,rubyplay
Buffalo Power Hold and Win,24,47,Playson,UA,2021-02-12,buffalopowerholdandwin,playson
Eye of Gold,25,40,Booongo,UA,2021-02-12,eyeofgold,booongo
Dark King Forbidden Riches,26,58,NetEnt,UA,2021-02-12,darkkingforbiddenriches,netent
Lucky Lady Moon,27,33,BGAMING,UA,2021-02-12,luckyladymoon,bgaming
Wild Animals,28,37,Red Rake,UA,2021-02-12,wildanimals,redrake
Loco Habanero,29,24,Ruby Play,UA,2021-02-12,locohabanero,rubyplay
Chicago Gold,30,53,PearFiction,UA,2021-02-12,chicagogold,pearfiction
Elephant Stampede,31,20,Ruby Play,UA,2021-02-12,elephantstampede,rubyplay
Piggy Riches Megaways,32,47,Red Tiger,UA,2021-02-12,piggyrichesmegaways,redtiger
Telly Reels,33,44,Wazdan,UA,2021-02-12,tellyreels,wazdan
Carnaval Jackpot,34,35,Pulse 8 Studios,UA,2021-02-12,carnavaljackpot,pulse8studios
Shake Shake Leprechaun,35,24,Ruby Play,UA,2021-02-12,shakeshakeleprechaun,rubyplay
San Quentin,36,42,Nolimit City,UA,2021-02-12,sanquentin,nolimitcity
Back To Venus,37,65,Betsoft,UA,2021-02-12,backtovenus,betsoft
Dr Frankenstein,38,21,Ruby Play,UA,2021-02-12,drfrankenstein,rubyplay
Extra Chilli,39,66,Big Time Gaming,UA,2021-02-12,extrachilli,bigtimegaming
Cat Wilde and the Eclipse of the Sun God,40,52,Play'n Go,UA,2021-02-12,catwildeandtheeclipseofthesungod,playngo
Reactoonz,41,59,Play'n Go,UA,2021-02-12,reactoonz,playngo
Tome of Madness,42,59,Play'n Go,UA,2021-02-12,tomeofmadness,playngo
Frost Queen Jackpots,43,26,Yggdrasil,UA,2021-02-12,frostqueenjackpots,yggdrasil
Hotline 2,44,69,NetEnt,UA,2021-02-12,hotline2,netent
Chilli Pop,45,66,Betsoft,UA,2021-02-12,chillipop,betsoft
Demi Gods II,46,52,Spinomenal,UA,2021-02-12,demigodsii,spinomenal
Unicorn Reels,47,36,Wazdan,UA,2021-02-12,unicornreels,wazdan
Midas Golden Touch,48,57,Thunderkick,UA,2021-02-12,midasgoldentouch,thunderkick
Red Cap,49,44,Endorphina,UA,2021-02-12,redcap,endorphina
