Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Wild Trucks,1,13,Habanero,VN,2021-02-12,wildtrucks,habanero
Brilliant Gems,2,9,Ruby Play,VN,2021-02-12,brilliantgems,rubyplay
Book of Dead,3,18,Play'n Go,VN,2021-02-12,bookofdead,playngo
Boots Of Luck,4,10,Betixon,VN,2021-02-12,bootsofluck,betixon
777 Gems Respin,5,14,Booongo,VN,2021-02-12,777gemsrespin,booongo
Cat Wilde and the Eclipse of the Sun God,6,18,Play'n Go,VN,2021-02-12,catwildeandtheeclipseofthesungod,playngo
Prissy Princess,7,14,Play'n Go,VN,2021-02-12,prissyprincess,playngo
Frankenslot's Monster,8,15,Betsoft,VN,2021-02-12,frankenslotsmonster,betsoft
Aztec Spell,9,12,Spinomenal,VN,2021-02-12,aztecspell,spinomenal
Royal Crown Remastered,10,12,BF games,VN,2021-02-12,royalcrownremastered,bfgames
Queen of Bounty,11,13,PG Soft,VN,2021-02-12,queenofbounty,pgsoft
Vegans vs Vampires,12,10,gamevy,VN,2021-02-12,vegansvsvampires,gamevy
Caishen's Gift,13,12,Platipus,VN,2021-02-12,caishensgift,platipus
The Moneymania,14,10,Belatra Games,VN,2021-02-12,themoneymania,belatragames
Crazy Mix,15,11,TrueLab Games,VN,2021-02-12,crazymix,truelabgames
Aztec Sun Hold and Win,16,15,Booongo,VN,2021-02-12,aztecsunholdandwin,booongo
Madame Destiny Megaways,17,13,Pragmatic Play,VN,2021-02-12,madamedestinymegaways,pragmaticplay
Ramses Rising,18,12,BF games,VN,2021-02-12,ramsesrising,bfgames
Four Lucky Clover,19,11,BGAMING,VN,2021-02-12,fourluckyclover,bgaming
Fruit Cube,20,10,Spinmatic,VN,2021-02-12,fruitcube,spinmatic
Gonzo's Quest Megaways,21,16,Red Tiger,VN,2021-02-12,gonzosquestmegaways,redtiger
Ramses Treasure,22,11,GameArt,VN,2021-02-12,ramsestreasure,gameart
Fortune of the Golden Rat,23,5,Aspect Gaming,VN,2021-02-12,fortuneofthegoldenrat,aspectgaming
Multiplier Odyssey,24,6,Relax Gaming,VN,2021-02-12,multiplierodyssey,relaxgaming
Blooming Riches,25,10,Virtual Tech,VN,2021-02-12,bloomingriches,virtualtech
Dinosaur Rage,26,15,Quickspin,VN,2021-02-12,dinosaurrage,quickspin
Carnaval Jackpot,27,13,Pulse 8 Studios,VN,2021-02-12,carnavaljackpot,pulse8studios
Stunning Hot,28,12,BF games,VN,2021-02-12,stunninghot,bfgames
Bar Slot,29,15,Golden Rock Studios,VN,2021-02-12,barslot,goldenrockstudios
Big Bad Wolf Christmas Special,30,14,Quickspin,VN,2021-02-12,bigbadwolfchristmasspecial,quickspin
Bounty Belles,31,15,iSoftBet,VN,2021-02-12,bountybelles,isoftbet
Sweet Bonanza,32,15,Pragmatic Play,VN,2021-02-12,sweetbonanza,pragmaticplay
Mustang Gold,33,15,Pragmatic Play,VN,2021-02-12,mustanggold,pragmaticplay
Wolf Gold,34,16,Pragmatic Play,VN,2021-02-12,wolfgold,pragmaticplay
The Dog House,35,16,Pragmatic Play,VN,2021-02-12,thedoghouse,pragmaticplay
Aztec Coins,36,11,Platipus,VN,2021-02-12,azteccoins,platipus
Tiger Stone,37,13,Booongo,VN,2021-02-12,tigerstone,booongo
Cupids Strike 2,38,13,Spinomenal,VN,2021-02-12,cupidsstrike2,spinomenal
Aztec Gems,39,18,Pragmatic Play,VN,2021-02-12,aztecgems,pragmaticplay
Star Settler,40,10,BF games,VN,2021-02-12,starsettler,bfgames
Fruit Million,41,7,BGAMING,VN,2021-02-12,fruitmillion,bgaming
Buffalo Blitz,42,6,Playtech,VN,2021-02-12,buffaloblitz,playtech
Book Of Rebirth Reloaded,43,13,Spinomenal,VN,2021-02-12,bookofrebirthreloaded,spinomenal
Divine Fortune Megaways,44,15,NetEnt,VN,2021-02-12,divinefortunemegaways,netent
15 Dragon Pearls,45,16,Booongo,VN,2021-02-12,15dragonpearls,booongo
Immortal Romance,46,19,Microgaming,VN,2021-02-12,immortalromance,microgaming
Joker King,47,8,Pragmatic Play,VN,2021-02-12,jokerking,pragmaticplay
Elvis Frog in Vegas,48,11,BGAMING,VN,2021-02-12,elvisfroginvegas,bgaming
10001 Nights,49,17,Red Tiger,VN,2021-02-12,10001nights,redtiger
Valley Of The Gods 2,50,15,Yggdrasil,VN,2021-02-12,valleyofthegods2,yggdrasil
Stunning Hot Remastered,51,12,BF games,VN,2021-02-12,stunninghotremastered,bfgames
Big Money Frenzy,52,12,Blueprint,VN,2021-02-12,bigmoneyfrenzy,blueprint
Cowboys Gold,53,14,Pragmatic Play,VN,2021-02-12,cowboysgold,pragmaticplay
The Mummy Win Hunters Epicways,54,12,Fugaso,VN,2021-02-12,themummywinhuntersepicways,fugaso
Panda Payday,55,13,Aspect Gaming,VN,2021-02-12,pandapayday,aspectgaming
Red Hot Stepper,56,10,Slot Factory,VN,2021-02-12,redhotstepper,slotfactory
Hawaiian Night,57,13,Platipus,VN,2021-02-12,hawaiiannight,platipus
Opal Fruits,58,16,Big Time Gaming,VN,2021-02-12,opalfruits,bigtimegaming
Juicy Joker Mega Moolah,59,5,JustForTheWin,VN,2021-02-12,juicyjokermegamoolah,justforthewin
Hit The Route,60,11,BGAMING,VN,2021-02-12,hittheroute,bgaming
Golden Dragon Club,61,13,Aspect Gaming,VN,2021-02-12,goldendragonclub,aspectgaming
Blirix Workshop,62,14,IronDog,VN,2021-02-12,blirixworkshop,irondog
Dragon Kingdom Eyes of Fire,63,14,Pragmatic Play,VN,2021-02-12,dragonkingdomeyesoffire,pragmaticplay
East Coast vs West Coast,64,4,Nolimit City,VN,2021-02-12,eastcoastvswestcoast,nolimitcity
Typhoon Cash,65,13,Aspect Gaming,VN,2021-02-12,typhooncash,aspectgaming
Lord Merlin and the Lady of the Lake,66,13,Play'n Go,VN,2021-02-12,lordmerlinandtheladyofthelake,playngo
Wu Jin Cai Yuan,67,13,Aspect Gaming,VN,2021-02-12,wujincaiyuan,aspectgaming
"Betty, Boris And Boo",68,15,Red Tiger,VN,2021-02-12,bettyborisandboo,redtiger
Cash Pig,69,17,Booming Games,VN,2021-02-12,cashpig,boominggames
Tomb Of Dead Power 4 Slots,70,17,Blueprint,VN,2021-02-12,tombofdeadpower4slots,blueprint
John Hunter Tomb of the Scarab Queen,71,15,Pragmatic Play,VN,2021-02-12,johnhuntertombofthescarabqueen,pragmaticplay
Mysterious Egypt,72,14,Pragmatic Play,VN,2021-02-12,mysteriousegypt,pragmaticplay
Hot Wild 7s,73,14,Pariplay,VN,2021-02-12,hotwild7s,pariplay
