Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,47,Play'n Go,ZA,2021-02-12,bookofdead,playngo
Gonzo's Quest Megaways,2,39,Red Tiger,ZA,2021-02-12,gonzosquestmegaways,redtiger
Starburst,3,54,NetEnt,ZA,2021-02-12,starburst,netent
Gonzo's Quest,4,52,NetEnt,ZA,2021-02-12,gonzosquest,netent
Fire Joker,5,38,Play'n Go,ZA,2021-02-12,firejoker,playngo
Royal Seven XXL,6,25,Gamomat,ZA,2021-02-12,royalsevenxxl,gamomat
Piggy Riches Megaways,7,38,Red Tiger,ZA,2021-02-12,piggyrichesmegaways,redtiger
Legacy of Dead,8,44,Play'n Go,ZA,2021-02-12,legacyofdead,playngo
Lightning Roulette,9,32,Evolution Gaming,ZA,2021-02-12,lightningroulette,evolutiongaming
Crazy Time,10,28,Evolution Gaming,ZA,2021-02-12,crazytime,evolutiongaming
Rise Of Olympus,11,41,Play'n Go,ZA,2021-02-12,riseofolympus,playngo
Reactoonz 2,12,38,Play'n Go,ZA,2021-02-12,reactoonz2,playngo
Power Blackjack,13,25,Evolution Gaming,ZA,2021-02-12,powerblackjack,evolutiongaming
Jokers Luck,14,13,Skywind Group,ZA,2021-02-12,jokersluck,skywindgroup
Ruler of Egypt,15,11,Lady Luck Games,ZA,2021-02-12,rulerofegypt,ladyluckgames
Crystal Ball,16,20,Gamomat,ZA,2021-02-12,crystalball,gamomat
Weight of the Gun,17,11,Lady Luck Games,ZA,2021-02-12,weightofthegun,ladyluckgames
Twin Spin,18,51,NetEnt,ZA,2021-02-12,twinspin,netent
Ramses Book,19,20,Gamomat,ZA,2021-02-12,ramsesbook,gamomat
Fancy Fruits,20,21,Gamomat,ZA,2021-02-12,fancyfruits,gamomat
Super Lion,21,13,Skywind Group,ZA,2021-02-12,superlion,skywindgroup
Reactoonz,22,38,Play'n Go,ZA,2021-02-12,reactoonz,playngo
Gold Digger,23,36,iSoftBet,ZA,2021-02-12,golddigger,isoftbet
Gold Vein,24,25,Booming Games,ZA,2021-02-12,goldvein,boominggames
Sugar Skull Spins,25,25,Slot Factory,ZA,2021-02-12,sugarskullspins,slotfactory
Cashed Away,26,25,Slot Factory,ZA,2021-02-12,cashedaway,slotfactory
Quickispin,27,25,Intouch Games,ZA,2021-02-12,quickispin,intouchgames
Divine Fortune,28,47,NetEnt,ZA,2021-02-12,divinefortune,netent
Money Ladder,29,0,Slot Factory,ZA,2021-02-12,moneyladder,slotfactory
Cat Wilde and the Eclipse of the Sun God,30,33,Play'n Go,ZA,2021-02-12,catwildeandtheeclipseofthesungod,playngo
Mandarin Queen,31,33,Slot Factory,ZA,2021-02-12,mandarinqueen,slotfactory
Wild Diamond 7x,32,28,Booming Games,ZA,2021-02-12,wilddiamond7x,boominggames
Mega Combo Cash (Slot Factory),33,28,Slot Factory,ZA,2021-02-12,megacombocash,slotfactory
Jewel Scarabs,34,34,Red Tiger,ZA,2021-02-12,jewelscarabs,redtiger
Books And Pearls,35,16,Gamomat,ZA,2021-02-12,booksandpearls,gamomat
Viking Lightning Spins,36,16,Slot Factory,ZA,2021-02-12,vikinglightningspins,slotfactory
Take 5,37,21,Gamomat,ZA,2021-02-12,take5,gamomat
Slots 4 Kings,38,21,Slot Factory,ZA,2021-02-12,slots4kings,slotfactory
Orango Tango,39,11,Lady Luck Games,ZA,2021-02-12,orangotango,ladyluckgames
Sticky Diamonds,40,19,Gamomat,ZA,2021-02-12,stickydiamonds,gamomat
Tomb Of The Wins,41,19,Slot Factory,ZA,2021-02-12,tombofthewins,slotfactory
Fancy Fruits Respins Of Amun-Re,42,19,Gamomat,ZA,2021-02-12,fancyfruitsrespinsofamunre,gamomat
Speeding Reels,43,19,Slot Factory,ZA,2021-02-12,speedingreels,slotfactory
Wild Funland,44,19,Slot Factory,ZA,2021-02-12,wildfunland,slotfactory
Money Grows on Trees Christmas Edition,45,19,Slot Factory,ZA,2021-02-12,moneygrowsontreeschristmasedition,slotfactory
Wild Treasure Reels,46,19,Slot Factory,ZA,2021-02-12,wildtreasurereels,slotfactory
10001 Nights,47,23,Red Tiger,ZA,2021-02-12,10001nights,redtiger
Supernova Crush,48,23,Slot Factory,ZA,2021-02-12,supernovacrush,slotfactory
Crown Duels,49,23,Slot Factory,ZA,2021-02-12,crownduels,slotfactory
Fire and Gold,50,23,Slot Factory,ZA,2021-02-12,fireandgold,slotfactory
Lion Spirit,51,23,Slot Factory,ZA,2021-02-12,lionspirit,slotfactory
Emerald Rainbow Wins,52,23,Slot Factory,ZA,2021-02-12,emeraldrainbowwins,slotfactory
Golden Empress,53,23,Slot Factory,ZA,2021-02-12,goldenempress,slotfactory
Moon Princess,54,39,Play'n Go,ZA,2021-02-12,moonprincess,playngo
Live Wild Reels,55,39,Slot Factory,ZA,2021-02-12,livewildreels,slotfactory
Speed Baccarat B,56,21,Evolution Gaming,ZA,2021-02-12,speedbaccaratb,evolutiongaming
Wild Diamond Wins,57,0,Slot Factory,ZA,2021-02-12,wilddiamondwins,slotfactory
Football Studio First Person,58,21,Evolution Gaming,ZA,2021-02-12,footballstudiofirstperson,evolutiongaming
Cash Conquest,59,21,Slot Factory,ZA,2021-02-12,cashconquest,slotfactory
Cosmic Wilds,60,21,Slot Factory,ZA,2021-02-12,cosmicwilds,slotfactory
Double Wild Wins,61,21,Slot Factory,ZA,2021-02-12,doublewildwins,slotfactory
Reel Royalty,62,21,Slot Factory,ZA,2021-02-12,reelroyalty,slotfactory
Cashanova Cashpots,63,21,Slot Factory,ZA,2021-02-12,cashanovacashpots,slotfactory
Krispy Kash,64,21,Slot Factory,ZA,2021-02-12,krispykash,slotfactory
Cash Cubed,65,21,Slot Factory,ZA,2021-02-12,cashcubed,slotfactory
Reel Fruity Slots Mini,66,21,Slot Factory,ZA,2021-02-12,reelfruityslotsmini,slotfactory
Super Sunny Fruits: Hold and Win,67,25,Playson,ZA,2021-02-12,supersunnyfruitsholdandwin,playson
Wolf Gold,68,23,Pragmatic Play,ZA,2021-02-12,wolfgold,pragmaticplay
Coliseum Cash,69,23,Slot Factory,ZA,2021-02-12,coliseumcash,slotfactory
Aloha! Cluster Pays,70,49,NetEnt,ZA,2021-02-12,alohaclusterpays,netent
Poppin Pizza Prizes,71,49,Slot Factory,ZA,2021-02-12,poppinpizzaprizes,slotfactory
Monopoly Live,72,19,Evolution Gaming,ZA,2021-02-12,monopolylive,evolutiongaming
Juggling Jokers,73,19,Slot Factory,ZA,2021-02-12,jugglingjokers,slotfactory
Dragon Tiger First Person,74,22,Evolution Gaming,ZA,2021-02-12,dragontigerfirstperson,evolutiongaming
Bonanza,75,34,Big Time Gaming,ZA,2021-02-12,bonanza,bigtimegaming
Sakura Fortune,76,37,Quickspin,ZA,2021-02-12,sakurafortune,quickspin
Casino Crops,77,37,Slot Factory,ZA,2021-02-12,casinocrops,slotfactory
Cowboys and Indians,78,37,Slot Factory,ZA,2021-02-12,cowboysandindians,slotfactory
Rise of Merlin,79,41,Play'n Go,ZA,2021-02-12,riseofmerlin,playngo
Book Of Rebirth Reloaded,80,15,Spinomenal,ZA,2021-02-12,bookofrebirthreloaded,spinomenal
Reel Fruity Slots,81,15,Slot Factory,ZA,2021-02-12,reelfruityslots,slotfactory
Divine Fortune Megaways,82,46,NetEnt,ZA,2021-02-12,divinefortunemegaways,netent
Book Of Demi Gods 2,83,17,Spinomenal,ZA,2021-02-12,bookofdemigods2,spinomenal
Buffalo Power Hold and Win,84,20,Playson,ZA,2021-02-12,buffalopowerholdandwin,playson
Woodstock Slots,85,0,Slot Factory,ZA,2021-02-12,woodstockslots,slotfactory
Dead or Alive 2,86,47,NetEnt,ZA,2021-02-12,deadoralive2,netent
Tome of Madness,87,38,Play'n Go,ZA,2021-02-12,tomeofmadness,playngo
Dragon's Zen,88,38,Slot Factory,ZA,2021-02-12,dragonszen,slotfactory
Pocket Fruit,89,38,Slot Factory,ZA,2021-02-12,pocketfruit,slotfactory
Sideshow Slots,90,38,Slot Factory,ZA,2021-02-12,sideshowslots,slotfactory
Pirate's Treasure,91,38,GamePlay,ZA,2021-02-12,piratestreasure,gameplay
Cheese Chase,92,38,Slot Factory,ZA,2021-02-12,cheesechase,slotfactory
Kingspin Crowns,93,38,Slot Factory,ZA,2021-02-12,kingspincrowns,slotfactory
Temple Tumble,94,28,Relax Gaming,ZA,2021-02-12,templetumble,relaxgaming
Casino Nile,95,28,Slot Factory,ZA,2021-02-12,casinonile,slotfactory
Thunder Of Olympus,96,12,Booongo,ZA,2021-02-12,thunderofolympus,booongo
Mega Diamonds,97,11,BetConstruct,ZA,2021-02-12,megadiamonds,betconstruct
