Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Starburst,1,602,NetEnt,GB,2021-02-12,starburst,netent
Rainbow Riches,2,464,Barcrest,GB,2021-02-12,rainbowriches,barcrest
Book of Dead,3,287,Play'n Go,GB,2021-02-12,bookofdead,playngo
Bonanza,4,596,Big Time Gaming,GB,2021-02-12,bonanza,bigtimegaming
9 Pots of Gold,5,449,Gameburger Studios,GB,2021-02-12,9potsofgold,gameburgerstudios
Fishin' Frenzy Megaways,6,412,Blueprint,GB,2021-02-12,fishinfrenzymegaways,blueprint
Eye of Horus (Reel Time Gaming),7,340,Reel Time Gaming,GB,2021-02-12,eyeofhorus,reeltimegaming
Fishin' Frenzy,8,406,Reel Time Gaming,GB,2021-02-12,fishinfrenzy,reeltimegaming
Gonzo's Quest,9,497,NetEnt,GB,2021-02-12,gonzosquest,netent
Rainbow Riches Pick'n'Mix,10,416,Barcrest,GB,2021-02-12,rainbowrichespicknmix,barcrest
Fluffy Favourites,11,387,Eyecon,GB,2021-02-12,fluffyfavourites,eyecon
Reel King Mega,12,329,Red Tiger,GB,2021-02-12,reelkingmega,redtiger
Chilli Heat,13,303,Pragmatic Play,GB,2021-02-12,chilliheat,pragmaticplay
Chicago Gold,14,256,PearFiction,GB,2021-02-12,chicagogold,pearfiction
Regal Streak,15,232,Red Tiger,GB,2021-02-12,regalstreak,redtiger
Gold Cash Free Spins,16,421,Inspired Gaming,GB,2021-02-12,goldcashfreespins,inspiredgaming
Mustang Gold,17,415,Pragmatic Play,GB,2021-02-12,mustanggold,pragmaticplay
Blue Wizard,18,155,Rarestone Gaming,GB,2021-02-12,bluewizard,rarestonegaming
Bar Slot,19,229,Golden Rock Studios,GB,2021-02-12,barslot,goldenrockstudios
Legacy of Dead,20,272,Play'n Go,GB,2021-02-12,legacyofdead,playngo
9 Masks Of Fire,21,479,Gameburger Studios,GB,2021-02-12,9masksoffire,gameburgerstudios
Wild Wild Riches,22,280,Pragmatic Play,GB,2021-02-12,wildwildriches,pragmaticplay
Piggy Riches Megaways,23,302,Red Tiger,GB,2021-02-12,piggyrichesmegaways,redtiger
Immortal Romance,24,431,Microgaming,GB,2021-02-12,immortalromance,microgaming
Reel Rush,25,460,NetEnt,GB,2021-02-12,reelrush,netent
Wolf Gold,26,418,Pragmatic Play,GB,2021-02-12,wolfgold,pragmaticplay
Clover Rollover 2,27,439,Eyecon,GB,2021-02-12,cloverrollover2,eyecon
Lightning Roulette,28,281,Evolution Gaming,GB,2021-02-12,lightningroulette,evolutiongaming
Thunderstruck II,29,424,Microgaming,GB,2021-02-12,thunderstruckii,microgaming
Rainbow Cash Pots,30,352,Inspired Gaming,GB,2021-02-12,rainbowcashpots,inspiredgaming
Twin Spin,31,559,NetEnt,GB,2021-02-12,twinspin,netent
Irish Pot Luck,32,431,NetEnt,GB,2021-02-12,irishpotluck,netent
Temple of Iris,33,526,Eyecon,GB,2021-02-12,templeofiris,eyecon
Crazy Time,34,176,Evolution Gaming,GB,2021-02-12,crazytime,evolutiongaming
Gonzo's Quest Megaways,35,311,Red Tiger,GB,2021-02-12,gonzosquestmegaways,redtiger
Shaman's Dream,36,487,Eyecon,GB,2021-02-12,shamansdream,eyecon
Honey Honey Honey,37,235,Pragmatic Play,GB,2021-02-12,honeyhoneyhoney,pragmaticplay
San Quentin,38,136,Nolimit City,GB,2021-02-12,sanquentin,nolimitcity
Burning Wins: classic 5 lines,39,140,Playson,GB,2021-02-12,burningwinsclassic5lines,playson
Fruit Shop Megaways,40,385,NetEnt,GB,2021-02-12,fruitshopmegaways,netent
Moon Princess,41,188,Play'n Go,GB,2021-02-12,moonprincess,playngo
Dynamite Riches,42,359,Red Tiger,GB,2021-02-12,dynamiteriches,redtiger
