Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Lightning Roulette,1,40,Evolution Gaming,AT,2021-02-25,lightningroulette,evolutiongaming
Gonzo's Quest Megaways,2,47,Red Tiger,AT,2021-02-25,gonzosquestmegaways,redtiger
Book of Dead,3,47,Play'n Go,AT,2021-02-25,bookofdead,playngo
Starburst,4,58,NetEnt,AT,2021-02-25,starburst,netent
Piggy Riches Megaways,5,48,Red Tiger,AT,2021-02-25,piggyrichesmegaways,redtiger
Crazy Time,6,36,Evolution Gaming,AT,2021-02-25,crazytime,evolutiongaming
The Dog House Megaways,7,42,Pragmatic Play,AT,2021-02-25,thedoghousemegaways,pragmaticplay
The Paying Piano Club,8,32,Play'n Go,AT,2021-02-25,thepayingpianoclub,playngo
Wolf Gold,9,48,Pragmatic Play,AT,2021-02-25,wolfgold,pragmaticplay
Adventures Of Doubloon Island,10,21,Triple Edge Studios,AT,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Ramses Book,11,32,Gamomat,AT,2021-02-25,ramsesbook,gamomat
Joker King,12,26,Pragmatic Play,AT,2021-02-25,jokerking,pragmaticplay
Bonanza,13,53,Big Time Gaming,AT,2021-02-25,bonanza,bigtimegaming
Reactoonz,14,40,Play'n Go,AT,2021-02-25,reactoonz,playngo
Fancy Fruits,15,29,Gamomat,AT,2021-02-25,fancyfruits,gamomat
Legacy of Dead,16,44,Play'n Go,AT,2021-02-25,legacyofdead,playngo
Ruler of Egypt,17,12,Lady Luck Games,AT,2021-02-25,rulerofegypt,ladyluckgames
Weight of the Gun,18,12,Lady Luck Games,AT,2021-02-25,weightofthegun,ladyluckgames
Fire Joker,19,39,Play'n Go,AT,2021-02-25,firejoker,playngo
Royal Seven XXL,20,28,Gamomat,AT,2021-02-25,royalsevenxxl,gamomat
Golden Leprechaun Megaways,21,41,Red Tiger,AT,2021-02-25,goldenleprechaunmegaways,redtiger
Book of Ra deluxe,22,41,Greentube,AT,2021-02-25,bookofradeluxe,greentube
Crystal Ball,23,30,Gamomat,AT,2021-02-25,crystalball,gamomat
Lord of the Ocean,24,30,Greentube,AT,2021-02-25,lordoftheocean,greentube
Rome The Golden Age,25,27,NetEnt,AT,2021-02-25,romethegoldenage,netent
Books And Pearls,26,26,Gamomat,AT,2021-02-25,booksandpearls,gamomat
Gold Vein,27,30,Booming Games,AT,2021-02-25,goldvein,boominggames
Wild Diamond 7x,28,27,Booming Games,AT,2021-02-25,wilddiamond7x,boominggames
Gonzo's Quest,29,54,NetEnt,AT,2021-02-25,gonzosquest,netent
Orango Tango,30,12,Lady Luck Games,AT,2021-02-25,orangotango,ladyluckgames
Take 5,31,26,Gamomat,AT,2021-02-25,take5,gamomat
Jewel Scarabs,32,42,Red Tiger,AT,2021-02-25,jewelscarabs,redtiger
Sticky Diamonds,33,25,Gamomat,AT,2021-02-25,stickydiamonds,gamomat
Rock Paper Scissors,34,14,Playtech,AT,2021-02-25,rockpaperscissors,playtech
Age of the Gods Book of Oracle,35,10,Ash Gaming,AT,2021-02-25,ageofthegodsbookoforacle,ashgaming
John Hunter And The Book Of Tut,36,42,Pragmatic Play,AT,2021-02-25,johnhunterandthebookoftut,pragmaticplay
TikiPop,37,13,AvatarUX Studios,AT,2021-02-25,tikipop,avataruxstudios
Money Train 2,38,26,Relax Gaming,AT,2021-02-25,moneytrain2,relaxgaming
Madame Destiny Megaways,39,32,Pragmatic Play,AT,2021-02-25,madamedestinymegaways,pragmaticplay
Sakura Fortune,40,32,Quickspin,AT,2021-02-25,sakurafortune,quickspin
Speed Baccarat B,41,23,Evolution Gaming,AT,2021-02-25,speedbaccaratb,evolutiongaming
Fancy Fruits Respins Of Amun-Re,42,25,Gamomat,AT,2021-02-25,fancyfruitsrespinsofamunre,gamomat
Divine Fortune Megaways,43,47,NetEnt,AT,2021-02-25,divinefortunemegaways,netent
Dead or Alive 2,44,50,NetEnt,AT,2021-02-25,deadoralive2,netent
Sweet Bonanza,45,46,Pragmatic Play,AT,2021-02-25,sweetbonanza,pragmaticplay
Thunder Screech,46,26,Play'n Go,AT,2021-02-25,thunderscreech,playngo
Take Olympus,47,29,Betsoft,AT,2021-02-25,takeolympus,betsoft
Twin Spin Megaways,48,44,NetEnt,AT,2021-02-25,twinspinmegaways,netent
Divine Fortune,49,49,NetEnt,AT,2021-02-25,divinefortune,netent
6 Tokens of Gold,50,24,All41 Studios,AT,2021-02-25,6tokensofgold,all41studios
Buffalo Power Hold and Win,51,31,Playson,AT,2021-02-25,buffalopowerholdandwin,playson
Book of Gold: Double Chance,52,33,Playson,AT,2021-02-25,bookofgolddoublechance,playson
Jokers Luck,53,8,Skywind Group,AT,2021-02-25,jokersluck,skywindgroup
Cosmic Gems,54,12,2by2 Gaming,AT,2021-02-25,cosmicgems,2by2gaming
The Hand of Midas,55,19,Pragmatic Play,AT,2021-02-25,thehandofmidas,pragmaticplay
Temple Tumble,56,29,Relax Gaming,AT,2021-02-25,templetumble,relaxgaming
Hyper Strike,57,26,Gameburger Studios,AT,2021-02-25,hyperstrike,gameburgerstudios
Reactoonz 2,58,39,Play'n Go,AT,2021-02-25,reactoonz2,playngo
Big Bass Bonanza,59,38,Reel Kingdom,AT,2021-02-25,bigbassbonanza,reelkingdom
Monopoly Live,60,20,Evolution Gaming,AT,2021-02-25,monopolylive,evolutiongaming
Trillionaire,61,11,Red Tiger,AT,2021-02-25,trillionaire,redtiger
Opal Fruits,62,25,Big Time Gaming,AT,2021-02-25,opalfruits,bigtimegaming
Skulls Heap,63,10,GONG Gaming Technologies,AT,2021-02-25,skullsheap,gonggamingtechnologies
John Hunter Tomb of the Scarab Queen,64,43,Pragmatic Play,AT,2021-02-25,johnhuntertombofthescarabqueen,pragmaticplay
Fruit Shop Megaways,65,38,NetEnt,AT,2021-02-25,fruitshopmegaways,netent
Cat Wilde and the Eclipse of the Sun God,66,32,Play'n Go,AT,2021-02-25,catwildeandtheeclipseofthesungod,playngo
Eastern Emeralds,67,31,Quickspin,AT,2021-02-25,easternemeralds,quickspin
Frost Queen Jackpots,68,13,Yggdrasil,AT,2021-02-25,frostqueenjackpots,yggdrasil
Reel Keeper,69,43,Red Tiger,AT,2021-02-25,reelkeeper,redtiger
Hotline 2,70,49,NetEnt,AT,2021-02-25,hotline2,netent
Mystery Reels,71,46,Red Tiger,AT,2021-02-25,mysteryreels,redtiger
Jammin' Jars,72,23,Push Gaming,AT,2021-02-25,jamminjars,pushgaming
Deadwood,73,29,Nolimit City,AT,2021-02-25,deadwood,nolimitcity
Sphinx Fortune,74,27,Booming Games,AT,2021-02-25,sphinxfortune,boominggames
Katmandu Gold,75,19,ELK Studios,AT,2021-02-25,katmandugold,elkstudios
Thor's Vengeance,76,17,Red Tiger,AT,2021-02-25,thorsvengeance,redtiger
Finn and the Swirly Spin,77,50,NetEnt,AT,2021-02-25,finnandtheswirlyspin,netent
Riches of Midgard: Land and Expand,78,43,NetEnt,AT,2021-02-25,richesofmidgardlandandexpand,netent
Great Rhino,79,41,Pragmatic Play,AT,2021-02-25,greatrhino,pragmaticplay
Gold Digger,80,33,iSoftBet,AT,2021-02-25,golddigger,isoftbet
Maui Mischief,81,16,Old Skool Studios,AT,2021-02-25,mauimischief,oldskoolstudios
The Dog House,82,41,Pragmatic Play,AT,2021-02-25,thedoghouse,pragmaticplay
Immortal Romance,83,35,Microgaming,AT,2021-02-25,immortalromance,microgaming
Fruit Shop (NetEnt),84,14,NetEnt,AT,2021-02-25,fruitshop,netent
Master Joker,85,37,Pragmatic Play,AT,2021-02-25,masterjoker,pragmaticplay
Chicago Gold,86,21,PearFiction,AT,2021-02-25,chicagogold,pearfiction
Holmes and the Stolen Stones,87,22,Yggdrasil,AT,2021-02-25,holmesandthestolenstones,yggdrasil
Willys Hot Chillies,88,43,NetEnt,AT,2021-02-25,willyshotchillies,netent
Deal or no Deal World,89,17,Endemol Shine Gaming,AT,2021-02-25,dealornodealworld,endemolshinegaming
Book of Adventure,90,14,StakeLogic,AT,2021-02-25,bookofadventure,stakelogic
Regal Beasts,91,26,Red Tiger,AT,2021-02-25,regalbeasts,redtiger
San Quentin,92,25,Nolimit City,AT,2021-02-25,sanquentin,nolimitcity
3 Devils Pinball,93,13,Crazy Tooth Studio,AT,2021-02-25,3devilspinball,crazytoothstudio
