Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Mega Wheel,1,14,Pragmatic Play,BE,2021-02-25,megawheel,pragmaticplay
Sweet Bonanza,2,5,Pragmatic Play,BE,2021-02-25,sweetbonanza,pragmaticplay
Infinity Dice,3,12,Air Dice,BE,2021-02-25,infinitydice,airdice
Starburst,4,7,NetEnt,BE,2021-02-25,starburst,netent
40 Super Hot,5,7,EGT,BE,2021-02-25,40superhot,egt
Take It Or Not Dice,6,14,GAMING1,BE,2021-02-25,takeitornotdice,gaming1
Lightning Roulette,7,4,Evolution Gaming,BE,2021-02-25,lightningroulette,evolutiongaming
Madame Destiny Megaways,8,4,Pragmatic Play,BE,2021-02-25,madamedestinymegaways,pragmaticplay
Book of Dead,9,4,Play'n Go,BE,2021-02-25,bookofdead,playngo
Book of Ra deluxe,10,5,Greentube,BE,2021-02-25,bookofradeluxe,greentube
6 Tokens of Gold,11,4,All41 Studios,BE,2021-02-25,6tokensofgold,all41studios
88 Fortunes,12,5,SG,BE,2021-02-25,88fortunes,sg
The Ruby,13,5,iSoftBet,BE,2021-02-25,theruby,isoftbet
1 Million Megaways BC,14,5,IronDog,BE,2021-02-25,1millionmegawaysbc,irondog
Khonsu God of Moon Mega Fire Blaze,15,5,Playtech,BE,2021-02-25,khonsugodofmoonmegafireblaze,playtech
Voodoo Dice,16,5,Endorphina,BE,2021-02-25,voodoodice,endorphina
Rainbow Jackpots,17,4,Red Tiger,BE,2021-02-25,rainbowjackpots,redtiger
Mega Spinner Slot,18,12,GAMING1,BE,2021-02-25,megaspinnerslot,gaming1
Alice in the Wild,19,12,Ruby Play,BE,2021-02-25,aliceinthewild,rubyplay
Aztec Gold Extra Gold Megaways,20,12,iSoftBet,BE,2021-02-25,aztecgoldextragoldmegaways,isoftbet
Mayan Cache,21,12,Ruby Play,BE,2021-02-25,mayancache,rubyplay
Mystery Reels,22,12,Red Tiger,BE,2021-02-25,mysteryreels,redtiger
Reel Diamonds,23,12,1X2gaming,BE,2021-02-25,reeldiamonds,1x2gaming
Djinn Of Storms,24,12,Playtech,BE,2021-02-25,djinnofstorms,playtech
Sisters Gift,25,12,Rarestone Gaming,BE,2021-02-25,sistersgift,rarestonegaming
Dicey Fruits,26,12,SYNOT,BE,2021-02-25,diceyfruits,synot
Adventures Of Doubloon Island,27,4,Triple Edge Studios,BE,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Defenders of the Realm,28,4,High 5 Games,BE,2021-02-25,defendersoftherealm,high5games
Crazy Time,29,0,Evolution Gaming,BE,2021-02-25,crazytime,evolutiongaming
Unicorn Reels,30,0,Wazdan,BE,2021-02-25,unicornreels,wazdan
Butterfly Lovers,31,0,Wazdan,BE,2021-02-25,butterflylovers,wazdan
9 Lions,32,0,Wazdan,BE,2021-02-25,9lions,wazdan
Ghosts and Graves,33,4,Air Dice,BE,2021-02-25,ghostsandgraves,airdice
