Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,49,Play'n Go,BR,2021-02-25,bookofdead,playngo
Starburst,2,48,NetEnt,BR,2021-02-25,starburst,netent
Wolf Gold,3,48,Pragmatic Play,BR,2021-02-25,wolfgold,pragmaticplay
Gonzo's Quest,4,46,NetEnt,BR,2021-02-25,gonzosquest,netent
Legacy of Dead,5,50,Play'n Go,BR,2021-02-25,legacyofdead,playngo
Bonanza,6,52,Big Time Gaming,BR,2021-02-25,bonanza,bigtimegaming
Joker King,7,38,Pragmatic Play,BR,2021-02-25,jokerking,pragmaticplay
Gonzo's Quest Megaways,8,48,Red Tiger,BR,2021-02-25,gonzosquestmegaways,redtiger
3 Devils Pinball,9,25,Crazy Tooth Studio,BR,2021-02-25,3devilspinball,crazytoothstudio
Buffalo Blitz,10,21,Playtech,BR,2021-02-25,buffaloblitz,playtech
Age of the Gods God of Storms,11,16,Playtech Vikings,BR,2021-02-25,ageofthegodsgodofstorms,playtechvikings
Quantum Roulette,12,8,Playtech,BR,2021-02-25,quantumroulette,playtech
Razor Shark,13,38,Push Gaming,BR,2021-02-25,razorshark,pushgaming
Prissy Princess,14,30,Play'n Go,BR,2021-02-25,prissyprincess,playngo
Book Of Demi Gods 2,15,39,Spinomenal,BR,2021-02-25,bookofdemigods2,spinomenal
The Paying Piano Club,16,33,Play'n Go,BR,2021-02-25,thepayingpianoclub,playngo
Rise Of Olympus,17,41,Play'n Go,BR,2021-02-25,riseofolympus,playngo
Blue Wizard,18,4,Rarestone Gaming,BR,2021-02-25,bluewizard,rarestonegaming
Dynamite Riches,19,35,Red Tiger,BR,2021-02-25,dynamiteriches,redtiger
Eye of Horus (Reel Time Gaming),20,15,Reel Time Gaming,BR,2021-02-25,eyeofhorus,reeltimegaming
Age of the Gods,21,13,Playtech,BR,2021-02-25,ageofthegods,playtech
Skulls Heap,22,24,GONG Gaming Technologies,BR,2021-02-25,skullsheap,gonggamingtechnologies
