Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,238,Play'n Go,CA,2021-02-25,bookofdead,playngo
Starburst,2,260,NetEnt,CA,2021-02-25,starburst,netent
Wolf Gold,3,248,Pragmatic Play,CA,2021-02-25,wolfgold,pragmaticplay
Gonzo's Quest Megaways,4,181,Red Tiger,CA,2021-02-25,gonzosquestmegaways,redtiger
Legacy of Dead,5,216,Play'n Go,CA,2021-02-25,legacyofdead,playngo
Gonzo's Quest,6,244,NetEnt,CA,2021-02-25,gonzosquest,netent
Lightning Roulette,7,174,Evolution Gaming,CA,2021-02-25,lightningroulette,evolutiongaming
The Dog House Megaways,8,204,Pragmatic Play,CA,2021-02-25,thedoghousemegaways,pragmaticplay
The Paying Piano Club,9,152,Play'n Go,CA,2021-02-25,thepayingpianoclub,playngo
Fire Joker,10,204,Play'n Go,CA,2021-02-25,firejoker,playngo
Crazy Time,11,152,Evolution Gaming,CA,2021-02-25,crazytime,evolutiongaming
Piggy Riches Megaways,12,193,Red Tiger,CA,2021-02-25,piggyrichesmegaways,redtiger
John Hunter And The Book Of Tut,13,218,Pragmatic Play,CA,2021-02-25,johnhunterandthebookoftut,pragmaticplay
Immortal Romance,14,181,Microgaming,CA,2021-02-25,immortalromance,microgaming
Reactoonz,15,207,Play'n Go,CA,2021-02-25,reactoonz,playngo
Joker King,16,114,Pragmatic Play,CA,2021-02-25,jokerking,pragmaticplay
Sweet Bonanza,17,229,Pragmatic Play,CA,2021-02-25,sweetbonanza,pragmaticplay
Adventures Of Doubloon Island,18,98,Triple Edge Studios,CA,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Reactoonz 2,19,184,Play'n Go,CA,2021-02-25,reactoonz2,playngo
TikiPop,20,68,AvatarUX Studios,CA,2021-02-25,tikipop,avataruxstudios
Twin Spin,21,221,NetEnt,CA,2021-02-25,twinspin,netent
Rise Of Olympus,22,203,Play'n Go,CA,2021-02-25,riseofolympus,playngo
Thunderstruck II,23,193,Microgaming,CA,2021-02-25,thunderstruckii,microgaming
The Dog House,24,219,Pragmatic Play,CA,2021-02-25,thedoghouse,pragmaticplay
Big Bass Bonanza,25,165,Reel Kingdom,CA,2021-02-25,bigbassbonanza,reelkingdom
Mega Moolah,26,112,Microgaming,CA,2021-02-25,megamoolah,microgaming
Monopoly Live,27,97,Evolution Gaming,CA,2021-02-25,monopolylive,evolutiongaming
Thunder Screech,28,143,Play'n Go,CA,2021-02-25,thunderscreech,playngo
Mustang Gold,29,221,Pragmatic Play,CA,2021-02-25,mustanggold,pragmaticplay
Take Olympus,30,105,Betsoft,CA,2021-02-25,takeolympus,betsoft
Ruler of Egypt,31,29,Lady Luck Games,CA,2021-02-25,rulerofegypt,ladyluckgames
Weight of the Gun,32,29,Lady Luck Games,CA,2021-02-25,weightofthegun,ladyluckgames
Moon Princess,33,180,Play'n Go,CA,2021-02-25,moonprincess,playngo
Cosmic Gems,34,57,2by2 Gaming,CA,2021-02-25,cosmicgems,2by2gaming
Deadwood,35,137,Nolimit City,CA,2021-02-25,deadwood,nolimitcity
Money Train 2,36,119,Relax Gaming,CA,2021-02-25,moneytrain2,relaxgaming
Gold Vein,37,168,Booming Games,CA,2021-02-25,goldvein,boominggames
Dead or Alive 2,38,204,NetEnt,CA,2021-02-25,deadoralive2,netent
Buffalo Power Hold and Win,39,112,Playson,CA,2021-02-25,buffalopowerholdandwin,playson
Jewel Scarabs,40,179,Red Tiger,CA,2021-02-25,jewelscarabs,redtiger
Skulls Heap,41,56,GONG Gaming Technologies,CA,2021-02-25,skullsheap,gonggamingtechnologies
Divine Fortune,42,191,NetEnt,CA,2021-02-25,divinefortune,netent
Wild Diamond 7x,43,119,Booming Games,CA,2021-02-25,wilddiamond7x,boominggames
Trillionaire,44,62,Red Tiger,CA,2021-02-25,trillionaire,redtiger
John Hunter Tomb of the Scarab Queen,45,201,Pragmatic Play,CA,2021-02-25,johnhuntertombofthescarabqueen,pragmaticplay
