Name,Rank,Provider,Market,Date,Casinos,NameInternal,ProviderInternal
Golden Rabbit,1,PAF,CH,2021-02-25,1,goldenrabbit,paf
Book of Ra deluxe,2,Greentube,CH,2021-02-25,1,bookofradeluxe,greentube
Dragon Shard,3,Stormcraft Studios,CH,2021-02-25,1,dragonshard,stormcraftstudios
Lucky Lady's Charm deluxe,4,Greentube,CH,2021-02-25,1,luckyladyscharmdeluxe,greentube
Battle for Atlantis,5,GameArt,CH,2021-02-25,1,battleforatlantis,gameart
Fortunium,6,Stormcraft Studios,CH,2021-02-25,1,fortunium,stormcraftstudios
Gonzo's Quest Megaways,7,Red Tiger,CH,2021-02-25,1,gonzosquestmegaways,redtiger
Cash of Kingdoms,8,Slingshot Studios,CH,2021-02-25,1,cashofkingdoms,slingshotstudios
From Dusk Till Dawn 10,9,Greentube,CH,2021-02-25,1,fromdusktilldawn10,greentube
Prosperity Ox,10,iSoftBet,CH,2021-02-25,1,prosperityox,isoftbet
King Tusk,11,Microgaming,CH,2021-02-25,1,kingtusk,microgaming
50 Red Hot Burning Clover Link,12,Apex Gaming,CH,2021-02-25,1,50redhotburningcloverlink,apexgaming
Chili Quest,13,GameArt,CH,2021-02-25,1,chiliquest,gameart
Super Cherry 2000,14,Greentube,CH,2021-02-25,1,supercherry2000,greentube
Sizzling Hot deluxe,15,Greentube,CH,2021-02-25,1,sizzlinghotdeluxe,greentube
Dragon's Fire Megaways,16,Red Tiger,CH,2021-02-25,1,dragonsfiremegaways,redtiger
Romeo and Juliet – Sealed with a Kiss,17,Greentube,CH,2021-02-25,1,romeoandjulietsealedwithakiss,greentube
Anaconda Wild,18,Playtech,CH,2021-02-25,1,anacondawild,playtech
Book of Ra - Temple of Gold,19,Greentube,CH,2021-02-25,1,bookofratempleofgold,greentube
Book Of Ra Deluxe 10,20,Greentube,CH,2021-02-25,1,bookofradeluxe10,greentube
Charming Lady Cash Connection,21,Greentube,CH,2021-02-25,1,charmingladycashconnection,greentube
White King 2,22,Playtech,CH,2021-02-25,1,whiteking2,playtech
Win Escalator,23,Red Tiger,CH,2021-02-25,1,winescalator,redtiger
Lucky Emeralds,24,Playtech Origins,CH,2021-02-25,1,luckyemeralds,playtechorigins
Wild Bazaar,25,NetEnt,CH,2021-02-25,1,wildbazaar,netent
Better Wilds,26,Playtech,CH,2021-02-25,1,betterwilds,playtech
Western Gold Megaways,27,iSoftBet,CH,2021-02-25,1,westerngoldmegaways,isoftbet
Fu Fortunes Megaways,28,iSoftBet,CH,2021-02-25,1,fufortunesmegaways,isoftbet
Gold Digger,29,iSoftBet,CH,2021-02-25,1,golddigger,isoftbet
Gaelic Luck,30,Playtech,CH,2021-02-25,1,gaelicluck,playtech
Slot Of Madness,31,GAMING1,CH,2021-02-25,1,slotofmadness,gaming1
Break Away Deluxe,32,Stormcraft Studios,CH,2021-02-25,1,breakawaydeluxe,stormcraftstudios
