Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Starburst,1,54,NetEnt,CL,2021-02-25,starburst,netent
Book of Dead,2,40,Play'n Go,CL,2021-02-25,bookofdead,playngo
Wolf Gold,3,46,Pragmatic Play,CL,2021-02-25,wolfgold,pragmaticplay
Lightning Roulette,4,40,Evolution Gaming,CL,2021-02-25,lightningroulette,evolutiongaming
Gonzo's Quest Megaways,5,38,Red Tiger,CL,2021-02-25,gonzosquestmegaways,redtiger
Gonzo's Quest,6,51,NetEnt,CL,2021-02-25,gonzosquest,netent
Crazy Time,7,39,Evolution Gaming,CL,2021-02-25,crazytime,evolutiongaming
Fire Joker,8,38,Play'n Go,CL,2021-02-25,firejoker,playngo
Reactoonz,9,38,Play'n Go,CL,2021-02-25,reactoonz,playngo
Money Train 2,10,19,Relax Gaming,CL,2021-02-25,moneytrain2,relaxgaming
Legacy of Dead,11,34,Play'n Go,CL,2021-02-25,legacyofdead,playngo
Piggy Riches Megaways,12,47,Red Tiger,CL,2021-02-25,piggyrichesmegaways,redtiger
Ruler of Egypt,13,11,Lady Luck Games,CL,2021-02-25,rulerofegypt,ladyluckgames
Fancy Fruits,14,24,Gamomat,CL,2021-02-25,fancyfruits,gamomat
Weight of the Gun,15,11,Lady Luck Games,CL,2021-02-25,weightofthegun,ladyluckgames
Ramses Book,16,24,Gamomat,CL,2021-02-25,ramsesbook,gamomat
Crystal Ball,17,25,Gamomat,CL,2021-02-25,crystalball,gamomat
The Paying Piano Club,18,34,Play'n Go,CL,2021-02-25,thepayingpianoclub,playngo
Royal Seven XXL,19,26,Gamomat,CL,2021-02-25,royalsevenxxl,gamomat
The Dog House Megaways,20,41,Pragmatic Play,CL,2021-02-25,thedoghousemegaways,pragmaticplay
Wild Diamond 7x,21,25,Booming Games,CL,2021-02-25,wilddiamond7x,boominggames
Gold Vein,22,32,Booming Games,CL,2021-02-25,goldvein,boominggames
Fancy Fruits Respins Of Amun-Re,23,25,Gamomat,CL,2021-02-25,fancyfruitsrespinsofamunre,gamomat
Jewel Scarabs,24,45,Red Tiger,CL,2021-02-25,jewelscarabs,redtiger
Sticky Diamonds,25,25,Gamomat,CL,2021-02-25,stickydiamonds,gamomat
Twin Spin,26,55,NetEnt,CL,2021-02-25,twinspin,netent
Take 5,27,25,Gamomat,CL,2021-02-25,take5,gamomat
Books And Pearls,28,25,Gamomat,CL,2021-02-25,booksandpearls,gamomat
Orango Tango,29,11,Lady Luck Games,CL,2021-02-25,orangotango,ladyluckgames
Monopoly Live,30,20,Evolution Gaming,CL,2021-02-25,monopolylive,evolutiongaming
John Hunter And The Book Of Tut,31,40,Pragmatic Play,CL,2021-02-25,johnhunterandthebookoftut,pragmaticplay
Rock Paper Scissors,32,11,Playtech,CL,2021-02-25,rockpaperscissors,playtech
Sweet Bonanza,33,44,Pragmatic Play,CL,2021-02-25,sweetbonanza,pragmaticplay
Fruity Friends,34,18,NeoGames,CL,2021-02-25,fruityfriends,neogames
Disco Diamonds,35,36,Play'n Go,CL,2021-02-25,discodiamonds,playngo
