Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,24,Play'n Go,CN,2021-02-25,bookofdead,playngo
Wolf Gold,2,25,Pragmatic Play,CN,2021-02-25,wolfgold,pragmaticplay
Sakura Fortune,3,22,Quickspin,CN,2021-02-25,sakurafortune,quickspin
Joker King,4,21,Pragmatic Play,CN,2021-02-25,jokerking,pragmaticplay
Lightning Roulette,5,12,Evolution Gaming,CN,2021-02-25,lightningroulette,evolutiongaming
Adventures Of Doubloon Island,6,14,Triple Edge Studios,CN,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Skulls Heap,7,15,GONG Gaming Technologies,CN,2021-02-25,skullsheap,gonggamingtechnologies
Crazy Time,8,10,Evolution Gaming,CN,2021-02-25,crazytime,evolutiongaming
Gonzo's Quest Megaways,9,16,Red Tiger,CN,2021-02-25,gonzosquestmegaways,redtiger
Gonzo's Quest,10,21,NetEnt,CN,2021-02-25,gonzosquest,netent
Hot Nudge,11,17,Nolimit City,CN,2021-02-25,hotnudge,nolimitcity
The Paying Piano Club,12,16,Play'n Go,CN,2021-02-25,thepayingpianoclub,playngo
Take Olympus,13,16,Betsoft,CN,2021-02-25,takeolympus,betsoft
Cosmic Gems,14,13,2by2 Gaming,CN,2021-02-25,cosmicgems,2by2gaming
TikiPop,15,9,AvatarUX Studios,CN,2021-02-25,tikipop,avataruxstudios
Cleo's Gold,16,15,Platipus,CN,2021-02-25,cleosgold,platipus
John Hunter And The Book Of Tut,17,22,Pragmatic Play,CN,2021-02-25,johnhunterandthebookoftut,pragmaticplay
6 Tokens of Gold,18,16,All41 Studios,CN,2021-02-25,6tokensofgold,all41studios
Pirates Plenty The Sunken Treasure,19,16,Red Tiger,CN,2021-02-25,piratesplentythesunkentreasure,redtiger
Monopoly Live,20,6,Evolution Gaming,CN,2021-02-25,monopolylive,evolutiongaming
Ice Valley,21,13,EGT,CN,2021-02-25,icevalley,egt
Starburst,22,23,NetEnt,CN,2021-02-25,starburst,netent
Book of Gods (BF games),23,23,BF games,CN,2021-02-25,bookofgods,bfgames
Trillionaire,24,8,Red Tiger,CN,2021-02-25,trillionaire,redtiger
Day And Night,25,5,TrueLab Games,CN,2021-02-25,dayandnight,truelabgames
Dynamite Riches,26,14,Red Tiger,CN,2021-02-25,dynamiteriches,redtiger
Wings Of Ra,27,14,Red Tiger,CN,2021-02-25,wingsofra,redtiger
Immortal Romance,28,18,Microgaming,CN,2021-02-25,immortalromance,microgaming
Legacy of Dead,29,17,Play'n Go,CN,2021-02-25,legacyofdead,playngo
Titan Thunder: Wrath of Hades,30,16,Quickspin,CN,2021-02-25,titanthunderwrathofhades,quickspin
Fire Lightning,31,13,BGAMING,CN,2021-02-25,firelightning,bgaming
Age of the Gods,32,11,Playtech,CN,2021-02-25,ageofthegods,playtech
Demi Gods III,33,22,Spinomenal,CN,2021-02-25,demigodsiii,spinomenal
Aztec Magic Deluxe,34,13,BGAMING,CN,2021-02-25,aztecmagicdeluxe,bgaming
Bonanza,35,14,Big Time Gaming,CN,2021-02-25,bonanza,bigtimegaming
Extra Chilli,36,16,Big Time Gaming,CN,2021-02-25,extrachilli,bigtimegaming
Take The Bank,37,15,Betsoft,CN,2021-02-25,takethebank,betsoft
