Name,Rank,Provider,Market,Date,Casinos,NameInternal,ProviderInternal
Dragonz,1,Microgaming,CO,2021-02-25,1,dragonz,microgaming
Mega Money Multiplier,2,MahiGaming,CO,2021-02-25,1,megamoneymultiplier,mahigaming
Break Away,3,Microgaming,CO,2021-02-25,1,breakaway,microgaming
Eagle's Wings,4,Microgaming,CO,2021-02-25,1,eagleswings,microgaming
Immortal Romance,5,Microgaming,CO,2021-02-25,1,immortalromance,microgaming
Spring Break,6,Microgaming,CO,2021-02-25,1,springbreak,microgaming
Thunderstruck,7,Microgaming,CO,2021-02-25,1,thunderstruck,microgaming
Retro Reels: Diamond Glitz,8,Microgaming,CO,2021-02-25,1,retroreelsdiamondglitz,microgaming
The Twisted Circus,9,Microgaming,CO,2021-02-25,1,thetwistedcircus,microgaming
Thunderstruck II,10,Microgaming,CO,2021-02-25,1,thunderstruckii,microgaming
Jungle Jim El Dorado,11,Microgaming,CO,2021-02-25,1,junglejimeldorado,microgaming
Beautiful Bones,12,Microgaming,CO,2021-02-25,1,beautifulbones,microgaming
Pollen Party Online Slot,13,Microgaming,CO,2021-02-25,1,pollenpartyonlineslot,microgaming
Mermaid's Millions,14,Microgaming,CO,2021-02-25,1,mermaidsmillions,microgaming
Burning Desire,15,Microgaming,CO,2021-02-25,1,burningdesire,microgaming
Kings of Cash,16,Microgaming,CO,2021-02-25,1,kingsofcash,microgaming
Alaskan Fishing,17,Microgaming,CO,2021-02-25,1,alaskanfishing,microgaming
Basketball Star,18,Microgaming,CO,2021-02-25,1,basketballstar,microgaming
Four Divine Beasts,19,Habanero,CO,2021-02-25,1,fourdivinebeasts,habanero
Cool Buck 2017,20,Microgaming,CO,2021-02-25,1,coolbuck2017,microgaming
Blackjack 3 Hand,21,Habanero,CO,2021-02-25,1,blackjack3hand,habanero
15 Golden Eggs,22,Booongo,CO,2021-02-25,1,15goldeneggs,booongo
EmotiCoins,23,Microgaming,CO,2021-02-25,1,emoticoins,microgaming
God's Temple Deluxe,24,Booongo,CO,2021-02-25,1,godstempledeluxe,booongo
Gods Temple,25,Booongo,CO,2021-02-25,1,godstemple,booongo
Book of Sun,26,Booongo,CO,2021-02-25,1,bookofsun,booongo
Viking's Gods Gold,27,Booongo,CO,2021-02-25,1,vikingsgodsgold,booongo
Poisoned Apple,28,Booongo,CO,2021-02-25,1,poisonedapple,booongo
SlotFather II,29,Betsoft,CO,2021-02-25,1,slotfatherii,betsoft
Weekend In Vegas,30,Betsoft,CO,2021-02-25,1,weekendinvegas,betsoft
Alkemors Tower,31,Betsoft,CO,2021-02-25,1,alkemorstower,betsoft
Gold Mermaid,32,MGA,CO,2021-02-25,1,goldmermaid,mga
Jump,33,Habanero,CO,2021-02-25,1,jump,habanero
Sex on the Beach,34,Espresso Games,CO,2021-02-25,1,sexonthebeach,espressogames
Hot Hot Halloween,35,Habanero,CO,2021-02-25,1,hothothalloween,habanero
Colossal Gems,36,Habanero,CO,2021-02-25,1,colossalgems,habanero
Nuwa,37,Habanero,CO,2021-02-25,1,nuwa,habanero
Wizards Want War,38,Habanero,CO,2021-02-25,1,wizardswantwar,habanero
Naughty Santa,39,Habanero,CO,2021-02-25,1,naughtysanta,habanero
Mount Mazuma,40,Habanero,CO,2021-02-25,1,mountmazuma,habanero
