Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Respin Joker,1,6,SYNOT,CZ,2021-02-25,respinjoker,synot
Multi Vegas 81,2,6,KAJOT,CZ,2021-02-25,multivegas81,kajot
Bonus Joker 2,3,5,Apollo Games,CZ,2021-02-25,bonusjoker2,apollogames
Simply the Best 81 (Kajot Games),4,5,KAJOT,CZ,2021-02-25,simplythebest81,kajot
Blood,5,5,Apollo Games,CZ,2021-02-25,blood,apollogames
Turbo Slots,6,5,Apollo Games,CZ,2021-02-25,turboslots,apollogames
Firebird Double 27,7,6,SYNOT,CZ,2021-02-25,firebirddouble27,synot
Dicey Fruits,8,6,SYNOT,CZ,2021-02-25,diceyfruits,synot
Midnight Fruits,9,5,Apollo Games,CZ,2021-02-25,midnightfruits,apollogames
Joker 40,10,6,SYNOT,CZ,2021-02-25,joker40,synot
Book of Adventure,11,6,StakeLogic,CZ,2021-02-25,bookofadventure,stakelogic
Dazzle Me,12,6,NetEnt,CZ,2021-02-25,dazzleme,netent
Starburst,13,6,NetEnt,CZ,2021-02-25,starburst,netent
9 Stars,14,5,KAJOT,CZ,2021-02-25,9stars,kajot
Gangster World,15,5,Apollo Games,CZ,2021-02-25,gangsterworld,apollogames
88 Pearls,16,5,SYNOT,CZ,2021-02-25,88pearls,synot
Space Fruits,17,5,CT Gaming,CZ,2021-02-25,spacefruits,ctgaming
Mystery Apollo II,18,5,Apollo Games,CZ,2021-02-25,mysteryapolloii,apollogames
Dice 81,19,5,Apollo Games,CZ,2021-02-25,dice81,apollogames
Hunters Spirit,20,4,SYNOT,CZ,2021-02-25,huntersspirit,synot
Narcos,21,4,NetEnt,CZ,2021-02-25,narcos,netent
Aztec Gold Megaways,22,4,iSoftBet,CZ,2021-02-25,aztecgoldmegaways,isoftbet
Esqueleto Explosivo,23,4,Thunderkick,CZ,2021-02-25,esqueletoexplosivo,thunderkick
Jingle Spin,24,4,NetEnt,CZ,2021-02-25,jinglespin,netent
Fruit Shop (NetEnt),25,4,NetEnt,CZ,2021-02-25,fruitshop,netent
Crystal Miners,26,4,Apollo Games,CZ,2021-02-25,crystalminers,apollogames
Blood Revival,27,4,Apollo Games,CZ,2021-02-25,bloodrevival,apollogames
Super Diamond Wild,28,4,iSoftBet,CZ,2021-02-25,superdiamondwild,isoftbet
Absolute Super Reels,29,0,iSoftBet,CZ,2021-02-25,absolutesuperreels,isoftbet
5 Reel Drive,30,0,Microgaming,CZ,2021-02-25,5reeldrive,microgaming
5x Magic,31,0,Play'n Go,CZ,2021-02-25,5xmagic,playngo
7 Sins,32,0,Play'n Go,CZ,2021-02-25,7sins,playngo
8 Flowers,33,0,SYNOT,CZ,2021-02-25,8flowers,synot
Dead or Alive,34,4,NetEnt,CZ,2021-02-25,deadoralive,netent
9K Yeti,35,4,4ThePlayer,CZ,2021-02-25,9kyeti,4theplayer
Butterfly Staxx 2,36,4,NetEnt,CZ,2021-02-25,butterflystaxx2,netent
