Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,341,Play'n Go,DE,2021-02-25,bookofdead,playngo
Starburst,2,371,NetEnt,DE,2021-02-25,starburst,netent
Wolf Gold,3,336,Pragmatic Play,DE,2021-02-25,wolfgold,pragmaticplay
Legacy of Dead,4,301,Play'n Go,DE,2021-02-25,legacyofdead,playngo
Gonzo's Quest,5,345,NetEnt,DE,2021-02-25,gonzosquest,netent
Gonzo's Quest Megaways,6,263,Red Tiger,DE,2021-02-25,gonzosquestmegaways,redtiger
Fire Joker,7,287,Play'n Go,DE,2021-02-25,firejoker,playngo
The Paying Piano Club,8,236,Play'n Go,DE,2021-02-25,thepayingpianoclub,playngo
Bonanza,9,311,Big Time Gaming,DE,2021-02-25,bonanza,bigtimegaming
Joker King,10,191,Pragmatic Play,DE,2021-02-25,jokerking,pragmaticplay
Ramses Book,11,207,Gamomat,DE,2021-02-25,ramsesbook,gamomat
Lightning Roulette,12,150,Evolution Gaming,DE,2021-02-25,lightningroulette,evolutiongaming
Razor Shark,13,187,Push Gaming,DE,2021-02-25,razorshark,pushgaming
Piggy Riches Megaways,14,287,Red Tiger,DE,2021-02-25,piggyrichesmegaways,redtiger
Adventures Of Doubloon Island,15,135,Triple Edge Studios,DE,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Reactoonz,16,287,Play'n Go,DE,2021-02-25,reactoonz,playngo
Sweet Bonanza,17,326,Pragmatic Play,DE,2021-02-25,sweetbonanza,pragmaticplay
TikiPop,18,93,AvatarUX Studios,DE,2021-02-25,tikipop,avataruxstudios
Reactoonz 2,19,267,Play'n Go,DE,2021-02-25,reactoonz2,playngo
Crazy Time,20,130,Evolution Gaming,DE,2021-02-25,crazytime,evolutiongaming
3 Devils Pinball,21,145,Crazy Tooth Studio,DE,2021-02-25,3devilspinball,crazytoothstudio
The Dog House Megaways,22,298,Pragmatic Play,DE,2021-02-25,thedoghousemegaways,pragmaticplay
John Hunter And The Book Of Tut,23,264,Pragmatic Play,DE,2021-02-25,johnhunterandthebookoftut,pragmaticplay
Rise of Merlin,24,282,Play'n Go,DE,2021-02-25,riseofmerlin,playngo
John Hunter Tomb of the Scarab Queen,25,289,Pragmatic Play,DE,2021-02-25,johnhuntertombofthescarabqueen,pragmaticplay
Skulls Heap,26,81,GONG Gaming Technologies,DE,2021-02-25,skullsheap,gonggamingtechnologies
Royal Seven XXL,27,190,Gamomat,DE,2021-02-25,royalsevenxxl,gamomat
Big Bass Bonanza,28,242,Reel Kingdom,DE,2021-02-25,bigbassbonanza,reelkingdom
Twin Spin,29,323,NetEnt,DE,2021-02-25,twinspin,netent
Take Olympus,30,139,Betsoft,DE,2021-02-25,takeolympus,betsoft
Money Train 2,31,187,Relax Gaming,DE,2021-02-25,moneytrain2,relaxgaming
Divine Fortune Megaways,32,291,NetEnt,DE,2021-02-25,divinefortunemegaways,netent
6 Tokens of Gold,33,184,All41 Studios,DE,2021-02-25,6tokensofgold,all41studios
Rise Of Olympus,34,282,Play'n Go,DE,2021-02-25,riseofolympus,playngo
Hyper Strike,35,238,Gameburger Studios,DE,2021-02-25,hyperstrike,gameburgerstudios
Lovely Lady Deluxe,36,88,Amatic Industries,DE,2021-02-25,lovelyladydeluxe,amaticindustries
Cat Wilde and the Eclipse of the Sun God,37,212,Play'n Go,DE,2021-02-25,catwildeandtheeclipseofthesungod,playngo
The Dog House,38,309,Pragmatic Play,DE,2021-02-25,thedoghouse,pragmaticplay
Thunder Screech,39,192,Play'n Go,DE,2021-02-25,thunderscreech,playngo
Books and Bulls,40,196,Gamomat,DE,2021-02-25,booksandbulls,gamomat
Trillionaire,41,111,Red Tiger,DE,2021-02-25,trillionaire,redtiger
Crystal Ball,42,196,Gamomat,DE,2021-02-25,crystalball,gamomat
The Hand of Midas,43,154,Pragmatic Play,DE,2021-02-25,thehandofmidas,pragmaticplay
Jammin' Jars,44,180,Push Gaming,DE,2021-02-25,jamminjars,pushgaming
Midas Golden Touch,45,204,Thunderkick,DE,2021-02-25,midasgoldentouch,thunderkick
Dead or Alive 2,46,240,NetEnt,DE,2021-02-25,deadoralive2,netent
Fancy Fruits,47,194,Gamomat,DE,2021-02-25,fancyfruits,gamomat
Curse of the Werewolf Megaways,48,297,Pragmatic Play,DE,2021-02-25,curseofthewerewolfmegaways,pragmaticplay
Cosmic Gems,49,74,2by2 Gaming,DE,2021-02-25,cosmicgems,2by2gaming
Rome The Golden Age,50,163,NetEnt,DE,2021-02-25,romethegoldenage,netent
9 Lions,51,190,Wazdan,DE,2021-02-25,9lions,wazdan
Twin Spin Megaways,52,272,NetEnt,DE,2021-02-25,twinspinmegaways,netent
Buffalo Power Hold and Win,53,164,Playson,DE,2021-02-25,buffalopowerholdandwin,playson
Cat Wilde and the Doom of Dead,54,263,Play'n Go,DE,2021-02-25,catwildeandthedoomofdead,playngo
Sakura Fortune,55,257,Quickspin,DE,2021-02-25,sakurafortune,quickspin
Ice Joker,56,233,Play'n Go,DE,2021-02-25,icejoker,playngo
Lord Merlin and the Lady of the Lake,57,221,Play'n Go,DE,2021-02-25,lordmerlinandtheladyofthelake,playngo
