Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Starburst,1,48,NetEnt,DK,2021-02-25,starburst,netent
Book of Dead,2,47,Play'n Go,DK,2021-02-25,bookofdead,playngo
Gonzo's Quest,3,48,NetEnt,DK,2021-02-25,gonzosquest,netent
The Paying Piano Club,4,39,Play'n Go,DK,2021-02-25,thepayingpianoclub,playngo
Thunder Screech,5,36,Play'n Go,DK,2021-02-25,thunderscreech,playngo
Bonanza,6,48,Big Time Gaming,DK,2021-02-25,bonanza,bigtimegaming
Divine Fortune Megaways,7,38,NetEnt,DK,2021-02-25,divinefortunemegaways,netent
Fire Joker,8,44,Play'n Go,DK,2021-02-25,firejoker,playngo
Wolf Gold,9,36,Pragmatic Play,DK,2021-02-25,wolfgold,pragmaticplay
Cat Wilde and the Eclipse of the Sun God,10,25,Play'n Go,DK,2021-02-25,catwildeandtheeclipseofthesungod,playngo
Legacy of Dead,11,40,Play'n Go,DK,2021-02-25,legacyofdead,playngo
The Dog House Megaways,12,36,Pragmatic Play,DK,2021-02-25,thedoghousemegaways,pragmaticplay
Divine Fortune,13,30,NetEnt,DK,2021-02-25,divinefortune,netent
Lightning Roulette,14,22,Evolution Gaming,DK,2021-02-25,lightningroulette,evolutiongaming
Twin Spin Megaways,15,37,NetEnt,DK,2021-02-25,twinspinmegaways,netent
Bull in a China Shop,16,37,Play'n Go,DK,2021-02-25,bullinachinashop,playngo
Joker King,17,22,Pragmatic Play,DK,2021-02-25,jokerking,pragmaticplay
Lord Merlin and the Lady of the Lake,18,36,Play'n Go,DK,2021-02-25,lordmerlinandtheladyofthelake,playngo
Aloha! Cluster Pays,19,40,NetEnt,DK,2021-02-25,alohaclusterpays,netent
Rise of Athena,20,38,Play'n Go,DK,2021-02-25,riseofathena,playngo
Reactoonz,21,41,Play'n Go,DK,2021-02-25,reactoonz,playngo
Fruity Friends,22,13,NeoGames,DK,2021-02-25,fruityfriends,neogames
6 Tokens of Gold,23,21,All41 Studios,DK,2021-02-25,6tokensofgold,all41studios
Jack and the Beanstalk,24,21,NetEnt,DK,2021-02-25,jackandthebeanstalk,netent
Legacy Of Egypt,25,38,Play'n Go,DK,2021-02-25,legacyofegypt,playngo
Steam Tower,26,31,NetEnt,DK,2021-02-25,steamtower,netent
Rome The Golden Age,27,24,NetEnt,DK,2021-02-25,romethegoldenage,netent
Farm Empire,28,24,Magnet Gaming,DK,2021-02-25,farmempire,magnetgaming
Ludo,29,0,Spigo,DK,2021-02-25,ludo,spigo
Madame Destiny Megaways,30,20,Pragmatic Play,DK,2021-02-25,madamedestinymegaways,pragmaticplay
Yatzy,31,20,Spigo,DK,2021-02-25,yatzy,spigo
Reactoonz 2,32,37,Play'n Go,DK,2021-02-25,reactoonz2,playngo
Perfect Gems,33,34,Play'n Go,DK,2021-02-25,perfectgems,playngo
Hot Spin Deluxe,34,19,iSoftBet,DK,2021-02-25,hotspindeluxe,isoftbet
Mighty Sphinx,35,13,NeoGames,DK,2021-02-25,mightysphinx,neogames
Extra Chilli,36,31,Big Time Gaming,DK,2021-02-25,extrachilli,bigtimegaming
Route 66,37,31,KA Gaming,DK,2021-02-25,route66,kagaming
Fruit Shop Megaways,38,26,NetEnt,DK,2021-02-25,fruitshopmegaways,netent
Adventures Of Doubloon Island,39,20,Triple Edge Studios,DK,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Labyrinth Of Knossos,40,21,Dream Tech,DK,2021-02-25,labyrinthofknossos,dreamtech
Dragons of the North,41,13,Pariplay,DK,2021-02-25,dragonsofthenorth,pariplay
Puzzle Parade,42,13,Magnet Gaming,DK,2021-02-25,puzzleparade,magnetgaming
Wolf Riches,43,13,Pariplay,DK,2021-02-25,wolfriches,pariplay
Gemix,44,42,Play'n Go,DK,2021-02-25,gemix,playngo
The Hand of Midas,45,19,Pragmatic Play,DK,2021-02-25,thehandofmidas,pragmaticplay
Gonzo's Quest Megaways,46,23,Red Tiger,DK,2021-02-25,gonzosquestmegaways,redtiger
Respin Joker,47,13,SYNOT,DK,2021-02-25,respinjoker,synot
The Wiz,48,23,ELK Studios,DK,2021-02-25,thewiz,elkstudios
Wild Falls,49,34,Play'n Go,DK,2021-02-25,wildfalls,playngo
Lucky Diamonds,50,21,Play'n Go,DK,2021-02-25,luckydiamonds,playngo
Egyptian Magic,51,13,NeoGames,DK,2021-02-25,egyptianmagic,neogames
Phoenix Reborn,52,35,Play'n Go,DK,2021-02-25,phoenixreborn,playngo
Rise of Dead,53,38,Play'n Go,DK,2021-02-25,riseofdead,playngo
War of Gods,54,35,Red Tiger,DK,2021-02-25,warofgods,redtiger
Twin Spin,55,36,NetEnt,DK,2021-02-25,twinspin,netent
Inferno Joker,56,35,Play'n Go,DK,2021-02-25,infernojoker,playngo
Regal Beasts,57,20,Red Tiger,DK,2021-02-25,regalbeasts,redtiger
Coils of Cash,58,36,Play'n Go,DK,2021-02-25,coilsofcash,playngo
Rise of Merlin,59,37,Play'n Go,DK,2021-02-25,riseofmerlin,playngo
Hyper Strike,60,34,Gameburger Studios,DK,2021-02-25,hyperstrike,gameburgerstudios
Pyramid King,61,35,Pragmatic Play,DK,2021-02-25,pyramidking,pragmaticplay
Ice Joker,62,34,Play'n Go,DK,2021-02-25,icejoker,playngo
Hot Wild 7s,63,14,Pariplay,DK,2021-02-25,hotwild7s,pariplay
Monopoly Megaways,64,26,Big Time Gaming,DK,2021-02-25,monopolymegaways,bigtimegaming
Golden Ticket,65,41,Play'n Go,DK,2021-02-25,goldenticket,playngo
New Year Riches,66,37,Play'n Go,DK,2021-02-25,newyearriches,playngo
Book of Adventure Super Stake Edition,67,19,StakeLogic,DK,2021-02-25,bookofadventuresuperstakeedition,stakelogic
Miner Donkey Trouble,68,37,Play'n Go,DK,2021-02-25,minerdonkeytrouble,playngo
Voodoo Gold,69,23,ELK Studios,DK,2021-02-25,voodoogold,elkstudios
24K Dragon,70,35,Play'n Go,DK,2021-02-25,24kdragon,playngo
Magic Mirror Deluxe 2,71,22,Merkur,DK,2021-02-25,magicmirrordeluxe2,merkur
Convertus Aurum,72,15,Reel Time Gaming,DK,2021-02-25,convertusaurum,reeltimegaming
Finn and the Swirly Spin,73,45,NetEnt,DK,2021-02-25,finnandtheswirlyspin,netent
Vegas Night Life,74,30,NetEnt,DK,2021-02-25,vegasnightlife,netent
Frozen Gems,75,36,Play'n Go,DK,2021-02-25,frozengems,playngo
Faith,76,13,Pariplay,DK,2021-02-25,faith,pariplay
Thor's Hammer,77,20,Bally Wulff,DK,2021-02-25,thorshammer,ballywulff
Midas Golden Touch,78,23,Thunderkick,DK,2021-02-25,midasgoldentouch,thunderkick
Immortal Romance,79,26,Microgaming,DK,2021-02-25,immortalromance,microgaming
John Hunter And The Book Of Tut,80,36,Pragmatic Play,DK,2021-02-25,johnhunterandthebookoftut,pragmaticplay
Holiday Spirits,81,36,Play'n Go,DK,2021-02-25,holidayspirits,playngo
Maui Mischief,82,18,Old Skool Studios,DK,2021-02-25,mauimischief,oldskoolstudios
Book of Oz,83,39,Triple Edge Studios,DK,2021-02-25,bookofoz,tripleedgestudios
Who Wants To Be A Millionaire Megaways,84,11,Big Time Gaming,DK,2021-02-25,whowantstobeamillionairemegaways,bigtimegaming
Koi Princess,85,26,NetEnt,DK,2021-02-25,koiprincess,netent
Butterfly Staxx 2,86,39,NetEnt,DK,2021-02-25,butterflystaxx2,netent
Rise Of Olympus,87,40,Play'n Go,DK,2021-02-25,riseofolympus,playngo
Disco Diamonds,88,36,Play'n Go,DK,2021-02-25,discodiamonds,playngo
Goddess of Fortunes,89,13,Pariplay,DK,2021-02-25,goddessoffortunes,pariplay
Jumanji,90,23,NetEnt,DK,2021-02-25,jumanji,netent
7s Deluxe,91,21,Reel Time Gaming,DK,2021-02-25,7sdeluxe,reeltimegaming
Madame Ink,92,33,Play'n Go,DK,2021-02-25,madameink,playngo
Big Money Frenzy,93,7,Blueprint,DK,2021-02-25,bigmoneyfrenzy,blueprint
Temple of Nudges,94,35,NetEnt,DK,2021-02-25,templeofnudges,netent
Willys Hot Chillies,95,38,NetEnt,DK,2021-02-25,willyshotchillies,netent
Dark King Forbidden Riches,96,34,NetEnt,DK,2021-02-25,darkkingforbiddenriches,netent
Grand Spinn Superpot,97,19,NetEnt,DK,2021-02-25,grandspinnsuperpot,netent
Rage of the Seas,98,38,NetEnt,DK,2021-02-25,rageoftheseas,netent
Mercy of the Gods,99,21,NetEnt,DK,2021-02-25,mercyofthegods,netent
Blood Suckers 2,100,40,NetEnt,DK,2021-02-25,bloodsuckers2,netent
