Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Starburst,1,9,NetEnt,EE,2021-02-25,starburst,netent
Bonanza,2,9,Big Time Gaming,EE,2021-02-25,bonanza,bigtimegaming
Joker King,3,7,Pragmatic Play,EE,2021-02-25,jokerking,pragmaticplay
Book of Atem WowPot,4,7,All41 Studios,EE,2021-02-25,bookofatemwowpot,all41studios
Adventures Of Doubloon Island,5,5,Triple Edge Studios,EE,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Divine Fortune Megaways,6,7,NetEnt,EE,2021-02-25,divinefortunemegaways,netent
Skulls Heap,7,7,GONG Gaming Technologies,EE,2021-02-25,skullsheap,gonggamingtechnologies
Rainbow Riches Race Day,8,7,Barcrest,EE,2021-02-25,rainbowrichesraceday,barcrest
Juicy Joker Mega Moolah,9,6,JustForTheWin,EE,2021-02-25,juicyjokermegamoolah,justforthewin
Gemix,10,8,Play'n Go,EE,2021-02-25,gemix,playngo
Atlantean Treasures Mega Moolah,11,4,Neon Valley Studios,EE,2021-02-25,atlanteantreasuresmegamoolah,neonvalleystudios
Wheel Of Wishes,12,4,Alchemy Gaming,EE,2021-02-25,wheelofwishes,alchemygaming
Legacy of Dead,13,6,Play'n Go,EE,2021-02-25,legacyofdead,playngo
Epic Crystal,14,6,Epic Industries,EE,2021-02-25,epiccrystal,epicindustries
Absolootly Mad: Mega Moolah,15,4,Triple Edge Studios,EE,2021-02-25,absolootlymadmegamoolah,tripleedgestudios
Reactoonz,16,8,Play'n Go,EE,2021-02-25,reactoonz,playngo
Cash & Carry: Shopping Spree,17,8,PAF,EE,2021-02-25,cashcarryshoppingspree,paf
Cash & Carry,18,8,PAF,EE,2021-02-25,cashcarry,paf
Moon Princess,19,8,Play'n Go,EE,2021-02-25,moonprincess,playngo
Eastern Emeralds,20,5,Quickspin,EE,2021-02-25,easternemeralds,quickspin
ThunderBAR,21,5,PAF,EE,2021-02-25,thunderbar,paf
Jammin' Jars,22,4,Push Gaming,EE,2021-02-25,jamminjars,pushgaming
Reactoonz 2,23,7,Play'n Go,EE,2021-02-25,reactoonz2,playngo
Who Wants To Be A Millionaire Megaways,24,5,Big Time Gaming,EE,2021-02-25,whowantstobeamillionairemegaways,bigtimegaming
Gonzo's Quest Megaways,25,4,Red Tiger,EE,2021-02-25,gonzosquestmegaways,redtiger
Miner Donkey Trouble,26,5,Play'n Go,EE,2021-02-25,minerdonkeytrouble,playngo
Empire Fortune,27,5,Yggdrasil,EE,2021-02-25,empirefortune,yggdrasil
Legend of Cleopatra Megaways,28,5,Playson,EE,2021-02-25,legendofcleopatramegaways,playson
Aztec Gold Megaways,29,4,iSoftBet,EE,2021-02-25,aztecgoldmegaways,isoftbet
Extra Chilli,30,8,Big Time Gaming,EE,2021-02-25,extrachilli,bigtimegaming
Robin Hoods Wild Forest,31,8,Red Tiger,EE,2021-02-25,robinhoodswildforest,redtiger
Rio Stars,32,8,Red Tiger,EE,2021-02-25,riostars,redtiger
Zeus Lightning Power Reels,33,8,Red Tiger,EE,2021-02-25,zeuslightningpowerreels,redtiger
Dragon's Luck Megaways,34,8,Red Tiger,EE,2021-02-25,dragonsluckmegaways,redtiger
Book of Dead,35,10,Play'n Go,EE,2021-02-25,bookofdead,playngo
Forgotten Island Megaways,36,6,All41 Studios,EE,2021-02-25,forgottenislandmegaways,all41studios
3 Devils Pinball,37,6,Crazy Tooth Studio,EE,2021-02-25,3devilspinball,crazytoothstudio
The Paying Piano Club,38,7,Play'n Go,EE,2021-02-25,thepayingpianoclub,playngo
Mega Moolah,39,6,Microgaming,EE,2021-02-25,megamoolah,microgaming
Raging Rhino Megaways,40,5,Red7,EE,2021-02-25,ragingrhinomegaways,red7
Rome,41,5,Red Rake,EE,2021-02-25,rome,redrake
Scrolls of RA,42,5,iSoftBet,EE,2021-02-25,scrollsofra,isoftbet
100 Super Hot,43,5,EGT,EE,2021-02-25,100superhot,egt
Sisters of OZ WowPot,44,5,Triple Edge Studios,EE,2021-02-25,sistersofozwowpot,tripleedgestudios
Monopoly Megaways,45,4,Big Time Gaming,EE,2021-02-25,monopolymegaways,bigtimegaming
Fortunium Gold Mega Moolah,46,5,Stormcraft Studios,EE,2021-02-25,fortuniumgoldmegamoolah,stormcraftstudios
Lucky Lady's Charm deluxe,47,5,Greentube,EE,2021-02-25,luckyladyscharmdeluxe,greentube
Montezuma Megaways,48,5,WMS,EE,2021-02-25,montezumamegaways,wms
Big Money Frenzy,49,4,Blueprint,EE,2021-02-25,bigmoneyfrenzy,blueprint
6 Tokens of Gold,50,6,All41 Studios,EE,2021-02-25,6tokensofgold,all41studios
Triple Double DaVinci Diamonds,51,6,High 5 Games,EE,2021-02-25,tripledoubledavincidiamonds,high5games
Book of Ra deluxe,52,5,Greentube,EE,2021-02-25,bookofradeluxe,greentube
Jokers Riches 2,53,5,High 5 Games,EE,2021-02-25,jokersriches2,high5games
Peles Paradise Extreme,54,5,High 5 Games,EE,2021-02-25,pelesparadiseextreme,high5games
Genie's Palace,55,5,High 5 Games,EE,2021-02-25,geniespalace,high5games
9 Masks Of Fire,56,6,Gameburger Studios,EE,2021-02-25,9masksoffire,gameburgerstudios
Fox Fire,57,0,High 5 Games,EE,2021-02-25,foxfire,high5games
Assassin Moon,58,5,Triple Edge Studios,EE,2021-02-25,assassinmoon,tripleedgestudios
Super 20,59,5,EGT,EE,2021-02-25,super20,egt
Rome The Golden Age,60,8,NetEnt,EE,2021-02-25,romethegoldenage,netent
Katmandu Gold,61,5,ELK Studios,EE,2021-02-25,katmandugold,elkstudios
Divine Fortune,62,8,NetEnt,EE,2021-02-25,divinefortune,netent
Augustus,63,8,Neon Valley Studios,EE,2021-02-25,augustus,neonvalleystudios
Hotline 2,64,6,NetEnt,EE,2021-02-25,hotline2,netent
Aloha! Christmas,65,5,NetEnt,EE,2021-02-25,alohachristmas,netent
Rage of the Seas,66,5,NetEnt,EE,2021-02-25,rageoftheseas,netent
9 Pots of Gold,67,6,Gameburger Studios,EE,2021-02-25,9potsofgold,gameburgerstudios
Gonzo's Quest,68,7,NetEnt,EE,2021-02-25,gonzosquest,netent
Jaguar Princess,69,7,High 5 Games,EE,2021-02-25,jaguarprincess,high5games
Eagles' Flight,70,7,High 5 Games,EE,2021-02-25,eaglesflight,high5games
TikiPop,71,7,AvatarUX Studios,EE,2021-02-25,tikipop,avataruxstudios
Madame Destiny Megaways,72,8,Pragmatic Play,EE,2021-02-25,madamedestinymegaways,pragmaticplay
The Hand of Midas,73,7,Pragmatic Play,EE,2021-02-25,thehandofmidas,pragmaticplay
Foxy Dynamite,74,7,High 5 Games,EE,2021-02-25,foxydynamite,high5games
Labyrinth Of Knossos,75,4,Dream Tech,EE,2021-02-25,labyrinthofknossos,dreamtech
Majestic Cats,76,4,High 5 Games,EE,2021-02-25,majesticcats,high5games
Thor Infinity Reels,77,4,Reel Play,EE,2021-02-25,thorinfinityreels,reelplay
Luchadora,78,6,Thunderkick,EE,2021-02-25,luchadora,thunderkick
Crazy Time,79,4,Evolution Gaming,EE,2021-02-25,crazytime,evolutiongaming
Monopoly Live,80,4,Evolution Gaming,EE,2021-02-25,monopolylive,evolutiongaming
Chaos Crew,81,4,Hacksaw Gaming,EE,2021-02-25,chaoscrew,hacksawgaming
Wolf Gold,82,7,Pragmatic Play,EE,2021-02-25,wolfgold,pragmaticplay
Sweet Bonanza,83,8,Pragmatic Play,EE,2021-02-25,sweetbonanza,pragmaticplay
Mustang Gold,84,9,Pragmatic Play,EE,2021-02-25,mustanggold,pragmaticplay
Dead or Alive 2,85,8,NetEnt,EE,2021-02-25,deadoralive2,netent
Hotline,86,5,NetEnt,EE,2021-02-25,hotline,netent
Victorious,87,5,NetEnt,EE,2021-02-25,victorious,netent
Ecuador Gold,88,6,ELK Studios,EE,2021-02-25,ecuadorgold,elkstudios
Chibeasties 2,89,6,Yggdrasil,EE,2021-02-25,chibeasties2,yggdrasil
Cygnus,90,4,ELK Studios,EE,2021-02-25,cygnus,elkstudios
Nitropolis,91,5,ELK Studios,EE,2021-02-25,nitropolis,elkstudios
Blood Lust,92,4,ELK Studios,EE,2021-02-25,bloodlust,elkstudios
Sphinx Fortune,93,4,Booming Games,EE,2021-02-25,sphinxfortune,boominggames
Vikings Go Wild,94,4,Yggdrasil,EE,2021-02-25,vikingsgowild,yggdrasil
