Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Chiquito,1,20,MGA,ES,2021-02-25,chiquito,mga
La Mina de Oro Plus,2,21,MGA,ES,2021-02-25,laminadeoroplus,mga
Roulette En Vivo Live Casino,3,12,Evolution Gaming,ES,2021-02-25,rouletteenvivolivecasino,evolutiongaming
Starburst,4,16,NetEnt,ES,2021-02-25,starburst,netent
Mina de Oro,5,13,MGA,ES,2021-02-25,minadeoro,mga
Book of Dead,6,5,Play'n Go,ES,2021-02-25,bookofdead,playngo
Rome The Golden Age,7,10,NetEnt,ES,2021-02-25,romethegoldenage,netent
3 Devils Pinball,8,7,Crazy Tooth Studio,ES,2021-02-25,3devilspinball,crazytoothstudio
Age of the Gods Book of Oracle,9,7,Ash Gaming,ES,2021-02-25,ageofthegodsbookoforacle,ashgaming
Wolf Gold,10,10,Pragmatic Play,ES,2021-02-25,wolfgold,pragmaticplay
Reactoonz 2,11,5,Play'n Go,ES,2021-02-25,reactoonz2,playngo
6 Tokens of Gold,12,6,All41 Studios,ES,2021-02-25,6tokensofgold,all41studios
Maui Mischief,13,6,Old Skool Studios,ES,2021-02-25,mauimischief,oldskoolstudios
Gonzo's Quest,14,16,NetEnt,ES,2021-02-25,gonzosquest,netent
Popeye Cazatesoros,15,18,MGA,ES,2021-02-25,popeyecazatesoros,mga
Animals of Africa,16,7,Gold Coin Studios,ES,2021-02-25,animalsofafrica,goldcoinstudios
Adventures Of Doubloon Island,17,4,Triple Edge Studios,ES,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Legacy of the Tiger,18,7,Playtech Origins,ES,2021-02-25,legacyofthetiger,playtechorigins
Legacy of Dead,19,5,Play'n Go,ES,2021-02-25,legacyofdead,playngo
Finn and the Swirly Spin,20,15,NetEnt,ES,2021-02-25,finnandtheswirlyspin,netent
Quantum Roulette,21,4,Playtech,ES,2021-02-25,quantumroulette,playtech
Torrente,22,12,Playtech,ES,2021-02-25,torrente,playtech
Riches of Midgard: Land and Expand,23,8,NetEnt,ES,2021-02-25,richesofmidgardlandandexpand,netent
El Dioni,24,12,MGA,ES,2021-02-25,eldioni,mga
Mayan Eagle,25,14,All41 Studios,ES,2021-02-25,mayaneagle,all41studios
Blue Wizard,26,8,Rarestone Gaming,ES,2021-02-25,bluewizard,rarestonegaming
Skulls Heap,27,8,GONG Gaming Technologies,ES,2021-02-25,skullsheap,gonggamingtechnologies
Hyper Strike,28,10,Gameburger Studios,ES,2021-02-25,hyperstrike,gameburgerstudios
Jack and the Beanstalk,29,14,NetEnt,ES,2021-02-25,jackandthebeanstalk,netent
Book Of Kings,30,9,Rarestone Gaming,ES,2021-02-25,bookofkings,rarestonegaming
Jumanji,31,12,NetEnt,ES,2021-02-25,jumanji,netent
Ingots of Cai Shen,32,7,All41 Studios,ES,2021-02-25,ingotsofcaishen,all41studios
Age of the Gods,33,10,Playtech,ES,2021-02-25,ageofthegods,playtech
Yola Berrocal,34,5,MGA,ES,2021-02-25,yolaberrocal,mga
Cash & Carry,35,5,PAF,ES,2021-02-25,cashcarry,paf
Anaconda Wild II,36,5,Playtech,ES,2021-02-25,anacondawildii,playtech
ThunderBAR,37,5,PAF,ES,2021-02-25,thunderbar,paf
Forgotten Island Megaways,38,8,All41 Studios,ES,2021-02-25,forgottenislandmegaways,all41studios
Age of the Gods God of Storms,39,8,Playtech Vikings,ES,2021-02-25,ageofthegodsgodofstorms,playtechvikings
Wild Wild West,40,15,NetEnt,ES,2021-02-25,wildwildwest,netent
Green Star,41,15,PAF,ES,2021-02-25,greenstar,paf
El Cartel,42,17,MGA,ES,2021-02-25,elcartel,mga
Pachinko (Neko Games),43,6,Neko Games,ES,2021-02-25,pachinko,nekogames
Golden Joker,44,6,Amatic Industries,ES,2021-02-25,goldenjoker,amaticindustries
Cash & Carry: Shopping Spree,45,6,PAF,ES,2021-02-25,cashcarryshoppingspree,paf
Reactoonz,46,5,Play'n Go,ES,2021-02-25,reactoonz,playngo
Viking Runecraft,47,4,Play'n Go,ES,2021-02-25,vikingrunecraft,playngo
Tome of Madness,48,5,Play'n Go,ES,2021-02-25,tomeofmadness,playngo
Gemix,49,4,Play'n Go,ES,2021-02-25,gemix,playngo
Premium Blackjack (Playtech),50,4,Playtech,ES,2021-02-25,premiumblackjack,playtech
Energoonz,51,4,Play'n Go,ES,2021-02-25,energoonz,playngo
Sandro Rey,52,17,MGA,ES,2021-02-25,sandrorey,mga
Jackpot Giant,53,7,Playtech,ES,2021-02-25,jackpotgiant,playtech
Buffalo Blitz,54,10,Playtech,ES,2021-02-25,buffaloblitz,playtech
Hades River of Souls,55,7,Fantasma Games,ES,2021-02-25,hadesriverofsouls,fantasmagames
Age Of The Gods Glorious Griffin,56,7,Playtech Origins,ES,2021-02-25,ageofthegodsgloriousgriffin,playtechorigins
Juego De La Oca,57,8,Playtech,ES,2021-02-25,juegodelaoca,playtech
Book of Ra,58,5,Greentube,ES,2021-02-25,bookofra,greentube
Epic Ape,59,9,Playtech,ES,2021-02-25,epicape,playtech
Lucky Ladyʼs Charm deluxe 6,60,9,Greentube,ES,2021-02-25,luckyladyscharmdeluxe6,greentube
Dream 3 Team 80s - 90s,61,16,MGA,ES,2021-02-25,dream3team80s90s,mga
Age Of The Gods Ruler Of The Dead,62,5,Playtech Vikings,ES,2021-02-25,ageofthegodsrulerofthedead,playtechvikings
Fluffy Favourites,63,5,Eyecon,ES,2021-02-25,fluffyfavourites,eyecon
Torrente Again,64,7,Playtech,ES,2021-02-25,torrenteagain,playtech
MGA Mix,65,16,MGA,ES,2021-02-25,mgamix,mga
Beat The Bobbies,66,16,Eyecon,ES,2021-02-25,beatthebobbies,eyecon
Hotline 2,67,15,NetEnt,ES,2021-02-25,hotline2,netent
White Wizard Deluxe,68,15,Eyecon,ES,2021-02-25,whitewizarddeluxe,eyecon
Shaman's Dream,69,15,Eyecon,ES,2021-02-25,shamansdream,eyecon
Rainforest Magic Bingo,70,15,Play'n Go,ES,2021-02-25,rainforestmagicbingo,playngo
Crystal Lotus,71,15,Eyecon,ES,2021-02-25,crystallotus,eyecon
Sweet Alchemy Bingo,72,15,Play'n Go,ES,2021-02-25,sweetalchemybingo,playngo
Arabian Bingo,73,4,MGA,ES,2021-02-25,arabianbingo,mga
