Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,344,Play'n Go,FI,2021-02-25,bookofdead,playngo
Starburst,2,380,NetEnt,FI,2021-02-25,starburst,netent
Bonanza,3,385,Big Time Gaming,FI,2021-02-25,bonanza,bigtimegaming
Gonzo's Quest,4,362,NetEnt,FI,2021-02-25,gonzosquest,netent
Legacy of Dead,5,307,Play'n Go,FI,2021-02-25,legacyofdead,playngo
Gonzo's Quest Megaways,6,257,Red Tiger,FI,2021-02-25,gonzosquestmegaways,redtiger
Reactoonz,7,301,Play'n Go,FI,2021-02-25,reactoonz,playngo
Fire Joker,8,303,Play'n Go,FI,2021-02-25,firejoker,playngo
Lightning Roulette,9,264,Evolution Gaming,FI,2021-02-25,lightningroulette,evolutiongaming
Wolf Gold,10,327,Pragmatic Play,FI,2021-02-25,wolfgold,pragmaticplay
The Paying Piano Club,11,243,Play'n Go,FI,2021-02-25,thepayingpianoclub,playngo
Crazy Time,12,226,Evolution Gaming,FI,2021-02-25,crazytime,evolutiongaming
Reactoonz 2,13,286,Play'n Go,FI,2021-02-25,reactoonz2,playngo
Piggy Riches Megaways,14,306,Red Tiger,FI,2021-02-25,piggyrichesmegaways,redtiger
Adventures Of Doubloon Island,15,150,Triple Edge Studios,FI,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Rise Of Olympus,16,304,Play'n Go,FI,2021-02-25,riseofolympus,playngo
Twin Spin,17,341,NetEnt,FI,2021-02-25,twinspin,netent
Joker King,18,165,Pragmatic Play,FI,2021-02-25,jokerking,pragmaticplay
Divine Fortune,19,291,NetEnt,FI,2021-02-25,divinefortune,netent
The Dog House Megaways,20,294,Pragmatic Play,FI,2021-02-25,thedoghousemegaways,pragmaticplay
Tome of Madness,21,288,Play'n Go,FI,2021-02-25,tomeofmadness,playngo
Immortal Romance,22,263,Microgaming,FI,2021-02-25,immortalromance,microgaming
Cat Wilde and the Eclipse of the Sun God,23,230,Play'n Go,FI,2021-02-25,catwildeandtheeclipseofthesungod,playngo
TikiPop,24,98,AvatarUX Studios,FI,2021-02-25,tikipop,avataruxstudios
Extra Chilli,25,341,Big Time Gaming,FI,2021-02-25,extrachilli,bigtimegaming
War of Gods,26,247,Red Tiger,FI,2021-02-25,warofgods,redtiger
Sweet Bonanza,27,298,Pragmatic Play,FI,2021-02-25,sweetbonanza,pragmaticplay
The Dog House,28,306,Pragmatic Play,FI,2021-02-25,thedoghouse,pragmaticplay
Thunder Screech,29,216,Play'n Go,FI,2021-02-25,thunderscreech,playngo
Monopoly Live,30,130,Evolution Gaming,FI,2021-02-25,monopolylive,evolutiongaming
Mega Moolah,31,153,Microgaming,FI,2021-02-25,megamoolah,microgaming
Jammin' Jars,32,185,Push Gaming,FI,2021-02-25,jamminjars,pushgaming
Money Train 2,33,185,Relax Gaming,FI,2021-02-25,moneytrain2,relaxgaming
Moon Princess,34,257,Play'n Go,FI,2021-02-25,moonprincess,playngo
Razor Shark,35,185,Push Gaming,FI,2021-02-25,razorshark,pushgaming
Divine Fortune Megaways,36,320,NetEnt,FI,2021-02-25,divinefortunemegaways,netent
Aloha! Cluster Pays,37,335,NetEnt,FI,2021-02-25,alohaclusterpays,netent
John Hunter And The Book Of Tut,38,299,Pragmatic Play,FI,2021-02-25,johnhunterandthebookoftut,pragmaticplay
Skulls Heap,39,83,GONG Gaming Technologies,FI,2021-02-25,skullsheap,gonggamingtechnologies
Ramses Book,40,193,Gamomat,FI,2021-02-25,ramsesbook,gamomat
Madame Destiny Megaways,41,217,Pragmatic Play,FI,2021-02-25,madamedestinymegaways,pragmaticplay
Regal Beasts,42,222,Red Tiger,FI,2021-02-25,regalbeasts,redtiger
Respin Mania,43,132,Skywind Group,FI,2021-02-25,respinmania,skywindgroup
