Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Starburst,1,608,NetEnt,GB,2021-02-25,starburst,netent
Rainbow Riches,2,471,Barcrest,GB,2021-02-25,rainbowriches,barcrest
Book of Dead,3,282,Play'n Go,GB,2021-02-25,bookofdead,playngo
9 Pots of Gold,4,456,Gameburger Studios,GB,2021-02-25,9potsofgold,gameburgerstudios
Bonanza,5,532,Big Time Gaming,GB,2021-02-25,bonanza,bigtimegaming
Fishin' Frenzy Megaways,6,443,Blueprint,GB,2021-02-25,fishinfrenzymegaways,blueprint
Fishin' Frenzy,7,415,Reel Time Gaming,GB,2021-02-25,fishinfrenzy,reeltimegaming
Chilli Heat,8,307,Pragmatic Play,GB,2021-02-25,chilliheat,pragmaticplay
Eye of Horus (Reel Time Gaming),9,338,Reel Time Gaming,GB,2021-02-25,eyeofhorus,reeltimegaming
Gonzo's Quest,10,503,NetEnt,GB,2021-02-25,gonzosquest,netent
Fluffy Favourites,11,397,Eyecon,GB,2021-02-25,fluffyfavourites,eyecon
3 Devils Pinball,12,265,Crazy Tooth Studio,GB,2021-02-25,3devilspinball,crazytoothstudio
Rainbow Riches Pick'n'Mix,13,424,Barcrest,GB,2021-02-25,rainbowrichespicknmix,barcrest
Legacy of Dead,14,272,Play'n Go,GB,2021-02-25,legacyofdead,playngo
Adventures Of Doubloon Island,15,275,Triple Edge Studios,GB,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Reel King Mega,16,339,Red Tiger,GB,2021-02-25,reelkingmega,redtiger
9 Masks Of Fire,17,485,Gameburger Studios,GB,2021-02-25,9masksoffire,gameburgerstudios
Blue Wizard,18,153,Rarestone Gaming,GB,2021-02-25,bluewizard,rarestonegaming
Immortal Romance,19,436,Microgaming,GB,2021-02-25,immortalromance,microgaming
Piggy Riches Megaways,20,309,Red Tiger,GB,2021-02-25,piggyrichesmegaways,redtiger
Wolf Gold,21,429,Pragmatic Play,GB,2021-02-25,wolfgold,pragmaticplay
Regal Streak,22,230,Red Tiger,GB,2021-02-25,regalstreak,redtiger
Clover Rollover 2,23,447,Eyecon,GB,2021-02-25,cloverrollover2,eyecon
Gold Cash Free Spins,24,431,Inspired Gaming,GB,2021-02-25,goldcashfreespins,inspiredgaming
Wild Wild Riches,25,285,Pragmatic Play,GB,2021-02-25,wildwildriches,pragmaticplay
Reel Rush,26,461,NetEnt,GB,2021-02-25,reelrush,netent
Chicago Gold,27,272,PearFiction,GB,2021-02-25,chicagogold,pearfiction
Lightning Roulette,28,291,Evolution Gaming,GB,2021-02-25,lightningroulette,evolutiongaming
6 Tokens of Gold,29,304,All41 Studios,GB,2021-02-25,6tokensofgold,all41studios
Twin Spin,30,565,NetEnt,GB,2021-02-25,twinspin,netent
Irish Pot Luck,31,441,NetEnt,GB,2021-02-25,irishpotluck,netent
Super Lion,32,165,Skywind Group,GB,2021-02-25,superlion,skywindgroup
Shaman's Dream,33,500,Eyecon,GB,2021-02-25,shamansdream,eyecon
Big Money Frenzy,34,154,Blueprint,GB,2021-02-25,bigmoneyfrenzy,blueprint
Respin Mania,35,185,Skywind Group,GB,2021-02-25,respinmania,skywindgroup
Temple of Iris,36,536,Eyecon,GB,2021-02-25,templeofiris,eyecon
Ready Set Cash,37,181,Skywind Group,GB,2021-02-25,readysetcash,skywindgroup
Gonzo's Quest Megaways,38,317,Red Tiger,GB,2021-02-25,gonzosquestmegaways,redtiger
Joker King,39,247,Pragmatic Play,GB,2021-02-25,jokerking,pragmaticplay
Crazy Time,40,184,Evolution Gaming,GB,2021-02-25,crazytime,evolutiongaming
Burning Wins: classic 5 lines,41,139,Playson,GB,2021-02-25,burningwinsclassic5lines,playson
Golden Stallion,42,306,Northern Lights Gaming,GB,2021-02-25,goldenstallion,northernlightsgaming
Fruit Shop Megaways,43,414,NetEnt,GB,2021-02-25,fruitshopmegaways,netent
Dynamite Riches,44,371,Red Tiger,GB,2021-02-25,dynamiteriches,redtiger
Age of Conquest,45,423,Neon Valley Studios,GB,2021-02-25,ageofconquest,neonvalleystudios
Deadwood,46,149,Nolimit City,GB,2021-02-25,deadwood,nolimitcity
ted,47,433,Blueprint,GB,2021-02-25,ted,blueprint
Aloha! Cluster Pays,48,466,NetEnt,GB,2021-02-25,alohaclusterpays,netent
Rome The Golden Age,49,258,NetEnt,GB,2021-02-25,romethegoldenage,netent
Dazzle Me,50,528,NetEnt,GB,2021-02-25,dazzleme,netent
Augustus,51,389,Neon Valley Studios,GB,2021-02-25,augustus,neonvalleystudios
Foxpot,52,366,Foxium,GB,2021-02-25,foxpot,foxium
Big Bass Bonanza,53,260,Reel Kingdom,GB,2021-02-25,bigbassbonanza,reelkingdom
Reactoonz 2,54,245,Play'n Go,GB,2021-02-25,reactoonz2,playngo
Arena of Gold,55,430,All41 Studios,GB,2021-02-25,arenaofgold,all41studios
Koi Princess,56,419,NetEnt,GB,2021-02-25,koiprincess,netent
Rainbow Riches Megaways,57,370,Barcrest,GB,2021-02-25,rainbowrichesmegaways,barcrest
Reel Lucky King Megaways,58,338,Inspired Gaming,GB,2021-02-25,reelluckykingmegaways,inspiredgaming
Tarzan and the Jewels of Opar,59,357,Gameburger Studios,GB,2021-02-25,tarzanandthejewelsofopar,gameburgerstudios
Monopoly Live,60,69,Evolution Gaming,GB,2021-02-25,monopolylive,evolutiongaming
Slingo Rainbow Riches,61,232,Slingo Originals,GB,2021-02-25,slingorainbowriches,slingooriginals
John Hunter And The Book Of Tut,62,334,Pragmatic Play,GB,2021-02-25,johnhunterandthebookoftut,pragmaticplay
The Hand of Midas,63,103,Pragmatic Play,GB,2021-02-25,thehandofmidas,pragmaticplay
Age of the Gods God of Storms,64,35,Playtech Vikings,GB,2021-02-25,ageofthegodsgodofstorms,playtechvikings
Congo Cash,65,258,Wild Streak Gaming,GB,2021-02-25,congocash,wildstreakgaming
Shamans Dream 2,66,443,Eyecon,GB,2021-02-25,shamansdream2,eyecon
Fire Joker,67,265,Play'n Go,GB,2021-02-25,firejoker,playngo
Age of the Gods Book of Oracle,68,23,Ash Gaming,GB,2021-02-25,ageofthegodsbookoforacle,ashgaming
Regal Beasts,69,252,Red Tiger,GB,2021-02-25,regalbeasts,redtiger
Mystery Reels,70,413,Red Tiger,GB,2021-02-25,mysteryreels,redtiger
Buffalo Blitz,71,166,Playtech,GB,2021-02-25,buffaloblitz,playtech
Gorilla Kingdom,72,435,NetEnt,GB,2021-02-25,gorillakingdom,netent
The Paying Piano Club,73,106,Play'n Go,GB,2021-02-25,thepayingpianoclub,playngo
Narcos,74,435,NetEnt,GB,2021-02-25,narcos,netent
The Dog House Megaways,75,316,Pragmatic Play,GB,2021-02-25,thedoghousemegaways,pragmaticplay
Wild West Gold,76,273,Pragmatic Play,GB,2021-02-25,wildwestgold,pragmaticplay
Diamond Mine (Blueprint),77,290,Blueprint,GB,2021-02-25,diamondmine,blueprint
Thunder Screech,78,132,Play'n Go,GB,2021-02-25,thunderscreech,playngo
Fishin Frenzy Jackpot King,79,69,Blueprint,GB,2021-02-25,fishinfrenzyjackpotking,blueprint
Mega Moolah,80,161,Microgaming,GB,2021-02-25,megamoolah,microgaming
Katmandu Gold,81,268,ELK Studios,GB,2021-02-25,katmandugold,elkstudios
Twin Spin Megaways,82,375,NetEnt,GB,2021-02-25,twinspinmegaways,netent
Divine Fortune Megaways,83,320,NetEnt,GB,2021-02-25,divinefortunemegaways,netent
Who Wants To Be A Millionaire Megaways,84,251,Big Time Gaming,GB,2021-02-25,whowantstobeamillionairemegaways,bigtimegaming
Sweet Bonanza,85,325,Pragmatic Play,GB,2021-02-25,sweetbonanza,pragmaticplay
Cleopatra (IGT),86,54,IGT,GB,2021-02-25,cleopatra,igt
Slingo Ante Up,87,255,Slingo Originals,GB,2021-02-25,slingoanteup,slingooriginals
War of Gods,88,256,Red Tiger,GB,2021-02-25,warofgods,redtiger
Slingo Xing Yun Xian,89,121,Slingo Originals,GB,2021-02-25,slingoxingyunxian,slingooriginals
The Goonies Jackpot King,90,61,Blueprint,GB,2021-02-25,thegooniesjackpotking,blueprint
Dragon Kingdom Eyes of Fire,91,73,Pragmatic Play,GB,2021-02-25,dragonkingdomeyesoffire,pragmaticplay
Quantum Roulette,92,16,Playtech,GB,2021-02-25,quantumroulette,playtech
Mustang Gold,93,417,Pragmatic Play,GB,2021-02-25,mustanggold,pragmaticplay
Action Bank,94,304,Barcrest,GB,2021-02-25,actionbank,barcrest
Eye of Horus Megaways,95,373,Blueprint,GB,2021-02-25,eyeofhorusmegaways,blueprint
Treasure Temple,96,90,Pariplay,GB,2021-02-25,treasuretemple,pariplay
Buffalo Rising Megaways,97,235,Blueprint,GB,2021-02-25,buffalorisingmegaways,blueprint
Finn and the Swirly Spin,98,447,NetEnt,GB,2021-02-25,finnandtheswirlyspin,netent
Slingo Lightning,99,257,Slingo Originals,GB,2021-02-25,slingolightning,slingooriginals
Book of Kingdoms,100,252,Reel Kingdom,GB,2021-02-25,bookofkingdoms,reelkingdom
