Name,Rank,Provider,Casinos,Market,Date,NameInternal,ProviderInternal
Blue Wizard,1,Rarestone Gaming,0,GR,2021-02-25,bluewizard,rarestonegaming
Age of the Gods Book of Oracle,2,Ash Gaming,4,GR,2021-02-25,ageofthegodsbookoforacle,ashgaming
Buffalo Blitz,3,Playtech,5,GR,2021-02-25,buffaloblitz,playtech
Legacy of Dead,4,Play'n Go,9,GR,2021-02-25,legacyofdead,playngo
Starburst,5,NetEnt,8,GR,2021-02-25,starburst,netent
Mighty Hot Wilds,6,Inspired Gaming,4,GR,2021-02-25,mightyhotwilds,inspiredgaming
Blazing Bells,7,Ash Gaming,4,GR,2021-02-25,blazingbells,ashgaming
Epic Ape,8,Playtech,4,GR,2021-02-25,epicape,playtech
Book of Ra deluxe,9,Greentube,4,GR,2021-02-25,bookofradeluxe,greentube
Anaconda Wild II,10,Playtech,4,GR,2021-02-25,anacondawildii,playtech
Super Hot Fruits,11,Inspired Gaming,6,GR,2021-02-25,superhotfruits,inspiredgaming
Age Of The Gods Ruler Of The Dead,12,Playtech Vikings,6,GR,2021-02-25,ageofthegodsrulerofthedead,playtechvikings
Book of Dead,13,Play'n Go,7,GR,2021-02-25,bookofdead,playngo
Cashback Blackjack (Playtech),14,Playtech,7,GR,2021-02-25,cashbackblackjack,playtech
Extra Chilli,15,Big Time Gaming,8,GR,2021-02-25,extrachilli,bigtimegaming
Gold Pile Toltec Treasure,16,Rarestone Gaming,8,GR,2021-02-25,goldpiletoltectreasure,rarestonegaming
Diamond Bet Roulette,17,Playtech,8,GR,2021-02-25,diamondbetroulette,playtech
Premium Blackjack (Playtech),18,Playtech,8,GR,2021-02-25,premiumblackjack,playtech
Gladiator Road to Rome,19,Playtech,8,GR,2021-02-25,gladiatorroadtorome,playtech
Batman & The Riddler Riches,20,Playtech,8,GR,2021-02-25,batmantheriddlerriches,playtech
Kingdoms Rise Battle Beast,21,Playtech Origins,8,GR,2021-02-25,kingdomsrisebattlebeast,playtechorigins
