Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Starburst,1,26,NetEnt,HU,2021-02-25,starburst,netent
Bonanza,2,29,Big Time Gaming,HU,2021-02-25,bonanza,bigtimegaming
3 Devils Pinball,3,15,Crazy Tooth Studio,HU,2021-02-25,3devilspinball,crazytoothstudio
6 Tokens of Gold,4,13,All41 Studios,HU,2021-02-25,6tokensofgold,all41studios
Divine Fortune Megaways,5,21,NetEnt,HU,2021-02-25,divinefortunemegaways,netent
Maui Mischief,6,13,Old Skool Studios,HU,2021-02-25,mauimischief,oldskoolstudios
Gonzo's Quest,7,24,NetEnt,HU,2021-02-25,gonzosquest,netent
Valley Of The Gods,8,12,Yggdrasil,HU,2021-02-25,valleyofthegods,yggdrasil
Lightning Roulette,9,18,Evolution Gaming,HU,2021-02-25,lightningroulette,evolutiongaming
Super Lion,10,18,Skywind Group,HU,2021-02-25,superlion,skywindgroup
Labyrinth Of Knossos,11,9,Dream Tech,HU,2021-02-25,labyrinthofknossos,dreamtech
Big Bonus,12,9,Inspired Gaming,HU,2021-02-25,bigbonus,inspiredgaming
Super Hot Fruits,13,9,Inspired Gaming,HU,2021-02-25,superhotfruits,inspiredgaming
Razor Shark,14,20,Push Gaming,HU,2021-02-25,razorshark,pushgaming
Blazing Star,15,5,edict,HU,2021-02-25,blazingstar,edict
9 Masks Of Fire,16,12,Gameburger Studios,HU,2021-02-25,9masksoffire,gameburgerstudios
Miss Wildfire,17,11,ELK Studios,HU,2021-02-25,misswildfire,elkstudios
Dr Fortuno,18,10,Yggdrasil,HU,2021-02-25,drfortuno,yggdrasil
Reel Lucky King Megaways,19,10,Inspired Gaming,HU,2021-02-25,reelluckykingmegaways,inspiredgaming
Vikings Go Berzerk,20,8,Yggdrasil,HU,2021-02-25,vikingsgoberzerk,yggdrasil
Holmes and the Stolen Stones,21,11,Yggdrasil,HU,2021-02-25,holmesandthestolenstones,yggdrasil
Joker King,22,15,Pragmatic Play,HU,2021-02-25,jokerking,pragmaticplay
Wolf Gold,23,18,Pragmatic Play,HU,2021-02-25,wolfgold,pragmaticplay
Midas Golden Touch,24,11,Thunderkick,HU,2021-02-25,midasgoldentouch,thunderkick
Queen of gold,25,21,Pragmatic Play,HU,2021-02-25,queenofgold,pragmaticplay
Crazy Time,26,19,Evolution Gaming,HU,2021-02-25,crazytime,evolutiongaming
Valley Of The Gods 2,27,18,Yggdrasil,HU,2021-02-25,valleyofthegods2,yggdrasil
Skulls Heap,28,16,GONG Gaming Technologies,HU,2021-02-25,skullsheap,gonggamingtechnologies
Quantum Roulette,29,0,Playtech,HU,2021-02-25,quantumroulette,playtech
Quantum Blackjack Live,30,0,Playtech,HU,2021-02-25,quantumblackjacklive,playtech
Roulette X5,31,7,Golden Rock Studios,HU,2021-02-25,roulettex5,goldenrockstudios
Frost Queen Jackpots,32,14,Yggdrasil,HU,2021-02-25,frostqueenjackpots,yggdrasil
Irish Luck Jackpot,33,14,Eyecon,HU,2021-02-25,irishluckjackpot,eyecon
Narcos,34,15,NetEnt,HU,2021-02-25,narcos,netent
Clover Rollover 2,35,15,Eyecon,HU,2021-02-25,cloverrollover2,eyecon
Who Wants To Be A Millionaire Megaways,36,6,Big Time Gaming,HU,2021-02-25,whowantstobeamillionairemegaways,bigtimegaming
Buffalo Rising Megaways Jackpot King,37,6,Blueprint,HU,2021-02-25,buffalorisingmegawaysjackpotking,blueprint
Gonzo's Quest Megaways,38,20,Red Tiger,HU,2021-02-25,gonzosquestmegaways,redtiger
Buffalo Blitz,39,16,Playtech,HU,2021-02-25,buffaloblitz,playtech
Sweet Bonanza,40,23,Pragmatic Play,HU,2021-02-25,sweetbonanza,pragmaticplay
Buffalo Blitz Live,41,23,Playtech,HU,2021-02-25,buffaloblitzlive,playtech
TikiPop,42,10,AvatarUX Studios,HU,2021-02-25,tikipop,avataruxstudios
Twin Spin Megaways,43,14,NetEnt,HU,2021-02-25,twinspinmegaways,netent
Deal or No Deal Lightning Spins,44,14,Blueprint,HU,2021-02-25,dealornodeallightningspins,blueprint
Ted Megaways,45,14,Blueprint,HU,2021-02-25,tedmegaways,blueprint
Bruce Lee,46,14,WMS,HU,2021-02-25,brucelee,wms
Sausage Party,47,14,Blueprint,HU,2021-02-25,sausageparty,blueprint
Stunning Hot,48,14,BF games,HU,2021-02-25,stunninghot,bfgames
Finn's Golden Tavern,49,14,NetEnt,HU,2021-02-25,finnsgoldentavern,netent
Book Of Demi Gods 2,50,15,Spinomenal,HU,2021-02-25,bookofdemigods2,spinomenal
Survivor Megaways,51,4,Big Time Gaming,HU,2021-02-25,survivormegaways,bigtimegaming
9 Lions,52,17,Wazdan,HU,2021-02-25,9lions,wazdan
Gods of Olympus Megaways,53,17,Blueprint,HU,2021-02-25,godsofolympusmegaways,blueprint
Age of the Gods God of Storms,54,12,Playtech Vikings,HU,2021-02-25,ageofthegodsgodofstorms,playtechvikings
Reel King Megaways,55,12,Inspired Gaming,HU,2021-02-25,reelkingmegaways,inspiredgaming
