Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,81,Play'n Go,IE,2021-02-25,bookofdead,playngo
Starburst,2,109,NetEnt,IE,2021-02-25,starburst,netent
Gonzo's Quest Megaways,3,81,Red Tiger,IE,2021-02-25,gonzosquestmegaways,redtiger
Lightning Roulette,4,73,Evolution Gaming,IE,2021-02-25,lightningroulette,evolutiongaming
Crazy Time,5,68,Evolution Gaming,IE,2021-02-25,crazytime,evolutiongaming
Gonzo's Quest,6,104,NetEnt,IE,2021-02-25,gonzosquest,netent
Legacy of Dead,7,77,Play'n Go,IE,2021-02-25,legacyofdead,playngo
Bonanza,8,98,Big Time Gaming,IE,2021-02-25,bonanza,bigtimegaming
The Dog House Megaways,9,87,Pragmatic Play,IE,2021-02-25,thedoghousemegaways,pragmaticplay
Wolf Gold,10,98,Pragmatic Play,IE,2021-02-25,wolfgold,pragmaticplay
Piggy Riches Megaways,11,76,Red Tiger,IE,2021-02-25,piggyrichesmegaways,redtiger
Ramses Book,12,52,Gamomat,IE,2021-02-25,ramsesbook,gamomat
Ruler of Egypt,13,25,Lady Luck Games,IE,2021-02-25,rulerofegypt,ladyluckgames
Fancy Fruits,14,53,Gamomat,IE,2021-02-25,fancyfruits,gamomat
Weight of the Gun,15,25,Lady Luck Games,IE,2021-02-25,weightofthegun,ladyluckgames
Crystal Ball,16,49,Gamomat,IE,2021-02-25,crystalball,gamomat
Gold Vein,17,65,Booming Games,IE,2021-02-25,goldvein,boominggames
The Paying Piano Club,18,58,Play'n Go,IE,2021-02-25,thepayingpianoclub,playngo
Monopoly Live,19,54,Evolution Gaming,IE,2021-02-25,monopolylive,evolutiongaming
Wild Diamond 7x,20,56,Booming Games,IE,2021-02-25,wilddiamond7x,boominggames
Royal Seven XXL,21,48,Gamomat,IE,2021-02-25,royalsevenxxl,gamomat
Jewel Scarabs,22,76,Red Tiger,IE,2021-02-25,jewelscarabs,redtiger
Books And Pearls,23,47,Gamomat,IE,2021-02-25,booksandpearls,gamomat
Take 5,24,52,Gamomat,IE,2021-02-25,take5,gamomat
Sticky Diamonds,25,50,Gamomat,IE,2021-02-25,stickydiamonds,gamomat
Orango Tango,26,25,Lady Luck Games,IE,2021-02-25,orangotango,ladyluckgames
Fancy Fruits Respins Of Amun-Re,27,45,Gamomat,IE,2021-02-25,fancyfruitsrespinsofamunre,gamomat
John Hunter And The Book Of Tut,28,89,Pragmatic Play,IE,2021-02-25,johnhunterandthebookoftut,pragmaticplay
Rock Paper Scissors,29,28,Playtech,IE,2021-02-25,rockpaperscissors,playtech
Speed Baccarat B,30,56,Evolution Gaming,IE,2021-02-25,speedbaccaratb,evolutiongaming
Rainbow Riches,31,33,Barcrest,IE,2021-02-25,rainbowriches,barcrest
Adventures Of Doubloon Island,32,46,Triple Edge Studios,IE,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Age of the Gods God of Storms,33,10,Playtech Vikings,IE,2021-02-25,ageofthegodsgodofstorms,playtechvikings
Reactoonz,34,73,Play'n Go,IE,2021-02-25,reactoonz,playngo
Joker King,35,42,Pragmatic Play,IE,2021-02-25,jokerking,pragmaticplay
Dynamite Riches,36,73,Red Tiger,IE,2021-02-25,dynamiteriches,redtiger
Buffalo Blitz,37,21,Playtech,IE,2021-02-25,buffaloblitz,playtech
Big Bass Bonanza,38,75,Reel Kingdom,IE,2021-02-25,bigbassbonanza,reelkingdom
The Dog House,39,83,Pragmatic Play,IE,2021-02-25,thedoghouse,pragmaticplay
Fire Joker,40,71,Play'n Go,IE,2021-02-25,firejoker,playngo
Fishin Frenzy Jackpot King,41,11,Blueprint,IE,2021-02-25,fishinfrenzyjackpotking,blueprint
Reactoonz 2,42,69,Play'n Go,IE,2021-02-25,reactoonz2,playngo
Age of the Gods Norse Gods and Giants,43,14,Playtech Origins,IE,2021-02-25,ageofthegodsnorsegodsandgiants,playtechorigins
20p Roulette (Inspired Gaming),44,6,Inspired Gaming,IE,2021-02-25,20proulette,inspiredgaming
Mega Moolah,45,43,Microgaming,IE,2021-02-25,megamoolah,microgaming
Eye of Horus (Reel Time Gaming),46,12,Reel Time Gaming,IE,2021-02-25,eyeofhorus,reeltimegaming
TikiPop,47,26,AvatarUX Studios,IE,2021-02-25,tikipop,avataruxstudios
Fishin' Frenzy,48,42,Reel Time Gaming,IE,2021-02-25,fishinfrenzy,reeltimegaming
Legend of Hydra Power Zones,49,14,Ash Gaming,IE,2021-02-25,legendofhydrapowerzones,ashgaming
Thunder Screech,50,51,Play'n Go,IE,2021-02-25,thunderscreech,playngo
Cops and Robbers (Pariplay),51,14,Pariplay,IE,2021-02-25,copsandrobbers,pariplay
Age of the Gods King of Olympus,52,17,Playtech,IE,2021-02-25,ageofthegodskingofolympus,playtech
