Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Book of Dead,1,72,Play'n Go,IN,2021-02-25,bookofdead,playngo
Gonzo's Quest Megaways,2,54,Red Tiger,IN,2021-02-25,gonzosquestmegaways,redtiger
Divine Fortune,3,56,NetEnt,IN,2021-02-25,divinefortune,netent
Starburst,4,72,NetEnt,IN,2021-02-25,starburst,netent
Sweet Bonanza,5,76,Pragmatic Play,IN,2021-02-25,sweetbonanza,pragmaticplay
The Paying Piano Club,6,47,Play'n Go,IN,2021-02-25,thepayingpianoclub,playngo
Wolf Gold,7,71,Pragmatic Play,IN,2021-02-25,wolfgold,pragmaticplay
Gonzo's Quest,8,70,NetEnt,IN,2021-02-25,gonzosquest,netent
Joker King,9,41,Pragmatic Play,IN,2021-02-25,jokerking,pragmaticplay
Lightning Roulette,10,49,Evolution Gaming,IN,2021-02-25,lightningroulette,evolutiongaming
Piggy Riches Megaways,11,50,Red Tiger,IN,2021-02-25,piggyrichesmegaways,redtiger
TikiPop,12,16,AvatarUX Studios,IN,2021-02-25,tikipop,avataruxstudios
Mustang Gold,13,71,Pragmatic Play,IN,2021-02-25,mustanggold,pragmaticplay
Adventures Of Doubloon Island,14,38,Triple Edge Studios,IN,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Legacy of Dead,15,66,Play'n Go,IN,2021-02-25,legacyofdead,playngo
Mega Moolah,16,39,Microgaming,IN,2021-02-25,megamoolah,microgaming
Twin Spin,17,70,NetEnt,IN,2021-02-25,twinspin,netent
Crazy Time,18,43,Evolution Gaming,IN,2021-02-25,crazytime,evolutiongaming
Fire Joker,19,58,Play'n Go,IN,2021-02-25,firejoker,playngo
3 Devils Pinball,20,36,Crazy Tooth Studio,IN,2021-02-25,3devilspinball,crazytoothstudio
Great Rhino Megaways,21,58,Pragmatic Play,IN,2021-02-25,greatrhinomegaways,pragmaticplay
Take Olympus,22,22,Betsoft,IN,2021-02-25,takeolympus,betsoft
Immortal Romance,23,62,Microgaming,IN,2021-02-25,immortalromance,microgaming
Agent 51,24,22,Kalamba Games,IN,2021-02-25,agent51,kalambagames
Money Train 2,25,35,Relax Gaming,IN,2021-02-25,moneytrain2,relaxgaming
Razor Shark,26,41,Push Gaming,IN,2021-02-25,razorshark,pushgaming
Bonanza,27,64,Big Time Gaming,IN,2021-02-25,bonanza,bigtimegaming
Sakura Fortune,28,50,Quickspin,IN,2021-02-25,sakurafortune,quickspin
Reactoonz,29,65,Play'n Go,IN,2021-02-25,reactoonz,playngo
Thor's Vengeance,30,18,Red Tiger,IN,2021-02-25,thorsvengeance,redtiger
Rise Of Olympus,31,60,Play'n Go,IN,2021-02-25,riseofolympus,playngo
Labyrinth Of Knossos,32,22,Dream Tech,IN,2021-02-25,labyrinthofknossos,dreamtech
Sherlock Bones,33,19,Electric Elephant,IN,2021-02-25,sherlockbones,electricelephant
Book Of Demi Gods 2,34,35,Spinomenal,IN,2021-02-25,bookofdemigods2,spinomenal
Wheel Of Wishes,35,25,Alchemy Gaming,IN,2021-02-25,wheelofwishes,alchemygaming
6 Tokens of Gold,36,37,All41 Studios,IN,2021-02-25,6tokensofgold,all41studios
Twin Win,37,14,High 5 Games,IN,2021-02-25,twinwin,high5games
Ozwin's Jackpots,38,20,Yggdrasil,IN,2021-02-25,ozwinsjackpots,yggdrasil
Skulls Heap,39,24,GONG Gaming Technologies,IN,2021-02-25,skullsheap,gonggamingtechnologies
Eye of the Storm,40,34,Reel Kingdom,IN,2021-02-25,eyeofthestorm,reelkingdom
Holmes and the Stolen Stones,41,33,Yggdrasil,IN,2021-02-25,holmesandthestolenstones,yggdrasil
Jackpot Raiders,42,21,Yggdrasil,IN,2021-02-25,jackpotraiders,yggdrasil
The Dog House Megaways,43,61,Pragmatic Play,IN,2021-02-25,thedoghousemegaways,pragmaticplay
Big Bass Bonanza,44,40,Reel Kingdom,IN,2021-02-25,bigbassbonanza,reelkingdom
Madame Destiny Megaways,45,44,Pragmatic Play,IN,2021-02-25,madamedestinymegaways,pragmaticplay
Fruit Shop Megaways,46,41,NetEnt,IN,2021-02-25,fruitshopmegaways,netent
Twin Spin Megaways,47,47,NetEnt,IN,2021-02-25,twinspinmegaways,netent
The Hand of Midas,48,31,Pragmatic Play,IN,2021-02-25,thehandofmidas,pragmaticplay
Monopoly Live,49,23,Evolution Gaming,IN,2021-02-25,monopolylive,evolutiongaming
Fruit Blast,50,35,Skillzzgaming,IN,2021-02-25,fruitblast,skillzzgaming
Extra Chilli,51,58,Big Time Gaming,IN,2021-02-25,extrachilli,bigtimegaming
Deadwood,52,35,Nolimit City,IN,2021-02-25,deadwood,nolimitcity
Tomb of the King,53,13,Gluck Games,IN,2021-02-25,tomboftheking,gluckgames
Lucky Oktoberfest,54,29,Red Tiger,IN,2021-02-25,luckyoktoberfest,redtiger
Sahara Nights,55,23,Yggdrasil,IN,2021-02-25,saharanights,yggdrasil
Temple Tumble,56,39,Relax Gaming,IN,2021-02-25,templetumble,relaxgaming
Aztec Spins,57,31,Red Tiger,IN,2021-02-25,aztecspins,redtiger
Reactoonz 2,58,52,Play'n Go,IN,2021-02-25,reactoonz2,playngo
Jammin' Jars,59,37,Push Gaming,IN,2021-02-25,jamminjars,pushgaming
Zeus Lightning Power Reels,60,29,Red Tiger,IN,2021-02-25,zeuslightningpowerreels,redtiger
Cosmic Gems,61,16,2by2 Gaming,IN,2021-02-25,cosmicgems,2by2gaming
Reel King Mega,62,37,Red Tiger,IN,2021-02-25,reelkingmega,redtiger
Grand Spinn Superpot,63,32,NetEnt,IN,2021-02-25,grandspinnsuperpot,netent
Frost Queen Jackpots,64,22,Yggdrasil,IN,2021-02-25,frostqueenjackpots,yggdrasil
Mercy of the Gods,65,40,NetEnt,IN,2021-02-25,mercyofthegods,netent
The King Panda,66,13,Booming Games,IN,2021-02-25,thekingpanda,boominggames
Neptunes Fortune Megaways,67,27,iSoftBet,IN,2021-02-25,neptunesfortunemegaways,isoftbet
Book of Oz,68,56,Triple Edge Studios,IN,2021-02-25,bookofoz,tripleedgestudios
Roo Riches,69,32,iSoftBet,IN,2021-02-25,rooriches,isoftbet
Mehen,70,32,Evoplay Entertainment,IN,2021-02-25,mehen,evoplayentertainment
Hippie Days,71,21,Skillzzgaming,IN,2021-02-25,hippiedays,skillzzgaming
Iron Bank,72,23,Relax Gaming,IN,2021-02-25,ironbank,relaxgaming
Wolf Saga,73,23,Booongo,IN,2021-02-25,wolfsaga,booongo
Sonya Blackjack,74,7,Yggdrasil,IN,2021-02-25,sonyablackjack,yggdrasil
Lucky Blackjack,75,6,Yggdrasil,IN,2021-02-25,luckyblackjack,yggdrasil
Divine Fortune Megaways,76,56,NetEnt,IN,2021-02-25,divinefortunemegaways,netent
Hotline 2,77,69,NetEnt,IN,2021-02-25,hotline2,netent
Poker Teen Patti,78,20,Evoplay Entertainment,IN,2021-02-25,pokerteenpatti,evoplayentertainment
The Dog House,79,63,Pragmatic Play,IN,2021-02-25,thedoghouse,pragmaticplay
Wolf Haven,80,9,Ruby Play,IN,2021-02-25,wolfhaven,rubyplay
The Good The Bad And The Ugly,81,14,Gluck Games,IN,2021-02-25,thegoodthebadandtheugly,gluckgames
Moon Princess,82,51,Play'n Go,IN,2021-02-25,moonprincess,playngo
Big Money Frenzy,83,14,Blueprint,IN,2021-02-25,bigmoneyfrenzy,blueprint
Trillionaire,84,14,Red Tiger,IN,2021-02-25,trillionaire,redtiger
Katmandu Gold,85,39,ELK Studios,IN,2021-02-25,katmandugold,elkstudios
Atlantean Treasures Mega Moolah,86,27,Neon Valley Studios,IN,2021-02-25,atlanteantreasuresmegamoolah,neonvalleystudios
